id,date,prcp,tmax,tmin
EIM00003955,2010-01-01,0,NA,NA
EIM00003955,2010-01-02,0,33,-51
EIM00003955,2010-01-03,20,35,-19
EIM00003955,2010-01-04,0,NA,NA
EIM00003955,2010-01-05,0,NA,NA
EIM00003955,2010-01-06,0,14,NA
EIM00003955,2010-01-07,0,NA,NA
EIM00003955,2010-01-08,0,24,NA
EIM00003955,2010-01-09,0,NA,NA
EIM00003955,2010-01-10,30,NA,-46
EIM00003955,2010-01-11,79,NA,-5
EIM00003955,2010-01-12,300,NA,18
EIM00003955,2010-01-13,10,NA,NA
EIM00003955,2010-01-14,0,NA,NA
EIM00003955,2010-01-15,191,94,49
EIM00003955,2010-01-16,170,NA,NA
EIM00003955,2010-01-17,0,NA,14
EIM00003955,2010-01-18,5,83,NA
EIM00003955,2010-01-19,102,NA,55
EIM00003955,2010-01-20,71,99,34
EIM00003955,2010-01-21,241,NA,42
EIM00003955,2010-01-22,3,NA,NA
EIM00003955,2010-01-23,0,NA,NA
EIM00003955,2010-01-24,8,64,8
EIM00003955,2010-01-25,0,NA,NA
EIM00003955,2010-01-26,NA,72,NA
EIM00003955,2010-01-27,0,NA,16
EIM00003955,2010-01-28,NA,NA,49
EIM00003955,2010-01-29,10,NA,NA
EIM00003955,2010-01-30,0,NA,NA
EIM00003955,2010-01-31,0,52,-4
EIM00003955,2010-02-01,0,NA,5
EIM00003955,2010-02-02,0,94,NA
EIM00003955,2010-02-03,28,96,NA
EIM00003955,2010-02-04,201,84,32
EIM00003955,2010-02-05,51,73,31
EIM00003955,2010-02-06,20,94,NA
EIM00003955,2010-02-07,NA,75,33
EIM00003955,2010-02-08,NA,NA,NA
EIM00003955,2010-02-09,NA,51,NA
EIM00003955,2010-02-10,0,NA,NA
EIM00003955,2010-02-11,0,43,NA
EIM00003955,2010-02-12,0,NA,-53
EIM00003955,2010-02-13,NA,51,10
EIM00003955,2010-02-14,0,74,NA
EIM00003955,2010-02-15,NA,81,NA
EIM00003955,2010-02-16,5,67,NA
EIM00003955,2010-02-17,5,51,1
EIM00003955,2010-02-18,0,48,NA
EIM00003955,2010-02-19,0,52,NA
EIM00003955,2010-02-20,5,62,NA
EIM00003955,2010-02-21,0,52,-13
EIM00003955,2010-02-22,0,50,NA
EIM00003955,2010-02-23,71,NA,-6
EIM00003955,2010-02-24,13,54,16
EIM00003955,2010-02-25,NA,NA,NA
EIM00003955,2010-02-26,0,NA,NA
EIM00003955,2010-02-27,0,NA,NA
EIM00003955,2010-02-28,5,84,8
EIM00003955,2010-03-01,0,87,NA
EIM00003955,2010-03-02,0,NA,0
EIM00003955,2010-03-03,25,62,NA
EIM00003955,2010-03-04,3,70,NA
EIM00003955,2010-03-05,0,92,NA
EIM00003955,2010-03-06,0,77,NA
EIM00003955,2010-03-07,NA,52,NA
EIM00003955,2010-03-08,0,56,-13
EIM00003955,2010-03-09,0,78,NA
EIM00003955,2010-03-10,0,71,NA
EIM00003955,2010-03-11,0,81,-1
EIM00003955,2010-03-12,0,95,19
EIM00003955,2010-03-13,NA,NA,NA
EIM00003955,2010-03-14,NA,107,NA
EIM00003955,2010-03-15,0,96,20
EIM00003955,2010-03-16,NA,NA,51
EIM00003955,2010-03-17,NA,111,74
EIM00003955,2010-03-18,140,115,NA
EIM00003955,2010-03-19,30,NA,30
EIM00003955,2010-03-20,NA,110,49
EIM00003955,2010-03-21,13,127,25
EIM00003955,2010-03-22,79,112,NA
