id,date,prcp,tmax,tmin
EKM00064810,2010-07-01,NA,NA,NA
EKM00064810,2010-07-02,NA,NA,NA
EKM00064810,2010-07-03,NA,NA,NA
EKM00064810,2010-07-04,NA,NA,NA
EKM00064810,2010-07-05,NA,NA,NA
EKM00064810,2010-07-06,NA,NA,NA
EKM00064810,2010-07-07,NA,NA,NA
EKM00064810,2010-07-08,NA,NA,NA
EKM00064810,2010-07-09,NA,NA,NA
EKM00064810,2010-07-10,NA,NA,NA
EKM00064810,2010-07-11,NA,NA,NA
EKM00064810,2010-07-12,NA,NA,NA
EKM00064810,2010-07-13,NA,NA,NA
EKM00064810,2010-07-14,NA,NA,NA
EKM00064810,2010-07-15,NA,NA,NA
EKM00064810,2010-07-16,NA,NA,NA
EKM00064810,2010-07-17,NA,NA,NA
EKM00064810,2010-07-18,NA,NA,NA
EKM00064810,2010-07-19,NA,NA,NA
EKM00064810,2010-07-20,NA,NA,NA
EKM00064810,2010-07-21,NA,NA,NA
EKM00064810,2010-07-22,NA,290,NA
EKM00064810,2010-07-23,NA,289,NA
EKM00064810,2010-07-24,NA,290,224
EKM00064810,2010-07-25,71,262,NA
EKM00064810,2010-07-26,201,280,NA
EKM00064810,2010-07-27,10,290,225
EKM00064810,2010-07-28,0,NA,234
EKM00064810,2010-07-29,NA,NA,NA
EKM00064810,2010-07-30,NA,NA,NA
EKM00064810,2010-07-31,NA,NA,NA
EKM00064810,2010-08-01,NA,NA,NA
EKM00064810,2010-08-02,NA,300,NA
EKM00064810,2010-08-03,NA,NA,NA
EKM00064810,2010-08-04,NA,NA,NA
EKM00064810,2010-08-05,NA,NA,NA
EKM00064810,2010-08-06,NA,NA,NA
EKM00064810,2010-08-07,NA,NA,NA
EKM00064810,2010-08-08,NA,NA,NA
EKM00064810,2010-08-09,NA,NA,NA
EKM00064810,2010-08-10,NA,NA,NA
EKM00064810,2010-08-11,NA,NA,NA
EKM00064810,2010-08-12,NA,NA,NA
EKM00064810,2010-08-13,NA,NA,NA
EKM00064810,2010-08-14,NA,NA,NA
EKM00064810,2010-08-15,NA,NA,NA
EKM00064810,2010-08-16,NA,NA,NA
EKM00064810,2010-08-17,NA,NA,NA
EKM00064810,2010-08-18,NA,NA,NA
EKM00064810,2010-08-19,NA,NA,NA
EKM00064810,2010-08-20,NA,NA,NA
EKM00064810,2010-08-21,NA,NA,NA
EKM00064810,2010-08-22,NA,NA,NA
EKM00064810,2010-08-23,NA,NA,NA
EKM00064810,2010-08-24,NA,NA,NA
EKM00064810,2010-08-25,NA,287,235
EKM00064810,2010-08-26,NA,NA,230
EKM00064810,2010-08-27,NA,NA,NA
EKM00064810,2010-08-28,NA,NA,NA
EKM00064810,2010-08-29,NA,NA,NA
EKM00064810,2010-08-30,NA,NA,NA
EKM00064810,2010-08-31,NA,NA,NA
EKM00064810,2011-03-01,NA,NA,NA
EKM00064810,2011-03-02,NA,NA,NA
EKM00064810,2011-03-03,NA,NA,NA
EKM00064810,2011-03-04,NA,NA,NA
EKM00064810,2011-03-05,10,NA,230
EKM00064810,2011-03-06,79,307,220
EKM00064810,2011-03-07,0,305,210
EKM00064810,2011-03-08,NA,310,NA
EKM00064810,2011-03-09,NA,315,NA
EKM00064810,2011-03-10,NA,NA,NA
EKM00064810,2011-03-11,NA,325,NA
EKM00064810,2011-03-12,NA,NA,NA
EKM00064810,2011-03-13,NA,NA,235
EKM00064810,2011-03-14,NA,NA,NA
EKM00064810,2011-03-15,NA,330,NA
EKM00064810,2011-03-16,NA,330,NA
EKM00064810,2011-03-17,NA,315,250
EKM00064810,2011-03-18,NA,330,240
EKM00064810,2011-03-19,NA,330,225
EKM00064810,2011-03-20,NA,330,NA
EKM00064810,2011-03-21,NA,NA,230
EKM00064810,2011-03-22,NA,330,NA
EKM00064810,2011-03-23,NA,NA,245
EKM00064810,2011-03-24,20,325,240
EKM00064810,2011-03-25,30,288,225
EKM00064810,2011-03-26,30,330,210
EKM00064810,2011-03-27,0,325,NA
EKM00064810,2011-03-28,71,325,230
EKM00064810,2011-03-29,0,320,NA
EKM00064810,2011-03-30,NA,330,220
EKM00064810,2011-03-31,NA,314,260
EKM00064810,2011-04-01,NA,NA,NA
EKM00064810,2011-04-02,NA,NA,240
EKM00064810,2011-04-03,NA,330,NA
EKM00064810,2011-04-04,99,NA,225
EKM00064810,2011-04-05,0,NA,NA
EKM00064810,2011-04-06,NA,320,NA
EKM00064810,2011-04-07,NA,NA,225
EKM00064810,2011-04-08,NA,324,NA
EKM00064810,2011-04-09,NA,323,NA
EKM00064810,2011-04-10,NA,NA,240
EKM00064810,2011-04-11,NA,NA,NA
EKM00064810,2011-04-12,NA,NA,NA
EKM00064810,2011-04-13,NA,NA,240
EKM00064810,2011-04-14,NA,300,239
EKM00064810,2011-04-15,NA,NA,225
EKM00064810,2011-04-16,221,322,240
EKM00064810,2011-04-17,0,320,NA
EKM00064810,2011-04-18,191,310,220
EKM00064810,2011-04-19,1641,NA,215
EKM00064810,2011-04-20,0,316,235
EKM00064810,2011-04-21,41,NA,NA
EKM00064810,2011-04-22,0,NA,230
EKM00064810,2011-04-23,NA,320,220
EKM00064810,2011-04-24,NA,305,225
EKM00064810,2011-04-25,NA,NA,NA
EKM00064810,2011-04-26,NA,315,229
EKM00064810,2011-04-27,NA,320,215
EKM00064810,2011-04-28,NA,320,NA
EKM00064810,2011-04-29,20,NA,NA
EKM00064810,2011-04-30,0,315,NA
EKM00064810,2011-05-01,NA,NA,NA
EKM00064810,2011-05-02,NA,320,230
EKM00064810,2011-05-03,NA,NA,225
EKM00064810,2011-05-04,NA,320,240
EKM00064810,2011-05-05,NA,320,240
EKM00064810,2011-05-06,NA,320,230
EKM00064810,2011-05-07,51,320,255
EKM00064810,2011-05-08,0,330,236
EKM00064810,2011-05-09,71,330,220
EKM00064810,2011-05-10,89,330,245
EKM00064810,2011-05-11,0,310,NA
EKM00064810,2011-05-12,20,310,230
EKM00064810,2011-05-13,0,NA,240
EKM00064810,2011-05-14,10,NA,240
EKM00064810,2011-05-15,0,315,NA
EKM00064810,2011-05-16,140,310,229
EKM00064810,2011-05-17,0,320,240
EKM00064810,2011-05-18,NA,320,NA
EKM00064810,2011-05-19,NA,315,255
EKM00064810,2011-05-20,NA,315,245
EKM00064810,2011-05-21,NA,NA,NA
EKM00064810,2011-05-22,NA,310,NA
EKM00064810,2011-05-23,NA,309,220
EKM00064810,2011-05-24,20,305,214
EKM00064810,2011-05-25,800,305,226
EKM00064810,2011-05-26,0,305,NA
EKM00064810,2011-05-27,0,300,NA
EKM00064810,2011-05-28,30,300,225
EKM00064810,2011-05-29,0,295,NA
EKM00064810,2011-05-30,201,NA,NA
EKM00064810,2011-05-31,5,NA,235
EKM00064810,2011-06-01,569,305,230
EKM00064810,2011-06-02,0,NA,241
EKM00064810,2011-06-03,NA,NA,235
EKM00064810,2011-06-04,0,312,240
EKM00064810,2011-06-05,231,NA,NA
EKM00064810,2011-06-06,130,NA,230
EKM00064810,2011-06-07,531,315,220
EKM00064810,2011-06-08,0,314,240
EKM00064810,2011-06-09,10,NA,240
EKM00064810,2011-06-10,0,NA,NA
EKM00064810,2011-06-11,NA,NA,NA
EKM00064810,2011-06-12,NA,300,NA
EKM00064810,2011-06-13,NA,300,225
EKM00064810,2011-06-14,NA,315,NA
EKM00064810,2011-06-15,NA,NA,NA
