id,date,prcp,tmax,tmin
EN000026242,2010-01-01,0,-122,-186
EN000026242,2010-01-02,6,-177,-256
EN000026242,2010-01-03,22,-125,-191
EN000026242,2010-01-04,8,-34,-127
EN000026242,2010-01-05,0,-28,-84
EN000026242,2010-01-06,93,-59,-96
EN000026242,2010-01-07,6,-72,-110
EN000026242,2010-01-08,0,-83,-104
EN000026242,2010-01-09,2,-103,-147
EN000026242,2010-01-10,0,-99,-146
EN000026242,2010-01-11,0,-127,-220
EN000026242,2010-01-12,0,-81,-226
EN000026242,2010-01-13,0,-70,-89
EN000026242,2010-01-14,3,-69,-118
EN000026242,2010-01-15,6,-83,-124
EN000026242,2010-01-16,0,-81,-108
EN000026242,2010-01-17,0,-84,-138
EN000026242,2010-01-18,0,-94,-168
EN000026242,2010-01-19,0,-119,-179
EN000026242,2010-01-20,0,-171,-207
EN000026242,2010-01-21,0,-165,-219
EN000026242,2010-01-22,0,-173,-219
EN000026242,2010-01-23,0,-176,-264
EN000026242,2010-01-24,8,-185,-301
EN000026242,2010-01-25,5,-94,-248
EN000026242,2010-01-26,5,-90,-251
EN000026242,2010-01-27,7,-198,-292
EN000026242,2010-01-28,12,-126,-238
EN000026242,2010-01-29,9,-70,-135
EN000026242,2010-01-30,21,-35,-101
EN000026242,2010-01-31,105,-13,-60
EN000026242,2010-02-01,13,-37,-103
EN000026242,2010-02-02,0,-21,-64
EN000026242,2010-02-03,0,-22,-78
EN000026242,2010-02-04,0,-32,-58
EN000026242,2010-02-05,0,-31,-57
EN000026242,2010-02-06,6,-45,-125
EN000026242,2010-02-07,0,-78,-129
EN000026242,2010-02-08,0,-47,-114
EN000026242,2010-02-09,2,-85,-137
EN000026242,2010-02-10,0,-77,-170
EN000026242,2010-02-11,33,-46,-119
EN000026242,2010-02-12,16,-39,-84
EN000026242,2010-02-13,5,-59,-83
EN000026242,2010-02-14,0,-51,-84
EN000026242,2010-02-15,0,-66,-129
EN000026242,2010-02-16,5,-95,-162
EN000026242,2010-02-17,2,-115,-177
EN000026242,2010-02-18,44,-78,-135
EN000026242,2010-02-19,19,-70,-114
EN000026242,2010-02-20,45,-105,-160
EN000026242,2010-02-21,2,-103,-156
EN000026242,2010-02-22,52,-51,-119
EN000026242,2010-02-23,5,12,-101
EN000026242,2010-02-24,0,15,-89
EN000026242,2010-02-25,0,-11,-151
EN000026242,2010-02-26,0,26,-47
EN000026242,2010-02-27,14,27,10
EN000026242,2010-02-28,19,32,10
EN000026242,2010-03-01,60,15,4
EN000026242,2010-03-02,22,19,-39
EN000026242,2010-03-03,29,-20,-54
EN000026242,2010-03-04,7,-17,-59
EN000026242,2010-03-05,0,-15,-90
