id,date,prcp,tmax,tmin
ES000078650,2010-04-01,NA,NA,NA
ES000078650,2010-04-02,NA,NA,NA
ES000078650,2010-04-03,NA,NA,NA
ES000078650,2010-04-04,NA,NA,NA
ES000078650,2010-04-05,NA,NA,NA
ES000078650,2010-04-06,NA,NA,NA
ES000078650,2010-04-07,NA,NA,NA
ES000078650,2010-04-08,NA,NA,NA
ES000078650,2010-04-09,NA,NA,NA
ES000078650,2010-04-10,NA,NA,NA
ES000078650,2010-04-11,NA,NA,NA
ES000078650,2010-04-12,NA,NA,NA
ES000078650,2010-04-13,NA,NA,NA
ES000078650,2010-04-14,NA,NA,NA
ES000078650,2010-04-15,NA,330,216
ES000078650,2010-04-16,NA,NA,NA
ES000078650,2010-04-17,NA,342,248
ES000078650,2010-04-18,NA,338,244
ES000078650,2010-04-19,NA,NA,NA
ES000078650,2010-04-20,NA,336,260
ES000078650,2010-04-21,NA,NA,NA
ES000078650,2010-04-22,NA,344,248
ES000078650,2010-04-23,NA,352,256
ES000078650,2010-04-24,NA,344,266
ES000078650,2010-04-25,NA,352,258
ES000078650,2010-04-26,NA,338,258
ES000078650,2010-04-27,NA,338,264
ES000078650,2010-04-28,NA,NA,NA
ES000078650,2010-04-29,NA,332,245
ES000078650,2010-04-30,NA,334,245
ES000078650,2010-05-01,NA,NA,NA
ES000078650,2010-05-02,NA,300,232
ES000078650,2010-05-03,NA,326,232
ES000078650,2010-05-04,NA,338,238
ES000078650,2010-05-05,NA,340,240
ES000078650,2010-05-06,NA,340,256
ES000078650,2010-05-07,NA,340,238
ES000078650,2010-05-08,NA,330,250
ES000078650,2010-05-09,NA,350,256
ES000078650,2010-05-10,NA,346,254
ES000078650,2010-05-11,NA,350,254
ES000078650,2010-05-12,NA,352,254
ES000078650,2010-05-13,NA,343,258
ES000078650,2010-05-14,NA,352,238
ES000078650,2010-05-15,NA,NA,NA
ES000078650,2010-05-16,NA,350,214
ES000078650,2010-05-17,NA,342,226
ES000078650,2010-05-18,NA,346,260
ES000078650,2010-05-19,NA,NA,NA
ES000078650,2010-05-20,NA,348,254
ES000078650,2010-05-21,NA,NA,NA
ES000078650,2010-05-22,NA,NA,NA
ES000078650,2010-05-23,NA,330,240
ES000078650,2010-05-24,NA,362,200
ES000078650,2010-05-25,NA,330,244
ES000078650,2010-05-26,NA,NA,NA
ES000078650,2010-05-27,NA,NA,NA
ES000078650,2010-05-28,NA,NA,NA
ES000078650,2010-05-29,305,318,230
ES000078650,2010-05-30,NA,276,220
ES000078650,2010-05-31,NA,316,224
ES000078650,2010-06-01,NA,326,234
ES000078650,2010-06-02,NA,308,238
ES000078650,2010-06-03,NA,318,260
ES000078650,2010-06-04,NA,NA,NA
ES000078650,2010-06-05,NA,328,234
ES000078650,2010-06-06,NA,338,238
ES000078650,2010-06-07,NA,332,244
ES000078650,2010-06-08,NA,NA,NA
ES000078650,2010-06-09,NA,336,218
ES000078650,2010-06-10,NA,326,218
ES000078650,2010-06-11,NA,322,228
ES000078650,2010-06-12,NA,NA,NA
ES000078650,2010-06-13,NA,333,217
ES000078650,2010-06-14,NA,326,224
ES000078650,2010-06-15,NA,332,234
ES000078650,2010-06-16,NA,NA,NA
ES000078650,2010-06-17,NA,328,214
ES000078650,2010-06-18,NA,340,214
ES000078650,2010-06-19,NA,NA,NA
ES000078650,2010-06-20,NA,NA,NA
ES000078650,2010-06-21,NA,326,216
ES000078650,2010-06-22,NA,320,220
ES000078650,2010-06-23,NA,NA,NA
ES000078650,2010-06-24,NA,334,240
ES000078650,2010-06-25,NA,328,245
ES000078650,2010-06-26,NA,NA,NA
ES000078650,2010-06-27,1661,314,220
ES000078650,2010-06-28,NA,302,206
ES000078650,2010-06-29,NA,290,208
ES000078650,2010-06-30,361,296,230
ES000078650,2010-07-01,NA,308,234
ES000078650,2010-07-02,NA,NA,NA
ES000078650,2010-07-03,NA,324,212
ES000078650,2010-07-04,NA,322,234
ES000078650,2010-07-05,NA,326,206
ES000078650,2010-07-06,NA,318,232
