id,date,prcp,tmax,tmin
ET000063471,2010-01-01,NA,300,175
ET000063471,2010-01-02,NA,290,170
ET000063471,2010-01-03,NA,296,155
ET000063471,2010-01-04,NA,300,142
ET000063471,2010-01-05,NA,NA,141
ET000063471,2010-01-06,NA,NA,135
ET000063471,2010-01-07,NA,302,160
ET000063471,2010-01-08,NA,300,NA
ET000063471,2010-01-09,NA,NA,NA
ET000063471,2010-01-10,NA,NA,NA
ET000063471,2010-01-11,NA,NA,NA
ET000063471,2010-01-12,NA,288,120
ET000063471,2010-01-13,NA,NA,106
ET000063471,2010-01-14,NA,287,130
ET000063471,2010-01-15,NA,290,135
ET000063471,2010-01-16,NA,NA,NA
ET000063471,2010-01-17,NA,NA,NA
ET000063471,2010-01-18,NA,NA,NA
ET000063471,2010-01-19,NA,NA,NA
ET000063471,2010-01-20,NA,NA,NA
ET000063471,2010-01-21,NA,NA,NA
ET000063471,2010-01-22,NA,NA,NA
ET000063471,2010-01-23,NA,NA,NA
ET000063471,2010-01-24,NA,NA,NA
ET000063471,2010-01-25,NA,NA,NA
ET000063471,2010-01-26,NA,300,135
ET000063471,2010-01-27,NA,NA,156
ET000063471,2010-01-28,NA,NA,NA
ET000063471,2010-01-29,NA,NA,NA
ET000063471,2010-01-30,NA,NA,NA
ET000063471,2010-01-31,NA,NA,NA
ET000063471,2010-02-01,NA,NA,NA
ET000063471,2010-02-02,NA,NA,175
ET000063471,2010-02-03,NA,NA,165
ET000063471,2010-02-04,NA,NA,NA
ET000063471,2010-02-05,NA,NA,NA
ET000063471,2010-02-06,NA,NA,NA
ET000063471,2010-02-07,NA,NA,NA
ET000063471,2010-02-08,NA,NA,NA
ET000063471,2010-02-09,NA,NA,NA
ET000063471,2010-02-10,NA,NA,NA
ET000063471,2010-02-11,NA,NA,NA
ET000063471,2010-02-12,NA,NA,NA
ET000063471,2010-02-13,NA,NA,NA
ET000063471,2010-02-14,NA,NA,NA
ET000063471,2010-02-15,NA,NA,NA
ET000063471,2010-02-16,NA,NA,NA
ET000063471,2010-02-17,NA,NA,NA
ET000063471,2010-02-18,NA,NA,NA
ET000063471,2010-02-19,NA,NA,NA
ET000063471,2010-02-20,NA,320,164
ET000063471,2010-02-21,NA,NA,168
ET000063471,2010-02-22,NA,328,NA
ET000063471,2010-02-23,NA,NA,NA
ET000063471,2010-02-24,NA,NA,NA
ET000063471,2010-02-25,NA,354,NA
ET000063471,2010-02-26,61,NA,200
ET000063471,2010-02-27,10,278,192
ET000063471,2010-02-28,0,NA,NA
ET000063471,2010-03-01,140,325,180
ET000063471,2010-03-02,201,NA,NA
ET000063471,2010-03-03,351,NA,180
ET000063471,2010-03-04,0,295,190
ET000063471,2010-03-05,211,272,180
ET000063471,2010-03-06,0,NA,NA
ET000063471,2010-03-07,61,NA,200
ET000063471,2010-03-08,5,NA,NA
ET000063471,2010-03-09,41,NA,NA
ET000063471,2010-03-10,0,NA,140
ET000063471,2010-03-11,NA,312,140
ET000063471,2010-03-12,NA,NA,NA
ET000063471,2010-03-13,NA,NA,NA
ET000063471,2010-03-14,NA,322,160
ET000063471,2010-03-15,NA,NA,NA
ET000063471,2010-03-16,NA,348,185
ET000063471,2010-03-17,NA,NA,NA
ET000063471,2010-03-18,NA,NA,NA
ET000063471,2010-03-19,0,315,185
ET000063471,2010-03-20,51,NA,190
ET000063471,2010-03-21,0,NA,202
ET000063471,2010-03-22,NA,NA,NA
ET000063471,2010-03-23,NA,NA,NA
ET000063471,2010-03-24,NA,NA,180
ET000063471,2010-03-25,NA,NA,196
ET000063471,2010-03-26,NA,NA,NA
ET000063471,2010-03-27,61,NA,NA
ET000063471,2010-03-28,61,NA,NA
ET000063471,2010-03-29,0,NA,NA
ET000063471,2010-03-30,NA,NA,NA
ET000063471,2010-03-31,NA,NA,NA
ET000063471,2010-04-01,NA,NA,NA
ET000063471,2010-04-02,NA,NA,NA
ET000063471,2010-04-03,NA,NA,NA
ET000063471,2010-04-04,NA,NA,NA
ET000063471,2010-04-05,NA,NA,NA
ET000063471,2010-04-06,NA,NA,NA
ET000063471,2010-04-07,NA,NA,130
ET000063471,2010-04-08,NA,NA,NA
ET000063471,2010-04-09,NA,NA,230
ET000063471,2010-04-10,NA,NA,252
ET000063471,2010-04-11,NA,NA,NA
ET000063471,2010-04-12,79,NA,NA
ET000063471,2010-04-13,3,315,NA
ET000063471,2010-04-14,0,NA,195
ET000063471,2010-04-15,20,NA,NA
ET000063471,2010-04-16,399,NA,188
ET000063471,2010-04-17,0,NA,228
ET000063471,2010-04-18,NA,NA,NA
ET000063471,2010-04-19,89,NA,205
ET000063471,2010-04-20,0,340,210
ET000063471,2010-04-21,0,NA,NA
ET000063471,2010-04-22,361,336,190
ET000063471,2010-04-23,0,330,190
ET000063471,2010-04-24,NA,NA,204
ET000063471,2010-04-25,NA,NA,NA
ET000063471,2010-04-26,NA,335,230
ET000063471,2010-04-27,NA,NA,225
ET000063471,2010-04-28,20,NA,NA
ET000063471,2010-04-29,5,NA,NA
ET000063471,2010-04-30,0,NA,NA
ET000063471,2010-05-01,NA,NA,250
ET000063471,2010-05-02,NA,360,NA
ET000063471,2010-05-03,NA,360,NA
ET000063471,2010-05-04,NA,NA,234
ET000063471,2010-05-05,NA,NA,NA
ET000063471,2010-05-06,NA,NA,NA
ET000063471,2010-05-07,NA,NA,NA
ET000063471,2010-05-08,109,NA,205
ET000063471,2010-05-09,0,NA,NA
ET000063471,2010-05-10,429,NA,182
ET000063471,2010-05-11,0,NA,185
ET000063471,2010-05-12,NA,NA,NA
ET000063471,2010-05-13,NA,NA,NA
ET000063471,2010-05-14,119,NA,210
ET000063471,2010-05-15,0,NA,235
ET000063471,2010-05-16,NA,NA,NA
ET000063471,2010-05-17,NA,368,230
