id,date,prcp,tmax,tmin
EZM00011520,2010-01-01,13,NA,NA
EZM00011520,2010-01-02,13,-16,NA
EZM00011520,2010-01-03,8,-9,-48
EZM00011520,2010-01-04,15,-12,NA
EZM00011520,2010-01-05,0,NA,-90
EZM00011520,2010-01-06,0,-30,-49
EZM00011520,2010-01-07,NA,-21,NA
EZM00011520,2010-01-08,0,-38,-59
EZM00011520,2010-01-09,104,NA,-54
EZM00011520,2010-01-10,71,-21,NA
EZM00011520,2010-01-11,84,-42,NA
EZM00011520,2010-01-12,8,NA,-94
EZM00011520,2010-01-13,0,-17,-87
EZM00011520,2010-01-14,0,-14,-27
EZM00011520,2010-01-15,0,-4,-20
EZM00011520,2010-01-16,0,-9,NA
EZM00011520,2010-01-17,18,2,-61
EZM00011520,2010-01-18,117,26,-5
EZM00011520,2010-01-19,5,34,NA
EZM00011520,2010-01-20,0,12,NA
EZM00011520,2010-01-21,0,-38,NA
EZM00011520,2010-01-22,0,-57,NA
EZM00011520,2010-01-23,0,-70,-102
EZM00011520,2010-01-24,0,-40,-83
EZM00011520,2010-01-25,0,-46,-93
EZM00011520,2010-01-26,15,-41,NA
EZM00011520,2010-01-27,0,NA,NA
EZM00011520,2010-01-28,10,13,-70
EZM00011520,2010-01-29,25,19,NA
EZM00011520,2010-01-30,13,12,NA
EZM00011520,2010-01-31,5,-21,-81
EZM00011520,2010-02-01,10,0,-54
EZM00011520,2010-02-02,3,8,-35
EZM00011520,2010-02-03,5,37,NA
EZM00011520,2010-02-04,10,31,-65
EZM00011520,2010-02-05,0,7,-10
EZM00011520,2010-02-06,8,22,NA
EZM00011520,2010-02-07,5,NA,-58
EZM00011520,2010-02-08,3,-33,NA
EZM00011520,2010-02-09,3,NA,-102
EZM00011520,2010-02-10,5,-30,-53
EZM00011520,2010-02-11,43,-36,NA
EZM00011520,2010-02-12,3,-17,-58
EZM00011520,2010-02-13,8,-9,-46
EZM00011520,2010-02-14,3,-13,NA
EZM00011520,2010-02-15,3,-15,-105
EZM00011520,2010-02-16,3,0,NA
EZM00011520,2010-02-17,0,NA,-78
EZM00011520,2010-02-18,0,33,4
EZM00011520,2010-02-19,0,18,NA
EZM00011520,2010-02-20,20,39,NA
EZM00011520,2010-02-21,0,55,-19
EZM00011520,2010-02-22,0,65,-40
EZM00011520,2010-02-23,0,95,15
EZM00011520,2010-02-24,23,95,37
EZM00011520,2010-02-25,0,118,27
EZM00011520,2010-02-26,0,71,32
EZM00011520,2010-02-27,5,101,NA
EZM00011520,2010-02-28,0,NA,5
EZM00011520,2010-03-01,3,NA,NA
EZM00011520,2010-03-02,0,68,-10
EZM00011520,2010-03-03,0,53,NA
EZM00011520,2010-03-04,0,29,-54
EZM00011520,2010-03-05,0,-25,-50
EZM00011520,2010-03-06,10,-28,NA
EZM00011520,2010-03-07,8,-9,-111
EZM00011520,2010-03-08,3,-3,NA
EZM00011520,2010-03-09,0,4,-81
EZM00011520,2010-03-10,5,22,-74
EZM00011520,2010-03-11,0,21,-31
EZM00011520,2010-03-12,0,31,-51
EZM00011520,2010-03-13,8,42,11
EZM00011520,2010-03-14,3,57,NA
EZM00011520,2010-03-15,8,39,-14
EZM00011520,2010-03-16,28,NA,6
EZM00011520,2010-03-17,3,85,17
EZM00011520,2010-03-18,0,160,13
EZM00011520,2010-03-19,0,170,21
EZM00011520,2010-03-20,0,164,41
EZM00011520,2010-03-21,3,164,NA
EZM00011520,2010-03-22,13,148,NA
EZM00011520,2010-03-23,0,175,42
EZM00011520,2010-03-24,0,175,10
EZM00011520,2010-03-25,81,211,43
