id,date,prcp,tmax,tmin
FIE00142861,2010-01-01,5,-118,-186
FIE00142861,2010-01-02,0,-159,-208
FIE00142861,2010-01-03,30,-111,-268
FIE00142861,2010-01-04,19,-49,-111
FIE00142861,2010-01-05,0,-60,-213
FIE00142861,2010-01-06,2,-199,-278
FIE00142861,2010-01-07,41,-100,-241
FIE00142861,2010-01-08,0,-113,-241
FIE00142861,2010-01-09,0,-159,-250
FIE00142861,2010-01-10,0,-151,-233
FIE00142861,2010-01-11,0,-30,-199
FIE00142861,2010-01-12,0,-16,-31
FIE00142861,2010-01-13,0,-21,-86
FIE00142861,2010-01-14,0,-86,-110
FIE00142861,2010-01-15,0,-58,-90
FIE00142861,2010-01-16,12,-53,-73
FIE00142861,2010-01-17,1,-54,-85
FIE00142861,2010-01-18,0,-62,-135
FIE00142861,2010-01-19,0,-93,-150
FIE00142861,2010-01-20,0,-123,-204
FIE00142861,2010-01-21,0,-190,-237
FIE00142861,2010-01-22,2,-163,-250
FIE00142861,2010-01-23,0,-161,-180
FIE00142861,2010-01-24,3,-148,-215
FIE00142861,2010-01-25,0,-114,-206
FIE00142861,2010-01-26,0,-125,-254
FIE00142861,2010-01-27,5,-169,-284
FIE00142861,2010-01-28,15,-172,-229
FIE00142861,2010-01-29,19,-145,-194
FIE00142861,2010-01-30,29,-79,-146
FIE00142861,2010-01-31,32,-21,-92
FIE00142861,2010-02-01,114,-28,-103
FIE00142861,2010-02-02,7,-43,-94
FIE00142861,2010-02-03,0,-55,-140
FIE00142861,2010-02-04,0,-46,-85
FIE00142861,2010-02-05,2,-35,-52
FIE00142861,2010-02-06,1,-37,-70
FIE00142861,2010-02-07,33,-33,-79
FIE00142861,2010-02-08,30,-18,-41
FIE00142861,2010-02-09,20,-34,-107
FIE00142861,2010-02-10,1,-99,-194
FIE00142861,2010-02-11,3,-98,-214
FIE00142861,2010-02-12,0,-79,-103
FIE00142861,2010-02-13,0,-78,-108
FIE00142861,2010-02-14,0,-81,-210
FIE00142861,2010-02-15,0,-65,-186
FIE00142861,2010-02-16,0,-60,-75
FIE00142861,2010-02-17,13,-70,-128
FIE00142861,2010-02-18,0,-110,-156
FIE00142861,2010-02-19,0,-145,-199
FIE00142861,2010-02-20,26,-165,-232
FIE00142861,2010-02-21,20,-170,-209
FIE00142861,2010-02-22,14,-121,-177
FIE00142861,2010-02-23,108,-91,-273
FIE00142861,2010-02-24,0,-92,-203
FIE00142861,2010-02-25,0,-30,-247
FIE00142861,2010-02-26,40,-40,-190
FIE00142861,2010-02-27,15,4,-40
FIE00142861,2010-02-28,17,10,-5
FIE00142861,2010-03-01,71,8,-3
FIE00142861,2010-03-02,21,12,-14
FIE00142861,2010-03-03,15,-3,-48
FIE00142861,2010-03-04,10,-28,-51
FIE00142861,2010-03-05,0,-44,-127
FIE00142861,2010-03-06,5,-42,-212
FIE00142861,2010-03-07,0,-36,-147
FIE00142861,2010-03-08,3,3,-176
FIE00142861,2010-03-09,3,7,-87
FIE00142861,2010-03-10,0,57,-54
FIE00142861,2010-03-11,25,71,3
FIE00142861,2010-03-12,0,13,-77
FIE00142861,2010-03-13,0,21,-137
FIE00142861,2010-03-14,0,-36,-161
FIE00142861,2010-03-15,0,-49,-131
FIE00142861,2010-03-16,0,-45,-184
FIE00142861,2010-03-17,1,-31,-245
FIE00142861,2010-03-18,90,-3,-148
FIE00142861,2010-03-19,28,21,-33
FIE00142861,2010-03-20,18,25,3
FIE00142861,2010-03-21,45,25,-18
FIE00142861,2010-03-22,0,16,-80
FIE00142861,2010-03-23,0,46,-120
FIE00142861,2010-03-24,0,39,-129
FIE00142861,2010-03-25,0,48,-125
FIE00142861,2010-03-26,30,71,-16
FIE00142861,2010-03-27,50,43,8
FIE00142861,2010-03-28,48,32,11
FIE00142861,2010-03-29,5,20,-2
FIE00142861,2010-03-30,0,38,9
FIE00142861,2010-03-31,11,65,-36
FIE00142861,2010-04-01,1,94,26
FIE00142861,2010-04-02,27,106,20
FIE00142861,2010-04-03,62,61,29
FIE00142861,2010-04-04,20,54,24
FIE00142861,2010-04-05,0,70,15
FIE00142861,2010-04-06,10,55,2
FIE00142861,2010-04-07,0,40,2
FIE00142861,2010-04-08,4,114,-11
FIE00142861,2010-04-09,0,68,22
FIE00142861,2010-04-10,0,103,-9
FIE00142861,2010-04-11,0,103,21
FIE00142861,2010-04-12,0,121,8
FIE00142861,2010-04-13,0,122,-26
FIE00142861,2010-04-14,0,97,5
FIE00142861,2010-04-15,16,95,-50
FIE00142861,2010-04-16,0,74,29
FIE00142861,2010-04-17,86,87,-42
FIE00142861,2010-04-18,0,73,3
FIE00142861,2010-04-19,0,95,-63
FIE00142861,2010-04-20,0,98,-58
FIE00142861,2010-04-21,0,101,-56
FIE00142861,2010-04-22,26,76,32
FIE00142861,2010-04-23,19,34,5
FIE00142861,2010-04-24,0,59,-23
FIE00142861,2010-04-25,0,127,-15
FIE00142861,2010-04-26,0,147,-30
FIE00142861,2010-04-27,0,164,19
FIE00142861,2010-04-28,12,118,-22
FIE00142861,2010-04-29,15,72,-3
FIE00142861,2010-04-30,40,126,58
FIE00142861,2010-05-01,12,127,84
FIE00142861,2010-05-02,0,97,15
FIE00142861,2010-05-03,0,119,-37
FIE00142861,2010-05-04,35,85,25
FIE00142861,2010-05-05,0,115,-21
FIE00142861,2010-05-06,0,119,-38
FIE00142861,2010-05-07,160,96,3
FIE00142861,2010-05-08,46,64,22
FIE00142861,2010-05-09,2,82,57
FIE00142861,2010-05-10,2,62,41
FIE00142861,2010-05-11,0,164,11
FIE00142861,2010-05-12,0,208,18
FIE00142861,2010-05-13,12,244,48
FIE00142861,2010-05-14,0,275,114
FIE00142861,2010-05-15,10,256,124
FIE00142861,2010-05-16,10,271,135
FIE00142861,2010-05-17,0,245,106
FIE00142861,2010-05-18,0,217,156
FIE00142861,2010-05-19,0,252,121
FIE00142861,2010-05-20,0,264,65
FIE00142861,2010-05-21,0,272,72
FIE00142861,2010-05-22,0,231,139
FIE00142861,2010-05-23,120,160,98
FIE00142861,2010-05-24,55,140,98
FIE00142861,2010-05-25,20,140,71
FIE00142861,2010-05-26,35,150,18
FIE00142861,2010-05-27,1,119,85
FIE00142861,2010-05-28,50,133,85
FIE00142861,2010-05-29,5,143,46
FIE00142861,2010-05-30,10,166,74
FIE00142861,2010-05-31,0,193,24
FIE00142861,2010-06-01,0,215,40
FIE00142861,2010-06-02,0,235,106
FIE00142861,2010-06-03,0,224,84
FIE00142861,2010-06-04,0,191,85
FIE00142861,2010-06-05,0,142,70
FIE00142861,2010-06-06,0,179,5
FIE00142861,2010-06-07,0,181,63
FIE00142861,2010-06-08,0,181,95
FIE00142861,2010-06-09,0,213,49
FIE00142861,2010-06-10,10,223,89
FIE00142861,2010-06-11,112,206,75
FIE00142861,2010-06-12,44,154,118
FIE00142861,2010-06-13,40,169,100
FIE00142861,2010-06-14,15,183,97
FIE00142861,2010-06-15,35,181,112
FIE00142861,2010-06-16,0,168,86
FIE00142861,2010-06-17,0,182,59
FIE00142861,2010-06-18,0,192,68
FIE00142861,2010-06-19,32,226,128
FIE00142861,2010-06-20,0,199,125
FIE00142861,2010-06-21,0,174,85
FIE00142861,2010-06-22,0,186,76
FIE00142861,2010-06-23,0,218,80
FIE00142861,2010-06-24,0,246,63
FIE00142861,2010-06-25,14,221,80
FIE00142861,2010-06-26,5,234,136
FIE00142861,2010-06-27,0,193,103
FIE00142861,2010-06-28,0,255,52
FIE00142861,2010-06-29,0,269,62
FIE00142861,2010-06-30,0,268,83
FIE00142861,2010-07-01,0,252,116
FIE00142861,2010-07-02,0,230,147
FIE00142861,2010-07-03,0,269,85
FIE00142861,2010-07-04,0,285,102
FIE00142861,2010-07-05,0,288,85
FIE00142861,2010-07-06,6,267,136
FIE00142861,2010-07-07,0,258,168
FIE00142861,2010-07-08,0,279,168
FIE00142861,2010-07-09,0,272,146
FIE00142861,2010-07-10,0,283,103
FIE00142861,2010-07-11,0,312,152
FIE00142861,2010-07-12,0,328,157
FIE00142861,2010-07-13,0,334,159
FIE00142861,2010-07-14,0,331,181
FIE00142861,2010-07-15,16,307,178
FIE00142861,2010-07-16,0,303,188
FIE00142861,2010-07-17,0,276,165
FIE00142861,2010-07-18,65,294,143
FIE00142861,2010-07-19,0,266,166
FIE00142861,2010-07-20,0,261,112
FIE00142861,2010-07-21,0,289,153
FIE00142861,2010-07-22,0,289,148
FIE00142861,2010-07-23,20,256,188
FIE00142861,2010-07-24,5,190,128
FIE00142861,2010-07-25,0,295,138
FIE00142861,2010-07-26,0,328,187
FIE00142861,2010-07-27,0,304,203
FIE00142861,2010-07-28,0,350,155
FIE00142861,2010-07-29,0,318,196
FIE00142861,2010-07-30,2,262,172
FIE00142861,2010-07-31,0,241,179
FIE00142861,2010-08-01,0,260,132
FIE00142861,2010-08-02,0,273,100
FIE00142861,2010-08-03,3,264,142
FIE00142861,2010-08-04,0,299,180
FIE00142861,2010-08-05,4,202,109
FIE00142861,2010-08-06,0,277,74
FIE00142861,2010-08-07,0,337,144
FIE00142861,2010-08-08,86,338,185
FIE00142861,2010-08-09,47,292,174
FIE00142861,2010-08-10,5,229,174
FIE00142861,2010-08-11,0,220,156
FIE00142861,2010-08-12,0,257,92
FIE00142861,2010-08-13,0,294,145
FIE00142861,2010-08-14,130,245,159
FIE00142861,2010-08-15,0,257,155
FIE00142861,2010-08-16,0,228,104
FIE00142861,2010-08-17,0,241,75
FIE00142861,2010-08-18,0,243,141
FIE00142861,2010-08-19,0,211,110
FIE00142861,2010-08-20,0,213,35
FIE00142861,2010-08-21,28,234,60
FIE00142861,2010-08-22,5,232,158
FIE00142861,2010-08-23,5,217,122
FIE00142861,2010-08-24,92,156,54
FIE00142861,2010-08-25,15,186,121
FIE00142861,2010-08-26,0,158,54
FIE00142861,2010-08-27,0,122,98
FIE00142861,2010-08-28,9,143,88
FIE00142861,2010-08-29,0,141,90
FIE00142861,2010-08-30,0,143,73
FIE00142861,2010-08-31,0,148,15
FIE00142861,2010-09-01,38,174,29
FIE00142861,2010-09-02,41,128,70
FIE00142861,2010-09-03,22,101,67
FIE00142861,2010-09-04,0,109,63
FIE00142861,2010-09-05,0,142,53
FIE00142861,2010-09-06,0,172,103
FIE00142861,2010-09-07,0,194,52
FIE00142861,2010-09-08,0,185,119
FIE00142861,2010-09-09,0,199,97
FIE00142861,2010-09-10,9,187,49
FIE00142861,2010-09-11,15,138,90
FIE00142861,2010-09-12,0,182,112
FIE00142861,2010-09-13,0,207,145
FIE00142861,2010-09-14,65,154,108
FIE00142861,2010-09-15,62,137,106
FIE00142861,2010-09-16,45,150,49
FIE00142861,2010-09-17,50,150,93
FIE00142861,2010-09-18,29,127,71
FIE00142861,2010-09-19,0,132,49
FIE00142861,2010-09-20,30,135,75
FIE00142861,2010-09-21,103,117,27
FIE00142861,2010-09-22,8,120,95
FIE00142861,2010-09-23,2,151,25
FIE00142861,2010-09-24,0,154,104
FIE00142861,2010-09-25,0,201,79
FIE00142861,2010-09-26,0,131,65
FIE00142861,2010-09-27,0,119,28
FIE00142861,2010-09-28,0,105,33
FIE00142861,2010-09-29,0,104,6
FIE00142861,2010-09-30,0,136,4
FIE00142861,2010-10-01,0,130,-20
FIE00142861,2010-10-02,0,126,-11
FIE00142861,2010-10-03,0,116,29
FIE00142861,2010-10-04,0,131,4
FIE00142861,2010-10-05,0,120,-10
FIE00142861,2010-10-06,0,123,-36
