id,date,tmax,tmin
FIE00145661,2010-01-01,-89,-155
FIE00145661,2010-01-02,-141,-227
FIE00145661,2010-01-03,-134,-230
FIE00145661,2010-01-04,-140,-206
FIE00145661,2010-01-05,-157,-216
FIE00145661,2010-01-06,-149,-253
FIE00145661,2010-01-07,-242,-298
FIE00145661,2010-01-08,-219,-301
FIE00145661,2010-01-09,-147,-251
FIE00145661,2010-01-10,-21,-151
FIE00145661,2010-01-11,-21,-82
FIE00145661,2010-01-12,-29,-90
FIE00145661,2010-01-13,-50,-110
FIE00145661,2010-01-14,-76,-125
FIE00145661,2010-01-15,-73,-107
FIE00145661,2010-01-16,-17,-73
FIE00145661,2010-01-17,-14,-47
FIE00145661,2010-01-18,-47,-86
FIE00145661,2010-01-19,-82,-144
FIE00145661,2010-01-20,-75,-131
FIE00145661,2010-01-21,-112,-181
FIE00145661,2010-01-22,-181,-225
FIE00145661,2010-01-23,-192,-229
FIE00145661,2010-01-24,-118,-239
FIE00145661,2010-01-25,-75,-118
FIE00145661,2010-01-26,-78,-145
FIE00145661,2010-01-27,-110,-165
FIE00145661,2010-01-28,-154,-211
FIE00145661,2010-01-29,-173,-208
FIE00145661,2010-01-30,-139,-188
FIE00145661,2010-01-31,-93,-155
FIE00145661,2010-02-01,-47,-154
FIE00145661,2010-02-02,-24,-151
FIE00145661,2010-02-03,-43,-148
FIE00145661,2010-02-04,-62,-164
FIE00145661,2010-02-05,-41,-73
FIE00145661,2010-02-06,-17,-44
FIE00145661,2010-02-07,-32,-113
FIE00145661,2010-02-08,-35,-104
FIE00145661,2010-02-09,-46,-101
FIE00145661,2010-02-10,-100,-144
FIE00145661,2010-02-11,-93,-139
FIE00145661,2010-02-12,-91,-199
FIE00145661,2010-02-13,-101,-152
FIE00145661,2010-02-14,-49,-141
FIE00145661,2010-02-15,-45,-157
FIE00145661,2010-02-16,-93,-209
FIE00145661,2010-02-17,-145,-266
FIE00145661,2010-02-18,-173,-280
FIE00145661,2010-02-19,-154,-305
FIE00145661,2010-02-20,-171,-289
FIE00145661,2010-02-21,-142,-288
FIE00145661,2010-02-22,NA,NA
FIE00145661,2010-02-23,-142,-191
FIE00145661,2010-02-24,-151,-198
FIE00145661,2010-02-25,-112,-219
FIE00145661,2010-02-26,-32,-133
FIE00145661,2010-02-27,-12,-55
FIE00145661,2010-02-28,8,-54
FIE00145661,2010-03-01,11,-7
FIE00145661,2010-03-02,10,-30
FIE00145661,2010-03-03,-21,-41
FIE00145661,2010-03-04,-33,-153
FIE00145661,2010-03-05,-48,-217
FIE00145661,2010-03-06,-56,-184
FIE00145661,2010-03-07,-39,-198
FIE00145661,2010-03-08,32,-57
FIE00145661,2010-03-09,-38,-81
FIE00145661,2010-03-10,-38,-124
FIE00145661,2010-03-11,-17,-85
FIE00145661,2010-03-12,-51,-205
FIE00145661,2010-03-13,-101,-182
FIE00145661,2010-03-14,-126,-259
FIE00145661,2010-03-15,-119,-269
FIE00145661,2010-03-16,-161,-287
FIE00145661,2010-03-17,-64,-205
FIE00145661,2010-03-18,-30,-214
FIE00145661,2010-03-19,-21,-68
FIE00145661,2010-03-20,-1,-31
FIE00145661,2010-03-21,-21,-185
FIE00145661,2010-03-22,-30,-155
FIE00145661,2010-03-23,-40,-94
FIE00145661,2010-03-24,-76,-198
FIE00145661,2010-03-25,-18,-206
FIE00145661,2010-03-26,1,-37
FIE00145661,2010-03-27,-5,-30
FIE00145661,2010-03-28,7,-36
FIE00145661,2010-03-29,14,-31
FIE00145661,2010-03-30,-17,-58
FIE00145661,2010-03-31,54,-86
FIE00145661,2010-04-01,100,20
FIE00145661,2010-04-02,78,16
FIE00145661,2010-04-03,32,-50
FIE00145661,2010-04-04,9,1
FIE00145661,2010-04-05,26,1
FIE00145661,2010-04-06,43,3
FIE00145661,2010-04-07,44,3
FIE00145661,2010-04-08,13,-1
FIE00145661,2010-04-09,41,7
FIE00145661,2010-04-10,43,3
FIE00145661,2010-04-11,17,1
FIE00145661,2010-04-12,71,-2
FIE00145661,2010-04-13,55,11
FIE00145661,2010-04-14,29,-25
FIE00145661,2010-04-15,57,-9
FIE00145661,2010-04-16,40,7
