id,date,prcp,tmax,tmin
FJ000091680,2010-01-01,0,310,NA
FJ000091680,2010-01-02,0,NA,NA
FJ000091680,2010-01-03,99,310,225
FJ000091680,2010-01-04,3,310,NA
FJ000091680,2010-01-05,0,304,219
FJ000091680,2010-01-06,0,299,223
FJ000091680,2010-01-07,0,300,227
FJ000091680,2010-01-08,0,316,231
FJ000091680,2010-01-09,0,307,238
FJ000091680,2010-01-10,0,307,242
FJ000091680,2010-01-11,0,310,NA
FJ000091680,2010-01-12,0,316,238
FJ000091680,2010-01-13,0,338,240
FJ000091680,2010-01-14,0,NA,NA
FJ000091680,2010-01-15,0,321,229
FJ000091680,2010-01-16,0,314,230
FJ000091680,2010-01-17,0,312,NA
FJ000091680,2010-01-18,0,310,NA
FJ000091680,2010-01-19,490,309,235
FJ000091680,2010-01-20,0,317,245
FJ000091680,2010-01-21,0,317,NA
FJ000091680,2010-01-22,0,310,242
FJ000091680,2010-01-23,0,NA,248
FJ000091680,2010-01-24,0,330,NA
FJ000091680,2010-01-25,66,326,NA
FJ000091680,2010-01-26,0,332,239
FJ000091680,2010-01-27,3,338,NA
FJ000091680,2010-01-28,0,321,233
FJ000091680,2010-01-29,0,317,235
FJ000091680,2010-01-30,0,NA,239
FJ000091680,2010-01-31,0,317,NA
FJ000091680,2010-02-01,0,318,NA
FJ000091680,2010-02-02,81,312,215
FJ000091680,2010-02-03,0,322,231
FJ000091680,2010-02-04,0,329,240
FJ000091680,2010-02-05,0,344,240
FJ000091680,2010-02-06,46,324,240
FJ000091680,2010-02-07,94,312,NA
FJ000091680,2010-02-08,0,318,234
FJ000091680,2010-02-09,3,330,NA
FJ000091680,2010-02-10,0,310,213
FJ000091680,2010-02-11,0,NA,221
FJ000091680,2010-02-12,NA,328,NA
FJ000091680,2010-02-13,18,NA,NA
FJ000091680,2010-02-14,0,325,234
FJ000091680,2010-02-15,NA,325,237
FJ000091680,2010-02-16,0,340,NA
FJ000091680,2010-02-17,0,314,230
FJ000091680,2010-02-18,0,326,NA
FJ000091680,2010-02-19,0,320,233
FJ000091680,2010-02-20,10,322,236
FJ000091680,2010-02-21,28,330,NA
FJ000091680,2010-02-22,0,320,240
FJ000091680,2010-02-23,0,318,NA
FJ000091680,2010-02-24,117,312,230
FJ000091680,2010-02-25,0,317,239
FJ000091680,2010-02-26,58,315,NA
FJ000091680,2010-02-27,0,325,NA
FJ000091680,2010-02-28,81,321,NA
FJ000091680,2010-03-01,432,NA,220
FJ000091680,2010-03-02,3,323,228
FJ000091680,2010-03-03,3,313,NA
FJ000091680,2010-03-04,3,314,NA
FJ000091680,2010-03-05,18,313,NA
FJ000091680,2010-03-06,0,319,NA
FJ000091680,2010-03-07,0,304,214
FJ000091680,2010-03-08,0,310,218
FJ000091680,2010-03-09,0,310,231
FJ000091680,2010-03-10,0,315,243
FJ000091680,2010-03-11,0,NA,NA
FJ000091680,2010-03-12,0,NA,230
FJ000091680,2010-03-13,0,360,252
FJ000091680,2010-03-14,0,342,NA
FJ000091680,2010-03-15,36,NA,240
FJ000091680,2010-03-16,10,297,NA
FJ000091680,2010-03-17,64,312,230
FJ000091680,2010-03-18,0,316,232
FJ000091680,2010-03-19,43,309,238
FJ000091680,2010-03-20,208,310,NA
FJ000091680,2010-03-21,36,293,NA
FJ000091680,2010-03-22,53,305,NA
FJ000091680,2010-03-23,5,305,223
FJ000091680,2010-03-24,0,311,NA
FJ000091680,2010-03-25,0,312,231
FJ000091680,2010-03-26,0,315,239
FJ000091680,2010-03-27,91,311,238
FJ000091680,2010-03-28,0,NA,NA
FJ000091680,2010-03-29,0,NA,240
FJ000091680,2010-03-30,8,316,NA
FJ000091680,2010-03-31,503,NA,NA
FJ000091680,2010-04-01,211,296,220
FJ000091680,2010-04-02,5,302,230
FJ000091680,2010-04-03,79,300,244
FJ000091680,2010-04-04,122,302,NA
FJ000091680,2010-04-05,0,303,233
FJ000091680,2010-04-06,5,309,NA
FJ000091680,2010-04-07,0,310,NA
FJ000091680,2010-04-08,0,NA,NA
FJ000091680,2010-04-09,0,317,NA
FJ000091680,2010-04-10,0,NA,223
FJ000091680,2010-04-11,23,319,NA
FJ000091680,2010-04-12,8,NA,NA
FJ000091680,2010-04-13,0,310,211
FJ000091680,2010-04-14,0,NA,NA
FJ000091680,2010-04-15,0,328,NA
FJ000091680,2010-04-16,0,NA,222
FJ000091680,2010-04-17,0,332,234
FJ000091680,2010-04-18,175,306,NA
FJ000091680,2010-04-19,43,295,NA
FJ000091680,2010-04-20,810,NA,229
FJ000091680,2010-04-21,18,307,228
FJ000091680,2010-04-22,48,NA,235
FJ000091680,2010-04-23,0,305,NA
FJ000091680,2010-04-24,13,295,NA
FJ000091680,2010-04-25,3,NA,NA
FJ000091680,2010-04-26,716,314,NA
FJ000091680,2010-04-27,0,291,206
FJ000091680,2010-04-28,0,NA,NA
FJ000091680,2010-04-29,0,314,202
FJ000091680,2010-04-30,0,308,207
FJ000091680,2010-05-01,0,297,213
FJ000091680,2010-05-02,0,301,NA
FJ000091680,2010-05-03,23,315,215
FJ000091680,2010-05-04,0,306,215
FJ000091680,2010-05-05,0,304,223
FJ000091680,2010-05-06,3,NA,NA
FJ000091680,2010-05-07,0,295,219
FJ000091680,2010-05-08,0,290,NA
FJ000091680,2010-05-09,0,297,207
FJ000091680,2010-05-10,0,300,226
FJ000091680,2010-05-11,0,314,224
FJ000091680,2010-05-12,0,303,NA
FJ000091680,2010-05-13,0,291,232
FJ000091680,2010-05-14,0,289,NA
FJ000091680,2010-05-15,61,284,232
FJ000091680,2010-05-16,33,300,NA
FJ000091680,2010-05-17,13,302,220
FJ000091680,2010-05-18,0,302,NA
FJ000091680,2010-05-19,0,301,217
FJ000091680,2010-05-20,0,310,216
FJ000091680,2010-05-21,0,307,228
FJ000091680,2010-05-22,0,296,NA
FJ000091680,2010-05-23,0,315,219
FJ000091680,2010-05-24,28,315,240
FJ000091680,2010-05-25,264,310,NA
FJ000091680,2010-05-26,0,290,NA
FJ000091680,2010-05-27,0,300,211
FJ000091680,2010-05-28,0,314,NA
FJ000091680,2010-05-29,0,310,NA
FJ000091680,2010-05-30,0,320,210
FJ000091680,2010-05-31,0,314,224
FJ000091680,2010-06-01,0,300,NA
FJ000091680,2010-06-02,0,318,NA
FJ000091680,2010-06-03,0,316,211
FJ000091680,2010-06-04,0,297,NA
FJ000091680,2010-06-05,0,302,NA
FJ000091680,2010-06-06,0,304,222
FJ000091680,2010-06-07,0,311,224
FJ000091680,2010-06-08,0,300,NA
FJ000091680,2010-06-09,0,303,NA
FJ000091680,2010-06-10,0,295,218
FJ000091680,2010-06-11,0,298,217
FJ000091680,2010-06-12,10,304,NA
FJ000091680,2010-06-13,0,301,208
FJ000091680,2010-06-14,0,291,208
FJ000091680,2010-06-15,0,298,NA
FJ000091680,2010-06-16,0,297,226
FJ000091680,2010-06-17,3,NA,NA
FJ000091680,2010-06-18,18,319,214
FJ000091680,2010-06-19,0,300,NA
FJ000091680,2010-06-20,0,NA,NA
FJ000091680,2010-06-21,0,317,210
FJ000091680,2010-06-22,0,311,NA
FJ000091680,2010-06-23,0,298,173
FJ000091680,2010-06-24,0,298,NA
FJ000091680,2010-06-25,0,313,197
FJ000091680,2010-06-26,0,301,NA
FJ000091680,2010-06-27,0,304,219
FJ000091680,2010-06-28,0,304,NA
FJ000091680,2010-06-29,0,305,217
FJ000091680,2010-06-30,0,314,218
FJ000091680,2010-07-01,18,304,NA
FJ000091680,2010-07-02,0,290,NA
FJ000091680,2010-07-03,0,285,NA
FJ000091680,2010-07-04,0,280,152
FJ000091680,2010-07-05,0,NA,162
FJ000091680,2010-07-06,0,293,NA
FJ000091680,2010-07-07,0,290,184
FJ000091680,2010-07-08,0,NA,187
FJ000091680,2010-07-09,0,290,190
FJ000091680,2010-07-10,0,290,214
FJ000091680,2010-07-11,259,290,NA
FJ000091680,2010-07-12,5,NA,NA
FJ000091680,2010-07-13,0,273,NA
FJ000091680,2010-07-14,0,265,NA
FJ000091680,2010-07-15,0,284,164
FJ000091680,2010-07-16,0,NA,NA
FJ000091680,2010-07-17,0,292,NA
FJ000091680,2010-07-18,0,302,226
FJ000091680,2010-07-19,0,300,NA
FJ000091680,2010-07-20,0,293,NA
FJ000091680,2010-07-21,0,281,NA
FJ000091680,2010-07-22,0,NA,166
FJ000091680,2010-07-23,0,290,175
FJ000091680,2010-07-24,0,295,189
FJ000091680,2010-07-25,0,290,189
FJ000091680,2010-07-26,0,299,206
FJ000091680,2010-07-27,0,291,NA
FJ000091680,2010-07-28,0,298,210
FJ000091680,2010-07-29,0,302,NA
FJ000091680,2010-07-30,0,299,NA
FJ000091680,2010-07-31,0,316,201
FJ000091680,2010-08-01,0,303,NA
FJ000091680,2010-08-02,0,287,NA
FJ000091680,2010-08-03,0,275,158
FJ000091680,2010-08-04,0,287,179
FJ000091680,2010-08-05,0,292,189
FJ000091680,2010-08-06,0,295,NA
FJ000091680,2010-08-07,0,290,180
FJ000091680,2010-08-08,0,NA,NA
FJ000091680,2010-08-09,170,NA,200
FJ000091680,2010-08-10,0,319,199
FJ000091680,2010-08-11,0,305,NA
FJ000091680,2010-08-12,0,301,NA
FJ000091680,2010-08-13,0,283,170
FJ000091680,2010-08-14,0,282,179
FJ000091680,2010-08-15,0,NA,190
FJ000091680,2010-08-16,0,310,NA
FJ000091680,2010-08-17,0,303,NA
FJ000091680,2010-08-18,0,298,NA
FJ000091680,2010-08-19,0,312,190
FJ000091680,2010-08-20,0,308,204
FJ000091680,2010-08-21,0,293,NA
FJ000091680,2010-08-22,0,310,195
FJ000091680,2010-08-23,0,322,NA
FJ000091680,2010-08-24,0,297,199
FJ000091680,2010-08-25,0,297,197
FJ000091680,2010-08-26,0,304,195
FJ000091680,2010-08-27,0,300,NA
FJ000091680,2010-08-28,0,312,195
FJ000091680,2010-08-29,15,310,220
FJ000091680,2010-08-30,0,300,NA
FJ000091680,2010-08-31,0,295,220
FJ000091680,2010-09-01,36,NA,NA
FJ000091680,2010-09-02,0,304,200
FJ000091680,2010-09-03,0,NA,195
FJ000091680,2010-09-04,0,322,NA
FJ000091680,2010-09-05,0,305,NA
FJ000091680,2010-09-06,0,310,180
FJ000091680,2010-09-07,0,305,186
FJ000091680,2010-09-08,0,NA,190
FJ000091680,2010-09-09,0,295,210
FJ000091680,2010-09-10,0,310,210
FJ000091680,2010-09-11,3,305,NA
FJ000091680,2010-09-12,0,306,NA
FJ000091680,2010-09-13,10,325,210
FJ000091680,2010-09-14,0,312,215
FJ000091680,2010-09-15,0,313,216
FJ000091680,2010-09-16,0,308,216
FJ000091680,2010-09-17,0,NA,NA
FJ000091680,2010-09-18,0,NA,NA
FJ000091680,2010-09-19,0,NA,NA
FJ000091680,2010-09-20,0,342,NA
FJ000091680,2010-09-21,0,325,189
FJ000091680,2010-09-22,0,NA,221
FJ000091680,2010-09-23,0,320,222
FJ000091680,2010-09-24,0,312,NA
FJ000091680,2010-09-25,0,308,217
FJ000091680,2010-09-26,0,NA,216
FJ000091680,2010-09-27,0,320,NA
FJ000091680,2010-09-28,0,NA,215
FJ000091680,2010-09-29,0,322,NA
FJ000091680,2010-09-30,0,312,NA
FJ000091680,2010-10-01,0,314,206
FJ000091680,2010-10-02,0,330,230
FJ000091680,2010-10-03,18,318,NA
FJ000091680,2010-10-04,0,328,NA
FJ000091680,2010-10-05,0,317,200
FJ000091680,2010-10-06,0,314,225
FJ000091680,2010-10-07,0,334,229
FJ000091680,2010-10-08,0,319,NA
FJ000091680,2010-10-09,0,304,201
FJ000091680,2010-10-10,0,318,205
FJ000091680,2010-10-11,0,304,222
FJ000091680,2010-10-12,0,295,NA
FJ000091680,2010-10-13,229,256,211
FJ000091680,2010-10-14,211,NA,NA
FJ000091680,2010-10-15,79,NA,211
FJ000091680,2010-10-16,3,297,222
FJ000091680,2010-10-17,0,305,NA
FJ000091680,2010-10-18,0,306,NA
FJ000091680,2010-10-19,0,309,NA
FJ000091680,2010-10-20,0,303,225
FJ000091680,2010-10-21,0,314,NA
FJ000091680,2010-10-22,112,314,230
FJ000091680,2010-10-23,18,325,NA
FJ000091680,2010-10-24,8,NA,NA
FJ000091680,2010-10-25,61,309,228
FJ000091680,2010-10-26,46,301,NA
FJ000091680,2010-10-27,23,302,NA
FJ000091680,2010-10-28,10,314,219
FJ000091680,2010-10-29,0,315,242
FJ000091680,2010-10-30,0,300,NA
FJ000091680,2010-10-31,0,306,224
FJ000091680,2010-11-01,10,NA,NA
FJ000091680,2010-11-02,0,303,217
FJ000091680,2010-11-03,0,319,228
FJ000091680,2010-11-04,0,313,NA
FJ000091680,2010-11-05,0,NA,221
FJ000091680,2010-11-06,0,327,230
FJ000091680,2010-11-07,0,320,230
FJ000091680,2010-11-08,0,320,229
FJ000091680,2010-11-09,10,316,NA
FJ000091680,2010-11-10,0,293,NA
FJ000091680,2010-11-11,0,299,NA
FJ000091680,2010-11-12,0,312,NA
FJ000091680,2010-11-13,64,278,211
FJ000091680,2010-11-14,127,NA,218
FJ000091680,2010-11-15,112,NA,233
FJ000091680,2010-11-16,196,314,221
FJ000091680,2010-11-17,23,NA,NA
FJ000091680,2010-11-18,0,NA,227
FJ000091680,2010-11-19,36,302,220
FJ000091680,2010-11-20,366,289,NA
FJ000091680,2010-11-21,0,NA,210
FJ000091680,2010-11-22,0,315,NA
FJ000091680,2010-11-23,330,299,NA
FJ000091680,2010-11-24,206,295,221
FJ000091680,2010-11-25,58,292,225
FJ000091680,2010-11-26,97,NA,NA
FJ000091680,2010-11-27,48,290,216
FJ000091680,2010-11-28,445,282,225
FJ000091680,2010-11-29,173,284,234
FJ000091680,2010-11-30,231,NA,NA
FJ000091680,2010-12-01,3,295,NA
FJ000091680,2010-12-02,0,306,211
FJ000091680,2010-12-03,0,NA,216
FJ000091680,2010-12-04,0,NA,225
FJ000091680,2010-12-05,0,304,NA
FJ000091680,2010-12-06,0,303,225
FJ000091680,2010-12-07,0,316,NA
FJ000091680,2010-12-08,315,321,NA
FJ000091680,2010-12-09,5,NA,NA
FJ000091680,2010-12-10,287,318,227
FJ000091680,2010-12-11,28,NA,NA
FJ000091680,2010-12-12,13,300,NA
FJ000091680,2010-12-13,305,310,220
FJ000091680,2010-12-14,127,303,228
FJ000091680,2010-12-15,135,307,NA
FJ000091680,2010-12-16,86,303,221
FJ000091680,2010-12-17,371,311,222
FJ000091680,2010-12-18,234,301,224
FJ000091680,2010-12-19,841,306,221
FJ000091680,2010-12-20,30,NA,225
FJ000091680,2010-12-21,0,321,224
FJ000091680,2010-12-22,157,300,NA
FJ000091680,2010-12-23,10,305,216
FJ000091680,2010-12-24,132,293,NA
FJ000091680,2010-12-25,254,305,196
FJ000091680,2010-12-26,10,304,214
FJ000091680,2010-12-27,112,NA,222
FJ000091680,2010-12-28,38,315,224
FJ000091680,2010-12-29,18,327,223
FJ000091680,2010-12-30,198,304,231
FJ000091680,2010-12-31,58,304,NA
FJ000091680,2011-01-01,0,314,NA
FJ000091680,2011-01-02,117,306,NA
FJ000091680,2011-01-03,0,305,201
FJ000091680,2011-01-04,18,305,NA
FJ000091680,2011-01-05,0,317,214
FJ000091680,2011-01-06,13,301,NA
FJ000091680,2011-01-07,419,NA,NA
FJ000091680,2011-01-08,216,294,234
FJ000091680,2011-01-09,297,NA,NA
FJ000091680,2011-01-10,71,NA,NA
FJ000091680,2011-01-11,13,310,230
FJ000091680,2011-01-12,0,299,NA
FJ000091680,2011-01-13,1120,NA,226
FJ000091680,2011-01-14,150,NA,222
FJ000091680,2011-01-15,79,312,NA
FJ000091680,2011-01-16,0,306,NA
FJ000091680,2011-01-17,0,300,NA
FJ000091680,2011-01-18,28,304,NA
FJ000091680,2011-01-19,20,304,232
FJ000091680,2011-01-20,165,306,236
FJ000091680,2011-01-21,0,324,NA
FJ000091680,2011-01-22,25,NA,234
FJ000091680,2011-01-23,0,334,243
FJ000091680,2011-01-24,0,337,NA
FJ000091680,2011-01-25,0,313,230
FJ000091680,2011-01-26,211,NA,236
FJ000091680,2011-01-27,74,314,NA
FJ000091680,2011-01-28,1242,NA,224
FJ000091680,2011-01-29,10,333,246
FJ000091680,2011-01-30,0,NA,NA
FJ000091680,2011-01-31,142,318,NA
FJ000091680,2011-02-01,196,NA,217
FJ000091680,2011-02-02,33,310,230
FJ000091680,2011-02-03,66,NA,NA
FJ000091680,2011-02-04,102,NA,NA
