id,date,prcp,tmax,tmin
FRE00104907,2010-01-01,28,91,68
FRE00104907,2010-01-02,0,48,16
FRE00104907,2010-01-03,60,20,-6
FRE00104907,2010-01-04,38,11,-7
FRE00104907,2010-01-05,0,12,-6
FRE00104907,2010-01-06,0,40,2
FRE00104907,2010-01-07,50,25,-51
FRE00104907,2010-01-08,80,8,1
FRE00104907,2010-01-09,10,-21,-29
FRE00104907,2010-01-10,0,3,-31
FRE00104907,2010-01-11,0,2,-36
FRE00104907,2010-01-12,78,29,-18
FRE00104907,2010-01-13,12,53,10
FRE00104907,2010-01-14,114,59,0
FRE00104907,2010-01-15,0,77,36
FRE00104907,2010-01-16,24,64,1
FRE00104907,2010-01-17,4,103,54
FRE00104907,2010-01-18,0,101,54
FRE00104907,2010-01-19,0,103,3
FRE00104907,2010-01-20,50,51,-3
FRE00104907,2010-01-21,0,98,31
FRE00104907,2010-01-22,0,65,27
FRE00104907,2010-01-23,0,51,1
FRE00104907,2010-01-24,8,76,-8
FRE00104907,2010-01-25,0,74,44
FRE00104907,2010-01-26,0,49,26
FRE00104907,2010-01-27,0,19,-3
FRE00104907,2010-01-28,0,35,-10
FRE00104907,2010-01-29,0,85,12
FRE00104907,2010-01-30,0,61,2
FRE00104907,2010-01-31,0,38,-2
FRE00104907,2010-02-01,0,49,-24
FRE00104907,2010-02-02,0,78,-12
FRE00104907,2010-02-03,0,116,-40
FRE00104907,2010-02-04,44,112,-34
FRE00104907,2010-02-05,128,100,58
FRE00104907,2010-02-06,8,116,17
FRE00104907,2010-02-07,0,76,55
FRE00104907,2010-02-08,44,108,34
FRE00104907,2010-02-09,44,52,21
FRE00104907,2010-02-10,0,16,-15
FRE00104907,2010-02-11,0,-6,-40
FRE00104907,2010-02-12,0,12,-18
FRE00104907,2010-02-13,0,19,-15
FRE00104907,2010-02-14,0,28,-4
FRE00104907,2010-02-15,0,38,-11
FRE00104907,2010-02-16,68,58,-4
FRE00104907,2010-02-17,164,85,26
FRE00104907,2010-02-18,94,145,59
FRE00104907,2010-02-19,110,82,60
