id,date,prcp,tmax,tmin
FRM00007558,2010-01-01,89,64,NA
FRM00007558,2010-01-02,13,13,NA
FRM00007558,2010-01-03,3,18,-42
FRM00007558,2010-01-04,51,NA,-16
FRM00007558,2010-01-05,33,44,NA
FRM00007558,2010-01-06,18,12,-77
FRM00007558,2010-01-07,0,-1,-58
FRM00007558,2010-01-08,0,-4,NA
FRM00007558,2010-01-09,0,-43,-72
FRM00007558,2010-01-10,0,-43,NA
FRM00007558,2010-01-11,0,-7,-102
FRM00007558,2010-01-12,0,NA,-92
FRM00007558,2010-01-13,97,48,-3
FRM00007558,2010-01-14,5,47,NA
FRM00007558,2010-01-15,41,40,NA
FRM00007558,2010-01-16,0,67,-9
FRM00007558,2010-01-17,58,78,NA
FRM00007558,2010-01-18,0,85,4
FRM00007558,2010-01-19,0,55,2
FRM00007558,2010-01-20,5,62,NA
FRM00007558,2010-01-21,43,65,NA
FRM00007558,2010-01-22,0,104,-5
FRM00007558,2010-01-23,0,65,9
FRM00007558,2010-01-24,0,50,31
FRM00007558,2010-01-25,8,44,NA
FRM00007558,2010-01-26,0,35,NA
FRM00007558,2010-01-27,0,33,-47
FRM00007558,2010-01-28,0,NA,-54
FRM00007558,2010-01-29,3,32,-11
FRM00007558,2010-01-30,36,30,NA
FRM00007558,2010-01-31,23,2,-80
FRM00007558,2010-02-01,0,4,-90
FRM00007558,2010-02-02,0,52,-42
FRM00007558,2010-02-03,0,82,-33
FRM00007558,2010-02-04,0,62,6
FRM00007558,2010-02-05,61,70,NA
FRM00007558,2010-02-06,61,50,18
FRM00007558,2010-02-07,91,66,NA
FRM00007558,2010-02-08,0,69,-25
FRM00007558,2010-02-09,79,33,-19
FRM00007558,2010-02-10,43,-12,NA
FRM00007558,2010-02-11,5,-33,NA
FRM00007558,2010-02-12,0,-36,-88
FRM00007558,2010-02-13,0,-20,-81
FRM00007558,2010-02-14,0,-23,NA
FRM00007558,2010-02-15,0,34,-107
FRM00007558,2010-02-16,0,NA,-24
FRM00007558,2010-02-17,0,78,29
FRM00007558,2010-02-18,79,105,16
FRM00007558,2010-02-19,43,68,NA
FRM00007558,2010-02-20,8,53,-13
FRM00007558,2010-02-21,5,59,7
FRM00007558,2010-02-22,0,72,47
FRM00007558,2010-02-23,5,135,42
FRM00007558,2010-02-24,25,115,NA
FRM00007558,2010-02-25,25,124,38
FRM00007558,2010-02-26,10,85,NA
FRM00007558,2010-02-27,56,78,4
FRM00007558,2010-02-28,13,114,NA
FRM00007558,2010-03-01,0,101,9
FRM00007558,2010-03-02,0,136,4
FRM00007558,2010-03-03,15,71,27
FRM00007558,2010-03-04,81,76,NA
FRM00007558,2010-03-05,0,58,NA
FRM00007558,2010-03-06,0,89,-44
FRM00007558,2010-03-07,0,63,-46
FRM00007558,2010-03-08,43,18,-42
FRM00007558,2010-03-09,20,-12,-80
FRM00007558,2010-03-10,0,-20,-78
FRM00007558,2010-03-11,0,-20,-55
FRM00007558,2010-03-12,0,56,-38
FRM00007558,2010-03-13,0,74,-43
FRM00007558,2010-03-14,0,83,-34
FRM00007558,2010-03-15,0,81,-24
FRM00007558,2010-03-16,0,150,-2
FRM00007558,2010-03-17,0,156,23
FRM00007558,2010-03-18,0,95,36
FRM00007558,2010-03-19,0,100,62
FRM00007558,2010-03-20,0,116,68
FRM00007558,2010-03-21,0,145,85
FRM00007558,2010-03-22,0,161,84
FRM00007558,2010-03-23,0,185,51
FRM00007558,2010-03-24,0,122,67
FRM00007558,2010-03-25,0,99,79
FRM00007558,2010-03-26,66,141,55
FRM00007558,2010-03-27,18,100,24
FRM00007558,2010-03-28,84,127,51
FRM00007558,2010-03-29,0,148,64
FRM00007558,2010-03-30,124,92,14
FRM00007558,2010-03-31,61,100,NA
FRM00007558,2010-04-01,76,98,8
FRM00007558,2010-04-02,3,139,-6
FRM00007558,2010-04-03,0,107,NA
FRM00007558,2010-04-04,23,100,NA
FRM00007558,2010-04-05,3,142,15
FRM00007558,2010-04-06,0,157,33
FRM00007558,2010-04-07,0,116,NA
FRM00007558,2010-04-08,0,96,55
FRM00007558,2010-04-09,0,181,54
FRM00007558,2010-04-10,0,196,54
FRM00007558,2010-04-11,0,162,NA
FRM00007558,2010-04-12,NA,120,NA
FRM00007558,2010-04-13,0,126,-2
FRM00007558,2010-04-14,0,146,14
FRM00007558,2010-04-15,0,170,33
FRM00007558,2010-04-16,5,151,31
FRM00007558,2010-04-17,0,181,45
FRM00007558,2010-04-18,0,166,48
FRM00007558,2010-04-19,0,202,48
FRM00007558,2010-04-20,0,202,74
FRM00007558,2010-04-21,0,222,72
FRM00007558,2010-04-22,0,196,99
FRM00007558,2010-04-23,0,197,92
FRM00007558,2010-04-24,38,198,96
FRM00007558,2010-04-25,8,222,90
FRM00007558,2010-04-26,0,209,109
FRM00007558,2010-04-27,0,224,86
FRM00007558,2010-04-28,0,224,91
FRM00007558,2010-04-29,0,213,111
FRM00007558,2010-04-30,13,163,98
FRM00007558,2010-05-01,33,148,99
FRM00007558,2010-05-02,135,125,NA
FRM00007558,2010-05-03,3,125,NA
FRM00007558,2010-05-04,33,88,30
FRM00007558,2010-05-05,127,85,NA
FRM00007558,2010-05-06,23,50,4
FRM00007558,2010-05-07,0,132,19
FRM00007558,2010-05-08,0,139,47
FRM00007558,2010-05-09,10,124,88
FRM00007558,2010-05-10,127,185,53
FRM00007558,2010-05-11,124,167,79
FRM00007558,2010-05-12,5,139,74
FRM00007558,2010-05-13,8,116,NA
FRM00007558,2010-05-14,51,91,42
FRM00007558,2010-05-15,3,105,30
