id,date,prcp,tmax,tmin
GHM00065459,2010-01-01,NA,337,224
GHM00065459,2010-01-02,8,NA,216
GHM00065459,2010-01-03,0,NA,227
GHM00065459,2010-01-04,NA,NA,245
GHM00065459,2010-01-05,NA,339,224
GHM00065459,2010-01-06,NA,341,NA
GHM00065459,2010-01-07,NA,344,235
GHM00065459,2010-01-08,NA,NA,NA
GHM00065459,2010-01-09,NA,343,NA
GHM00065459,2010-01-10,NA,336,NA
GHM00065459,2010-01-11,NA,NA,228
GHM00065459,2010-01-12,NA,NA,NA
GHM00065459,2010-01-13,NA,NA,NA
GHM00065459,2010-01-14,NA,NA,NA
GHM00065459,2010-01-15,NA,NA,226
GHM00065459,2010-01-16,NA,335,NA
GHM00065459,2010-01-17,NA,340,219
GHM00065459,2010-01-18,NA,332,228
GHM00065459,2010-01-19,NA,343,236
GHM00065459,2010-01-20,NA,334,210
GHM00065459,2010-01-21,NA,331,214
GHM00065459,2010-01-22,NA,330,230
GHM00065459,2010-01-23,NA,NA,240
GHM00065459,2010-01-24,NA,NA,NA
GHM00065459,2010-01-25,NA,344,NA
GHM00065459,2010-01-26,0,341,239
GHM00065459,2010-01-27,NA,339,NA
GHM00065459,2010-01-28,NA,325,206
GHM00065459,2010-01-29,NA,345,250
GHM00065459,2010-01-30,NA,357,256
GHM00065459,2010-01-31,NA,352,243
GHM00065459,2010-02-01,NA,344,239
GHM00065459,2010-02-02,NA,354,220
GHM00065459,2010-02-03,NA,361,225
GHM00065459,2010-02-04,NA,353,250
GHM00065459,2010-02-05,NA,NA,241
GHM00065459,2010-02-06,61,356,226
GHM00065459,2010-02-07,0,357,NA
GHM00065459,2010-02-08,NA,355,220
GHM00065459,2010-02-09,NA,359,241
GHM00065459,2010-02-10,3,358,NA
GHM00065459,2010-02-11,NA,NA,NA
GHM00065459,2010-02-12,NA,330,NA
GHM00065459,2010-02-13,NA,NA,240
GHM00065459,2010-02-14,NA,NA,NA
GHM00065459,2010-02-15,NA,NA,NA
GHM00065459,2010-02-16,NA,NA,NA
GHM00065459,2010-02-17,NA,NA,NA
GHM00065459,2010-02-18,NA,NA,NA
GHM00065459,2010-02-19,NA,NA,NA
GHM00065459,2010-02-20,NA,NA,NA
GHM00065459,2010-02-21,NA,NA,NA
GHM00065459,2010-02-22,NA,NA,NA
GHM00065459,2010-02-23,NA,NA,NA
GHM00065459,2010-02-24,NA,NA,NA
GHM00065459,2010-02-25,NA,NA,242
GHM00065459,2010-02-26,NA,NA,NA
GHM00065459,2010-02-27,51,NA,243
GHM00065459,2010-02-28,89,NA,226
GHM00065459,2010-03-01,0,351,245
GHM00065459,2010-03-02,NA,NA,233
GHM00065459,2010-03-03,0,363,NA
GHM00065459,2010-03-04,NA,355,NA
GHM00065459,2010-03-05,NA,346,NA
GHM00065459,2010-03-06,0,336,238
GHM00065459,2010-03-07,NA,NA,NA
GHM00065459,2010-03-08,NA,344,255
GHM00065459,2010-03-09,NA,NA,NA
GHM00065459,2010-03-10,NA,NA,NA
GHM00065459,2010-03-11,NA,NA,NA
GHM00065459,2010-03-12,NA,NA,NA
GHM00065459,2010-03-13,NA,NA,NA
GHM00065459,2010-03-14,NA,NA,NA
GHM00065459,2010-03-15,NA,NA,NA
GHM00065459,2010-03-16,NA,NA,236
GHM00065459,2010-03-17,NA,NA,NA
GHM00065459,2010-03-18,NA,NA,239
GHM00065459,2010-03-19,NA,NA,250
GHM00065459,2010-03-20,NA,NA,NA
GHM00065459,2010-03-21,NA,NA,NA
GHM00065459,2010-03-22,NA,340,NA
GHM00065459,2010-03-23,NA,344,240
GHM00065459,2010-03-24,NA,NA,NA
GHM00065459,2010-03-25,NA,NA,NA
GHM00065459,2010-03-26,NA,354,241
GHM00065459,2010-03-27,NA,NA,NA
GHM00065459,2010-03-28,NA,NA,255
GHM00065459,2010-03-29,NA,NA,251
GHM00065459,2010-03-30,NA,NA,NA
GHM00065459,2010-03-31,10,357,231
GHM00065459,2010-04-01,0,360,NA
GHM00065459,2010-04-02,NA,NA,NA
GHM00065459,2010-04-03,NA,NA,NA
GHM00065459,2010-04-04,NA,NA,NA
GHM00065459,2010-04-05,NA,NA,260
GHM00065459,2010-04-06,NA,348,NA
GHM00065459,2010-04-07,10,349,241
GHM00065459,2010-04-08,0,358,NA
GHM00065459,2010-04-09,NA,NA,265
GHM00065459,2010-04-10,NA,299,261
GHM00065459,2010-04-11,NA,NA,NA
GHM00065459,2010-04-12,NA,NA,NA
GHM00065459,2010-04-13,NA,354,NA
GHM00065459,2010-04-14,NA,346,254
GHM00065459,2010-04-15,NA,351,238
GHM00065459,2010-04-16,NA,341,NA
GHM00065459,2010-04-17,NA,322,NA
GHM00065459,2010-04-18,NA,NA,236
GHM00065459,2010-04-19,NA,362,240
GHM00065459,2010-04-20,NA,NA,NA
GHM00065459,2010-04-21,51,331,227
GHM00065459,2010-04-22,0,NA,NA
GHM00065459,2010-04-23,290,339,220
GHM00065459,2010-04-24,NA,NA,NA
GHM00065459,2010-04-25,NA,NA,NA
GHM00065459,2010-04-26,NA,NA,NA
GHM00065459,2010-04-27,0,313,NA
GHM00065459,2010-04-28,NA,NA,232
GHM00065459,2010-04-29,NA,338,NA
GHM00065459,2010-04-30,NA,NA,NA
GHM00065459,2010-05-01,NA,NA,NA
GHM00065459,2010-05-02,NA,NA,NA
GHM00065459,2010-05-03,41,328,224
GHM00065459,2010-05-04,0,338,248
GHM00065459,2010-05-05,NA,NA,249
GHM00065459,2010-05-06,NA,NA,NA
GHM00065459,2010-05-07,NA,NA,NA
GHM00065459,2010-05-08,NA,NA,NA
GHM00065459,2010-05-09,NA,NA,NA
GHM00065459,2010-05-10,NA,NA,NA
GHM00065459,2010-05-11,NA,350,243
GHM00065459,2010-05-12,NA,NA,NA
GHM00065459,2010-05-13,5,348,240
GHM00065459,2010-05-14,0,331,NA
GHM00065459,2010-05-15,NA,NA,NA
GHM00065459,2010-05-16,NA,328,NA
GHM00065459,2010-05-17,NA,NA,NA
GHM00065459,2010-05-18,191,323,224
GHM00065459,2010-05-19,NA,NA,NA
GHM00065459,2010-05-20,NA,324,NA
GHM00065459,2010-05-21,NA,NA,NA
GHM00065459,2010-05-22,NA,NA,NA
GHM00065459,2010-05-23,NA,NA,NA
GHM00065459,2010-05-24,NA,NA,NA
GHM00065459,2010-05-25,0,347,249
GHM00065459,2010-05-26,0,NA,NA
GHM00065459,2010-05-27,351,319,214
GHM00065459,2010-05-28,0,322,232
GHM00065459,2010-05-29,NA,320,NA
GHM00065459,2010-05-30,NA,326,NA
GHM00065459,2010-05-31,NA,NA,NA
GHM00065459,2010-06-01,NA,NA,NA
GHM00065459,2010-06-02,NA,335,240
GHM00065459,2010-06-03,NA,NA,NA
GHM00065459,2010-06-04,NA,NA,NA
GHM00065459,2010-06-05,NA,NA,NA
GHM00065459,2010-06-06,NA,NA,NA
GHM00065459,2010-06-07,41,317,221
GHM00065459,2010-06-08,51,315,242
GHM00065459,2010-06-09,0,NA,NA
GHM00065459,2010-06-10,41,NA,230
GHM00065459,2010-06-11,0,327,NA
GHM00065459,2010-06-12,NA,321,NA
GHM00065459,2010-06-13,NA,NA,NA
GHM00065459,2010-06-14,10,304,244
GHM00065459,2010-06-15,0,306,NA
GHM00065459,2010-06-16,0,286,NA
GHM00065459,2010-06-17,0,318,206
GHM00065459,2010-06-18,NA,319,NA
GHM00065459,2010-06-19,NA,307,NA
GHM00065459,2010-06-20,NA,NA,NA
GHM00065459,2010-06-21,NA,290,227
GHM00065459,2010-06-22,NA,320,242
GHM00065459,2010-06-23,NA,NA,NA
GHM00065459,2010-06-24,NA,300,NA
GHM00065459,2010-06-25,NA,296,NA
GHM00065459,2010-06-26,5,284,234
GHM00065459,2010-06-27,0,312,235
GHM00065459,2010-06-28,NA,NA,235
GHM00065459,2010-06-29,NA,NA,NA
GHM00065459,2010-06-30,NA,NA,NA
GHM00065459,2010-07-01,NA,NA,NA
GHM00065459,2010-07-02,NA,NA,NA
GHM00065459,2010-07-03,NA,NA,NA
GHM00065459,2010-07-04,NA,305,NA
GHM00065459,2010-07-05,NA,309,NA
GHM00065459,2010-07-06,NA,NA,228
GHM00065459,2010-07-07,0,310,232
GHM00065459,2010-07-08,NA,325,230
GHM00065459,2010-07-09,0,322,232
GHM00065459,2010-07-10,NA,255,NA
GHM00065459,2010-07-11,NA,NA,225
GHM00065459,2010-07-12,NA,294,221
GHM00065459,2010-07-13,NA,NA,NA
GHM00065459,2010-07-14,NA,301,NA
GHM00065459,2010-07-15,NA,NA,NA
GHM00065459,2010-07-16,20,256,NA
GHM00065459,2010-07-17,30,265,218
GHM00065459,2010-07-18,NA,NA,NA
GHM00065459,2010-07-19,NA,NA,NA
GHM00065459,2010-07-20,NA,NA,NA
GHM00065459,2010-07-21,NA,NA,NA
GHM00065459,2010-07-22,NA,NA,NA
GHM00065459,2010-07-23,NA,285,NA
GHM00065459,2010-07-24,NA,305,212
GHM00065459,2010-07-25,NA,324,NA
GHM00065459,2010-07-26,NA,NA,NA
GHM00065459,2010-07-27,NA,300,228
GHM00065459,2010-07-28,NA,NA,NA
GHM00065459,2010-07-29,0,285,198
GHM00065459,2010-07-30,NA,NA,NA
GHM00065459,2010-07-31,NA,NA,NA
GHM00065459,2010-08-01,NA,316,NA
GHM00065459,2010-08-02,NA,NA,NA
GHM00065459,2010-08-03,NA,314,NA
GHM00065459,2010-08-04,NA,322,223
GHM00065459,2010-08-05,NA,326,212
GHM00065459,2010-08-06,NA,337,218
GHM00065459,2010-08-07,NA,318,NA
GHM00065459,2010-08-08,NA,281,238
GHM00065459,2010-08-09,NA,290,NA
GHM00065459,2010-08-10,NA,295,233
GHM00065459,2010-08-11,NA,260,234
GHM00065459,2010-08-12,NA,266,NA
GHM00065459,2010-08-13,NA,290,225
GHM00065459,2010-08-14,NA,300,NA
GHM00065459,2010-08-15,NA,312,234
GHM00065459,2010-08-16,NA,309,234
GHM00065459,2010-08-17,NA,NA,NA
GHM00065459,2010-08-18,150,300,210
GHM00065459,2010-08-19,10,NA,215
GHM00065459,2010-08-20,0,267,NA
GHM00065459,2010-08-21,130,281,215
GHM00065459,2010-08-22,79,282,229
GHM00065459,2010-08-23,51,303,226
GHM00065459,2010-08-24,191,295,227
GHM00065459,2010-08-25,0,NA,227
GHM00065459,2010-08-26,0,NA,NA
GHM00065459,2010-08-27,NA,NA,NA
GHM00065459,2010-08-28,0,310,226
GHM00065459,2010-08-29,NA,285,NA
GHM00065459,2010-08-30,41,303,228
GHM00065459,2010-08-31,10,295,229
GHM00065459,2010-09-01,20,275,229
GHM00065459,2010-09-02,20,NA,225
GHM00065459,2010-09-03,10,NA,230
GHM00065459,2010-09-04,0,NA,228
GHM00065459,2010-09-05,5,NA,232
GHM00065459,2010-09-06,20,290,NA
GHM00065459,2010-09-07,0,308,NA
GHM00065459,2010-09-08,NA,275,220
GHM00065459,2010-09-09,NA,317,220
GHM00065459,2010-09-10,NA,NA,232
GHM00065459,2010-09-11,30,300,234
GHM00065459,2010-09-12,0,NA,NA
GHM00065459,2010-09-13,NA,NA,NA
GHM00065459,2010-09-14,53,312,227
GHM00065459,2010-09-15,NA,NA,NA
GHM00065459,2010-09-16,490,317,209
GHM00065459,2010-09-17,0,315,NA
GHM00065459,2010-09-18,NA,NA,NA
GHM00065459,2010-09-19,20,309,225
GHM00065459,2010-09-20,20,NA,NA
GHM00065459,2010-09-21,351,NA,210
GHM00065459,2010-09-22,0,315,NA
GHM00065459,2010-09-23,NA,306,NA
GHM00065459,2010-09-24,NA,NA,NA
GHM00065459,2010-09-25,NA,NA,NA
GHM00065459,2010-09-26,NA,314,NA
GHM00065459,2010-09-27,NA,308,232
GHM00065459,2010-09-28,NA,NA,232
GHM00065459,2010-09-29,0,321,238
GHM00065459,2010-09-30,20,NA,239
GHM00065459,2010-10-01,10,316,240
GHM00065459,2010-10-02,0,325,NA
GHM00065459,2010-10-03,NA,NA,NA
GHM00065459,2010-10-04,NA,NA,224
GHM00065459,2010-10-05,NA,320,NA
GHM00065459,2010-10-06,NA,NA,229
GHM00065459,2010-10-07,NA,309,NA
GHM00065459,2010-10-08,NA,330,NA
GHM00065459,2010-10-09,NA,323,233
GHM00065459,2010-10-10,NA,NA,NA
GHM00065459,2010-10-11,NA,310,NA
GHM00065459,2010-10-12,NA,NA,NA
GHM00065459,2010-10-13,NA,NA,NA
GHM00065459,2010-10-14,NA,NA,225
GHM00065459,2010-10-15,NA,NA,NA
GHM00065459,2010-10-16,NA,NA,NA
GHM00065459,2010-10-17,NA,NA,NA
GHM00065459,2010-10-18,NA,325,NA
GHM00065459,2010-10-19,NA,NA,222
GHM00065459,2010-10-20,NA,NA,NA
GHM00065459,2010-10-21,511,NA,216
GHM00065459,2010-10-22,0,326,NA
GHM00065459,2010-10-23,NA,NA,NA
GHM00065459,2010-10-24,140,NA,216
GHM00065459,2010-10-25,0,NA,NA
GHM00065459,2010-10-26,NA,NA,NA
GHM00065459,2010-10-27,NA,329,NA
GHM00065459,2010-10-28,NA,324,NA
