id,date,prcp,tmax,tmin
GIM00008495,2010-01-01,132,164,125
GIM00008495,2010-01-02,5,167,NA
GIM00008495,2010-01-03,0,NA,NA
GIM00008495,2010-01-04,0,NA,139
GIM00008495,2010-01-05,432,NA,134
GIM00008495,2010-01-06,5,172,NA
GIM00008495,2010-01-07,848,NA,NA
GIM00008495,2010-01-08,8,97,NA
GIM00008495,2010-01-09,0,111,NA
GIM00008495,2010-01-10,0,103,48
GIM00008495,2010-01-11,358,173,79
GIM00008495,2010-01-12,28,171,NA
GIM00008495,2010-01-13,84,NA,125
GIM00008495,2010-01-14,188,NA,NA
GIM00008495,2010-01-15,0,176,NA
GIM00008495,2010-01-16,0,NA,NA
GIM00008495,2010-01-17,0,209,NA
GIM00008495,2010-01-18,0,199,105
GIM00008495,2010-01-19,0,NA,148
GIM00008495,2010-01-20,0,185,NA
GIM00008495,2010-01-21,0,174,NA
GIM00008495,2010-01-22,0,160,NA
GIM00008495,2010-01-23,0,170,NA
GIM00008495,2010-01-24,518,161,NA
GIM00008495,2010-01-25,25,147,109
GIM00008495,2010-01-26,490,NA,89
GIM00008495,2010-01-27,450,150,107
GIM00008495,2010-01-28,424,161,NA
GIM00008495,2010-01-29,0,166,93
GIM00008495,2010-01-30,0,167,NA
GIM00008495,2010-01-31,0,163,NA
GIM00008495,2010-02-01,0,164,NA
GIM00008495,2010-02-02,0,166,146
GIM00008495,2010-02-03,0,NA,NA
GIM00008495,2010-02-04,668,NA,131
GIM00008495,2010-02-05,15,NA,NA
GIM00008495,2010-02-06,0,NA,NA
GIM00008495,2010-02-07,0,NA,NA
GIM00008495,2010-02-08,13,186,NA
GIM00008495,2010-02-09,81,156,125
GIM00008495,2010-02-10,3,NA,NA
GIM00008495,2010-02-11,33,165,NA
GIM00008495,2010-02-12,0,135,105
GIM00008495,2010-02-13,318,NA,NA
GIM00008495,2010-02-14,15,135,NA
GIM00008495,2010-02-15,287,163,NA
GIM00008495,2010-02-16,953,181,133
GIM00008495,2010-02-17,122,172,NA
GIM00008495,2010-02-18,51,NA,108
GIM00008495,2010-02-19,927,153,NA
GIM00008495,2010-02-20,0,NA,99
GIM00008495,2010-02-21,249,NA,120
GIM00008495,2010-02-22,465,195,135
GIM00008495,2010-02-23,419,195,165
GIM00008495,2010-02-24,79,206,NA
GIM00008495,2010-02-25,3,NA,150
GIM00008495,2010-02-26,53,NA,166
GIM00008495,2010-02-27,3,221,150
GIM00008495,2010-02-28,38,186,137
GIM00008495,2010-03-01,28,180,NA
GIM00008495,2010-03-02,0,164,NA
GIM00008495,2010-03-03,173,176,130
GIM00008495,2010-03-04,170,194,NA
GIM00008495,2010-03-05,0,165,NA
GIM00008495,2010-03-06,290,NA,NA
GIM00008495,2010-03-07,851,NA,NA
GIM00008495,2010-03-08,71,175,NA
GIM00008495,2010-03-09,104,NA,NA
GIM00008495,2010-03-10,0,162,79
GIM00008495,2010-03-11,0,148,99
GIM00008495,2010-03-12,112,NA,109
GIM00008495,2010-03-13,0,161,99
GIM00008495,2010-03-14,0,165,NA
GIM00008495,2010-03-15,0,167,NA
GIM00008495,2010-03-16,0,162,NA
GIM00008495,2010-03-17,0,174,146
GIM00008495,2010-03-18,NA,NA,150
GIM00008495,2010-03-19,0,NA,145
GIM00008495,2010-03-20,0,209,NA
GIM00008495,2010-03-21,30,174,NA
GIM00008495,2010-03-22,66,191,125
GIM00008495,2010-03-23,0,194,157
GIM00008495,2010-03-24,3,NA,NA
GIM00008495,2010-03-25,3,195,NA
GIM00008495,2010-03-26,3,NA,NA
GIM00008495,2010-03-27,0,205,NA
GIM00008495,2010-03-28,0,180,129
GIM00008495,2010-03-29,0,193,133
GIM00008495,2010-03-30,0,185,NA
GIM00008495,2010-03-31,0,173,NA
GIM00008495,2010-04-01,0,NA,116
GIM00008495,2010-04-02,0,195,NA
GIM00008495,2010-04-03,0,215,115
GIM00008495,2010-04-04,0,199,NA
GIM00008495,2010-04-05,0,167,155
GIM00008495,2010-04-06,0,175,NA
GIM00008495,2010-04-07,0,213,148
GIM00008495,2010-04-08,0,181,NA
GIM00008495,2010-04-09,0,NA,154
GIM00008495,2010-04-10,0,173,154
GIM00008495,2010-04-11,0,170,155
GIM00008495,2010-04-12,3,201,150
GIM00008495,2010-04-13,5,201,NA
GIM00008495,2010-04-14,0,170,NA
GIM00008495,2010-04-15,267,182,153
GIM00008495,2010-04-16,53,NA,155
GIM00008495,2010-04-17,71,173,NA
GIM00008495,2010-04-18,137,169,NA
GIM00008495,2010-04-19,221,202,NA
GIM00008495,2010-04-20,0,202,163
GIM00008495,2010-04-21,0,196,NA
GIM00008495,2010-04-22,0,214,NA
GIM00008495,2010-04-23,69,NA,166
GIM00008495,2010-04-24,0,NA,NA
GIM00008495,2010-04-25,0,NA,NA
GIM00008495,2010-04-26,0,208,170
GIM00008495,2010-04-27,0,217,NA
GIM00008495,2010-04-28,0,NA,172
GIM00008495,2010-04-29,0,210,NA
GIM00008495,2010-04-30,0,212,NA
GIM00008495,2010-05-01,0,236,NA
GIM00008495,2010-05-02,0,241,175
GIM00008495,2010-05-03,0,228,NA
GIM00008495,2010-05-04,0,215,NA
GIM00008495,2010-05-05,0,215,128
GIM00008495,2010-05-06,0,224,135
GIM00008495,2010-05-07,0,209,156
GIM00008495,2010-05-08,0,224,152
GIM00008495,2010-05-09,0,217,NA
GIM00008495,2010-05-10,36,206,NA
GIM00008495,2010-05-11,213,218,155
GIM00008495,2010-05-12,5,184,147
GIM00008495,2010-05-13,10,193,139
GIM00008495,2010-05-14,0,194,NA
GIM00008495,2010-05-15,0,NA,155
GIM00008495,2010-05-16,0,NA,145
GIM00008495,2010-05-17,0,204,NA
GIM00008495,2010-05-18,0,211,167
GIM00008495,2010-05-19,0,205,168
GIM00008495,2010-05-20,0,208,173
GIM00008495,2010-05-21,0,216,174
GIM00008495,2010-05-22,0,216,175
GIM00008495,2010-05-23,0,210,179
GIM00008495,2010-05-24,0,212,177
GIM00008495,2010-05-25,0,238,169
GIM00008495,2010-05-26,0,252,NA
GIM00008495,2010-05-27,0,227,175
GIM00008495,2010-05-28,0,231,NA
GIM00008495,2010-05-29,0,251,NA
GIM00008495,2010-05-30,0,NA,165
GIM00008495,2010-05-31,0,286,167
GIM00008495,2010-06-01,0,308,180
GIM00008495,2010-06-02,0,327,NA
GIM00008495,2010-06-03,0,286,NA
GIM00008495,2010-06-04,0,294,194
GIM00008495,2010-06-05,0,238,190
GIM00008495,2010-06-06,0,268,186
GIM00008495,2010-06-07,0,268,186
GIM00008495,2010-06-08,0,246,NA
GIM00008495,2010-06-09,0,220,NA
GIM00008495,2010-06-10,102,237,165
GIM00008495,2010-06-11,3,226,NA
GIM00008495,2010-06-12,0,238,NA
GIM00008495,2010-06-13,5,NA,NA
GIM00008495,2010-06-14,33,242,164
GIM00008495,2010-06-15,0,NA,NA
