id,date,prcp,tmax,tmin
GM000003218,2010-01-01,14,-20,-31
GM000003218,2010-01-02,51,-22,-66
GM000003218,2010-01-03,39,-12,-56
GM000003218,2010-01-04,0,-39,-102
GM000003218,2010-01-05,0,-47,-147
GM000003218,2010-01-06,0,-87,-152
GM000003218,2010-01-07,0,-51,-154
GM000003218,2010-01-08,21,-46,-155
GM000003218,2010-01-09,60,-25,-46
GM000003218,2010-01-10,43,-29,-49
GM000003218,2010-01-11,0,-49,-65
GM000003218,2010-01-12,0,-37,-91
GM000003218,2010-01-13,0,-18,-80
GM000003218,2010-01-14,0,-4,-23
GM000003218,2010-01-15,0,0,-19
GM000003218,2010-01-16,7,-1,-62
GM000003218,2010-01-17,68,27,-41
GM000003218,2010-01-18,35,38,5
GM000003218,2010-01-19,12,24,9
GM000003218,2010-01-20,0,11,-37
GM000003218,2010-01-21,0,-37,-72
GM000003218,2010-01-22,0,-44,-79
GM000003218,2010-01-23,0,-62,-97
GM000003218,2010-01-24,0,-59,-123
GM000003218,2010-01-25,0,-53,-107
GM000003218,2010-01-26,0,-107,-156
GM000003218,2010-01-27,2,-28,-170
GM000003218,2010-01-28,0,28,-29
GM000003218,2010-01-29,10,22,-4
GM000003218,2010-01-30,0,8,-39
GM000003218,2010-01-31,0,-6,-70
GM000003218,2010-02-01,1,17,-24
GM000003218,2010-02-02,40,18,-48
GM000003218,2010-02-03,0,39,-18
GM000003218,2010-02-04,0,49,-37
GM000003218,2010-02-05,0,30,-27
GM000003218,2010-02-06,0,26,-27
GM000003218,2010-02-07,0,-16,-61
GM000003218,2010-02-08,0,-40,-53
GM000003218,2010-02-09,0,-43,-77
GM000003218,2010-02-10,14,-44,-63
GM000003218,2010-02-11,26,-23,-63
GM000003218,2010-02-12,17,-11,-39
GM000003218,2010-02-13,0,-23,-60
GM000003218,2010-02-14,0,-40,-110
GM000003218,2010-02-15,0,-16,-115
GM000003218,2010-02-16,0,-4,-110
GM000003218,2010-02-17,0,7,-139
GM000003218,2010-02-18,0,63,-7
GM000003218,2010-02-19,52,63,-17
GM000003218,2010-02-20,0,52,-14
GM000003218,2010-02-21,3,30,-18
GM000003218,2010-02-22,0,71,-3
GM000003218,2010-02-23,53,77,0
GM000003218,2010-02-24,3,59,-2
GM000003218,2010-02-25,0,108,1
GM000003218,2010-02-26,2,116,47
GM000003218,2010-02-27,0,109,25
GM000003218,2010-02-28,10,145,21
GM000003218,2010-03-01,0,83,20
GM000003218,2010-03-02,0,54,-4
GM000003218,2010-03-03,0,57,-13
GM000003218,2010-03-04,2,34,-45
GM000003218,2010-03-05,43,9,-44
GM000003218,2010-03-06,2,-1,-58
GM000003218,2010-03-07,0,-3,-94
GM000003218,2010-03-08,1,10,-48
GM000003218,2010-03-09,0,18,-86
GM000003218,2010-03-10,0,45,-70
GM000003218,2010-03-11,19,-15,-47
GM000003218,2010-03-12,7,65,-19
GM000003218,2010-03-13,4,52,18
GM000003218,2010-03-14,17,73,4
GM000003218,2010-03-15,54,44,0
GM000003218,2010-03-16,1,41,-1
GM000003218,2010-03-17,0,120,21
GM000003218,2010-03-18,0,161,14
GM000003218,2010-03-19,0,174,39
GM000003218,2010-03-20,12,177,105
GM000003218,2010-03-21,10,152,54
GM000003218,2010-03-22,0,142,12
GM000003218,2010-03-23,0,143,23
GM000003218,2010-03-24,0,170,3
GM000003218,2010-03-25,0,213,31
GM000003218,2010-03-26,68,217,67
GM000003218,2010-03-27,7,138,66
GM000003218,2010-03-28,35,123,64
GM000003218,2010-03-29,76,113,51
GM000003218,2010-03-30,5,197,45
GM000003218,2010-03-31,0,124,54
GM000003218,2010-04-01,0,109,16
GM000003218,2010-04-02,0,120,-14
GM000003218,2010-04-03,0,135,32
GM000003218,2010-04-04,3,145,65
GM000003218,2010-04-05,0,107,28
GM000003218,2010-04-06,0,151,34
GM000003218,2010-04-07,0,171,28
GM000003218,2010-04-08,0,196,26
GM000003218,2010-04-09,0,130,32
GM000003218,2010-04-10,23,117,35
GM000003218,2010-04-11,1,85,40
GM000003218,2010-04-12,40,115,42
GM000003218,2010-04-13,0,142,27
GM000003218,2010-04-14,23,117,28
GM000003218,2010-04-15,4,94,48
GM000003218,2010-04-16,0,107,35
GM000003218,2010-04-17,0,152,9
GM000003218,2010-04-18,0,193,1
GM000003218,2010-04-19,2,144,44
GM000003218,2010-04-20,1,171,4
GM000003218,2010-04-21,4,101,4
GM000003218,2010-04-22,0,112,3
GM000003218,2010-04-23,0,147,-19
GM000003218,2010-04-24,0,176,-4
GM000003218,2010-04-25,0,217,38
GM000003218,2010-04-26,74,161,78
GM000003218,2010-04-27,0,165,61
GM000003218,2010-04-28,0,202,36
GM000003218,2010-04-29,0,248,78
GM000003218,2010-04-30,3,234,111
GM000003218,2010-05-01,0,171,94
GM000003218,2010-05-02,29,146,54
GM000003218,2010-05-03,17,127,91
GM000003218,2010-05-04,1,108,38
GM000003218,2010-05-05,78,126,7
GM000003218,2010-05-06,124,73,60
GM000003218,2010-05-07,0,107,63
GM000003218,2010-05-08,0,150,56
GM000003218,2010-05-09,16,184,61
GM000003218,2010-05-10,9,112,74
GM000003218,2010-05-11,169,131,74
GM000003218,2010-05-12,0,158,63
GM000003218,2010-05-13,0,100,59
GM000003218,2010-05-14,80,100,67
GM000003218,2010-05-15,3,82,57
GM000003218,2010-05-16,0,154,56
GM000003218,2010-05-17,0,170,41
GM000003218,2010-05-18,74,129,53
GM000003218,2010-05-19,135,110,68
GM000003218,2010-05-20,2,127,101
GM000003218,2010-05-21,0,199,91
GM000003218,2010-05-22,0,179,80
GM000003218,2010-05-23,1,223,127
GM000003218,2010-05-24,33,241,113
GM000003218,2010-05-25,0,166,77
GM000003218,2010-05-26,17,159,69
GM000003218,2010-05-27,29,154,89
GM000003218,2010-05-28,68,169,84
GM000003218,2010-05-29,36,202,59
GM000003218,2010-05-30,162,188,94
GM000003218,2010-05-31,225,120,77
GM000003218,2010-06-01,58,112,95
GM000003218,2010-06-02,1,159,98
GM000003218,2010-06-03,0,220,101
GM000003218,2010-06-04,0,206,79
GM000003218,2010-06-05,0,256,79
GM000003218,2010-06-06,1,282,117
GM000003218,2010-06-07,0,218,121
GM000003218,2010-06-08,0,261,110
GM000003218,2010-06-09,0,293,153
GM000003218,2010-06-10,0,291,189
GM000003218,2010-06-11,0,263,176
GM000003218,2010-06-12,52,186,109
GM000003218,2010-06-13,0,170,87
GM000003218,2010-06-14,0,202,86
GM000003218,2010-06-15,0,195,81
GM000003218,2010-06-16,0,213,63
GM000003218,2010-06-17,0,235,87
GM000003218,2010-06-18,0,224,97
GM000003218,2010-06-19,0,176,89
GM000003218,2010-06-20,6,173,61
GM000003218,2010-06-21,0,184,95
GM000003218,2010-06-22,0,212,80
GM000003218,2010-06-23,0,220,79
GM000003218,2010-06-24,0,249,92
GM000003218,2010-06-25,24,256,121
GM000003218,2010-06-26,0,239,136
GM000003218,2010-06-27,0,257,121
GM000003218,2010-06-28,0,278,121
GM000003218,2010-06-29,3,296,115
GM000003218,2010-06-30,0,264,158
GM000003218,2010-07-01,0,284,151
