id,date,prcp,tmax,tmin
GR000016641,2010-01-01,0,NA,NA
GR000016641,2010-01-02,38,154,NA
GR000016641,2010-01-03,0,NA,NA
GR000016641,2010-01-04,0,NA,58
GR000016641,2010-01-05,0,NA,NA
GR000016641,2010-01-06,5,182,NA
GR000016641,2010-01-07,0,NA,NA
GR000016641,2010-01-08,0,NA,126
GR000016641,2010-01-09,0,NA,NA
GR000016641,2010-01-10,43,NA,NA
GR000016641,2010-01-11,69,120,46
GR000016641,2010-01-12,356,120,NA
GR000016641,2010-01-13,0,112,40
GR000016641,2010-01-14,20,NA,NA
GR000016641,2010-01-15,10,NA,NA
GR000016641,2010-01-16,0,NA,NA
GR000016641,2010-01-17,107,NA,NA
GR000016641,2010-01-18,0,NA,NA
GR000016641,2010-01-19,0,NA,NA
GR000016641,2010-01-20,0,110,6
GR000016641,2010-01-21,0,NA,NA
GR000016641,2010-01-22,0,NA,NA
GR000016641,2010-01-23,3,110,NA
GR000016641,2010-01-24,0,100,NA
GR000016641,2010-01-25,0,100,10
GR000016641,2010-01-26,0,94,80
GR000016641,2010-01-27,48,NA,NA
GR000016641,2010-01-28,53,NA,88
GR000016641,2010-01-29,102,134,NA
GR000016641,2010-01-30,0,150,50
GR000016641,2010-01-31,0,NA,100
GR000016641,2010-02-01,28,NA,NA
GR000016641,2010-02-02,0,102,NA
GR000016641,2010-02-03,0,102,-4
GR000016641,2010-02-04,0,132,28
GR000016641,2010-02-05,0,130,NA
GR000016641,2010-02-06,99,NA,NA
GR000016641,2010-02-07,658,NA,NA
GR000016641,2010-02-08,0,130,NA
GR000016641,2010-02-09,8,124,18
GR000016641,2010-02-10,0,NA,108
GR000016641,2010-02-11,406,NA,NA
GR000016641,2010-02-12,51,NA,NA
GR000016641,2010-02-13,561,NA,NA
GR000016641,2010-02-14,8,NA,38
GR000016641,2010-02-15,0,NA,NA
GR000016641,2010-02-16,0,NA,68
GR000016641,2010-02-17,15,NA,126
GR000016641,2010-02-18,0,NA,NA
GR000016641,2010-02-19,0,NA,80
GR000016641,2010-02-20,0,NA,NA
GR000016641,2010-02-21,5,144,NA
GR000016641,2010-02-22,0,NA,50
GR000016641,2010-02-23,160,160,NA
GR000016641,2010-02-24,0,NA,NA
GR000016641,2010-02-25,8,162,80
GR000016641,2010-02-26,0,144,68
GR000016641,2010-02-27,56,162,NA
GR000016641,2010-02-28,0,144,NA
GR000016641,2010-03-01,0,184,NA
GR000016641,2010-03-02,0,182,NA
GR000016641,2010-03-03,0,152,88
GR000016641,2010-03-04,0,NA,120
GR000016641,2010-03-05,0,NA,NA
GR000016641,2010-03-06,38,NA,NA
GR000016641,2010-03-07,0,114,NA
GR000016641,2010-03-08,122,112,NA
GR000016641,2010-03-09,109,NA,NA
GR000016641,2010-03-10,43,NA,NA
GR000016641,2010-03-11,485,152,NA
GR000016641,2010-03-12,61,132,NA
GR000016641,2010-03-13,0,132,48
GR000016641,2010-03-14,0,NA,NA
GR000016641,2010-03-15,0,NA,NA
GR000016641,2010-03-16,0,160,28
GR000016641,2010-03-17,0,NA,30
GR000016641,2010-03-18,0,NA,NA
GR000016641,2010-03-19,0,NA,NA
GR000016641,2010-03-20,0,160,60
GR000016641,2010-03-21,0,174,NA
GR000016641,2010-03-22,0,182,80
GR000016641,2010-03-23,0,154,126
GR000016641,2010-03-24,0,NA,136
GR000016641,2010-03-25,0,NA,NA
GR000016641,2010-03-26,0,NA,100
GR000016641,2010-03-27,0,NA,106
GR000016641,2010-03-28,0,NA,NA
GR000016641,2010-03-29,0,NA,86
GR000016641,2010-03-30,0,NA,70
GR000016641,2010-03-31,0,182,NA
GR000016641,2010-04-01,0,NA,90
GR000016641,2010-04-02,0,192,90
GR000016641,2010-04-03,0,NA,86
GR000016641,2010-04-04,0,200,NA
GR000016641,2010-04-05,0,182,76
GR000016641,2010-04-06,0,166,108
GR000016641,2010-04-07,3,200,NA
GR000016641,2010-04-08,0,190,NA
GR000016641,2010-04-09,0,214,80
GR000016641,2010-04-10,0,NA,96
GR000016641,2010-04-11,5,202,NA
GR000016641,2010-04-12,0,182,98
GR000016641,2010-04-13,0,NA,NA
GR000016641,2010-04-14,15,NA,130
GR000016641,2010-04-15,0,NA,NA
GR000016641,2010-04-16,0,256,108
GR000016641,2010-04-17,0,NA,NA
GR000016641,2010-04-18,0,NA,NA
GR000016641,2010-04-19,97,NA,NA
GR000016641,2010-04-20,0,194,NA
GR000016641,2010-04-21,0,NA,NA
GR000016641,2010-04-22,0,NA,NA
GR000016641,2010-04-23,0,180,110
GR000016641,2010-04-24,25,NA,124
GR000016641,2010-04-25,0,230,126
GR000016641,2010-04-26,0,NA,140
