id,date,prcp,tmax,tmin
GRM00016719,2014-07-01,0,320,158
GRM00016719,2014-07-02,0,322,140
GRM00016719,2014-07-03,0,341,144
GRM00016719,2014-07-04,0,330,181
GRM00016719,2014-07-05,0,322,173
GRM00016719,2014-07-06,0,317,145
GRM00016719,2014-07-07,0,324,170
GRM00016719,2014-07-08,0,340,NA
GRM00016719,2014-07-09,0,334,185
GRM00016719,2014-07-10,0,311,180
GRM00016719,2014-07-11,0,299,153
GRM00016719,2014-07-12,0,NA,168
GRM00016719,2014-07-13,0,296,144
GRM00016719,2014-07-14,0,306,164
GRM00016719,2014-07-15,5,286,NA
GRM00016719,2014-07-16,0,316,174
GRM00016719,2014-07-17,0,309,162
GRM00016719,2014-07-18,0,311,174
GRM00016719,2014-07-19,0,327,170
GRM00016719,2014-07-20,0,342,192
GRM00016719,2014-07-21,0,362,197
GRM00016719,2014-07-22,0,318,177
GRM00016719,2014-07-23,0,320,200
GRM00016719,2014-07-24,0,303,185
GRM00016719,2014-07-25,0,326,176
GRM00016719,2014-07-26,0,330,188
GRM00016719,2014-07-27,0,334,178
GRM00016719,2014-07-28,0,308,191
GRM00016719,2014-07-29,0,332,176
GRM00016719,2014-07-30,0,326,166
GRM00016719,2014-07-31,0,320,215
GRM00016719,2014-08-01,0,310,214
GRM00016719,2014-08-02,0,316,197
GRM00016719,2014-08-03,0,350,178
GRM00016719,2014-08-04,0,340,189
GRM00016719,2014-08-05,0,357,192
GRM00016719,2014-08-06,0,326,206
GRM00016719,2014-08-07,0,306,230
GRM00016719,2014-08-08,0,314,NA
GRM00016719,2014-08-09,0,324,178
GRM00016719,2014-08-10,0,346,174
GRM00016719,2014-08-11,0,356,188
GRM00016719,2014-08-12,0,376,197
GRM00016719,2014-08-13,0,376,NA
GRM00016719,2014-08-14,0,360,190
GRM00016719,2014-08-15,0,354,183
GRM00016719,2014-08-16,0,341,222
GRM00016719,2014-08-17,0,320,217
GRM00016719,2014-08-18,0,314,NA
GRM00016719,2014-08-19,0,319,156
GRM00016719,2014-08-20,0,318,159
GRM00016719,2014-08-21,0,318,158
GRM00016719,2014-08-22,0,334,184
GRM00016719,2014-08-23,0,320,160
GRM00016719,2014-08-24,0,324,180
GRM00016719,2014-08-25,0,326,190
GRM00016719,2014-08-26,0,322,150
GRM00016719,2014-08-27,0,334,150
GRM00016719,2014-08-28,0,342,154
GRM00016719,2014-08-29,0,317,180
GRM00016719,2014-08-30,0,306,201
GRM00016719,2014-08-31,0,310,190
GRM00016719,2014-09-01,0,314,174
GRM00016719,2014-09-02,224,300,NA
GRM00016719,2014-09-03,206,296,168
GRM00016719,2014-09-04,0,276,167
GRM00016719,2014-09-05,79,278,167
GRM00016719,2014-09-06,0,276,182
GRM00016719,2014-09-07,3,294,178
GRM00016719,2014-09-08,0,304,181
GRM00016719,2014-09-09,0,297,181
GRM00016719,2014-09-10,0,286,172
GRM00016719,2014-09-11,0,282,156
GRM00016719,2014-09-12,51,282,174
GRM00016719,2014-09-13,0,294,185
GRM00016719,2014-09-14,0,302,178
GRM00016719,2014-09-15,0,300,181
GRM00016719,2014-09-16,0,292,189
GRM00016719,2014-09-17,0,284,159
GRM00016719,2014-09-18,0,272,144
GRM00016719,2014-09-19,0,278,162
GRM00016719,2014-09-20,0,294,158
GRM00016719,2014-09-21,0,300,179
GRM00016719,2014-09-22,0,321,185
GRM00016719,2014-09-23,0,322,NA
GRM00016719,2014-09-24,0,277,166
GRM00016719,2014-09-25,0,258,148
GRM00016719,2014-09-26,208,274,190
GRM00016719,2014-09-27,69,236,186
GRM00016719,2014-09-28,0,246,113
GRM00016719,2014-09-29,0,250,123
GRM00016719,2014-09-30,0,256,116
GRM00016719,2014-10-01,0,258,103
GRM00016719,2014-10-02,0,261,114
GRM00016719,2014-10-03,0,246,126
GRM00016719,2014-10-04,0,230,143
GRM00016719,2014-10-05,107,224,130
GRM00016719,2014-10-06,282,251,164
GRM00016719,2014-10-07,46,NA,NA
GRM00016719,2014-10-08,518,242,163
GRM00016719,2014-10-09,0,256,154
GRM00016719,2014-10-10,0,264,NA
GRM00016719,2014-10-11,0,258,NA
GRM00016719,2014-10-12,0,256,128
GRM00016719,2014-10-13,0,256,127
GRM00016719,2014-10-14,0,253,150
GRM00016719,2014-10-15,0,254,140
