id,date,prcp,tmax,tmin
GV000001809,2014-01-01,NA,NA,NA
GV000001809,2014-01-02,NA,NA,NA
GV000001809,2014-01-03,NA,NA,NA
GV000001809,2014-01-04,NA,NA,NA
GV000001809,2014-01-05,NA,NA,NA
GV000001809,2014-01-06,NA,NA,NA
GV000001809,2014-01-07,NA,NA,NA
GV000001809,2014-01-08,NA,NA,NA
GV000001809,2014-01-09,NA,NA,NA
GV000001809,2014-01-10,NA,NA,NA
GV000001809,2014-01-11,NA,NA,NA
GV000001809,2014-01-12,NA,NA,NA
GV000001809,2014-01-13,NA,NA,NA
GV000001809,2014-01-14,NA,NA,NA
GV000001809,2014-01-15,NA,NA,NA
GV000001809,2014-01-16,NA,NA,NA
GV000001809,2014-01-17,NA,NA,NA
GV000001809,2014-01-18,NA,NA,NA
GV000001809,2014-01-19,NA,NA,NA
GV000001809,2014-01-20,NA,NA,NA
GV000001809,2014-01-21,NA,NA,NA
GV000001809,2014-01-22,NA,NA,NA
GV000001809,2014-01-23,NA,NA,NA
GV000001809,2014-01-24,NA,NA,NA
GV000001809,2014-01-25,NA,NA,NA
GV000001809,2014-01-26,NA,NA,NA
GV000001809,2014-01-27,NA,NA,NA
GV000001809,2014-01-28,NA,334,NA
GV000001809,2014-01-29,NA,NA,NA
GV000001809,2014-01-30,NA,NA,NA
GV000001809,2014-01-31,NA,NA,NA
GV000001809,2016-07-01,NA,NA,NA
GV000001809,2016-07-02,NA,NA,NA
GV000001809,2016-07-03,NA,NA,NA
GV000001809,2016-07-04,NA,NA,NA
GV000001809,2016-07-05,NA,NA,NA
GV000001809,2016-07-06,NA,NA,NA
GV000001809,2016-07-07,NA,NA,NA
GV000001809,2016-07-08,NA,NA,NA
GV000001809,2016-07-09,NA,NA,NA
GV000001809,2016-07-10,NA,NA,NA
GV000001809,2016-07-11,NA,NA,NA
GV000001809,2016-07-12,NA,NA,NA
GV000001809,2016-07-13,NA,NA,NA
GV000001809,2016-07-14,NA,NA,NA
GV000001809,2016-07-15,NA,NA,NA
GV000001809,2016-07-16,NA,NA,NA
GV000001809,2016-07-17,NA,NA,NA
GV000001809,2016-07-18,NA,NA,NA
GV000001809,2016-07-19,NA,NA,NA
GV000001809,2016-07-20,NA,NA,NA
GV000001809,2016-07-21,NA,NA,NA
GV000001809,2016-07-22,NA,NA,NA
GV000001809,2016-07-23,NA,NA,NA
GV000001809,2016-07-24,NA,NA,NA
GV000001809,2016-07-25,51,242,188
GV000001809,2016-07-26,NA,NA,NA
GV000001809,2016-07-27,NA,NA,NA
GV000001809,2016-07-28,NA,NA,NA
GV000001809,2016-07-29,NA,NA,NA
GV000001809,2016-07-30,NA,NA,NA
GV000001809,2016-07-31,NA,NA,NA
GV000001809,2016-08-01,NA,NA,NA
GV000001809,2016-08-02,NA,NA,NA
GV000001809,2016-08-03,NA,NA,NA
GV000001809,2016-08-04,NA,NA,NA
GV000001809,2016-08-05,NA,NA,NA
GV000001809,2016-08-06,NA,NA,NA
GV000001809,2016-08-07,NA,NA,NA
GV000001809,2016-08-08,NA,NA,NA
GV000001809,2016-08-09,NA,NA,NA
GV000001809,2016-08-10,NA,NA,NA
GV000001809,2016-08-11,NA,NA,NA
GV000001809,2016-08-12,351,263,175
GV000001809,2016-08-13,NA,NA,NA
GV000001809,2016-08-14,NA,NA,NA
GV000001809,2016-08-15,NA,NA,NA
GV000001809,2016-08-16,NA,NA,NA
GV000001809,2016-08-17,NA,NA,NA
GV000001809,2016-08-18,NA,277,NA
GV000001809,2016-08-19,NA,NA,NA
GV000001809,2016-08-20,NA,NA,NA
GV000001809,2016-08-21,NA,NA,NA
GV000001809,2016-08-22,NA,NA,NA
GV000001809,2016-08-23,NA,NA,NA
GV000001809,2016-08-24,NA,NA,NA
GV000001809,2016-08-25,NA,NA,NA
GV000001809,2016-08-26,NA,NA,NA
GV000001809,2016-08-27,NA,NA,NA
GV000001809,2016-08-28,NA,NA,NA
GV000001809,2016-08-29,NA,NA,NA
GV000001809,2016-08-30,NA,NA,NA
GV000001809,2016-08-31,NA,NA,NA
GV000001809,2019-01-01,NA,NA,NA
GV000001809,2019-01-02,NA,NA,NA
GV000001809,2019-01-03,NA,NA,NA
GV000001809,2019-01-04,NA,NA,NA
GV000001809,2019-01-05,NA,NA,NA
GV000001809,2019-01-06,NA,NA,NA
GV000001809,2019-01-07,NA,NA,NA
GV000001809,2019-01-08,NA,NA,NA
GV000001809,2019-01-09,NA,NA,NA
GV000001809,2019-01-10,NA,NA,NA
GV000001809,2019-01-11,NA,NA,NA
GV000001809,2019-01-12,NA,NA,NA
GV000001809,2019-01-13,NA,NA,NA
GV000001809,2019-01-14,NA,NA,NA
GV000001809,2019-01-15,NA,NA,NA
GV000001809,2019-01-16,NA,NA,NA
GV000001809,2019-01-17,NA,NA,NA
GV000001809,2019-01-18,NA,NA,NA
GV000001809,2019-01-19,NA,NA,NA
GV000001809,2019-01-20,NA,NA,NA
GV000001809,2019-01-21,NA,NA,NA
GV000001809,2019-01-22,NA,NA,NA
GV000001809,2019-01-23,NA,NA,NA
GV000001809,2019-01-24,NA,NA,NA
GV000001809,2019-01-25,NA,NA,NA
GV000001809,2019-01-26,NA,NA,NA
GV000001809,2019-01-27,NA,NA,NA
GV000001809,2019-01-28,NA,NA,NA
GV000001809,2019-01-29,NA,NA,NA
GV000001809,2019-01-30,NA,NA,105
GV000001809,2019-01-31,NA,NA,NA
