id,date,tmax
GV000001829,2013-08-01,NA
GV000001829,2013-08-02,NA
GV000001829,2013-08-03,NA
GV000001829,2013-08-04,NA
GV000001829,2013-08-05,NA
GV000001829,2013-08-06,NA
GV000001829,2013-08-07,NA
GV000001829,2013-08-08,NA
GV000001829,2013-08-09,NA
GV000001829,2013-08-10,NA
GV000001829,2013-08-11,NA
GV000001829,2013-08-12,NA
GV000001829,2013-08-13,288
GV000001829,2013-08-14,NA
GV000001829,2013-08-15,NA
GV000001829,2013-08-16,NA
GV000001829,2013-08-17,NA
GV000001829,2013-08-18,NA
GV000001829,2013-08-19,NA
GV000001829,2013-08-20,NA
GV000001829,2013-08-21,NA
GV000001829,2013-08-22,NA
GV000001829,2013-08-23,NA
GV000001829,2013-08-24,NA
GV000001829,2013-08-25,NA
GV000001829,2013-08-26,NA
GV000001829,2013-08-27,319
GV000001829,2013-08-28,NA
GV000001829,2013-08-29,NA
GV000001829,2013-08-30,NA
GV000001829,2013-08-31,NA
GV000001829,2013-09-01,NA
GV000001829,2013-09-02,NA
GV000001829,2013-09-03,312
GV000001829,2013-09-04,NA
GV000001829,2013-09-05,NA
GV000001829,2013-09-06,NA
GV000001829,2013-09-07,NA
GV000001829,2013-09-08,NA
GV000001829,2013-09-09,NA
GV000001829,2013-09-10,NA
GV000001829,2013-09-11,NA
GV000001829,2013-09-12,NA
GV000001829,2013-09-13,NA
GV000001829,2013-09-14,306
GV000001829,2013-09-15,NA
GV000001829,2013-09-16,NA
GV000001829,2013-09-17,NA
GV000001829,2013-09-18,NA
GV000001829,2013-09-19,NA
GV000001829,2013-09-20,NA
GV000001829,2013-09-21,NA
GV000001829,2013-09-22,NA
GV000001829,2013-09-23,NA
GV000001829,2013-09-24,NA
GV000001829,2013-09-25,NA
GV000001829,2013-09-26,NA
GV000001829,2013-09-27,NA
GV000001829,2013-09-28,NA
GV000001829,2013-09-29,NA
GV000001829,2013-09-30,NA
