id,date,prcp,tmax,tmin
GVM00061849,2012-02-01,NA,NA,NA
GVM00061849,2012-02-02,NA,NA,NA
GVM00061849,2012-02-03,NA,NA,NA
GVM00061849,2012-02-04,NA,NA,NA
GVM00061849,2012-02-05,NA,NA,NA
GVM00061849,2012-02-06,NA,NA,NA
GVM00061849,2012-02-07,NA,NA,NA
GVM00061849,2012-02-08,NA,NA,NA
GVM00061849,2012-02-09,NA,NA,NA
GVM00061849,2012-02-10,NA,NA,NA
GVM00061849,2012-02-11,NA,NA,NA
GVM00061849,2012-02-12,NA,NA,NA
GVM00061849,2012-02-13,NA,NA,NA
GVM00061849,2012-02-14,NA,NA,NA
GVM00061849,2012-02-15,NA,NA,NA
GVM00061849,2012-02-16,NA,NA,NA
GVM00061849,2012-02-17,NA,NA,NA
GVM00061849,2012-02-18,NA,NA,NA
GVM00061849,2012-02-19,NA,NA,NA
GVM00061849,2012-02-20,NA,NA,NA
GVM00061849,2012-02-21,NA,NA,NA
GVM00061849,2012-02-22,NA,NA,NA
GVM00061849,2012-02-23,NA,NA,NA
GVM00061849,2012-02-24,NA,NA,NA
GVM00061849,2012-02-25,NA,NA,NA
GVM00061849,2012-02-26,NA,NA,NA
GVM00061849,2012-02-27,NA,320,NA
GVM00061849,2012-02-28,NA,NA,NA
GVM00061849,2012-02-29,NA,NA,NA
GVM00061849,2015-08-01,NA,NA,NA
GVM00061849,2015-08-02,NA,NA,NA
GVM00061849,2015-08-03,NA,NA,NA
GVM00061849,2015-08-04,NA,NA,NA
GVM00061849,2015-08-05,NA,NA,NA
GVM00061849,2015-08-06,NA,NA,NA
GVM00061849,2015-08-07,NA,NA,NA
GVM00061849,2015-08-08,NA,NA,NA
GVM00061849,2015-08-09,NA,NA,NA
GVM00061849,2015-08-10,NA,NA,NA
GVM00061849,2015-08-11,NA,NA,NA
GVM00061849,2015-08-12,NA,NA,NA
GVM00061849,2015-08-13,NA,NA,NA
GVM00061849,2015-08-14,NA,NA,NA
GVM00061849,2015-08-15,NA,NA,NA
GVM00061849,2015-08-16,NA,NA,NA
GVM00061849,2015-08-17,NA,NA,NA
GVM00061849,2015-08-18,NA,NA,NA
GVM00061849,2015-08-19,NA,NA,NA
GVM00061849,2015-08-20,NA,NA,NA
GVM00061849,2015-08-21,NA,NA,NA
GVM00061849,2015-08-22,NA,NA,NA
GVM00061849,2015-08-23,NA,NA,NA
GVM00061849,2015-08-24,NA,NA,NA
GVM00061849,2015-08-25,NA,290,NA
GVM00061849,2015-08-26,NA,NA,NA
GVM00061849,2015-08-27,NA,295,NA
GVM00061849,2015-08-28,NA,NA,NA
GVM00061849,2015-08-29,NA,NA,NA
GVM00061849,2015-08-30,NA,NA,NA
GVM00061849,2015-08-31,NA,NA,NA
GVM00061849,2015-09-01,NA,NA,NA
GVM00061849,2015-09-02,NA,NA,NA
GVM00061849,2015-09-03,NA,NA,NA
GVM00061849,2015-09-04,NA,NA,NA
GVM00061849,2015-09-05,NA,285,NA
GVM00061849,2015-09-06,NA,NA,NA
GVM00061849,2015-09-07,NA,NA,NA
GVM00061849,2015-09-08,NA,NA,NA
GVM00061849,2015-09-09,NA,NA,NA
GVM00061849,2015-09-10,NA,NA,NA
