id,date,prcp,tmax,tmin
GYM00081001,2010-04-01,NA,NA,NA
GYM00081001,2010-04-02,NA,NA,NA
GYM00081001,2010-04-03,NA,NA,NA
GYM00081001,2010-04-04,NA,NA,NA
GYM00081001,2010-04-05,NA,NA,NA
GYM00081001,2010-04-06,NA,NA,NA
GYM00081001,2010-04-07,NA,NA,NA
GYM00081001,2010-04-08,NA,NA,NA
GYM00081001,2010-04-09,NA,NA,NA
GYM00081001,2010-04-10,NA,NA,NA
GYM00081001,2010-04-11,NA,NA,NA
GYM00081001,2010-04-12,NA,NA,NA
GYM00081001,2010-04-13,NA,NA,NA
GYM00081001,2010-04-14,NA,NA,NA
GYM00081001,2010-04-15,NA,NA,NA
GYM00081001,2010-04-16,NA,NA,NA
GYM00081001,2010-04-17,NA,NA,NA
GYM00081001,2010-04-18,NA,NA,NA
GYM00081001,2010-04-19,NA,NA,NA
GYM00081001,2010-04-20,NA,NA,NA
GYM00081001,2010-04-21,NA,NA,NA
GYM00081001,2010-04-22,NA,NA,NA
GYM00081001,2010-04-23,NA,NA,NA
GYM00081001,2010-04-24,NA,NA,NA
GYM00081001,2010-04-25,165,311,250
GYM00081001,2010-04-26,NA,NA,NA
GYM00081001,2010-04-27,NA,NA,NA
GYM00081001,2010-04-28,NA,NA,NA
GYM00081001,2010-04-29,3,315,248
GYM00081001,2010-04-30,NA,NA,NA
GYM00081001,2010-05-01,NA,NA,NA
GYM00081001,2010-05-02,NA,NA,NA
GYM00081001,2010-05-03,NA,NA,NA
GYM00081001,2010-05-04,NA,NA,NA
GYM00081001,2010-05-05,NA,NA,NA
GYM00081001,2010-05-06,NA,NA,NA
GYM00081001,2010-05-07,NA,NA,NA
GYM00081001,2010-05-08,NA,NA,NA
GYM00081001,2010-05-09,NA,NA,NA
GYM00081001,2010-05-10,NA,NA,NA
GYM00081001,2010-05-11,NA,NA,NA
GYM00081001,2010-05-12,NA,NA,NA
GYM00081001,2010-05-13,NA,NA,NA
GYM00081001,2010-05-14,NA,NA,NA
GYM00081001,2010-05-15,NA,NA,NA
GYM00081001,2010-05-16,NA,NA,NA
GYM00081001,2010-05-17,NA,NA,NA
GYM00081001,2010-05-18,NA,NA,NA
GYM00081001,2010-05-19,NA,NA,NA
GYM00081001,2010-05-20,64,315,239
GYM00081001,2010-05-21,NA,NA,NA
GYM00081001,2010-05-22,NA,NA,NA
GYM00081001,2010-05-23,NA,NA,NA
GYM00081001,2010-05-24,NA,NA,NA
GYM00081001,2010-05-25,NA,NA,NA
GYM00081001,2010-05-26,NA,NA,NA
GYM00081001,2010-05-27,NA,NA,NA
GYM00081001,2010-05-28,NA,NA,NA
GYM00081001,2010-05-29,NA,NA,NA
