id,date,prcp,tmax,tmin
HOM00078708,2010-01-01,0,NA,NA
HOM00078708,2010-01-02,0,316,221
HOM00078708,2010-01-03,61,271,206
HOM00078708,2010-01-04,203,250,206
HOM00078708,2010-01-05,33,250,202
HOM00078708,2010-01-06,25,240,184
HOM00078708,2010-01-07,25,NA,NA
HOM00078708,2010-01-08,0,NA,NA
HOM00078708,2010-01-09,0,289,189
HOM00078708,2010-01-10,0,260,175
HOM00078708,2010-01-11,8,229,162
HOM00078708,2010-01-12,0,221,162
HOM00078708,2010-01-13,30,207,163
HOM00078708,2010-01-14,64,NA,NA
HOM00078708,2010-01-15,0,NA,NA
HOM00078708,2010-01-16,0,NA,NA
HOM00078708,2010-01-17,0,333,205
HOM00078708,2010-01-18,5,NA,NA
HOM00078708,2010-01-19,0,NA,NA
HOM00078708,2010-01-20,0,NA,NA
HOM00078708,2010-01-21,0,NA,NA
HOM00078708,2010-01-22,0,358,213
HOM00078708,2010-01-23,0,340,208
HOM00078708,2010-01-24,NA,NA,NA
HOM00078708,2010-01-25,0,NA,NA
HOM00078708,2010-01-26,0,291,201
HOM00078708,2010-01-27,NA,NA,NA
HOM00078708,2010-01-28,NA,294,201
HOM00078708,2010-01-29,NA,NA,NA
HOM00078708,2010-01-30,NA,NA,NA
HOM00078708,2010-01-31,0,325,210
HOM00078708,2010-02-01,0,NA,NA
HOM00078708,2010-02-02,13,NA,NA
HOM00078708,2010-02-03,0,NA,NA
HOM00078708,2010-02-04,3,NA,NA
HOM00078708,2010-02-05,0,NA,NA
HOM00078708,2010-02-06,0,363,201
HOM00078708,2010-02-07,15,NA,NA
HOM00078708,2010-02-08,0,NA,NA
HOM00078708,2010-02-09,0,NA,NA
HOM00078708,2010-02-10,0,366,203
HOM00078708,2010-02-11,10,298,226
HOM00078708,2010-02-12,399,NA,NA
HOM00078708,2010-02-13,0,358,194
HOM00078708,2010-02-14,8,NA,NA
HOM00078708,2010-02-15,0,NA,NA
HOM00078708,2010-02-16,0,303,188
HOM00078708,2010-02-17,5,NA,NA
HOM00078708,2010-02-18,13,NA,NA
HOM00078708,2010-02-19,150,NA,NA
HOM00078708,2010-02-20,0,NA,NA
HOM00078708,2010-02-21,0,NA,NA
HOM00078708,2010-02-22,0,NA,NA
HOM00078708,2010-02-23,0,366,216
HOM00078708,2010-02-24,0,345,238
HOM00078708,2010-02-25,10,NA,NA
HOM00078708,2010-02-26,5,NA,NA
HOM00078708,2010-02-27,0,286,183
HOM00078708,2010-02-28,NA,NA,NA
HOM00078708,2010-03-01,3,NA,NA
HOM00078708,2010-03-02,0,325,175
HOM00078708,2010-03-03,58,318,196
HOM00078708,2010-03-04,0,NA,NA
HOM00078708,2010-03-05,0,NA,NA
HOM00078708,2010-03-06,0,NA,NA
HOM00078708,2010-03-07,0,296,171
HOM00078708,2010-03-08,0,NA,NA
HOM00078708,2010-03-09,0,NA,NA
HOM00078708,2010-03-10,0,NA,NA
HOM00078708,2010-03-11,0,NA,NA
HOM00078708,2010-03-12,0,428,226
HOM00078708,2010-03-13,0,NA,NA
HOM00078708,2010-03-14,0,NA,NA
HOM00078708,2010-03-15,0,NA,NA
HOM00078708,2010-03-16,0,332,232
HOM00078708,2010-03-17,15,291,244
HOM00078708,2010-03-18,0,NA,NA
HOM00078708,2010-03-19,0,NA,NA
HOM00078708,2010-03-20,0,NA,NA
HOM00078708,2010-03-21,NA,369,186
HOM00078708,2010-03-22,0,NA,NA
HOM00078708,2010-03-23,0,NA,NA
HOM00078708,2010-03-24,NA,NA,NA
HOM00078708,2010-03-25,NA,NA,NA
HOM00078708,2010-03-26,NA,373,214
HOM00078708,2010-03-27,NA,NA,NA
HOM00078708,2010-03-28,NA,NA,NA
HOM00078708,2010-03-29,0,361,225
HOM00078708,2010-03-30,0,NA,NA
HOM00078708,2010-03-31,NA,300,209
HOM00078708,2010-04-01,0,NA,NA
HOM00078708,2010-04-02,NA,NA,NA
HOM00078708,2010-04-03,0,NA,NA
HOM00078708,2010-04-04,0,349,240
HOM00078708,2010-04-05,0,NA,NA
HOM00078708,2010-04-06,0,NA,NA
HOM00078708,2010-04-07,NA,NA,NA
HOM00078708,2010-04-08,0,NA,NA
HOM00078708,2010-04-09,0,382,235
HOM00078708,2010-04-10,0,341,236
HOM00078708,2010-04-11,0,335,229
HOM00078708,2010-04-12,NA,NA,NA
HOM00078708,2010-04-13,0,330,217
HOM00078708,2010-04-14,0,NA,NA
HOM00078708,2010-04-15,0,NA,NA
HOM00078708,2010-04-16,NA,348,225
HOM00078708,2010-04-17,0,NA,NA
HOM00078708,2010-04-18,0,355,226
HOM00078708,2010-04-19,30,344,226
HOM00078708,2010-04-20,20,NA,NA
HOM00078708,2010-04-21,0,363,237
HOM00078708,2010-04-22,0,NA,NA
HOM00078708,2010-04-23,0,NA,NA
HOM00078708,2010-04-24,NA,NA,NA
HOM00078708,2010-04-25,0,NA,NA
HOM00078708,2010-04-26,0,415,264
HOM00078708,2010-04-27,0,389,266
HOM00078708,2010-04-28,0,379,248
HOM00078708,2010-04-29,41,363,248
HOM00078708,2010-04-30,0,NA,NA
HOM00078708,2010-05-01,0,400,252
HOM00078708,2010-05-02,0,NA,NA
HOM00078708,2010-05-03,0,416,286
HOM00078708,2010-05-04,0,397,256
HOM00078708,2010-05-05,NA,NA,NA
HOM00078708,2010-05-06,0,NA,NA
HOM00078708,2010-05-07,15,NA,NA
HOM00078708,2010-05-08,102,358,247
HOM00078708,2010-05-09,0,NA,NA
HOM00078708,2010-05-10,0,NA,NA
HOM00078708,2010-05-11,0,NA,NA
HOM00078708,2010-05-12,0,354,244
HOM00078708,2010-05-13,0,NA,NA
HOM00078708,2010-05-14,0,NA,NA
HOM00078708,2010-05-15,0,NA,NA
HOM00078708,2010-05-16,0,NA,NA
HOM00078708,2010-05-17,13,367,244
