id,date,prcp,tmax,tmin
HUE00100247,2010-01-01,0,78,36
HUE00100247,2010-01-02,1,58,1
HUE00100247,2010-01-03,0,2,-26
HUE00100247,2010-01-04,0,-10,-59
HUE00100247,2010-01-05,75,-26,-52
HUE00100247,2010-01-06,34,10,-29
HUE00100247,2010-01-07,6,10,-13
HUE00100247,2010-01-08,116,36,-28
HUE00100247,2010-01-09,83,79,36
HUE00100247,2010-01-10,0,77,21
HUE00100247,2010-01-11,0,39,3
HUE00100247,2010-01-12,0,27,-10
HUE00100247,2010-01-13,0,15,-6
HUE00100247,2010-01-14,0,18,0
HUE00100247,2010-01-15,0,28,-4
HUE00100247,2010-01-16,0,25,-33
HUE00100247,2010-01-17,33,1,-28
HUE00100247,2010-01-18,25,-1,-16
HUE00100247,2010-01-19,0,24,-16
HUE00100247,2010-01-20,40,33,-6
HUE00100247,2010-01-21,3,9,-37
HUE00100247,2010-01-22,0,8,-28
HUE00100247,2010-01-23,0,0,-40
HUE00100247,2010-01-24,0,-10,-60
HUE00100247,2010-01-25,0,-20,-85
HUE00100247,2010-01-26,0,-6,-70
HUE00100247,2010-01-27,0,-22,-95
HUE00100247,2010-01-28,4,-51,-105
HUE00100247,2010-01-29,80,19,-56
HUE00100247,2010-01-30,113,7,-30
HUE00100247,2010-01-31,5,10,-26
HUE00100247,2010-02-01,0,-1,-56
HUE00100247,2010-02-02,0,18,-53
HUE00100247,2010-02-03,11,20,-63
HUE00100247,2010-02-04,0,33,-67
HUE00100247,2010-02-05,0,1,-50
HUE00100247,2010-02-06,32,37,-22
HUE00100247,2010-02-07,17,14,-23
HUE00100247,2010-02-08,0,6,-60
HUE00100247,2010-02-09,0,2,-81
HUE00100247,2010-02-10,62,30,-36
HUE00100247,2010-02-11,40,46,-2
HUE00100247,2010-02-12,16,49,-6
HUE00100247,2010-02-13,0,13,-16
HUE00100247,2010-02-14,0,50,-19
HUE00100247,2010-02-15,0,49,-1
HUE00100247,2010-02-16,0,27,-37
HUE00100247,2010-02-17,0,46,-9
HUE00100247,2010-02-18,8,55,25
HUE00100247,2010-02-19,146,65,22
HUE00100247,2010-02-20,32,75,13
HUE00100247,2010-02-21,0,64,9
HUE00100247,2010-02-22,0,74,6
HUE00100247,2010-02-23,3,100,31
HUE00100247,2010-02-24,0,101,47
HUE00100247,2010-02-25,0,133,49
HUE00100247,2010-02-26,142,98,41
HUE00100247,2010-02-27,0,98,43
HUE00100247,2010-02-28,0,104,11
HUE00100247,2010-03-01,8,143,39
HUE00100247,2010-03-02,7,91,39
HUE00100247,2010-03-03,0,84,22
HUE00100247,2010-03-04,0,49,17
HUE00100247,2010-03-05,0,38,-8
HUE00100247,2010-03-06,0,25,-53
HUE00100247,2010-03-07,0,32,-29
HUE00100247,2010-03-08,0,22,-38
HUE00100247,2010-03-09,0,44,-33
HUE00100247,2010-03-10,27,44,-35
HUE00100247,2010-03-11,72,34,-11
HUE00100247,2010-03-12,0,31,-6
HUE00100247,2010-03-13,1,62,12
HUE00100247,2010-03-14,0,86,33
HUE00100247,2010-03-15,30,61,24
HUE00100247,2010-03-16,0,71,-2
HUE00100247,2010-03-17,0,80,-4
HUE00100247,2010-03-18,0,150,35
HUE00100247,2010-03-19,0,168,25
HUE00100247,2010-03-20,0,175,59
HUE00100247,2010-03-21,0,201,80
HUE00100247,2010-03-22,5,181,116
HUE00100247,2010-03-23,0,154,103
HUE00100247,2010-03-24,0,197,54
HUE00100247,2010-03-25,0,208,93
HUE00100247,2010-03-26,0,215,110
HUE00100247,2010-03-27,0,186,91
HUE00100247,2010-03-28,0,151,69
HUE00100247,2010-03-29,0,196,73
HUE00100247,2010-03-30,41,205,96
HUE00100247,2010-03-31,19,172,78
HUE00100247,2010-04-01,0,176,64
HUE00100247,2010-04-02,0,164,50
HUE00100247,2010-04-03,0,164,49
HUE00100247,2010-04-04,6,180,80
HUE00100247,2010-04-05,55,170,86
HUE00100247,2010-04-06,0,117,74
HUE00100247,2010-04-07,0,181,50
HUE00100247,2010-04-08,0,206,56
HUE00100247,2010-04-09,0,208,76
HUE00100247,2010-04-10,36,165,74
HUE00100247,2010-04-11,9,137,57
HUE00100247,2010-04-12,142,118,64
HUE00100247,2010-04-13,55,130,89
HUE00100247,2010-04-14,13,169,90
HUE00100247,2010-04-15,44,149,77
HUE00100247,2010-04-16,0,167,59
HUE00100247,2010-04-17,0,177,72
HUE00100247,2010-04-18,28,186,50
HUE00100247,2010-04-19,5,192,108
HUE00100247,2010-04-20,0,205,84
HUE00100247,2010-04-21,0,186,104
HUE00100247,2010-04-22,0,166,59
HUE00100247,2010-04-23,0,162,52
HUE00100247,2010-04-24,0,238,91
HUE00100247,2010-04-25,0,249,112
