id,date,prcp,tmax,tmin
HUM00012882,2010-01-01,165,81,32
HUM00012882,2010-01-02,51,64,NA
HUM00012882,2010-01-03,0,NA,NA
HUM00012882,2010-01-04,NA,-29,-86
HUM00012882,2010-01-05,NA,NA,-81
HUM00012882,2010-01-06,15,14,-18
HUM00012882,2010-01-07,46,NA,NA
HUM00012882,2010-01-08,15,NA,-8
HUM00012882,2010-01-09,33,142,61
HUM00012882,2010-01-10,53,NA,NA
HUM00012882,2010-01-11,0,NA,NA
HUM00012882,2010-01-12,0,NA,NA
HUM00012882,2010-01-13,0,13,NA
HUM00012882,2010-01-14,NA,NA,NA
HUM00012882,2010-01-15,NA,NA,NA
HUM00012882,2010-01-16,NA,-5,-38
HUM00012882,2010-01-17,NA,NA,NA
HUM00012882,2010-01-18,NA,4,-32
HUM00012882,2010-01-19,NA,33,NA
HUM00012882,2010-01-20,NA,-20,-50
HUM00012882,2010-01-21,0,NA,NA
HUM00012882,2010-01-22,0,-30,-81
HUM00012882,2010-01-23,NA,-7,NA
HUM00012882,2010-01-24,NA,NA,NA
HUM00012882,2010-01-25,NA,-27,NA
HUM00012882,2010-01-26,NA,-25,-103
HUM00012882,2010-01-27,NA,-30,NA
HUM00012882,2010-01-28,NA,NA,-132
HUM00012882,2010-01-29,NA,NA,-67
HUM00012882,2010-01-30,NA,NA,-60
HUM00012882,2010-01-31,51,NA,NA
HUM00012882,2010-02-01,8,NA,NA
HUM00012882,2010-02-02,0,NA,NA
HUM00012882,2010-02-03,NA,1,-147
HUM00012882,2010-02-04,NA,-5,NA
HUM00012882,2010-02-05,NA,12,-123
HUM00012882,2010-02-06,NA,NA,-31
HUM00012882,2010-02-07,23,NA,NA
HUM00012882,2010-02-08,0,NA,NA
HUM00012882,2010-02-09,NA,NA,NA
HUM00012882,2010-02-10,NA,NA,-75
HUM00012882,2010-02-11,51,44,NA
HUM00012882,2010-02-12,8,32,6
HUM00012882,2010-02-13,3,32,NA
HUM00012882,2010-02-14,23,NA,NA
HUM00012882,2010-02-15,48,NA,-23
HUM00012882,2010-02-16,0,NA,NA
HUM00012882,2010-02-17,3,95,-33
HUM00012882,2010-02-18,0,70,10
HUM00012882,2010-02-19,5,NA,45
HUM00012882,2010-02-20,25,84,NA
HUM00012882,2010-02-21,58,52,NA
HUM00012882,2010-02-22,0,60,-16
HUM00012882,2010-02-23,3,NA,39
HUM00012882,2010-02-24,48,94,NA
HUM00012882,2010-02-25,28,102,NA
HUM00012882,2010-02-26,0,131,39
HUM00012882,2010-02-27,36,NA,NA
HUM00012882,2010-02-28,46,NA,10
HUM00012882,2010-03-01,0,NA,NA
HUM00012882,2010-03-02,NA,101,15
HUM00012882,2010-03-03,18,75,NA
HUM00012882,2010-03-04,0,43,-16
HUM00012882,2010-03-05,NA,43,NA
HUM00012882,2010-03-06,NA,12,-50
HUM00012882,2010-03-07,NA,0,NA
HUM00012882,2010-03-08,NA,26,NA
HUM00012882,2010-03-09,NA,30,NA
HUM00012882,2010-03-10,NA,NA,-52
HUM00012882,2010-03-11,38,NA,NA
HUM00012882,2010-03-12,NA,NA,NA
HUM00012882,2010-03-13,NA,NA,-26
HUM00012882,2010-03-14,0,95,-23
HUM00012882,2010-03-15,NA,53,NA
HUM00012882,2010-03-16,8,51,-33
HUM00012882,2010-03-17,0,67,NA
HUM00012882,2010-03-18,NA,NA,14
HUM00012882,2010-03-19,NA,164,-3
HUM00012882,2010-03-20,NA,174,24
HUM00012882,2010-03-21,NA,NA,63
HUM00012882,2010-03-22,5,NA,NA
HUM00012882,2010-03-23,0,173,35
HUM00012882,2010-03-24,NA,200,66
HUM00012882,2010-03-25,NA,NA,56
HUM00012882,2010-03-26,5,212,107
HUM00012882,2010-03-27,0,120,NA
HUM00012882,2010-03-28,13,165,53
HUM00012882,2010-03-29,0,183,NA
HUM00012882,2010-03-30,NA,195,55
HUM00012882,2010-03-31,NA,157,NA
HUM00012882,2010-04-01,NA,NA,27
HUM00012882,2010-04-02,NA,160,14
HUM00012882,2010-04-03,NA,NA,-6
HUM00012882,2010-04-04,NA,164,NA
HUM00012882,2010-04-05,NA,170,86
HUM00012882,2010-04-06,30,128,NA
HUM00012882,2010-04-07,NA,NA,74
HUM00012882,2010-04-08,NA,200,NA
HUM00012882,2010-04-09,NA,197,45
HUM00012882,2010-04-10,23,NA,NA
HUM00012882,2010-04-11,5,105,45
HUM00012882,2010-04-12,0,155,67
