id,date,prcp,tmax,tmin
ID000096073,2010-01-01,NA,311,200
ID000096073,2010-01-02,NA,320,198
ID000096073,2010-01-03,NA,320,198
ID000096073,2010-01-04,NA,305,217
ID000096073,2010-01-05,NA,323,208
ID000096073,2010-01-06,NA,308,228
ID000096073,2010-01-07,NA,330,235
ID000096073,2010-01-08,NA,322,216
ID000096073,2010-01-09,NA,332,204
ID000096073,2010-01-10,NA,324,215
ID000096073,2010-01-11,NA,316,204
ID000096073,2010-01-12,NA,318,212
ID000096073,2010-01-13,NA,314,198
ID000096073,2010-01-14,NA,320,213
ID000096073,2010-01-15,NA,322,196
ID000096073,2010-01-16,NA,326,221
ID000096073,2010-01-17,NA,308,196
ID000096073,2010-01-18,NA,316,228
ID000096073,2010-01-19,NA,320,200
ID000096073,2010-01-20,NA,323,213
ID000096073,2010-01-21,NA,324,200
ID000096073,2010-01-22,NA,336,213
ID000096073,2010-01-23,NA,318,202
ID000096073,2010-01-24,NA,342,220
ID000096073,2010-01-25,NA,320,228
ID000096073,2010-01-26,NA,313,214
ID000096073,2010-01-27,NA,NA,194
ID000096073,2010-01-28,NA,312,220
ID000096073,2010-01-29,NA,330,194
ID000096073,2010-01-30,NA,320,204
ID000096073,2010-01-31,NA,320,204
ID000096073,2010-02-01,NA,323,221
ID000096073,2010-02-02,NA,NA,208
ID000096073,2010-02-03,NA,324,215
ID000096073,2010-02-04,NA,333,208
ID000096073,2010-02-05,NA,324,208
ID000096073,2010-02-06,NA,326,210
ID000096073,2010-02-07,NA,NA,223
ID000096073,2010-02-08,NA,320,214
ID000096073,2010-02-09,NA,331,223
ID000096073,2010-02-10,NA,310,218
ID000096073,2010-02-11,NA,344,228
ID000096073,2010-02-12,NA,NA,218
ID000096073,2010-02-13,NA,326,223
ID000096073,2010-02-14,NA,328,214
ID000096073,2010-02-15,NA,320,214
ID000096073,2010-02-16,NA,336,210
ID000096073,2010-02-17,NA,310,230
ID000096073,2010-02-18,NA,326,209
ID000096073,2010-02-19,NA,330,216
ID000096073,2010-02-20,NA,313,212
ID000096073,2010-02-21,NA,308,215
ID000096073,2010-02-22,NA,321,200
ID000096073,2010-02-23,NA,338,200
ID000096073,2010-02-24,NA,326,NA
ID000096073,2010-02-25,NA,328,230
ID000096073,2010-02-26,NA,330,214
ID000096073,2010-02-27,NA,312,220
ID000096073,2010-02-28,NA,328,212
