id,date,tmax,tmin
ID000097146,2010-01-01,NA,NA
ID000097146,2010-01-02,NA,NA
ID000097146,2010-01-03,NA,NA
ID000097146,2010-01-04,NA,NA
ID000097146,2010-01-05,NA,214
ID000097146,2010-01-06,NA,NA
ID000097146,2010-01-07,NA,NA
ID000097146,2010-01-08,NA,NA
ID000097146,2010-01-09,NA,186
ID000097146,2010-01-10,NA,234
ID000097146,2010-01-11,NA,NA
ID000097146,2010-01-12,NA,NA
ID000097146,2010-01-13,NA,222
ID000097146,2010-01-14,NA,NA
ID000097146,2010-01-15,NA,212
ID000097146,2010-01-16,NA,224
ID000097146,2010-01-17,NA,216
ID000097146,2010-01-18,NA,NA
ID000097146,2010-01-19,NA,NA
ID000097146,2010-01-20,NA,NA
ID000097146,2010-01-21,NA,240
ID000097146,2010-01-22,NA,232
ID000097146,2010-01-23,NA,NA
ID000097146,2010-01-24,NA,238
ID000097146,2010-01-25,NA,NA
ID000097146,2010-01-26,NA,234
ID000097146,2010-01-27,NA,232
ID000097146,2010-01-28,NA,230
ID000097146,2010-01-29,NA,242
ID000097146,2010-01-30,NA,234
ID000097146,2010-01-31,NA,NA
ID000097146,2010-02-01,NA,240
ID000097146,2010-02-02,NA,225
ID000097146,2010-02-03,NA,NA
ID000097146,2010-02-04,NA,NA
ID000097146,2010-02-05,NA,234
ID000097146,2010-02-06,NA,154
ID000097146,2010-02-07,NA,NA
ID000097146,2010-02-08,NA,224
ID000097146,2010-02-09,NA,NA
ID000097146,2010-02-10,NA,236
ID000097146,2010-02-11,NA,202
ID000097146,2010-02-12,NA,NA
ID000097146,2010-02-13,NA,NA
ID000097146,2010-02-14,NA,NA
ID000097146,2010-02-15,NA,246
ID000097146,2010-02-16,NA,242
ID000097146,2010-02-17,NA,230
ID000097146,2010-02-18,NA,NA
ID000097146,2010-02-19,NA,NA
ID000097146,2010-02-20,NA,232
ID000097146,2010-02-21,NA,NA
ID000097146,2010-02-22,NA,236
ID000097146,2010-02-23,NA,NA
ID000097146,2010-02-24,NA,236
ID000097146,2010-02-25,NA,238
ID000097146,2010-02-26,NA,240
ID000097146,2010-02-27,NA,232
ID000097146,2010-02-28,NA,224
ID000097146,2010-03-01,NA,192
ID000097146,2010-03-02,NA,228
ID000097146,2010-03-03,NA,242
ID000097146,2010-03-04,NA,246
ID000097146,2010-03-05,NA,238
ID000097146,2010-03-06,NA,NA
ID000097146,2010-03-07,NA,NA
ID000097146,2010-03-08,NA,200
ID000097146,2010-03-09,NA,NA
ID000097146,2010-03-10,NA,NA
ID000097146,2010-03-11,NA,NA
ID000097146,2010-03-12,NA,NA
ID000097146,2010-03-13,NA,NA
ID000097146,2010-03-14,NA,NA
ID000097146,2010-03-15,NA,244
ID000097146,2010-03-16,NA,238
ID000097146,2010-03-17,NA,NA
ID000097146,2010-03-18,NA,NA
ID000097146,2010-03-19,NA,234
ID000097146,2010-03-20,NA,NA
ID000097146,2010-03-21,NA,NA
ID000097146,2010-03-22,NA,NA
ID000097146,2010-03-23,NA,240
ID000097146,2010-03-24,NA,NA
ID000097146,2010-03-25,NA,NA
ID000097146,2010-03-26,NA,NA
ID000097146,2010-03-27,NA,238
ID000097146,2010-03-28,NA,230
ID000097146,2010-03-29,NA,226
ID000097146,2010-03-30,NA,228
ID000097146,2010-03-31,NA,238
ID000097146,2010-04-01,NA,236
ID000097146,2010-04-02,NA,246
ID000097146,2010-04-03,NA,250
ID000097146,2010-04-04,NA,NA
ID000097146,2010-04-05,NA,240
ID000097146,2010-04-06,NA,246
ID000097146,2010-04-07,NA,240
ID000097146,2010-04-08,NA,238
ID000097146,2010-04-09,NA,236
ID000097146,2010-04-10,NA,230
ID000097146,2010-04-11,NA,234
ID000097146,2010-04-12,NA,242
ID000097146,2010-04-13,NA,246
ID000097146,2010-04-14,NA,240
ID000097146,2010-04-15,NA,240
ID000097146,2010-04-16,NA,240
ID000097146,2010-04-17,NA,NA
ID000097146,2010-04-18,NA,238
ID000097146,2010-04-19,NA,236
ID000097146,2010-04-20,NA,NA
ID000097146,2010-04-21,NA,238
ID000097146,2010-04-22,NA,240
ID000097146,2010-04-23,NA,242
ID000097146,2010-04-24,NA,234
ID000097146,2010-04-25,NA,NA
ID000097146,2010-04-26,NA,244
ID000097146,2010-04-27,NA,246
ID000097146,2010-04-28,NA,240
ID000097146,2010-04-29,NA,240
ID000097146,2010-04-30,NA,232
ID000097146,2010-05-01,NA,246
ID000097146,2010-05-02,NA,248
ID000097146,2010-05-03,NA,234
ID000097146,2010-05-04,NA,238
ID000097146,2010-05-05,NA,NA
ID000097146,2010-05-06,NA,NA
ID000097146,2010-05-07,NA,240
ID000097146,2010-05-08,NA,242
ID000097146,2010-05-09,NA,250
ID000097146,2010-05-10,NA,NA
ID000097146,2010-05-11,NA,248
ID000097146,2010-05-12,NA,244
ID000097146,2010-05-13,NA,252
ID000097146,2010-05-14,NA,244
ID000097146,2010-05-15,NA,240
ID000097146,2010-05-16,NA,242
ID000097146,2010-05-17,NA,250
ID000097146,2010-05-18,NA,232
ID000097146,2010-05-19,NA,240
ID000097146,2010-05-20,NA,244
ID000097146,2010-05-21,NA,NA
ID000097146,2010-05-22,NA,236
ID000097146,2010-05-23,NA,226
ID000097146,2010-05-24,NA,242
ID000097146,2010-05-25,NA,243
ID000097146,2010-05-26,NA,234
ID000097146,2010-05-27,NA,244
ID000097146,2010-05-28,NA,NA
ID000097146,2010-05-29,NA,230
ID000097146,2010-05-30,NA,234
ID000097146,2010-05-31,NA,230
ID000097146,2010-06-01,NA,240
ID000097146,2010-06-02,NA,232
ID000097146,2010-06-03,NA,NA
ID000097146,2010-06-04,NA,228
ID000097146,2010-06-05,NA,NA
ID000097146,2010-06-06,NA,234
ID000097146,2010-06-07,NA,NA
ID000097146,2010-06-08,NA,NA
ID000097146,2010-06-09,NA,NA
ID000097146,2010-06-10,NA,NA
ID000097146,2010-06-11,NA,NA
ID000097146,2010-06-12,NA,NA
ID000097146,2010-06-13,NA,NA
ID000097146,2010-06-14,NA,192
ID000097146,2010-06-15,NA,NA
ID000097146,2010-06-16,NA,236
ID000097146,2010-06-17,NA,NA
ID000097146,2010-06-18,NA,NA
ID000097146,2010-06-19,NA,NA
ID000097146,2010-06-20,NA,NA
ID000097146,2010-06-21,NA,NA
ID000097146,2010-06-22,NA,234
ID000097146,2010-06-23,NA,NA
ID000097146,2010-06-24,NA,240
ID000097146,2010-06-25,NA,222
ID000097146,2010-06-26,NA,248
ID000097146,2010-06-27,NA,NA
ID000097146,2010-06-28,NA,206
ID000097146,2010-06-29,NA,NA
ID000097146,2010-06-30,NA,230
ID000097146,2010-07-01,NA,244
ID000097146,2010-07-02,NA,NA
ID000097146,2010-07-03,NA,254
ID000097146,2010-07-04,NA,NA
ID000097146,2010-07-05,NA,244
ID000097146,2010-07-06,NA,244
ID000097146,2010-07-07,NA,NA
ID000097146,2010-07-08,NA,228
ID000097146,2010-07-09,NA,240
ID000097146,2010-07-10,NA,228
ID000097146,2010-07-11,NA,NA
ID000097146,2010-07-12,NA,238
ID000097146,2010-07-13,NA,NA
ID000097146,2010-07-14,NA,236
ID000097146,2010-07-15,NA,222
ID000097146,2010-07-16,NA,234
ID000097146,2010-07-17,NA,236
