id,date,prcp,tmax,tmin
IDM00096685,2010-01-01,NA,NA,244
IDM00096685,2010-01-02,NA,322,244
IDM00096685,2010-01-03,NA,320,242
IDM00096685,2010-01-04,NA,322,NA
IDM00096685,2010-01-05,NA,300,NA
IDM00096685,2010-01-06,NA,NA,NA
IDM00096685,2010-01-07,NA,284,226
IDM00096685,2010-01-08,NA,310,230
IDM00096685,2010-01-09,NA,300,230
IDM00096685,2010-01-10,NA,266,NA
IDM00096685,2010-01-11,NA,NA,235
IDM00096685,2010-01-12,NA,NA,NA
IDM00096685,2010-01-13,NA,306,NA
IDM00096685,2010-01-14,NA,306,NA
IDM00096685,2010-01-15,NA,302,230
IDM00096685,2010-01-16,NA,NA,NA
IDM00096685,2010-01-17,NA,NA,234
IDM00096685,2010-01-18,NA,NA,236
IDM00096685,2010-01-19,NA,312,NA
IDM00096685,2010-01-20,NA,NA,NA
IDM00096685,2010-01-21,NA,300,226
IDM00096685,2010-01-22,NA,331,230
IDM00096685,2010-01-23,NA,NA,224
IDM00096685,2010-01-24,NA,330,242
IDM00096685,2010-01-25,NA,260,NA
IDM00096685,2010-01-26,NA,NA,227
IDM00096685,2010-01-27,NA,318,NA
IDM00096685,2010-01-28,NA,334,230
IDM00096685,2010-01-29,NA,310,222
IDM00096685,2010-01-30,NA,320,NA
IDM00096685,2010-01-31,NA,NA,242
IDM00096685,2010-02-01,NA,313,NA
IDM00096685,2010-02-02,NA,NA,240
IDM00096685,2010-02-03,NA,324,240
IDM00096685,2010-02-04,NA,NA,248
IDM00096685,2010-02-05,NA,NA,NA
IDM00096685,2010-02-06,NA,324,NA
IDM00096685,2010-02-07,NA,NA,228
IDM00096685,2010-02-08,NA,332,248
IDM00096685,2010-02-09,NA,NA,249
IDM00096685,2010-02-10,NA,338,NA
IDM00096685,2010-02-11,NA,342,248
IDM00096685,2010-02-12,NA,344,246
IDM00096685,2010-02-13,NA,336,250
IDM00096685,2010-02-14,NA,NA,NA
IDM00096685,2010-02-15,NA,NA,244
IDM00096685,2010-02-16,NA,NA,245
IDM00096685,2010-02-17,NA,NA,253
IDM00096685,2010-02-18,NA,324,NA
IDM00096685,2010-02-19,NA,NA,NA
IDM00096685,2010-02-20,NA,NA,238
IDM00096685,2010-02-21,NA,318,236
IDM00096685,2010-02-22,NA,302,235
IDM00096685,2010-02-23,NA,330,235
IDM00096685,2010-02-24,NA,NA,245
IDM00096685,2010-02-25,NA,NA,NA
IDM00096685,2010-02-26,NA,335,240
IDM00096685,2010-02-27,NA,NA,252
IDM00096685,2010-02-28,NA,316,NA
IDM00096685,2010-03-01,NA,NA,240
IDM00096685,2010-03-02,NA,336,242
IDM00096685,2010-03-03,NA,322,NA
IDM00096685,2010-03-04,NA,342,NA
IDM00096685,2010-03-05,NA,298,226
IDM00096685,2010-03-06,NA,NA,228
IDM00096685,2010-03-07,NA,338,NA
IDM00096685,2010-03-08,NA,342,242
IDM00096685,2010-03-09,NA,338,241
IDM00096685,2010-03-10,NA,NA,244
IDM00096685,2010-03-11,NA,316,NA
IDM00096685,2010-03-12,NA,318,240
IDM00096685,2010-03-13,NA,330,245
IDM00096685,2010-03-14,NA,334,246
IDM00096685,2010-03-15,NA,290,248
IDM00096685,2010-03-16,NA,NA,244
IDM00096685,2010-03-17,NA,330,240
IDM00096685,2010-03-18,NA,332,NA
IDM00096685,2010-03-19,NA,332,236
IDM00096685,2010-03-20,NA,328,NA
IDM00096685,2010-03-21,NA,NA,238
IDM00096685,2010-03-22,NA,320,238
IDM00096685,2010-03-23,NA,NA,242
IDM00096685,2010-03-24,NA,300,NA
IDM00096685,2010-03-25,NA,318,233
IDM00096685,2010-03-26,NA,323,NA
IDM00096685,2010-03-27,NA,NA,229
IDM00096685,2010-03-28,NA,320,224
IDM00096685,2010-03-29,NA,316,239
IDM00096685,2010-03-30,NA,304,236
IDM00096685,2010-03-31,NA,265,233
IDM00096685,2010-04-01,NA,NA,238
IDM00096685,2010-04-02,NA,NA,252
IDM00096685,2010-04-03,NA,326,NA
IDM00096685,2010-04-04,NA,332,240
IDM00096685,2010-04-05,NA,322,232
IDM00096685,2010-04-06,NA,324,248
IDM00096685,2010-04-07,NA,336,250
IDM00096685,2010-04-08,NA,326,252
IDM00096685,2010-04-09,NA,320,NA
IDM00096685,2010-04-10,NA,NA,238
IDM00096685,2010-04-11,NA,NA,240
IDM00096685,2010-04-12,NA,335,235
IDM00096685,2010-04-13,NA,NA,NA
IDM00096685,2010-04-14,NA,272,236
IDM00096685,2010-04-15,NA,333,230
IDM00096685,2010-04-16,NA,340,244
IDM00096685,2010-04-17,NA,325,240
IDM00096685,2010-04-18,NA,318,NA
IDM00096685,2010-04-19,NA,NA,235
IDM00096685,2010-04-20,NA,NA,233
IDM00096685,2010-04-21,NA,324,242
IDM00096685,2010-04-22,NA,334,244
IDM00096685,2010-04-23,NA,NA,NA
IDM00096685,2010-04-24,NA,325,NA
IDM00096685,2010-04-25,NA,323,248
IDM00096685,2010-04-26,NA,340,258
IDM00096685,2010-04-27,NA,338,NA
IDM00096685,2010-04-28,NA,322,245
IDM00096685,2010-04-29,NA,340,NA
IDM00096685,2010-04-30,NA,NA,241
IDM00096685,2010-05-01,NA,350,256
IDM00096685,2010-05-02,NA,349,258
IDM00096685,2010-05-03,NA,NA,NA
IDM00096685,2010-05-04,NA,NA,248
IDM00096685,2010-05-05,NA,330,NA
IDM00096685,2010-05-06,NA,336,244
IDM00096685,2010-05-07,NA,336,NA
IDM00096685,2010-05-08,NA,344,245
IDM00096685,2010-05-09,NA,330,NA
IDM00096685,2010-05-10,NA,346,NA
IDM00096685,2010-05-11,NA,NA,240
IDM00096685,2010-05-12,NA,NA,240
IDM00096685,2010-05-13,NA,312,NA
IDM00096685,2010-05-14,NA,NA,235
IDM00096685,2010-05-15,NA,305,236
IDM00096685,2010-05-16,NA,324,238
IDM00096685,2010-05-17,NA,342,252
IDM00096685,2010-05-18,NA,350,NA
IDM00096685,2010-05-19,NA,NA,NA
IDM00096685,2010-05-20,NA,335,245
IDM00096685,2010-05-21,NA,278,NA
IDM00096685,2010-05-22,NA,320,245
IDM00096685,2010-05-23,NA,342,245
IDM00096685,2010-05-24,NA,NA,NA
IDM00096685,2010-05-25,NA,334,247
IDM00096685,2010-05-26,NA,280,NA
IDM00096685,2010-05-27,NA,313,NA
IDM00096685,2010-05-28,NA,333,238
IDM00096685,2010-05-29,NA,345,250
IDM00096685,2010-05-30,NA,NA,245
IDM00096685,2010-05-31,NA,308,NA
IDM00096685,2010-06-01,NA,NA,NA
IDM00096685,2010-06-02,NA,NA,242
IDM00096685,2010-06-03,NA,NA,238
IDM00096685,2010-06-04,NA,324,238
IDM00096685,2010-06-05,NA,NA,243
IDM00096685,2010-06-06,NA,348,242
IDM00096685,2010-06-07,NA,NA,NA
IDM00096685,2010-06-08,NA,325,234
IDM00096685,2010-06-09,NA,300,232
IDM00096685,2010-06-10,NA,320,236
IDM00096685,2010-06-11,NA,332,244
IDM00096685,2010-06-12,NA,340,245
IDM00096685,2010-06-13,NA,320,NA
IDM00096685,2010-06-14,NA,NA,232
IDM00096685,2010-06-15,NA,NA,242
IDM00096685,2010-06-16,NA,324,244
IDM00096685,2010-06-17,269,320,NA
IDM00096685,2010-06-18,NA,310,238
IDM00096685,2010-06-19,NA,306,238
IDM00096685,2010-06-20,NA,NA,NA
IDM00096685,2010-06-21,NA,NA,224
IDM00096685,2010-06-22,NA,334,238
IDM00096685,2010-06-23,NA,296,NA
IDM00096685,2010-06-24,NA,310,NA
IDM00096685,2010-06-25,NA,312,NA
IDM00096685,2010-06-26,NA,300,230
IDM00096685,2010-06-27,NA,328,236
IDM00096685,2010-06-28,NA,NA,240
IDM00096685,2010-06-29,NA,NA,240
IDM00096685,2010-06-30,NA,328,247
IDM00096685,2010-07-01,NA,334,242
IDM00096685,2010-07-02,NA,338,242
IDM00096685,2010-07-03,NA,312,NA
IDM00096685,2010-07-04,NA,312,252
IDM00096685,2010-07-05,NA,278,NA
IDM00096685,2010-07-06,NA,NA,NA
IDM00096685,2010-07-07,NA,340,250
IDM00096685,2010-07-08,NA,342,NA
IDM00096685,2010-07-09,NA,310,NA
IDM00096685,2010-07-10,NA,310,234
IDM00096685,2010-07-11,NA,NA,NA
IDM00096685,2010-07-12,NA,337,NA
IDM00096685,2010-07-13,NA,330,240
IDM00096685,2010-07-14,NA,324,239
IDM00096685,2010-07-15,NA,NA,237
IDM00096685,2010-07-16,NA,330,246
IDM00096685,2010-07-17,NA,305,NA
IDM00096685,2010-07-18,NA,302,232
IDM00096685,2010-07-19,NA,300,225
IDM00096685,2010-07-20,NA,294,236
IDM00096685,2010-07-21,NA,298,236
IDM00096685,2010-07-22,89,295,NA
IDM00096685,2010-07-23,NA,292,230
IDM00096685,2010-07-24,NA,304,231
IDM00096685,2010-07-25,NA,300,NA
IDM00096685,2010-07-26,NA,NA,224
IDM00096685,2010-07-27,NA,325,234
