id,date,tmax,tmin
IDM00097698,2010-01-01,316,256
IDM00097698,2010-01-02,304,248
IDM00097698,2010-01-03,NA,246
IDM00097698,2010-01-04,NA,250
IDM00097698,2010-01-05,344,250
IDM00097698,2010-01-06,322,258
IDM00097698,2010-01-07,308,254
IDM00097698,2010-01-08,306,NA
IDM00097698,2010-01-09,315,254
IDM00097698,2010-01-10,NA,242
IDM00097698,2010-01-11,NA,254
IDM00097698,2010-01-12,330,254
IDM00097698,2010-01-13,322,256
IDM00097698,2010-01-14,304,258
IDM00097698,2010-01-15,287,250
IDM00097698,2010-01-16,289,240
IDM00097698,2010-01-17,NA,244
IDM00097698,2010-01-18,NA,244
IDM00097698,2010-01-19,NA,248
IDM00097698,2010-01-20,334,256
IDM00097698,2010-01-21,296,244
IDM00097698,2010-01-22,298,240
IDM00097698,2010-01-23,NA,NA
IDM00097698,2010-01-24,NA,242
IDM00097698,2010-01-25,294,244
IDM00097698,2010-01-26,NA,246
IDM00097698,2010-01-27,NA,240
IDM00097698,2010-01-28,NA,NA
IDM00097698,2010-01-29,338,242
IDM00097698,2010-01-30,322,252
IDM00097698,2010-01-31,NA,NA
IDM00097698,2010-02-01,NA,240
IDM00097698,2010-02-02,308,240
IDM00097698,2010-02-03,303,248
IDM00097698,2010-02-04,280,238
IDM00097698,2010-02-05,292,244
IDM00097698,2010-02-06,NA,248
IDM00097698,2010-02-07,297,246
IDM00097698,2010-02-08,296,240
IDM00097698,2010-02-09,296,238
IDM00097698,2010-02-10,308,238
IDM00097698,2010-02-11,322,242
IDM00097698,2010-02-12,312,242
IDM00097698,2010-02-13,NA,NA
IDM00097698,2010-02-14,NA,NA
IDM00097698,2010-02-15,328,248
IDM00097698,2010-02-16,336,254
IDM00097698,2010-02-17,312,258
IDM00097698,2010-02-18,321,258
IDM00097698,2010-02-19,329,252
IDM00097698,2010-02-20,297,NA
IDM00097698,2010-02-21,NA,236
IDM00097698,2010-02-22,326,252
IDM00097698,2010-02-23,330,254
IDM00097698,2010-02-24,333,266
IDM00097698,2010-02-25,330,240
IDM00097698,2010-02-26,310,238
IDM00097698,2010-02-27,310,240
IDM00097698,2010-02-28,312,250
IDM00097698,2010-03-01,300,NA
IDM00097698,2010-03-02,304,250
IDM00097698,2010-03-03,289,NA
IDM00097698,2010-03-04,NA,238
IDM00097698,2010-03-05,334,248
IDM00097698,2010-03-06,NA,250
IDM00097698,2010-03-07,NA,NA
IDM00097698,2010-03-08,320,236
IDM00097698,2010-03-09,310,254
IDM00097698,2010-03-10,323,254
IDM00097698,2010-03-11,289,240
IDM00097698,2010-03-12,330,242
IDM00097698,2010-03-13,338,264
IDM00097698,2010-03-14,300,242
IDM00097698,2010-03-15,NA,NA
IDM00097698,2010-03-16,NA,NA
IDM00097698,2010-03-17,301,250
IDM00097698,2010-03-18,302,254
IDM00097698,2010-03-19,328,250
IDM00097698,2010-03-20,304,240
IDM00097698,2010-03-21,316,246
IDM00097698,2010-03-22,318,250
IDM00097698,2010-03-23,308,256
IDM00097698,2010-03-24,316,258
IDM00097698,2010-03-25,320,254
IDM00097698,2010-03-26,320,258
IDM00097698,2010-03-27,315,252
IDM00097698,2010-03-28,NA,248
IDM00097698,2010-03-29,322,234
IDM00097698,2010-03-30,312,238
IDM00097698,2010-03-31,310,248
IDM00097698,2010-04-01,334,250
IDM00097698,2010-04-02,NA,236
IDM00097698,2010-04-03,292,NA
IDM00097698,2010-04-04,315,244
IDM00097698,2010-04-05,NA,NA
IDM00097698,2010-04-06,326,256
IDM00097698,2010-04-07,327,256
IDM00097698,2010-04-08,332,228
IDM00097698,2010-04-09,314,218
IDM00097698,2010-04-10,330,237
