id,date,prcp,tmin
IN011291000,2019-07-01,NA,NA
IN011291000,2019-07-02,NA,NA
IN011291000,2019-07-03,NA,NA
IN011291000,2019-07-04,NA,NA
IN011291000,2019-07-05,NA,NA
IN011291000,2019-07-06,770,210
IN011291000,2019-07-07,0,NA
IN011291000,2019-07-08,NA,NA
IN011291000,2019-07-09,NA,NA
IN011291000,2019-07-10,NA,NA
IN011291000,2019-07-11,NA,NA
IN011291000,2019-07-12,NA,NA
IN011291000,2019-07-13,NA,NA
IN011291000,2019-07-14,NA,NA
IN011291000,2019-07-15,NA,NA
IN011291000,2019-07-16,NA,NA
IN011291000,2019-07-17,NA,NA
IN011291000,2019-07-18,NA,NA
IN011291000,2019-07-19,NA,NA
IN011291000,2019-07-20,NA,NA
IN011291000,2019-07-21,NA,NA
IN011291000,2019-07-22,NA,NA
IN011291000,2019-07-23,NA,NA
IN011291000,2019-07-24,NA,NA
IN011291000,2019-07-25,NA,NA
IN011291000,2019-07-26,NA,NA
IN011291000,2019-07-27,NA,NA
IN011291000,2019-07-28,NA,NA
IN011291000,2019-07-29,NA,NA
IN011291000,2019-07-30,NA,NA
IN011291000,2019-07-31,NA,NA
