id,date,tmax,tmin
IN020110800,2018-09-01,NA,NA
IN020110800,2018-09-02,NA,NA
IN020110800,2018-09-03,NA,NA
IN020110800,2018-09-04,NA,NA
IN020110800,2018-09-05,NA,NA
IN020110800,2018-09-06,NA,NA
IN020110800,2018-09-07,NA,NA
IN020110800,2018-09-08,NA,NA
IN020110800,2018-09-09,NA,NA
IN020110800,2018-09-10,NA,NA
IN020110800,2018-09-11,NA,NA
IN020110800,2018-09-12,NA,NA
IN020110800,2018-09-13,NA,NA
IN020110800,2018-09-14,NA,NA
IN020110800,2018-09-15,NA,NA
IN020110800,2018-09-16,NA,NA
IN020110800,2018-09-17,NA,NA
IN020110800,2018-09-18,NA,NA
IN020110800,2018-09-19,NA,NA
IN020110800,2018-09-20,NA,NA
IN020110800,2018-09-21,NA,NA
IN020110800,2018-09-22,NA,NA
IN020110800,2018-09-23,NA,NA
IN020110800,2018-09-24,NA,NA
IN020110800,2018-09-25,NA,NA
IN020110800,2018-09-26,NA,NA
IN020110800,2018-09-27,352,236
IN020110800,2018-09-28,NA,NA
IN020110800,2018-09-29,NA,NA
IN020110800,2018-09-30,NA,NA
IN020110800,2019-12-01,NA,NA
IN020110800,2019-12-02,NA,NA
IN020110800,2019-12-03,NA,NA
IN020110800,2019-12-04,NA,NA
IN020110800,2019-12-05,NA,NA
IN020110800,2019-12-06,NA,NA
IN020110800,2019-12-07,NA,NA
IN020110800,2019-12-08,NA,NA
IN020110800,2019-12-09,NA,NA
IN020110800,2019-12-10,NA,NA
IN020110800,2019-12-11,NA,NA
IN020110800,2019-12-12,320,210
IN020110800,2019-12-13,NA,NA
IN020110800,2019-12-14,NA,NA
IN020110800,2019-12-15,NA,NA
IN020110800,2019-12-16,NA,NA
IN020110800,2019-12-17,NA,NA
IN020110800,2019-12-18,NA,NA
IN020110800,2019-12-19,NA,NA
IN020110800,2019-12-20,NA,NA
IN020110800,2019-12-21,NA,NA
IN020110800,2019-12-22,NA,NA
IN020110800,2019-12-23,NA,NA
IN020110800,2019-12-24,NA,NA
IN020110800,2019-12-25,NA,NA
IN020110800,2019-12-26,NA,NA
IN020110800,2019-12-27,NA,NA
IN020110800,2019-12-28,NA,NA
IN020110800,2019-12-29,NA,NA
IN020110800,2019-12-30,NA,NA
IN020110800,2019-12-31,NA,NA
