id,date,prcp,tmax,tmin
IN023550300,2010-01-01,NA,142,NA
IN023550300,2010-01-02,NA,167,NA
IN023550300,2010-01-03,NA,164,NA
IN023550300,2010-01-04,NA,222,NA
IN023550300,2010-01-05,NA,NA,NA
IN023550300,2010-01-06,NA,178,NA
IN023550300,2010-01-07,NA,192,NA
IN023550300,2010-01-08,NA,NA,NA
IN023550300,2010-01-09,NA,209,NA
IN023550300,2010-01-10,NA,165,NA
IN023550300,2010-01-11,NA,164,NA
IN023550300,2010-01-12,NA,NA,NA
IN023550300,2010-01-13,NA,184,NA
IN023550300,2010-01-14,NA,193,NA
IN023550300,2010-01-15,NA,150,NA
IN023550300,2010-01-16,NA,162,NA
IN023550300,2010-01-17,NA,NA,NA
IN023550300,2010-01-18,NA,165,NA
IN023550300,2010-01-19,NA,130,NA
IN023550300,2010-01-20,NA,176,NA
IN023550300,2010-01-21,NA,130,NA
IN023550300,2010-01-22,NA,170,NA
IN023550300,2010-01-23,NA,188,NA
IN023550300,2010-01-24,NA,174,NA
IN023550300,2010-01-25,NA,187,NA
IN023550300,2010-01-26,NA,220,NA
IN023550300,2010-01-27,NA,268,NA
IN023550300,2010-01-28,NA,273,NA
IN023550300,2010-01-29,NA,NA,NA
IN023550300,2010-01-30,NA,293,NA
IN023550300,2010-01-31,NA,290,NA
IN023550300,2010-02-01,NA,274,NA
IN023550300,2010-02-02,NA,278,NA
IN023550300,2010-02-03,NA,277,NA
IN023550300,2010-02-04,NA,268,NA
IN023550300,2010-02-05,NA,281,NA
IN023550300,2010-02-06,NA,294,NA
IN023550300,2010-02-07,NA,302,NA
IN023550300,2010-02-08,NA,302,NA
IN023550300,2010-02-09,NA,226,NA
IN023550300,2010-02-10,NA,272,NA
IN023550300,2010-02-11,NA,284,NA
IN023550300,2010-02-12,NA,170,NA
IN023550300,2010-02-13,NA,230,NA
IN023550300,2010-02-14,NA,246,NA
IN023550300,2010-02-15,NA,267,NA
IN023550300,2010-02-16,NA,264,NA
IN023550300,2010-02-17,NA,291,NA
IN023550300,2010-02-18,NA,261,NA
IN023550300,2010-02-19,NA,280,NA
IN023550300,2010-02-20,NA,284,NA
IN023550300,2010-02-21,NA,286,NA
IN023550300,2010-02-22,NA,291,NA
IN023550300,2010-02-23,NA,284,NA
IN023550300,2010-02-24,NA,304,NA
IN023550300,2010-02-25,NA,312,NA
IN023550300,2010-02-26,NA,314,NA
IN023550300,2010-02-27,NA,323,NA
IN023550300,2010-02-28,NA,350,NA
IN023550300,2010-03-01,NA,350,NA
IN023550300,2010-03-02,NA,361,NA
IN023550300,2010-03-03,NA,335,NA
IN023550300,2010-03-04,NA,366,NA
IN023550300,2010-03-05,NA,370,NA
IN023550300,2010-03-06,NA,351,NA
IN023550300,2010-03-07,NA,332,NA
IN023550300,2010-03-08,NA,325,NA
IN023550300,2010-03-09,NA,331,NA
IN023550300,2010-03-10,NA,332,NA
IN023550300,2010-03-11,NA,320,NA
IN023550300,2010-03-12,NA,341,NA
IN023550300,2010-03-13,NA,361,NA
IN023550300,2010-03-14,NA,372,NA
IN023550300,2010-03-15,NA,372,NA
IN023550300,2010-03-16,NA,362,NA
IN023550300,2010-03-17,NA,NA,NA
IN023550300,2010-03-18,NA,NA,NA
IN023550300,2010-03-19,NA,374,NA
IN023550300,2010-03-20,NA,NA,NA
IN023550300,2010-03-21,NA,386,NA
IN023550300,2010-03-22,NA,420,NA
IN023550300,2010-03-23,NA,420,NA
IN023550300,2010-03-24,NA,424,NA
IN023550300,2010-03-25,NA,415,NA
IN023550300,2010-03-26,NA,421,NA
IN023550300,2010-03-27,NA,424,NA
IN023550300,2010-03-28,NA,413,NA
IN023550300,2010-03-29,NA,NA,NA
IN023550300,2010-03-30,NA,420,NA
IN023550300,2010-03-31,NA,407,NA
IN023550300,2010-04-01,NA,415,NA
IN023550300,2010-04-02,NA,422,NA
IN023550300,2010-04-03,NA,410,NA
IN023550300,2010-04-04,NA,422,NA
IN023550300,2010-04-05,NA,424,NA
IN023550300,2010-04-06,NA,420,NA
IN023550300,2010-04-07,NA,NA,NA
IN023550300,2010-04-08,NA,420,NA
IN023550300,2010-04-09,NA,432,NA
IN023550300,2010-04-10,NA,439,NA
IN023550300,2010-04-11,NA,NA,NA
IN023550300,2010-04-12,NA,NA,NA
IN023550300,2010-04-13,NA,NA,NA
IN023550300,2010-04-14,NA,432,NA
IN023550300,2010-04-15,NA,421,NA
IN023550300,2010-04-16,NA,449,NA
IN023550300,2010-04-17,NA,NA,NA
IN023550300,2010-04-18,NA,NA,NA
IN023550300,2010-04-19,NA,432,NA
IN023550300,2010-04-20,NA,NA,NA
IN023550300,2010-04-21,NA,NA,NA
IN023550300,2010-04-22,NA,NA,NA
IN023550300,2010-04-23,NA,441,NA
IN023550300,2010-04-24,NA,NA,NA
IN023550300,2010-04-25,NA,NA,NA
IN023550300,2010-04-26,NA,436,NA
IN023550300,2010-04-27,NA,417,NA
IN023550300,2010-04-28,NA,389,NA
IN023550300,2010-04-29,NA,414,NA
IN023550300,2010-04-30,NA,400,NA
IN023550300,2010-05-01,NA,400,NA
IN023550300,2010-05-02,NA,372,NA
IN023550300,2010-05-03,NA,400,NA
IN023550300,2010-05-04,NA,402,NA
IN023550300,2010-05-05,NA,400,NA
IN023550300,2010-05-06,NA,394,NA
IN023550300,2010-05-07,NA,330,NA
IN023550300,2010-05-08,NA,355,NA
IN023550300,2010-05-09,NA,411,NA
IN023550300,2010-05-10,NA,442,NA
IN023550300,2010-05-11,NA,442,NA
IN023550300,2010-05-12,NA,444,NA
IN023550300,2010-05-13,NA,450,NA
IN023550300,2010-05-14,NA,458,NA
IN023550300,2010-05-15,NA,NA,NA
IN023550300,2010-05-16,NA,NA,NA
IN023550300,2010-05-17,NA,432,NA
IN023550300,2010-05-18,NA,407,NA
IN023550300,2010-05-19,NA,418,NA
IN023550300,2010-05-20,NA,427,NA
IN023550300,2010-05-21,NA,432,NA
IN023550300,2010-05-22,NA,402,NA
IN023550300,2010-05-23,NA,412,NA
IN023550300,2010-05-24,NA,390,NA
IN023550300,2010-05-25,NA,394,NA
IN023550300,2010-05-26,NA,NA,NA
IN023550300,2010-05-27,NA,388,NA
IN023550300,2010-05-28,NA,342,NA
IN023550300,2010-05-29,NA,385,NA
IN023550300,2010-05-30,NA,409,NA
IN023550300,2010-05-31,NA,432,NA
IN023550300,2010-06-01,NA,NA,NA
IN023550300,2010-06-02,NA,461,NA
IN023550300,2010-06-03,NA,NA,NA
IN023550300,2010-06-04,NA,422,NA
IN023550300,2010-06-05,NA,NA,NA
IN023550300,2010-06-06,NA,415,NA
IN023550300,2010-06-07,NA,430,NA
IN023550300,2010-06-08,NA,442,NA
IN023550300,2010-06-09,NA,388,NA
IN023550300,2010-06-10,NA,431,NA
IN023550300,2010-06-11,NA,434,NA
IN023550300,2010-06-12,NA,430,NA
IN023550300,2010-06-13,NA,414,NA
IN023550300,2010-06-14,NA,423,NA
IN023550300,2010-06-15,NA,430,NA
IN023550300,2010-06-16,NA,354,NA
IN023550300,2010-06-17,NA,390,NA
IN023550300,2010-06-18,NA,NA,NA
IN023550300,2010-06-19,NA,412,NA
IN023550300,2010-06-20,NA,NA,NA
IN023550300,2010-06-21,NA,420,NA
IN023550300,2010-06-22,NA,433,NA
IN023550300,2010-06-23,NA,400,NA
IN023550300,2010-06-24,NA,376,NA
IN023550300,2010-06-25,NA,376,NA
IN023550300,2010-06-26,NA,402,NA
IN023550300,2010-06-27,NA,394,NA
IN023550300,2010-06-28,NA,380,NA
IN023550300,2010-06-29,NA,430,NA
