id,date,prcp,tmax,tmin
INM00042071,2010-01-01,NA,NA,-2
INM00042071,2010-01-02,NA,182,-12
INM00042071,2010-01-03,NA,150,-8
INM00042071,2010-01-04,30,154,8
INM00042071,2010-01-05,0,154,12
INM00042071,2010-01-06,NA,140,10
INM00042071,2010-01-07,NA,NA,16
INM00042071,2010-01-08,NA,138,-2
INM00042071,2010-01-09,NA,NA,16
INM00042071,2010-01-10,NA,108,18
INM00042071,2010-01-11,NA,116,12
INM00042071,2010-01-12,NA,116,22
INM00042071,2010-01-13,5,162,42
INM00042071,2010-01-14,0,162,NA
INM00042071,2010-01-15,NA,166,14
INM00042071,2010-01-16,NA,178,8
INM00042071,2010-01-17,NA,178,14
INM00042071,2010-01-18,NA,134,4
INM00042071,2010-01-19,NA,108,-8
INM00042071,2010-01-20,NA,130,6
INM00042071,2010-01-21,NA,130,-10
INM00042071,2010-01-22,NA,132,-12
INM00042071,2010-01-23,NA,132,-8
INM00042071,2010-01-24,NA,144,2
INM00042071,2010-01-25,NA,182,-4
INM00042071,2010-01-26,NA,190,-12
INM00042071,2010-01-27,NA,214,26
INM00042071,2010-01-28,NA,248,48
INM00042071,2010-01-29,5,248,NA
INM00042071,2010-01-30,0,213,NA
INM00042071,2010-01-31,NA,210,52
INM00042071,2010-02-01,NA,210,52
INM00042071,2010-02-02,NA,210,36
INM00042071,2010-02-03,NA,217,52
INM00042071,2010-02-04,NA,224,53
INM00042071,2010-02-05,NA,221,NA
INM00042071,2010-02-06,0,227,120
INM00042071,2010-02-07,NA,214,122
INM00042071,2010-02-08,8,208,138
INM00042071,2010-02-09,119,181,NA
INM00042071,2010-02-10,0,NA,64
INM00042071,2010-02-11,NA,201,65
INM00042071,2010-02-12,0,201,NA
INM00042071,2010-02-13,NA,203,NA
INM00042071,2010-02-14,NA,NA,NA
INM00042071,2010-02-15,NA,222,86
INM00042071,2010-02-16,NA,237,87
INM00042071,2010-02-17,NA,239,76
INM00042071,2010-02-18,NA,239,54
INM00042071,2010-02-19,NA,230,60
INM00042071,2010-02-20,NA,NA,74
INM00042071,2010-02-21,NA,257,NA
INM00042071,2010-02-22,NA,260,119
INM00042071,2010-02-23,NA,260,NA
INM00042071,2010-02-24,NA,254,105
INM00042071,2010-02-25,NA,245,NA
INM00042071,2010-02-26,NA,251,122
INM00042071,2010-02-27,NA,NA,NA
INM00042071,2010-02-28,NA,276,125
INM00042071,2010-03-01,3,281,NA
INM00042071,2010-03-02,0,282,109
INM00042071,2010-03-03,NA,282,NA
INM00042071,2010-03-04,NA,208,NA
INM00042071,2010-03-05,NA,NA,97
INM00042071,2010-03-06,NA,258,100
INM00042071,2010-03-07,NA,258,97
INM00042071,2010-03-08,NA,256,108
INM00042071,2010-03-09,NA,275,115
INM00042071,2010-03-10,NA,276,116
INM00042071,2010-03-11,NA,NA,125
INM00042071,2010-03-12,NA,287,131
INM00042071,2010-03-13,NA,NA,130
INM00042071,2010-03-14,NA,304,134
INM00042071,2010-03-15,NA,310,NA
