id,date,prcp,tmax,tmin
IR000408560,2010-01-01,NA,180,50
IR000408560,2010-01-02,0,120,90
IR000408560,2010-01-03,0,170,10
IR000408560,2010-01-04,0,160,0
IR000408560,2010-01-05,NA,180,0
IR000408560,2010-01-06,0,160,0
IR000408560,2010-01-07,0,160,10
IR000408560,2010-01-08,0,150,-20
IR000408560,2010-01-09,NA,120,-20
IR000408560,2010-01-10,0,100,-30
IR000408560,2010-01-11,0,110,-40
IR000408560,2010-01-12,0,150,-40
IR000408560,2010-01-13,0,200,-30
IR000408560,2010-01-14,0,170,30
IR000408560,2010-01-15,0,210,0
IR000408560,2010-01-16,0,230,-10
IR000408560,2010-01-17,0,200,10
IR000408560,2010-01-18,0,190,0
IR000408560,2010-01-19,0,180,30
IR000408560,2010-01-20,0,240,40
IR000408560,2010-01-21,NA,210,60
IR000408560,2010-01-22,0,220,60
IR000408560,2010-01-23,NA,220,110
IR000408560,2010-01-24,0,220,0
IR000408560,2010-01-25,0,170,0
IR000408560,2010-01-26,0,200,110
IR000408560,2010-01-27,0,180,100
IR000408560,2010-01-28,0,170,80
IR000408560,2010-01-29,NA,160,-40
IR000408560,2010-01-30,0,190,30
IR000408560,2010-01-31,0,190,20
IR000408560,2010-02-01,0,210,0
IR000408560,2010-02-02,0,200,20
IR000408560,2010-02-03,0,210,60
IR000408560,2010-02-04,NA,200,130
IR000408560,2010-02-05,3,170,120
IR000408560,2010-02-06,71,160,110
IR000408560,2010-02-07,0,180,90
IR000408560,2010-02-08,0,90,10
IR000408560,2010-02-09,0,120,-50
IR000408560,2010-02-10,0,120,-30
IR000408560,2010-02-11,NA,160,0
IR000408560,2010-02-12,NA,160,-10
IR000408560,2010-02-13,0,180,0
IR000408560,2010-02-14,0,130,10
IR000408560,2010-02-15,0,140,-30
IR000408560,2010-02-16,0,180,-30
IR000408560,2010-02-17,0,200,0
IR000408560,2010-02-18,0,250,20
IR000408560,2010-02-19,NA,250,50
IR000408560,2010-02-20,0,250,140
IR000408560,2010-02-21,0,210,110
IR000408560,2010-02-22,94,190,60
IR000408560,2010-02-23,0,230,80
IR000408560,2010-02-24,0,250,140
IR000408560,2010-02-25,0,240,150
IR000408560,2010-02-26,0,240,150
IR000408560,2010-02-27,0,220,150
IR000408560,2010-02-28,41,220,110
IR000408560,2010-03-01,0,220,80
IR000408560,2010-03-02,0,180,80
IR000408560,2010-03-03,0,200,120
IR000408560,2010-03-04,0,220,70
IR000408560,2010-03-05,0,210,110
IR000408560,2010-03-06,0,230,60
IR000408560,2010-03-07,NA,240,60
IR000408560,2010-03-08,0,250,80
IR000408560,2010-03-09,0,260,90
IR000408560,2010-03-10,0,290,70
IR000408560,2010-03-11,0,290,120
IR000408560,2010-03-12,0,300,110
IR000408560,2010-03-13,0,310,120
IR000408560,2010-03-14,0,320,110
IR000408560,2010-03-15,0,320,140
IR000408560,2010-03-16,0,330,110
IR000408560,2010-03-17,0,340,180
IR000408560,2010-03-18,0,320,190
IR000408560,2010-03-19,0,320,180
IR000408560,2010-03-20,0,270,150
IR000408560,2010-03-21,0,310,80
IR000408560,2010-03-22,0,270,140
IR000408560,2010-03-23,0,250,80
IR000408560,2010-03-24,0,250,100
IR000408560,2010-03-25,0,270,60
IR000408560,2010-03-26,NA,260,120
IR000408560,2010-03-27,0,240,100
IR000408560,2010-03-28,0,310,80
IR000408560,2010-03-29,NA,280,160
IR000408560,2010-03-30,0,250,140
IR000408560,2010-03-31,0,280,110
IR000408560,2010-04-01,0,270,130
IR000408560,2010-04-02,NA,290,120
IR000408560,2010-04-03,NA,240,120
IR000408560,2010-04-04,0,270,80
IR000408560,2010-04-05,0,300,90
IR000408560,2010-04-06,0,300,100
IR000408560,2010-04-07,0,290,140
IR000408560,2010-04-08,0,300,120
IR000408560,2010-04-09,NA,330,140
IR000408560,2010-04-10,0,310,200
IR000408560,2010-04-11,0,320,180
IR000408560,2010-04-12,0,280,160
IR000408560,2010-04-13,0,310,120
IR000408560,2010-04-14,0,330,210
IR000408560,2010-04-15,0,310,170
IR000408560,2010-04-16,0,340,150
IR000408560,2010-04-17,0,320,160
IR000408560,2010-04-18,0,310,180
IR000408560,2010-04-19,0,300,150
IR000408560,2010-04-20,0,260,130
IR000408560,2010-04-21,0,280,100
IR000408560,2010-04-22,0,310,120
IR000408560,2010-04-23,0,340,130
IR000408560,2010-04-24,0,340,210
IR000408560,2010-04-25,0,330,150
IR000408560,2010-04-26,0,310,170
IR000408560,2010-04-27,0,320,130
IR000408560,2010-04-28,0,330,150
IR000408560,2010-04-29,0,310,200
IR000408560,2010-04-30,0,340,160
IR000408560,2010-05-01,0,350,220
IR000408560,2010-05-02,84,340,210
IR000408560,2010-05-03,0,340,240
IR000408560,2010-05-04,0,320,220
IR000408560,2010-05-05,NA,300,150
IR000408560,2010-05-06,NA,290,210
IR000408560,2010-05-07,0,300,140
IR000408560,2010-05-08,0,310,150
IR000408560,2010-05-09,0,300,160
IR000408560,2010-05-10,NA,320,140
IR000408560,2010-05-11,0,340,160
IR000408560,2010-05-12,NA,340,240
IR000408560,2010-05-13,NA,330,200
IR000408560,2010-05-14,0,330,170
IR000408560,2010-05-15,0,370,170
IR000408560,2010-05-16,0,320,210
IR000408560,2010-05-17,NA,310,140
IR000408560,2010-05-18,3,350,220
IR000408560,2010-05-19,0,350,0
IR000408560,2010-05-20,NA,NA,NA
IR000408560,2010-05-21,NA,NA,NA
IR000408560,2010-05-22,NA,NA,NA
IR000408560,2010-05-23,NA,NA,NA
IR000408560,2010-05-24,NA,NA,NA
IR000408560,2010-05-25,0,NA,NA
IR000408560,2010-05-26,0,NA,NA
IR000408560,2010-05-27,0,NA,NA
IR000408560,2010-05-28,0,NA,NA
IR000408560,2010-05-29,0,NA,NA
IR000408560,2010-05-30,0,NA,NA
IR000408560,2010-05-31,0,NA,NA
IR000408560,2010-06-01,0,NA,214
IR000408560,2010-06-02,NA,350,NA
IR000408560,2010-06-03,0,NA,NA
IR000408560,2010-06-04,0,314,NA
IR000408560,2010-06-05,0,311,131
IR000408560,2010-06-06,NA,321,NA
IR000408560,2010-06-07,NA,NA,NA
IR000408560,2010-06-08,NA,352,NA
IR000408560,2010-06-09,0,364,148
IR000408560,2010-06-10,0,362,177
IR000408560,2010-06-11,0,NA,184
IR000408560,2010-06-12,NA,NA,NA
IR000408560,2010-06-13,701,NA,NA
