id,date,prcp,tmax,tmin
IRM00040831,2010-01-01,NA,160,NA
IRM00040831,2010-01-02,0,176,NA
IRM00040831,2010-01-03,0,174,NA
IRM00040831,2010-01-04,0,230,NA
IRM00040831,2010-01-05,NA,238,NA
IRM00040831,2010-01-06,0,214,110
IRM00040831,2010-01-07,0,212,NA
IRM00040831,2010-01-08,0,204,NA
IRM00040831,2010-01-09,0,214,NA
IRM00040831,2010-01-10,0,NA,NA
IRM00040831,2010-01-11,0,240,NA
IRM00040831,2010-01-12,0,236,90
IRM00040831,2010-01-13,NA,210,114
IRM00040831,2010-01-14,0,234,NA
IRM00040831,2010-01-15,0,234,NA
IRM00040831,2010-01-16,0,248,NA
IRM00040831,2010-01-17,NA,NA,120
IRM00040831,2010-01-18,0,224,NA
IRM00040831,2010-01-19,5,226,NA
IRM00040831,2010-01-20,0,242,154
IRM00040831,2010-01-21,NA,238,NA
IRM00040831,2010-01-22,0,222,NA
IRM00040831,2010-01-23,NA,214,100
IRM00040831,2010-01-24,0,204,NA
IRM00040831,2010-01-25,10,240,NA
IRM00040831,2010-01-26,0,186,NA
IRM00040831,2010-01-27,0,NA,NA
IRM00040831,2010-01-28,0,146,NA
IRM00040831,2010-01-29,0,NA,70
IRM00040831,2010-01-30,NA,NA,120
IRM00040831,2010-01-31,0,230,142
IRM00040831,2010-02-01,8,NA,NA
IRM00040831,2010-02-02,0,248,NA
IRM00040831,2010-02-03,8,226,NA
IRM00040831,2010-02-04,0,NA,NA
IRM00040831,2010-02-05,23,174,NA
IRM00040831,2010-02-06,0,164,NA
IRM00040831,2010-02-07,0,132,NA
IRM00040831,2010-02-08,0,176,NA
IRM00040831,2010-02-09,0,180,40
IRM00040831,2010-02-10,0,216,NA
IRM00040831,2010-02-11,NA,218,NA
IRM00040831,2010-02-12,NA,NA,NA
IRM00040831,2010-02-13,0,240,NA
IRM00040831,2010-02-14,0,278,140
IRM00040831,2010-02-15,0,286,NA
IRM00040831,2010-02-16,NA,298,NA
IRM00040831,2010-02-17,0,284,170
