id,date,prcp,tmax,tmin
IS000051690,2010-01-01,0,220,116
IS000051690,2010-01-02,0,279,93
IS000051690,2010-01-03,0,214,88
IS000051690,2010-01-04,0,202,91
IS000051690,2010-01-05,0,200,85
IS000051690,2010-01-06,0,251,78
IS000051690,2010-01-07,0,283,110
IS000051690,2010-01-08,0,288,113
IS000051690,2010-01-09,0,292,98
IS000051690,2010-01-10,0,307,115
IS000051690,2010-01-11,0,257,104
IS000051690,2010-01-12,0,208,109
IS000051690,2010-01-13,0,197,122
IS000051690,2010-01-14,0,222,80
IS000051690,2010-01-15,0,226,82
IS000051690,2010-01-16,384,268,89
IS000051690,2010-01-17,36,291,141
IS000051690,2010-01-18,4,210,136
IS000051690,2010-01-19,1,177,106
IS000051690,2010-01-20,0,162,127
IS000051690,2010-01-21,0,174,76
IS000051690,2010-01-22,0,200,58
IS000051690,2010-01-23,81,207,86
IS000051690,2010-01-24,34,179,89
IS000051690,2010-01-25,0,138,98
IS000051690,2010-01-26,0,140,102
IS000051690,2010-01-27,0,183,80
IS000051690,2010-01-28,0,232,85
IS000051690,2010-01-29,4,245,79
IS000051690,2010-01-30,0,261,146
IS000051690,2010-01-31,0,216,109
IS000051690,2010-02-01,0,217,82
IS000051690,2010-02-02,231,197,75
IS000051690,2010-02-03,64,166,80
IS000051690,2010-02-04,144,125,73
IS000051690,2010-02-05,0,117,79
IS000051690,2010-02-06,0,141,55
IS000051690,2010-02-07,0,174,42
IS000051690,2010-02-08,0,198,71
IS000051690,2010-02-09,0,203,121
IS000051690,2010-02-10,0,226,75
IS000051690,2010-02-11,0,277,128
IS000051690,2010-02-12,0,237,129
IS000051690,2010-02-13,0,281,117
IS000051690,2010-02-14,0,313,147
IS000051690,2010-02-15,0,331,190
IS000051690,2010-02-16,0,290,175
IS000051690,2010-02-17,0,322,141
IS000051690,2010-02-18,0,322,167
IS000051690,2010-02-19,0,273,126
IS000051690,2010-02-20,0,280,131
IS000051690,2010-02-21,0,327,136
IS000051690,2010-02-22,0,200,137
IS000051690,2010-02-23,0,210,107
IS000051690,2010-02-24,41,211,90
IS000051690,2010-02-25,227,211,102
IS000051690,2010-02-26,13,174,110
IS000051690,2010-02-27,29,176,106
IS000051690,2010-02-28,0,185,116
IS000051690,2010-03-01,0,191,125
IS000051690,2010-03-02,0,230,114
IS000051690,2010-03-03,0,199,143
IS000051690,2010-03-04,0,212,126
IS000051690,2010-03-05,0,307,132
IS000051690,2010-03-06,0,233,127
IS000051690,2010-03-07,0,259,99
IS000051690,2010-03-08,0,344,143
IS000051690,2010-03-09,0,366,204
IS000051690,2010-03-10,0,328,159
IS000051690,2010-03-11,0,375,203
IS000051690,2010-03-12,0,336,174
IS000051690,2010-03-13,0,331,159
IS000051690,2010-03-14,0,364,195
IS000051690,2010-03-15,0,378,180
IS000051690,2010-03-16,10,203,145
IS000051690,2010-03-17,5,215,115
IS000051690,2010-03-18,0,185,114
IS000051690,2010-03-19,0,201,78
IS000051690,2010-03-20,0,221,78
IS000051690,2010-03-21,0,257,77
IS000051690,2010-03-22,0,285,155
IS000051690,2010-03-23,0,289,174
IS000051690,2010-03-24,0,267,154
IS000051690,2010-03-25,146,218,150
IS000051690,2010-03-26,57,186,97
IS000051690,2010-03-27,0,184,134
IS000051690,2010-03-28,0,242,146
IS000051690,2010-03-29,0,223,139
IS000051690,2010-03-30,0,221,106
IS000051690,2010-03-31,0,246,82
IS000051690,2010-04-01,0,298,103
IS000051690,2010-04-02,0,335,118
IS000051690,2010-04-03,0,372,165
IS000051690,2010-04-04,0,277,161
IS000051690,2010-04-05,0,270,135
IS000051690,2010-04-06,0,261,167
IS000051690,2010-04-07,0,233,157
IS000051690,2010-04-08,0,229,129
IS000051690,2010-04-09,0,237,106
IS000051690,2010-04-10,0,306,113
IS000051690,2010-04-11,0,367,201
IS000051690,2010-04-12,0,227,152
IS000051690,2010-04-13,0,244,115
IS000051690,2010-04-14,0,263,97
IS000051690,2010-04-15,0,293,112
IS000051690,2010-04-16,0,278,130
IS000051690,2010-04-17,0,287,174
IS000051690,2010-04-18,0,316,125
IS000051690,2010-04-19,0,346,150
IS000051690,2010-04-20,0,356,178
IS000051690,2010-04-21,0,274,182
IS000051690,2010-04-22,0,224,154
IS000051690,2010-04-23,0,242,142
IS000051690,2010-04-24,0,281,103
IS000051690,2010-04-25,0,306,127
IS000051690,2010-04-26,0,289,170
IS000051690,2010-04-27,0,362,131
IS000051690,2010-04-28,0,296,177
IS000051690,2010-04-29,5,265,149
IS000051690,2010-04-30,25,247,159
IS000051690,2010-05-01,54,268,128
IS000051690,2010-05-02,0,234,152
IS000051690,2010-05-03,0,272,113
IS000051690,2010-05-04,0,298,119
IS000051690,2010-05-05,0,308,127
IS000051690,2010-05-06,0,314,127
IS000051690,2010-05-07,0,356,132
IS000051690,2010-05-08,0,363,170
IS000051690,2010-05-09,0,389,184
IS000051690,2010-05-10,0,379,211
IS000051690,2010-05-11,0,298,191
IS000051690,2010-05-12,0,320,141
IS000051690,2010-05-13,0,321,165
IS000051690,2010-05-14,0,340,145
IS000051690,2010-05-15,0,352,180
IS000051690,2010-05-16,0,389,194
IS000051690,2010-05-17,0,352,222
IS000051690,2010-05-18,0,275,199
IS000051690,2010-05-19,0,269,180
IS000051690,2010-05-20,0,275,152
IS000051690,2010-05-21,0,301,141
IS000051690,2010-05-22,0,360,175
IS000051690,2010-05-23,0,264,183
IS000051690,2010-05-24,0,277,178
IS000051690,2010-05-25,0,313,156
IS000051690,2010-05-26,0,368,155
IS000051690,2010-05-27,0,337,230
IS000051690,2010-05-28,0,302,201
IS000051690,2010-05-29,0,311,195
IS000051690,2010-05-30,0,337,185
IS000051690,2010-05-31,0,357,173
IS000051690,2010-06-01,0,412,177
IS000051690,2010-06-02,0,365,220
IS000051690,2010-06-03,0,340,215
IS000051690,2010-06-04,0,309,195
IS000051690,2010-06-05,0,309,204
IS000051690,2010-06-06,0,361,181
IS000051690,2010-06-07,0,375,216
IS000051690,2010-06-08,0,296,206
IS000051690,2010-06-09,0,292,199
IS000051690,2010-06-10,0,321,171
IS000051690,2010-06-11,0,398,201
IS000051690,2010-06-12,0,329,229
IS000051690,2010-06-13,0,334,222
IS000051690,2010-06-14,0,332,211
IS000051690,2010-06-15,0,332,191
IS000051690,2010-06-16,0,350,213
IS000051690,2010-06-17,0,363,211
IS000051690,2010-06-18,0,377,220
IS000051690,2010-06-19,0,362,216
IS000051690,2010-06-20,0,395,205
IS000051690,2010-06-21,0,426,236
IS000051690,2010-06-22,0,362,261
IS000051690,2010-06-23,0,348,216
IS000051690,2010-06-24,0,306,229
IS000051690,2010-06-25,0,302,206
IS000051690,2010-06-26,0,303,209
IS000051690,2010-06-27,0,319,195
IS000051690,2010-06-28,0,360,175
IS000051690,2010-06-29,0,420,210
IS000051690,2010-06-30,0,321,221
IS000051690,2010-07-01,0,320,206
IS000051690,2010-07-02,0,328,209
IS000051690,2010-07-03,0,339,206
IS000051690,2010-07-04,0,339,223
IS000051690,2010-07-05,0,352,232
IS000051690,2010-07-06,0,365,230
IS000051690,2010-07-07,0,360,210
IS000051690,2010-07-08,0,344,233
IS000051690,2010-07-09,0,353,209
IS000051690,2010-07-10,0,343,232
IS000051690,2010-07-11,0,341,235
IS000051690,2010-07-12,0,351,242
IS000051690,2010-07-13,0,364,236
IS000051690,2010-07-14,0,355,234
IS000051690,2010-07-15,0,353,238
IS000051690,2010-07-16,0,378,237
IS000051690,2010-07-17,0,365,234
IS000051690,2010-07-18,0,363,218
IS000051690,2010-07-19,0,363,229
IS000051690,2010-07-20,0,350,238
IS000051690,2010-07-21,0,331,234
IS000051690,2010-07-22,0,355,239
IS000051690,2010-07-23,0,348,236
IS000051690,2010-07-24,0,350,248
IS000051690,2010-07-25,0,365,232
IS000051690,2010-07-26,0,379,225
IS000051690,2010-07-27,0,363,221
IS000051690,2010-07-28,0,321,231
IS000051690,2010-07-29,0,340,230
IS000051690,2010-07-30,0,354,240
IS000051690,2010-07-31,0,363,261
IS000051690,2010-08-01,0,384,268
IS000051690,2010-08-02,0,368,264
IS000051690,2010-08-03,0,368,258
IS000051690,2010-08-04,0,366,259
IS000051690,2010-08-05,0,400,229
IS000051690,2010-08-06,0,438,240
IS000051690,2010-08-07,0,397,263
IS000051690,2010-08-08,0,364,256
IS000051690,2010-08-09,0,354,242
IS000051690,2010-08-10,0,349,240
IS000051690,2010-08-11,0,361,244
IS000051690,2010-08-12,0,360,250
IS000051690,2010-08-13,0,360,246
IS000051690,2010-08-14,0,357,222
IS000051690,2010-08-15,0,367,261
IS000051690,2010-08-16,0,383,261
IS000051690,2010-08-17,0,399,240
IS000051690,2010-08-18,0,417,255
IS000051690,2010-08-19,0,410,257
IS000051690,2010-08-20,0,392,271
IS000051690,2010-08-21,0,365,267
IS000051690,2010-08-22,0,366,255
IS000051690,2010-08-23,0,363,255
IS000051690,2010-08-24,0,371,253
IS000051690,2010-08-25,0,352,259
IS000051690,2010-08-26,0,352,250
IS000051690,2010-08-27,0,365,221
IS000051690,2010-08-28,0,368,251
IS000051690,2010-08-29,0,365,232
IS000051690,2010-08-30,0,350,225
IS000051690,2010-08-31,0,344,223
IS000051690,2010-09-01,0,351,212
IS000051690,2010-09-02,0,322,236
IS000051690,2010-09-03,0,352,224
IS000051690,2010-09-04,0,357,217
IS000051690,2010-09-05,0,352,234
IS000051690,2010-09-06,0,350,228
IS000051690,2010-09-07,0,352,247
IS000051690,2010-09-08,0,349,229
IS000051690,2010-09-09,0,354,197
IS000051690,2010-09-10,0,353,205
IS000051690,2010-09-11,0,341,218
IS000051690,2010-09-12,0,336,234
IS000051690,2010-09-13,0,321,218
IS000051690,2010-09-14,0,323,209
IS000051690,2010-09-15,0,336,196
IS000051690,2010-09-16,2,340,214
IS000051690,2010-09-17,0,302,246
IS000051690,2010-09-18,0,308,211
IS000051690,2010-09-19,0,355,190
IS000051690,2010-09-20,1,366,201
IS000051690,2010-09-21,0,361,250
IS000051690,2010-09-22,0,372,247
IS000051690,2010-09-23,0,355,248
IS000051690,2010-09-24,0,365,238
IS000051690,2010-09-25,0,353,255
IS000051690,2010-09-26,0,378,217
IS000051690,2010-09-27,0,385,232
IS000051690,2010-09-28,0,366,212
IS000051690,2010-09-29,0,346,196
IS000051690,2010-09-30,0,390,202
IS000051690,2010-10-01,0,392,218
IS000051690,2010-10-02,0,395,234
IS000051690,2010-10-03,0,376,253
IS000051690,2010-10-04,0,330,228
IS000051690,2010-10-05,0,314,204
IS000051690,2010-10-06,0,319,175
IS000051690,2010-10-07,0,299,180
IS000051690,2010-10-08,0,288,178
IS000051690,2010-10-09,0,290,187
IS000051690,2010-10-10,0,339,173
IS000051690,2010-10-11,0,305,191
IS000051690,2010-10-12,0,322,167
IS000051690,2010-10-13,0,352,173
IS000051690,2010-10-14,0,389,204
IS000051690,2010-10-15,0,395,209
IS000051690,2010-10-16,0,362,197
IS000051690,2010-10-17,0,347,201
IS000051690,2010-10-18,0,361,196
IS000051690,2010-10-19,0,412,207
IS000051690,2010-10-20,0,417,242
IS000051690,2010-10-21,0,342,231
IS000051690,2010-10-22,0,305,222
IS000051690,2010-10-23,0,295,206
IS000051690,2010-10-24,0,295,176
IS000051690,2010-10-25,0,287,164
IS000051690,2010-10-26,0,300,143
IS000051690,2010-10-27,0,331,151
IS000051690,2010-10-28,16,371,188
IS000051690,2010-10-29,2,275,212
IS000051690,2010-10-30,0,248,178
IS000051690,2010-10-31,0,278,159
IS000051690,2010-11-01,0,263,150
IS000051690,2010-11-02,0,293,144
IS000051690,2010-11-03,0,304,158
IS000051690,2010-11-04,0,325,197
IS000051690,2010-11-05,0,338,193
IS000051690,2010-11-06,0,307,148
IS000051690,2010-11-07,0,275,139
IS000051690,2010-11-08,0,278,127
IS000051690,2010-11-09,0,306,116
IS000051690,2010-11-10,0,309,146
IS000051690,2010-11-11,0,286,154
IS000051690,2010-11-12,0,329,188
IS000051690,2010-11-13,0,329,159
IS000051690,2010-11-14,0,352,166
IS000051690,2010-11-15,9,339,199
IS000051690,2010-11-16,0,310,152
IS000051690,2010-11-17,0,293,154
IS000051690,2010-11-18,0,294,150
IS000051690,2010-11-19,0,333,129
IS000051690,2010-11-20,0,298,131
IS000051690,2010-11-21,0,260,186
IS000051690,2010-11-22,0,251,146
IS000051690,2010-11-23,0,265,112
IS000051690,2010-11-24,0,278,110
IS000051690,2010-11-25,0,287,104
IS000051690,2010-11-26,0,285,99
IS000051690,2010-11-27,0,296,114
IS000051690,2010-11-28,0,304,114
IS000051690,2010-11-29,0,301,146
IS000051690,2010-11-30,0,315,124
IS000051690,2010-12-01,0,308,121
IS000051690,2010-12-02,0,306,115
IS000051690,2010-12-03,0,294,121
IS000051690,2010-12-04,0,308,126
IS000051690,2010-12-05,2,270,114
IS000051690,2010-12-06,0,206,148
IS000051690,2010-12-07,0,217,127
IS000051690,2010-12-08,0,240,99
IS000051690,2010-12-09,0,242,116
IS000051690,2010-12-10,0,219,105
IS000051690,2010-12-11,0,214,152
IS000051690,2010-12-12,0,155,102
IS000051690,2010-12-13,0,169,103
IS000051690,2010-12-14,0,211,76
IS000051690,2010-12-15,0,234,51
IS000051690,2010-12-16,0,279,91
IS000051690,2010-12-17,0,249,102
IS000051690,2010-12-18,0,191,108
IS000051690,2010-12-19,0,200,52
IS000051690,2010-12-20,0,213,67
IS000051690,2010-12-21,0,243,83
IS000051690,2010-12-22,0,241,94
IS000051690,2010-12-23,0,229,80
IS000051690,2010-12-24,0,226,81
IS000051690,2010-12-25,0,234,82
IS000051690,2010-12-26,0,262,78
IS000051690,2010-12-27,0,257,90
IS000051690,2010-12-28,0,279,110
IS000051690,2010-12-29,9,206,128
IS000051690,2010-12-30,125,193,133
IS000051690,2010-12-31,1,185,127
IS000051690,2011-01-01,0,155,125
IS000051690,2011-01-02,0,204,97
IS000051690,2011-01-03,0,204,78
IS000051690,2011-01-04,0,183,76
IS000051690,2011-01-05,0,186,70
IS000051690,2011-01-06,53,179,93
IS000051690,2011-01-07,50,192,70
IS000051690,2011-01-08,6,150,98
IS000051690,2011-01-09,0,153,78
IS000051690,2011-01-10,0,172,86
IS000051690,2011-01-11,0,187,80
IS000051690,2011-01-12,0,210,72
IS000051690,2011-01-13,6,214,100
IS000051690,2011-01-14,11,192,58
IS000051690,2011-01-15,0,148,87
IS000051690,2011-01-16,0,183,78
IS000051690,2011-01-17,0,200,83
IS000051690,2011-01-18,0,185,125
IS000051690,2011-01-19,0,193,83
IS000051690,2011-01-20,0,209,65
IS000051690,2011-01-21,0,205,65
IS000051690,2011-01-22,0,217,85
IS000051690,2011-01-23,0,205,63
IS000051690,2011-01-24,0,196,60
IS000051690,2011-01-25,0,176,62
IS000051690,2011-01-26,0,191,63
IS000051690,2011-01-27,6,240,102
IS000051690,2011-01-28,5,230,100
IS000051690,2011-01-29,176,236,137
IS000051690,2011-01-30,232,160,121
IS000051690,2011-01-31,272,155,101
IS000051690,2011-02-01,2,134,103
IS000051690,2011-02-02,0,154,86
IS000051690,2011-02-03,13,145,53
IS000051690,2011-02-04,0,186,123
IS000051690,2011-02-05,1,170,123
IS000051690,2011-02-06,91,196,110
IS000051690,2011-02-07,0,196,110
IS000051690,2011-02-08,6,174,119
IS000051690,2011-02-09,9,169,120
IS000051690,2011-02-10,128,153,104
IS000051690,2011-02-11,0,160,90
IS000051690,2011-02-12,0,162,73
IS000051690,2011-02-13,0,163,66
IS000051690,2011-02-14,0,191,85
IS000051690,2011-02-15,28,236,112
IS000051690,2011-02-16,0,180,126
IS000051690,2011-02-17,0,195,121
IS000051690,2011-02-18,0,239,74
IS000051690,2011-02-19,19,266,115
IS000051690,2011-02-20,0,191,108
