id,date,prcp,tmax,tmin
ISE00105694,2010-01-01,0,216,129
ISE00105694,2010-01-02,0,249,92
ISE00105694,2010-01-03,0,220,108
ISE00105694,2010-01-04,3,200,126
ISE00105694,2010-01-05,0,207,143
ISE00105694,2010-01-06,0,237,91
ISE00105694,2010-01-07,0,250,76
ISE00105694,2010-01-08,0,258,88
ISE00105694,2010-01-09,0,234,69
ISE00105694,2010-01-10,0,266,67
ISE00105694,2010-01-11,0,231,82
ISE00105694,2010-01-12,0,201,107
ISE00105694,2010-01-13,0,205,127
ISE00105694,2010-01-14,0,215,97
ISE00105694,2010-01-15,0,230,88
ISE00105694,2010-01-16,0,237,61
ISE00105694,2010-01-17,118,263,92
ISE00105694,2010-01-18,97,198,150
ISE00105694,2010-01-19,21,182,117
ISE00105694,2010-01-20,167,180,132
ISE00105694,2010-01-21,53,148,107
ISE00105694,2010-01-22,0,201,65
ISE00105694,2010-01-23,0,205,90
ISE00105694,2010-01-24,128,187,107
ISE00105694,2010-01-25,17,171,113
ISE00105694,2010-01-26,0,145,111
ISE00105694,2010-01-27,0,168,59
ISE00105694,2010-01-28,0,214,45
ISE00105694,2010-01-29,0,236,99
ISE00105694,2010-01-30,7,272,98
ISE00105694,2010-01-31,0,229,116
ISE00105694,2010-02-01,0,206,85
ISE00105694,2010-02-02,0,201,68
ISE00105694,2010-02-03,40,178,83
ISE00105694,2010-02-04,12,152,95
ISE00105694,2010-02-05,126,148,90
ISE00105694,2010-02-06,0,148,27
ISE00105694,2010-02-07,0,184,25
ISE00105694,2010-02-08,0,187,55
ISE00105694,2010-02-09,0,209,137
ISE00105694,2010-02-10,0,221,81
ISE00105694,2010-02-11,0,274,112
ISE00105694,2010-02-12,0,229,139
ISE00105694,2010-02-13,0,272,92
ISE00105694,2010-02-14,0,311,113
ISE00105694,2010-02-15,0,331,173
ISE00105694,2010-02-16,0,270,140
ISE00105694,2010-02-17,0,297,149
ISE00105694,2010-02-18,0,304,133
ISE00105694,2010-02-19,0,243,142
ISE00105694,2010-02-20,0,266,96
ISE00105694,2010-02-21,0,315,105
ISE00105694,2010-02-22,0,202,158
ISE00105694,2010-02-23,0,205,127
ISE00105694,2010-02-24,0,202,114
ISE00105694,2010-02-25,840,210,93
ISE00105694,2010-02-26,217,187,121
ISE00105694,2010-02-27,0,191,124
ISE00105694,2010-02-28,219,187,121
ISE00105694,2010-03-01,37,194,149
ISE00105694,2010-03-02,0,212,121
ISE00105694,2010-03-03,0,204,122
ISE00105694,2010-03-04,0,205,127
ISE00105694,2010-03-05,0,300,104
ISE00105694,2010-03-06,0,215,119
ISE00105694,2010-03-07,0,222,107
ISE00105694,2010-03-08,0,338,119
ISE00105694,2010-03-09,0,346,185
ISE00105694,2010-03-10,0,264,159
ISE00105694,2010-03-11,0,368,164
ISE00105694,2010-03-12,0,258,158
ISE00105694,2010-03-13,0,246,170
ISE00105694,2010-03-14,0,333,146
ISE00105694,2010-03-15,0,335,175
ISE00105694,2010-03-16,0,204,167
ISE00105694,2010-03-17,25,190,125
ISE00105694,2010-03-18,13,189,122
ISE00105694,2010-03-19,0,187,87
ISE00105694,2010-03-20,0,200,65
ISE00105694,2010-03-21,0,245,55
ISE00105694,2010-03-22,0,265,92
ISE00105694,2010-03-23,0,288,148
ISE00105694,2010-03-24,0,225,135
