id,date,prcp,tmax,tmin
IT000016320,2010-01-01,0,184,NA
IT000016320,2010-01-02,0,162,98
IT000016320,2010-01-03,NA,NA,NA
IT000016320,2010-01-04,NA,NA,NA
IT000016320,2010-01-05,NA,NA,70
IT000016320,2010-01-06,0,184,NA
IT000016320,2010-01-07,NA,180,106
IT000016320,2010-01-08,NA,170,116
IT000016320,2010-01-09,0,172,NA
IT000016320,2010-01-10,0,130,NA
IT000016320,2010-01-11,NA,120,44
IT000016320,2010-01-12,NA,110,68
IT000016320,2010-01-13,NA,102,NA
IT000016320,2010-01-14,NA,114,NA
IT000016320,2010-01-15,NA,NA,28
IT000016320,2010-01-16,0,122,NA
IT000016320,2010-01-17,NA,106,68
IT000016320,2010-01-18,NA,120,78
IT000016320,2010-01-19,0,102,NA
IT000016320,2010-01-20,0,102,NA
IT000016320,2010-01-21,20,100,8
IT000016320,2010-01-22,41,90,NA
IT000016320,2010-01-23,61,82,24
IT000016320,2010-01-24,0,84,NA
IT000016320,2010-01-25,0,NA,60
IT000016320,2010-01-26,5,134,NA
IT000016320,2010-01-27,130,94,86
IT000016320,2010-01-28,89,104,NA
IT000016320,2010-01-29,20,NA,NA
IT000016320,2010-01-30,0,134,60
IT000016320,2010-01-31,20,NA,NA
IT000016320,2010-02-01,5,100,NA
IT000016320,2010-02-02,NA,86,NA
IT000016320,2010-02-03,NA,NA,NA
IT000016320,2010-02-04,NA,NA,NA
IT000016320,2010-02-05,0,130,NA
IT000016320,2010-02-06,8,NA,NA
IT000016320,2010-02-07,0,100,NA
IT000016320,2010-02-08,66,86,NA
IT000016320,2010-02-09,33,106,NA
IT000016320,2010-02-10,3,150,90
IT000016320,2010-02-11,409,NA,NA
IT000016320,2010-02-12,0,NA,NA
IT000016320,2010-02-13,NA,NA,36
IT000016320,2010-02-14,33,NA,58
IT000016320,2010-02-15,124,120,64
IT000016320,2010-02-16,5,140,NA
IT000016320,2010-02-17,61,NA,100
IT000016320,2010-02-18,43,NA,116
