id,date,prcp,tmax,tmin
ITM00016206,2010-01-01,81,NA,90
ITM00016206,2010-01-02,5,142,NA
ITM00016206,2010-01-03,0,90,0
ITM00016206,2010-01-04,10,NA,40
ITM00016206,2010-01-05,551,NA,NA
ITM00016206,2010-01-06,79,126,NA
ITM00016206,2010-01-07,41,120,NA
ITM00016206,2010-01-08,51,156,90
ITM00016206,2010-01-09,249,112,NA
ITM00016206,2010-01-10,0,102,NA
ITM00016206,2010-01-11,0,90,NA
ITM00016206,2010-01-12,0,132,0
ITM00016206,2010-01-13,0,96,40
ITM00016206,2010-01-14,0,NA,4
ITM00016206,2010-01-15,0,132,62
ITM00016206,2010-01-16,0,114,NA
ITM00016206,2010-01-17,10,82,28
ITM00016206,2010-01-18,0,128,NA
ITM00016206,2010-01-19,0,140,10
ITM00016206,2010-01-20,0,104,-10
ITM00016206,2010-01-21,0,124,NA
ITM00016206,2010-01-22,0,110,-10
ITM00016206,2010-01-23,0,96,NA
ITM00016206,2010-01-24,0,102,NA
ITM00016206,2010-01-25,0,106,NA
ITM00016206,2010-01-26,5,64,48
ITM00016206,2010-01-27,41,104,NA
ITM00016206,2010-01-28,0,94,-16
ITM00016206,2010-01-29,0,98,NA
ITM00016206,2010-01-30,0,140,16
ITM00016206,2010-01-31,0,104,NA
ITM00016206,2010-02-01,0,90,NA
ITM00016206,2010-02-02,41,94,-20
ITM00016206,2010-02-03,0,134,4
ITM00016206,2010-02-04,0,144,28
ITM00016206,2010-02-05,51,126,NA
ITM00016206,2010-02-06,51,124,NA
ITM00016206,2010-02-07,0,122,NA
ITM00016206,2010-02-08,0,114,0
ITM00016206,2010-02-09,0,96,NA
ITM00016206,2010-02-10,180,NA,NA
ITM00016206,2010-02-11,51,104,NA
ITM00016206,2010-02-12,5,58,16
ITM00016206,2010-02-13,0,112,NA
ITM00016206,2010-02-14,0,NA,30
ITM00016206,2010-02-15,0,122,26
ITM00016206,2010-02-16,81,84,46
ITM00016206,2010-02-17,41,136,50
ITM00016206,2010-02-18,30,166,NA
ITM00016206,2010-02-19,41,156,108
ITM00016206,2010-02-20,0,146,NA
ITM00016206,2010-02-21,0,154,NA
ITM00016206,2010-02-22,61,144,86
ITM00016206,2010-02-23,20,176,NA
ITM00016206,2010-02-24,5,170,64
ITM00016206,2010-02-25,0,168,70
ITM00016206,2010-02-26,0,186,118
ITM00016206,2010-02-27,0,170,NA
ITM00016206,2010-02-28,0,154,100
ITM00016206,2010-03-01,71,180,NA
ITM00016206,2010-03-02,0,174,48
ITM00016206,2010-03-03,0,142,68
ITM00016206,2010-03-04,61,114,NA
ITM00016206,2010-03-05,5,82,30
ITM00016206,2010-03-06,0,110,NA
ITM00016206,2010-03-07,0,132,-14
ITM00016206,2010-03-08,0,112,38
ITM00016206,2010-03-09,130,NA,NA
ITM00016206,2010-03-10,61,104,NA
ITM00016206,2010-03-11,99,62,24
ITM00016206,2010-03-12,0,124,18
ITM00016206,2010-03-13,0,144,4
ITM00016206,2010-03-14,0,146,8
ITM00016206,2010-03-15,0,150,26
ITM00016206,2010-03-16,0,144,20
ITM00016206,2010-03-17,0,162,8
ITM00016206,2010-03-18,0,160,28
ITM00016206,2010-03-19,0,150,36
ITM00016206,2010-03-20,0,144,96
ITM00016206,2010-03-21,0,NA,NA
ITM00016206,2010-03-22,5,200,96
ITM00016206,2010-03-23,0,NA,NA
ITM00016206,2010-03-24,0,182,76
ITM00016206,2010-03-25,0,NA,NA
ITM00016206,2010-03-26,0,168,110
ITM00016206,2010-03-27,0,192,48
ITM00016206,2010-03-28,0,188,74
ITM00016206,2010-03-29,0,180,68
ITM00016206,2010-03-30,0,180,NA
ITM00016206,2010-03-31,0,194,66
ITM00016206,2010-04-01,0,168,NA
ITM00016206,2010-04-02,0,174,38
ITM00016206,2010-04-03,0,174,46
ITM00016206,2010-04-04,269,NA,48
ITM00016206,2010-04-05,79,170,NA
ITM00016206,2010-04-06,0,186,38
ITM00016206,2010-04-07,0,182,36
ITM00016206,2010-04-08,0,178,68
ITM00016206,2010-04-09,0,206,74
ITM00016206,2010-04-10,0,210,36
ITM00016206,2010-04-11,30,140,34
ITM00016206,2010-04-12,0,NA,54
ITM00016206,2010-04-13,8,176,NA
ITM00016206,2010-04-14,0,174,36
ITM00016206,2010-04-15,0,184,58
ITM00016206,2010-04-16,0,200,76
ITM00016206,2010-04-17,0,194,NA
ITM00016206,2010-04-18,0,196,50
ITM00016206,2010-04-19,0,202,54
ITM00016206,2010-04-20,0,214,NA
ITM00016206,2010-04-21,0,210,76
ITM00016206,2010-04-22,0,204,86
ITM00016206,2010-04-23,229,160,108
ITM00016206,2010-04-24,18,204,134
ITM00016206,2010-04-25,0,230,130
ITM00016206,2010-04-26,0,252,NA
ITM00016206,2010-04-27,0,224,NA
ITM00016206,2010-04-28,8,250,96
ITM00016206,2010-04-29,0,260,110
ITM00016206,2010-04-30,0,224,90
ITM00016206,2010-05-01,0,NA,96
ITM00016206,2010-05-02,89,172,NA
ITM00016206,2010-05-03,0,210,NA
ITM00016206,2010-05-04,140,214,130
ITM00016206,2010-05-05,8,180,NA
ITM00016206,2010-05-06,30,182,104
ITM00016206,2010-05-07,20,NA,90
ITM00016206,2010-05-08,0,188,NA
ITM00016206,2010-05-09,0,200,80
ITM00016206,2010-05-10,0,204,134
ITM00016206,2010-05-11,15,200,NA
ITM00016206,2010-05-12,0,222,104
ITM00016206,2010-05-13,0,224,116
ITM00016206,2010-05-14,0,210,110
ITM00016206,2010-05-15,160,142,NA
ITM00016206,2010-05-16,81,184,118
ITM00016206,2010-05-17,0,202,NA
ITM00016206,2010-05-18,0,212,72
ITM00016206,2010-05-19,89,184,96
ITM00016206,2010-05-20,0,232,100
ITM00016206,2010-05-21,0,246,86
ITM00016206,2010-05-22,0,262,100
ITM00016206,2010-05-23,0,260,118
