id,date,prcp,tmax,tmin
IV000005557,2010-01-01,NA,330,235
IV000005557,2010-01-02,NA,328,230
IV000005557,2010-01-03,NA,335,229
IV000005557,2010-01-04,NA,348,238
IV000005557,2010-01-05,NA,350,240
IV000005557,2010-01-06,NA,324,227
IV000005557,2010-01-07,NA,340,235
IV000005557,2010-01-08,NA,319,234
IV000005557,2010-01-09,NA,328,246
IV000005557,2010-01-10,NA,349,224
IV000005557,2010-01-11,NA,352,235
IV000005557,2010-01-12,NA,363,245
IV000005557,2010-01-13,NA,357,232
IV000005557,2010-01-14,NA,327,227
IV000005557,2010-01-15,NA,NA,NA
IV000005557,2010-01-16,NA,350,220
IV000005557,2010-01-17,NA,350,232
IV000005557,2010-01-18,NA,350,NA
IV000005557,2010-01-19,NA,342,237
IV000005557,2010-01-20,NA,350,218
IV000005557,2010-01-21,NA,356,224
IV000005557,2010-01-22,NA,360,230
IV000005557,2010-01-23,NA,352,245
IV000005557,2010-01-24,NA,355,NA
IV000005557,2010-01-25,NA,355,NA
IV000005557,2010-01-26,140,337,214
IV000005557,2010-01-27,0,335,214
IV000005557,2010-01-28,351,NA,205
IV000005557,2010-01-29,0,345,230
IV000005557,2010-01-30,NA,348,244
IV000005557,2010-01-31,NA,358,243
IV000005557,2010-02-01,NA,352,248
IV000005557,2010-02-02,NA,NA,NA
IV000005557,2010-02-03,NA,NA,NA
IV000005557,2010-02-04,NA,NA,NA
IV000005557,2010-02-05,NA,NA,NA
IV000005557,2010-02-06,NA,NA,NA
IV000005557,2010-02-07,NA,NA,NA
IV000005557,2010-02-08,NA,NA,NA
IV000005557,2010-02-09,NA,360,245
IV000005557,2010-02-10,NA,358,NA
IV000005557,2010-02-11,NA,324,NA
IV000005557,2010-02-12,NA,310,NA
IV000005557,2010-02-13,NA,345,238
IV000005557,2010-02-14,NA,358,235
IV000005557,2010-02-15,300,308,215
IV000005557,2010-02-16,0,NA,217
IV000005557,2010-02-17,NA,343,NA
IV000005557,2010-02-18,NA,NA,245
IV000005557,2010-02-19,NA,356,NA
IV000005557,2010-02-20,NA,NA,248
IV000005557,2010-02-21,30,354,215
IV000005557,2010-02-22,109,NA,NA
IV000005557,2010-02-23,851,334,212
IV000005557,2010-02-24,0,356,NA
IV000005557,2010-02-25,NA,354,255
IV000005557,2010-02-26,NA,352,NA
IV000005557,2010-02-27,NA,347,236
IV000005557,2010-02-28,NA,348,232
IV000005557,2010-03-01,NA,347,246
IV000005557,2010-03-02,NA,348,NA
IV000005557,2010-03-03,NA,NA,NA
IV000005557,2010-03-04,NA,NA,NA
IV000005557,2010-03-05,NA,NA,NA
IV000005557,2010-03-06,279,NA,244
IV000005557,2010-03-07,0,350,235
IV000005557,2010-03-08,NA,NA,NA
IV000005557,2010-03-09,NA,345,NA
IV000005557,2010-03-10,NA,323,NA
IV000005557,2010-03-11,NA,349,230
IV000005557,2010-03-12,20,348,NA
IV000005557,2010-03-13,0,347,243
IV000005557,2010-03-14,NA,348,NA
IV000005557,2010-03-15,NA,334,NA
IV000005557,2010-03-16,NA,348,NA
IV000005557,2010-03-17,10,NA,225
IV000005557,2010-03-18,61,350,NA
IV000005557,2010-03-19,150,334,234
IV000005557,2010-03-20,0,336,NA
IV000005557,2010-03-21,160,325,216
IV000005557,2010-03-22,0,345,239
IV000005557,2010-03-23,NA,343,NA
IV000005557,2010-03-24,NA,343,253
IV000005557,2010-03-25,NA,344,255
IV000005557,2010-03-26,NA,356,NA
IV000005557,2010-03-27,NA,352,NA
IV000005557,2010-03-28,NA,346,245
IV000005557,2010-03-29,NA,350,245
IV000005557,2010-03-30,NA,350,NA
IV000005557,2010-03-31,NA,345,240
IV000005557,2010-04-01,79,352,NA
IV000005557,2010-04-02,109,353,NA
IV000005557,2010-04-03,249,352,232
IV000005557,2010-04-04,0,354,246
IV000005557,2010-04-05,NA,357,NA
IV000005557,2010-04-06,20,323,228
IV000005557,2010-04-07,0,NA,NA
IV000005557,2010-04-08,NA,355,240
IV000005557,2010-04-09,221,356,226
IV000005557,2010-04-10,10,350,NA
IV000005557,2010-04-11,99,335,231
IV000005557,2010-04-12,0,NA,NA
IV000005557,2010-04-13,NA,NA,245
IV000005557,2010-04-14,NA,NA,NA
IV000005557,2010-04-15,NA,NA,246
IV000005557,2010-04-16,NA,NA,NA
IV000005557,2010-04-17,NA,NA,234
IV000005557,2010-04-18,51,353,227
IV000005557,2010-04-19,0,362,NA
IV000005557,2010-04-20,NA,345,246
IV000005557,2010-04-21,NA,NA,NA
