id,date,prcp,tmax,tmin
IVM00065563,2010-01-01,NA,325,190
IVM00065563,2010-01-02,NA,NA,204
IVM00065563,2010-01-03,NA,351,185
IVM00065563,2010-01-04,NA,339,175
IVM00065563,2010-01-05,NA,NA,218
IVM00065563,2010-01-06,NA,346,185
IVM00065563,2010-01-07,NA,NA,200
IVM00065563,2010-01-08,NA,362,200
IVM00065563,2010-01-09,NA,340,195
IVM00065563,2010-01-10,NA,354,198
IVM00065563,2010-01-11,NA,353,NA
IVM00065563,2010-01-12,NA,370,210
IVM00065563,2010-01-13,NA,365,180
IVM00065563,2010-01-14,NA,350,185
IVM00065563,2010-01-15,NA,372,189
IVM00065563,2010-01-16,NA,365,200
IVM00065563,2010-01-17,NA,369,200
IVM00065563,2010-01-18,NA,357,185
IVM00065563,2010-01-19,NA,350,195
IVM00065563,2010-01-20,NA,360,171
IVM00065563,2010-01-21,NA,360,165
IVM00065563,2010-01-22,NA,355,179
IVM00065563,2010-01-23,NA,348,202
IVM00065563,2010-01-24,NA,350,NA
IVM00065563,2010-01-25,NA,371,200
IVM00065563,2010-01-26,NA,365,200
IVM00065563,2010-01-27,0,351,NA
IVM00065563,2010-01-28,10,340,210
IVM00065563,2010-01-29,0,375,NA
IVM00065563,2010-01-30,NA,360,192
IVM00065563,2010-01-31,NA,370,175
IVM00065563,2010-02-01,NA,372,185
IVM00065563,2010-02-02,NA,374,NA
IVM00065563,2010-02-03,NA,375,NA
IVM00065563,2010-02-04,NA,375,222
IVM00065563,2010-02-05,NA,NA,220
IVM00065563,2010-02-06,NA,387,175
IVM00065563,2010-02-07,NA,377,178
IVM00065563,2010-02-08,NA,380,199
IVM00065563,2010-02-09,NA,375,193
IVM00065563,2010-02-10,NA,NA,NA
IVM00065563,2010-02-11,30,335,228
IVM00065563,2010-02-12,0,330,NA
IVM00065563,2010-02-13,20,365,220
IVM00065563,2010-02-14,0,NA,NA
IVM00065563,2010-02-15,201,337,207
IVM00065563,2010-02-16,0,NA,211
IVM00065563,2010-02-17,NA,360,225
IVM00065563,2010-02-18,61,364,215
IVM00065563,2010-02-19,0,358,NA
IVM00065563,2010-02-20,NA,355,NA
IVM00065563,2010-02-21,NA,364,194
IVM00065563,2010-02-22,NA,NA,202
IVM00065563,2010-02-23,NA,355,230
IVM00065563,2010-02-24,NA,371,215
IVM00065563,2010-02-25,NA,365,NA
IVM00065563,2010-02-26,NA,355,NA
IVM00065563,2010-02-27,3,356,245
IVM00065563,2010-02-28,0,350,220
IVM00065563,2010-03-01,NA,355,235
IVM00065563,2010-03-02,NA,340,244
IVM00065563,2010-03-03,51,359,214
IVM00065563,2010-03-04,0,355,NA
IVM00065563,2010-03-05,NA,355,230
IVM00065563,2010-03-06,NA,350,NA
IVM00065563,2010-03-07,NA,355,NA
IVM00065563,2010-03-08,51,345,228
IVM00065563,2010-03-09,0,355,234
IVM00065563,2010-03-10,909,315,NA
IVM00065563,2010-03-11,0,354,NA
IVM00065563,2010-03-12,NA,349,NA
IVM00065563,2010-03-13,NA,345,NA
IVM00065563,2010-03-14,NA,344,250
IVM00065563,2010-03-15,NA,340,230
IVM00065563,2010-03-16,NA,338,232
IVM00065563,2010-03-17,NA,NA,220
IVM00065563,2010-03-18,51,320,225
IVM00065563,2010-03-19,0,345,NA
IVM00065563,2010-03-20,NA,350,235
IVM00065563,2010-03-21,5,320,220
IVM00065563,2010-03-22,0,354,NA
IVM00065563,2010-03-23,NA,360,240
IVM00065563,2010-03-24,NA,345,245
IVM00065563,2010-03-25,NA,345,243
IVM00065563,2010-03-26,NA,370,240
IVM00065563,2010-03-27,NA,365,233
IVM00065563,2010-03-28,NA,360,250
IVM00065563,2010-03-29,NA,360,NA
IVM00065563,2010-03-30,NA,355,245
IVM00065563,2010-03-31,NA,360,NA
IVM00065563,2010-04-01,NA,365,NA
IVM00065563,2010-04-02,NA,370,245
IVM00065563,2010-04-03,NA,345,235
IVM00065563,2010-04-04,NA,372,250
IVM00065563,2010-04-05,NA,370,215
IVM00065563,2010-04-06,NA,320,NA
IVM00065563,2010-04-07,NA,373,210
IVM00065563,2010-04-08,NA,380,NA
IVM00065563,2010-04-09,NA,370,240
IVM00065563,2010-04-10,NA,NA,NA
IVM00065563,2010-04-11,NA,NA,224
IVM00065563,2010-04-12,NA,365,NA
IVM00065563,2010-04-13,NA,370,245
IVM00065563,2010-04-14,NA,372,NA
IVM00065563,2010-04-15,NA,370,244
IVM00065563,2010-04-16,41,340,210
IVM00065563,2010-04-17,340,364,200
IVM00065563,2010-04-18,191,360,220
IVM00065563,2010-04-19,0,363,250
IVM00065563,2010-04-20,10,NA,218
IVM00065563,2010-04-21,0,345,NA
IVM00065563,2010-04-22,NA,346,230
IVM00065563,2010-04-23,NA,345,217
IVM00065563,2010-04-24,NA,355,225
IVM00065563,2010-04-25,10,350,224
IVM00065563,2010-04-26,0,357,225
IVM00065563,2010-04-27,NA,326,232
IVM00065563,2010-04-28,239,355,NA
IVM00065563,2010-04-29,0,355,230
IVM00065563,2010-04-30,160,345,NA
IVM00065563,2010-05-01,10,345,224
IVM00065563,2010-05-02,5,320,220
IVM00065563,2010-05-03,0,342,220
IVM00065563,2010-05-04,NA,364,240
IVM00065563,2010-05-05,NA,358,NA
IVM00065563,2010-05-06,351,NA,215
IVM00065563,2010-05-07,0,345,225
IVM00065563,2010-05-08,10,345,225
IVM00065563,2010-05-09,0,NA,231
IVM00065563,2010-05-10,NA,347,NA
IVM00065563,2010-05-11,NA,339,235
IVM00065563,2010-05-12,NA,NA,NA
IVM00065563,2010-05-13,NA,355,NA
IVM00065563,2010-05-14,409,342,230
IVM00065563,2010-05-15,0,350,236
IVM00065563,2010-05-16,NA,346,245
IVM00065563,2010-05-17,NA,350,220
IVM00065563,2010-05-18,NA,335,215
IVM00065563,2010-05-19,NA,342,NA
IVM00065563,2010-05-20,NA,345,226
IVM00065563,2010-05-21,538,315,NA
IVM00065563,2010-05-22,NA,335,230
IVM00065563,2010-05-23,NA,340,230
IVM00065563,2010-05-24,5,332,245
IVM00065563,2010-05-25,0,345,235
IVM00065563,2010-05-26,NA,336,235
IVM00065563,2010-05-27,NA,340,NA
IVM00065563,2010-05-28,NA,350,229
IVM00065563,2010-05-29,NA,NA,NA
IVM00065563,2010-05-30,NA,NA,NA
IVM00065563,2010-05-31,NA,328,NA
IVM00065563,2010-06-01,NA,324,225
IVM00065563,2010-06-02,NA,340,215
IVM00065563,2010-06-03,0,337,224
IVM00065563,2010-06-04,691,330,224
IVM00065563,2010-06-05,0,330,210
IVM00065563,2010-06-06,NA,340,210
IVM00065563,2010-06-07,NA,290,NA
IVM00065563,2010-06-08,NA,345,205
IVM00065563,2010-06-09,0,330,235
IVM00065563,2010-06-10,130,312,220
IVM00065563,2010-06-11,0,325,225
IVM00065563,2010-06-12,NA,330,220
IVM00065563,2010-06-13,460,312,210
IVM00065563,2010-06-14,0,328,NA
IVM00065563,2010-06-15,71,325,230
IVM00065563,2010-06-16,89,NA,NA
IVM00065563,2010-06-17,0,325,220
IVM00065563,2010-06-18,NA,335,222
IVM00065563,2010-06-19,NA,335,238
IVM00065563,2010-06-20,NA,330,235
IVM00065563,2010-06-21,NA,328,235
IVM00065563,2010-06-22,0,330,235
IVM00065563,2010-06-23,0,325,NA
IVM00065563,2010-06-24,500,NA,NA
IVM00065563,2010-06-25,150,300,202
IVM00065563,2010-06-26,0,315,NA
IVM00065563,2010-06-27,NA,380,235
IVM00065563,2010-06-28,NA,325,224
IVM00065563,2010-06-29,NA,300,NA
IVM00065563,2010-06-30,NA,330,215
IVM00065563,2010-07-01,NA,297,NA
IVM00065563,2010-07-02,NA,320,217
IVM00065563,2010-07-03,NA,310,220
IVM00065563,2010-07-04,NA,NA,225
IVM00065563,2010-07-05,NA,320,225
IVM00065563,2010-07-06,NA,321,NA
IVM00065563,2010-07-07,NA,315,NA
IVM00065563,2010-07-08,0,330,228
IVM00065563,2010-07-09,NA,330,235
