id,date,prcp,tmax,tmin
IZ000040665,2010-01-01,NA,NA,NA
IZ000040665,2010-01-02,NA,NA,NA
IZ000040665,2010-01-03,NA,172,NA
IZ000040665,2010-01-04,NA,NA,NA
IZ000040665,2010-01-05,NA,NA,NA
IZ000040665,2010-01-06,NA,NA,NA
IZ000040665,2010-01-07,NA,215,NA
IZ000040665,2010-01-08,NA,NA,NA
IZ000040665,2010-01-09,NA,NA,NA
IZ000040665,2010-01-10,NA,NA,NA
IZ000040665,2010-01-11,NA,NA,NA
IZ000040665,2010-01-12,599,220,NA
IZ000040665,2010-01-13,NA,NA,NA
IZ000040665,2010-01-14,NA,NA,NA
IZ000040665,2010-01-15,NA,NA,NA
IZ000040665,2010-01-16,NA,NA,NA
IZ000040665,2010-01-17,NA,NA,NA
IZ000040665,2010-01-18,NA,NA,NA
IZ000040665,2010-01-19,NA,NA,NA
IZ000040665,2010-01-20,2162,178,NA
IZ000040665,2010-01-21,NA,NA,NA
IZ000040665,2010-01-22,NA,NA,NA
IZ000040665,2010-01-23,NA,NA,NA
IZ000040665,2010-01-24,NA,196,NA
IZ000040665,2010-01-25,NA,NA,NA
IZ000040665,2010-01-26,NA,NA,NA
IZ000040665,2010-01-27,NA,NA,NA
IZ000040665,2010-01-28,NA,NA,NA
IZ000040665,2010-01-29,NA,NA,NA
IZ000040665,2010-01-30,NA,NA,NA
IZ000040665,2010-01-31,NA,NA,NA
IZ000040665,2010-02-01,5,250,136
IZ000040665,2010-02-02,NA,NA,NA
IZ000040665,2010-02-03,NA,NA,NA
IZ000040665,2010-02-04,NA,NA,NA
IZ000040665,2010-02-05,NA,138,NA
IZ000040665,2010-02-06,NA,116,NA
IZ000040665,2010-02-07,NA,NA,NA
IZ000040665,2010-02-08,NA,NA,NA
IZ000040665,2010-02-09,NA,158,NA
IZ000040665,2010-02-10,NA,200,95
IZ000040665,2010-02-11,NA,NA,NA
IZ000040665,2010-02-12,NA,NA,NA
IZ000040665,2010-02-13,NA,258,NA
IZ000040665,2010-02-14,NA,NA,NA
IZ000040665,2010-02-15,NA,NA,120
IZ000040665,2010-02-16,NA,NA,NA
IZ000040665,2010-02-17,NA,NA,NA
IZ000040665,2010-02-18,NA,NA,NA
IZ000040665,2010-02-19,NA,NA,NA
IZ000040665,2010-02-20,NA,223,NA
IZ000040665,2010-02-21,NA,NA,NA
IZ000040665,2010-02-22,NA,NA,NA
IZ000040665,2010-02-23,NA,NA,NA
IZ000040665,2010-02-24,NA,NA,NA
IZ000040665,2010-02-25,NA,237,128
IZ000040665,2010-02-26,NA,NA,NA
IZ000040665,2010-02-27,NA,NA,NA
IZ000040665,2010-02-28,NA,NA,108
IZ000040665,2010-03-01,NA,215,NA
IZ000040665,2010-03-02,NA,197,118
IZ000040665,2010-03-03,NA,NA,105
IZ000040665,2010-03-04,NA,NA,NA
IZ000040665,2010-03-05,NA,224,96
IZ000040665,2010-03-06,NA,NA,NA
IZ000040665,2010-03-07,NA,NA,NA
IZ000040665,2010-03-08,NA,NA,NA
IZ000040665,2010-03-09,NA,320,NA
IZ000040665,2010-03-10,NA,NA,178
IZ000040665,2010-03-11,NA,NA,NA
IZ000040665,2010-03-12,NA,NA,184
IZ000040665,2010-03-13,NA,356,NA
IZ000040665,2010-03-14,NA,NA,181
IZ000040665,2010-03-15,NA,NA,NA
IZ000040665,2010-03-16,NA,358,198
IZ000040665,2010-03-17,NA,302,NA
IZ000040665,2010-03-18,NA,NA,NA
IZ000040665,2010-03-19,NA,NA,NA
IZ000040665,2010-03-20,NA,212,NA
IZ000040665,2010-03-21,NA,237,108
IZ000040665,2010-03-22,NA,NA,NA
IZ000040665,2010-03-23,NA,NA,NA
IZ000040665,2010-03-24,NA,NA,NA
IZ000040665,2010-03-25,NA,NA,NA
IZ000040665,2010-03-26,NA,NA,NA
IZ000040665,2010-03-27,NA,NA,NA
IZ000040665,2010-03-28,NA,NA,NA
IZ000040665,2010-03-29,NA,285,NA
IZ000040665,2010-03-30,NA,NA,NA
IZ000040665,2010-03-31,NA,NA,NA
IZ000040665,2010-04-01,NA,NA,150
IZ000040665,2010-04-02,NA,312,155
IZ000040665,2010-04-03,NA,NA,NA
IZ000040665,2010-04-04,NA,NA,NA
IZ000040665,2010-04-05,902,322,218
IZ000040665,2010-04-06,0,332,185
IZ000040665,2010-04-07,NA,NA,NA
IZ000040665,2010-04-08,NA,NA,NA
IZ000040665,2010-04-09,NA,NA,NA
