id,date,prcp,tmax,tmin
JA000047653,2010-01-01,0,66,21
JA000047653,2010-01-02,0,75,NA
JA000047653,2010-01-03,0,98,22
JA000047653,2010-01-04,0,NA,24
JA000047653,2010-01-05,0,94,NA
JA000047653,2010-01-06,0,78,36
JA000047653,2010-01-07,0,81,NA
JA000047653,2010-01-08,0,97,NA
JA000047653,2010-01-09,0,95,12
JA000047653,2010-01-10,0,101,19
JA000047653,2010-01-11,0,88,37
JA000047653,2010-01-12,41,67,NA
JA000047653,2010-01-13,0,55,NA
JA000047653,2010-01-14,0,60,7
JA000047653,2010-01-15,0,77,18
JA000047653,2010-01-16,0,69,NA
JA000047653,2010-01-17,0,86,NA
JA000047653,2010-01-18,0,98,-11
JA000047653,2010-01-19,0,134,NA
JA000047653,2010-01-20,0,135,16
JA000047653,2010-01-21,10,144,NA
JA000047653,2010-01-22,0,88,36
JA000047653,2010-01-23,0,89,NA
JA000047653,2010-01-24,0,96,NA
JA000047653,2010-01-25,0,82,-7
JA000047653,2010-01-26,0,92,NA
JA000047653,2010-01-27,0,104,2
JA000047653,2010-01-28,51,111,35
JA000047653,2010-01-29,0,114,NA
JA000047653,2010-01-30,0,111,28
JA000047653,2010-01-31,61,82,38
JA000047653,2010-02-01,150,72,39
JA000047653,2010-02-02,5,111,NA
JA000047653,2010-02-03,0,78,NA
JA000047653,2010-02-04,0,76,NA
JA000047653,2010-02-05,0,79,14
JA000047653,2010-02-06,NA,45,6
JA000047653,2010-02-07,0,81,NA
JA000047653,2010-02-08,0,97,9
JA000047653,2010-02-09,10,119,36
JA000047653,2010-02-10,0,174,67
JA000047653,2010-02-11,130,92,NA
JA000047653,2010-02-12,20,74,NA
JA000047653,2010-02-13,0,97,NA
JA000047653,2010-02-14,0,97,1
JA000047653,2010-02-15,198,NA,41
JA000047653,2010-02-16,0,94,NA
JA000047653,2010-02-17,0,64,25
JA000047653,2010-02-18,10,104,35
JA000047653,2010-02-19,0,96,NA
JA000047653,2010-02-20,0,89,29
JA000047653,2010-02-21,0,113,NA
JA000047653,2010-02-22,0,143,11
JA000047653,2010-02-23,0,151,NA
JA000047653,2010-02-24,0,174,36
JA000047653,2010-02-25,0,179,76
JA000047653,2010-02-26,201,166,NA
JA000047653,2010-02-27,231,155,NA
JA000047653,2010-02-28,211,148,NA
JA000047653,2010-03-01,5,163,58
JA000047653,2010-03-02,10,162,NA
JA000047653,2010-03-03,0,137,NA
JA000047653,2010-03-04,61,NA,74
JA000047653,2010-03-05,99,190,96
JA000047653,2010-03-06,218,132,NA
JA000047653,2010-03-07,290,86,NA
JA000047653,2010-03-08,0,106,NA
JA000047653,2010-03-09,211,101,NA
JA000047653,2010-03-10,79,110,NA
JA000047653,2010-03-11,0,100,NA
JA000047653,2010-03-12,0,133,13
JA000047653,2010-03-13,0,148,69
JA000047653,2010-03-14,0,160,66
JA000047653,2010-03-15,109,NA,72
JA000047653,2010-03-16,320,157,NA
JA000047653,2010-03-17,0,114,54
JA000047653,2010-03-18,0,128,55
JA000047653,2010-03-19,5,135,NA
JA000047653,2010-03-20,0,183,46
JA000047653,2010-03-21,79,144,NA
JA000047653,2010-03-22,0,133,53
JA000047653,2010-03-23,20,109,79
JA000047653,2010-03-24,279,90,NA
JA000047653,2010-03-25,239,99,NA
JA000047653,2010-03-26,0,120,NA
JA000047653,2010-03-27,0,122,36
JA000047653,2010-03-28,0,144,NA
JA000047653,2010-03-29,0,109,NA
JA000047653,2010-03-30,0,105,19
JA000047653,2010-03-31,0,136,28
JA000047653,2010-04-01,0,183,93
JA000047653,2010-04-02,140,134,NA
JA000047653,2010-04-03,0,149,NA
JA000047653,2010-04-04,0,155,60
JA000047653,2010-04-05,0,177,NA
JA000047653,2010-04-06,0,221,96
JA000047653,2010-04-07,0,140,NA
JA000047653,2010-04-08,0,155,75
JA000047653,2010-04-09,0,153,97
JA000047653,2010-04-10,0,217,104
JA000047653,2010-04-11,0,221,124
JA000047653,2010-04-12,188,144,NA
JA000047653,2010-04-13,NA,200,NA
JA000047653,2010-04-14,0,127,NA
JA000047653,2010-04-15,0,113,65
JA000047653,2010-04-16,140,NA,73
JA000047653,2010-04-17,180,153,NA
JA000047653,2010-04-18,0,181,53
JA000047653,2010-04-19,0,200,95
JA000047653,2010-04-20,170,NA,127
JA000047653,2010-04-21,5,209,NA
JA000047653,2010-04-22,419,140,121
JA000047653,2010-04-23,5,146,NA
JA000047653,2010-04-24,0,165,NA
JA000047653,2010-04-25,0,180,58
