id,date,prcp,tmax,tmin
JAM00047772,2010-01-01,0,54,7
JAM00047772,2010-01-02,NA,NA,25
JAM00047772,2010-01-03,0,95,NA
JAM00047772,2010-01-04,0,NA,15
JAM00047772,2010-01-05,0,89,NA
JAM00047772,2010-01-06,0,81,14
JAM00047772,2010-01-07,0,72,19
JAM00047772,2010-01-08,0,97,NA
JAM00047772,2010-01-09,0,94,17
JAM00047772,2010-01-10,0,109,NA
JAM00047772,2010-01-11,0,106,36
JAM00047772,2010-01-12,NA,80,NA
JAM00047772,2010-01-13,0,51,NA
JAM00047772,2010-01-14,0,53,-1
JAM00047772,2010-01-15,0,80,6
JAM00047772,2010-01-16,0,67,NA
JAM00047772,2010-01-17,0,88,-13
JAM00047772,2010-01-18,0,102,4
JAM00047772,2010-01-19,0,133,34
JAM00047772,2010-01-20,0,158,40
JAM00047772,2010-01-21,94,132,NA
JAM00047772,2010-01-22,10,92,NA
JAM00047772,2010-01-23,0,82,NA
JAM00047772,2010-01-24,0,90,12
JAM00047772,2010-01-25,0,78,13
JAM00047772,2010-01-26,0,100,NA
JAM00047772,2010-01-27,0,120,1
JAM00047772,2010-01-28,175,117,60
JAM00047772,2010-01-29,51,113,NA
JAM00047772,2010-01-30,0,111,40
JAM00047772,2010-01-31,NA,69,NA
JAM00047772,2010-02-01,170,NA,NA
JAM00047772,2010-02-02,0,109,30
JAM00047772,2010-02-03,0,86,NA
JAM00047772,2010-02-04,0,78,16
JAM00047772,2010-02-05,0,80,NA
JAM00047772,2010-02-06,NA,69,NA
JAM00047772,2010-02-07,0,93,3
JAM00047772,2010-02-08,0,NA,30
JAM00047772,2010-02-09,0,187,79
JAM00047772,2010-02-10,0,167,NA
JAM00047772,2010-02-11,84,75,NA
JAM00047772,2010-02-12,155,89,NA
JAM00047772,2010-02-13,0,103,NA
JAM00047772,2010-02-14,0,97,19
JAM00047772,2010-02-15,71,82,37
JAM00047772,2010-02-16,36,93,NA
JAM00047772,2010-02-17,0,72,15
JAM00047772,2010-02-18,0,97,16
JAM00047772,2010-02-19,0,93,NA
JAM00047772,2010-02-20,0,97,11
JAM00047772,2010-02-21,0,117,24
JAM00047772,2010-02-22,0,165,32
JAM00047772,2010-02-23,0,188,NA
JAM00047772,2010-02-24,0,207,87
JAM00047772,2010-02-25,0,234,110
JAM00047772,2010-02-26,15,165,NA
JAM00047772,2010-02-27,546,150,NA
JAM00047772,2010-02-28,226,129,NA
JAM00047772,2010-03-01,0,154,61
JAM00047772,2010-03-02,94,140,NA
JAM00047772,2010-03-03,0,137,NA
JAM00047772,2010-03-04,5,154,71
JAM00047772,2010-03-05,99,181,NA
JAM00047772,2010-03-06,104,119,NA
JAM00047772,2010-03-07,119,84,NA
JAM00047772,2010-03-08,36,110,NA
JAM00047772,2010-03-09,71,68,NA
JAM00047772,2010-03-10,79,87,NA
JAM00047772,2010-03-11,25,104,NA
JAM00047772,2010-03-12,0,156,29
JAM00047772,2010-03-13,NA,151,NA
JAM00047772,2010-03-14,0,172,57
JAM00047772,2010-03-15,0,194,104
JAM00047772,2010-03-16,160,177,NA
