id,date,prcp,tmax,tmin
JM000078388,2010-01-01,NA,NA,NA
JM000078388,2010-01-02,NA,314,228
JM000078388,2010-01-03,0,297,230
JM000078388,2010-01-04,NA,NA,NA
JM000078388,2010-01-05,NA,298,228
JM000078388,2010-01-06,5,NA,NA
JM000078388,2010-01-07,0,NA,NA
JM000078388,2010-01-08,NA,NA,NA
JM000078388,2010-01-09,NA,NA,NA
JM000078388,2010-01-10,58,NA,NA
JM000078388,2010-01-11,0,NA,NA
JM000078388,2010-01-12,NA,268,189
JM000078388,2010-01-13,NA,271,205
JM000078388,2010-01-14,180,NA,NA
JM000078388,2010-01-15,0,292,221
JM000078388,2010-01-16,NA,NA,NA
JM000078388,2010-01-17,NA,307,226
JM000078388,2010-01-18,NA,311,207
JM000078388,2010-01-19,NA,302,213
JM000078388,2010-01-20,NA,NA,NA
JM000078388,2010-01-21,0,317,224
JM000078388,2010-01-22,NA,317,214
JM000078388,2010-01-23,NA,314,214
JM000078388,2010-01-24,NA,NA,NA
JM000078388,2010-01-25,NA,NA,NA
JM000078388,2010-01-26,NA,309,197
JM000078388,2010-01-27,NA,301,197
JM000078388,2010-01-28,NA,NA,NA
JM000078388,2010-01-29,NA,NA,NA
JM000078388,2010-01-30,NA,316,213
JM000078388,2010-01-31,NA,316,207
JM000078388,2010-02-01,NA,NA,NA
JM000078388,2010-02-02,NA,314,219
JM000078388,2010-02-03,0,314,226
JM000078388,2010-02-04,NA,310,234
JM000078388,2010-02-05,0,314,239
JM000078388,2010-02-06,NA,NA,NA
JM000078388,2010-02-07,NA,324,240
JM000078388,2010-02-08,NA,295,201
JM000078388,2010-02-09,NA,322,216
JM000078388,2010-02-10,NA,322,216
JM000078388,2010-02-11,48,320,230
JM000078388,2010-02-12,0,306,227
JM000078388,2010-02-13,NA,319,213
JM000078388,2010-02-14,NA,319,213
JM000078388,2010-02-15,0,NA,NA
JM000078388,2010-02-16,NA,293,228
JM000078388,2010-02-17,NA,264,227
JM000078388,2010-02-18,NA,264,215
JM000078388,2010-02-19,NA,286,215
JM000078388,2010-02-20,NA,NA,NA
JM000078388,2010-02-21,NA,NA,NA
JM000078388,2010-02-22,NA,313,235
JM000078388,2010-02-23,0,312,240
JM000078388,2010-02-24,NA,333,235
JM000078388,2010-02-25,173,NA,NA
JM000078388,2010-02-26,0,279,215
JM000078388,2010-02-27,NA,290,215
JM000078388,2010-02-28,NA,300,217
JM000078388,2010-03-01,NA,NA,NA
JM000078388,2010-03-02,0,315,204
JM000078388,2010-03-03,NA,315,225
JM000078388,2010-03-04,NA,260,228
JM000078388,2010-03-05,NA,254,213
JM000078388,2010-03-06,NA,256,213
JM000078388,2010-03-07,NA,263,216
JM000078388,2010-03-08,NA,276,211
JM000078388,2010-03-09,NA,NA,NA
JM000078388,2010-03-10,NA,NA,NA
JM000078388,2010-03-11,0,306,211
JM000078388,2010-03-12,NA,343,239
JM000078388,2010-03-13,NA,NA,NA
