id,date,prcp,tmax,tmin
JMM00078397,2010-01-01,NA,312,234
JMM00078397,2010-01-02,0,312,231
JMM00078397,2010-01-03,NA,308,231
JMM00078397,2010-01-04,0,308,231
JMM00078397,2010-01-05,NA,305,232
JMM00078397,2010-01-06,NA,NA,NA
JMM00078397,2010-01-07,NA,NA,NA
JMM00078397,2010-01-08,NA,303,224
JMM00078397,2010-01-09,0,NA,NA
JMM00078397,2010-01-10,NA,NA,NA
JMM00078397,2010-01-11,NA,NA,NA
JMM00078397,2010-01-12,NA,282,201
JMM00078397,2010-01-13,NA,302,213
JMM00078397,2010-01-14,NA,306,224
JMM00078397,2010-01-15,0,321,224
JMM00078397,2010-01-16,0,321,235
JMM00078397,2010-01-17,NA,NA,NA
JMM00078397,2010-01-18,NA,315,223
JMM00078397,2010-01-19,0,315,223
JMM00078397,2010-01-20,NA,320,237
JMM00078397,2010-01-21,NA,317,237
JMM00078397,2010-01-22,NA,308,250
JMM00078397,2010-01-23,0,308,234
JMM00078397,2010-01-24,NA,333,227
JMM00078397,2010-01-25,NA,333,227
JMM00078397,2010-01-26,0,314,234
JMM00078397,2010-01-27,0,320,234
JMM00078397,2010-01-28,NA,333,236
JMM00078397,2010-01-29,NA,NA,NA
JMM00078397,2010-01-30,13,309,237
JMM00078397,2010-01-31,0,NA,NA
JMM00078397,2010-02-01,NA,307,231
JMM00078397,2010-02-02,0,NA,NA
JMM00078397,2010-02-03,NA,312,237
JMM00078397,2010-02-04,0,316,227
JMM00078397,2010-02-05,0,318,227
JMM00078397,2010-02-06,0,304,226
JMM00078397,2010-02-07,NA,301,226
JMM00078397,2010-02-08,81,NA,NA
JMM00078397,2010-02-09,NA,304,221
JMM00078397,2010-02-10,0,304,231
JMM00078397,2010-02-11,0,303,231
JMM00078397,2010-02-12,NA,305,236
JMM00078397,2010-02-13,NA,305,236
JMM00078397,2010-02-14,0,304,238
JMM00078397,2010-02-15,0,NA,NA
JMM00078397,2010-02-16,0,305,235
JMM00078397,2010-02-17,NA,NA,NA
JMM00078397,2010-02-18,38,NA,NA
JMM00078397,2010-02-19,0,309,225
JMM00078397,2010-02-20,NA,314,225
JMM00078397,2010-02-21,NA,321,235
JMM00078397,2010-02-22,NA,321,235
JMM00078397,2010-02-23,0,NA,NA
JMM00078397,2010-02-24,28,302,246
JMM00078397,2010-02-25,0,NA,NA
JMM00078397,2010-02-26,NA,NA,NA
JMM00078397,2010-02-27,0,306,228
JMM00078397,2010-02-28,0,306,233
JMM00078397,2010-03-01,NA,NA,NA
JMM00078397,2010-03-02,0,312,233
JMM00078397,2010-03-03,241,NA,NA
JMM00078397,2010-03-04,0,NA,NA
JMM00078397,2010-03-05,NA,NA,NA
JMM00078397,2010-03-06,0,294,218
JMM00078397,2010-03-07,NA,NA,NA
JMM00078397,2010-03-08,NA,NA,NA
JMM00078397,2010-03-09,NA,285,199
JMM00078397,2010-03-10,0,306,210
JMM00078397,2010-03-11,0,307,233
JMM00078397,2010-03-12,NA,307,244
JMM00078397,2010-03-13,NA,NA,NA
JMM00078397,2010-03-14,NA,NA,NA
JMM00078397,2010-03-15,NA,NA,NA
JMM00078397,2010-03-16,0,NA,NA
JMM00078397,2010-03-17,5,NA,NA
