id,date,prcp,tmax,tmin
KEM00063741,2010-01-01,NA,254,162
KEM00063741,2010-01-02,NA,NA,NA
KEM00063741,2010-01-03,130,239,152
KEM00063741,2010-01-04,30,226,157
KEM00063741,2010-01-05,NA,NA,NA
KEM00063741,2010-01-06,NA,245,NA
KEM00063741,2010-01-07,NA,251,145
KEM00063741,2010-01-08,30,298,164
KEM00063741,2010-01-09,NA,NA,NA
KEM00063741,2010-01-10,450,230,149
KEM00063741,2010-01-11,NA,NA,NA
KEM00063741,2010-01-12,NA,NA,NA
KEM00063741,2010-01-13,NA,NA,NA
KEM00063741,2010-01-14,NA,NA,NA
KEM00063741,2010-01-15,NA,NA,NA
KEM00063741,2010-01-16,NA,NA,NA
KEM00063741,2010-01-17,NA,NA,NA
KEM00063741,2010-01-18,NA,NA,NA
KEM00063741,2010-01-19,NA,NA,NA
KEM00063741,2010-01-20,NA,NA,NA
KEM00063741,2010-01-21,NA,NA,NA
KEM00063741,2010-01-22,NA,NA,NA
KEM00063741,2010-01-23,NA,NA,NA
KEM00063741,2010-01-24,NA,NA,NA
KEM00063741,2010-01-25,NA,NA,NA
KEM00063741,2010-01-26,NA,NA,NA
KEM00063741,2010-01-27,NA,NA,NA
KEM00063741,2010-01-28,NA,NA,NA
KEM00063741,2010-01-29,NA,NA,NA
KEM00063741,2010-01-30,NA,NA,NA
KEM00063741,2010-01-31,NA,NA,NA
KEM00063741,2010-06-01,NA,NA,NA
KEM00063741,2010-06-02,NA,NA,127
KEM00063741,2010-06-03,NA,235,NA
KEM00063741,2010-06-04,130,227,160
KEM00063741,2010-06-05,20,215,150
KEM00063741,2010-06-06,0,223,NA
KEM00063741,2010-06-07,150,198,146
KEM00063741,2010-06-08,0,219,135
KEM00063741,2010-06-09,NA,222,108
KEM00063741,2010-06-10,NA,NA,NA
KEM00063741,2010-06-11,0,219,133
KEM00063741,2010-06-12,NA,225,113
KEM00063741,2010-06-13,NA,214,129
KEM00063741,2010-06-14,0,225,140
KEM00063741,2010-06-15,8,218,145
KEM00063741,2010-06-16,0,188,151
KEM00063741,2010-06-17,0,NA,148
KEM00063741,2010-06-18,NA,213,110
KEM00063741,2010-06-19,NA,216,134
KEM00063741,2010-06-20,NA,220,135
KEM00063741,2010-06-21,NA,214,103
KEM00063741,2010-06-22,NA,197,114
KEM00063741,2010-06-23,NA,195,137
KEM00063741,2010-06-24,NA,NA,NA
KEM00063741,2010-06-25,NA,218,114
KEM00063741,2010-06-26,NA,217,NA
KEM00063741,2010-06-27,NA,227,142
KEM00063741,2010-06-28,NA,249,117
KEM00063741,2010-06-29,NA,230,137
KEM00063741,2010-06-30,NA,226,100
KEM00063741,2010-07-01,NA,224,115
KEM00063741,2010-07-02,NA,NA,NA
KEM00063741,2010-07-03,NA,214,106
KEM00063741,2010-07-04,NA,223,102
KEM00063741,2010-07-05,NA,217,81
KEM00063741,2010-07-06,NA,NA,NA
KEM00063741,2010-07-07,NA,NA,NA
KEM00063741,2010-07-08,NA,NA,NA
KEM00063741,2010-07-09,NA,NA,NA
KEM00063741,2010-07-10,NA,NA,NA
KEM00063741,2010-07-11,NA,NA,NA
KEM00063741,2010-07-12,NA,NA,NA
KEM00063741,2010-07-13,NA,NA,NA
KEM00063741,2010-07-14,NA,NA,NA
KEM00063741,2010-07-15,NA,NA,NA
KEM00063741,2010-07-16,NA,225,129
KEM00063741,2010-07-17,NA,228,136
KEM00063741,2010-07-18,NA,229,138
KEM00063741,2010-07-19,NA,NA,NA
KEM00063741,2010-07-20,NA,235,NA
KEM00063741,2010-07-21,NA,216,123
KEM00063741,2010-07-22,NA,NA,NA
KEM00063741,2010-07-23,NA,224,126
KEM00063741,2010-07-24,NA,327,100
KEM00063741,2010-07-25,NA,NA,NA
KEM00063741,2010-07-26,10,185,134
KEM00063741,2010-07-27,10,187,130
KEM00063741,2010-07-28,0,202,93
KEM00063741,2010-07-29,0,218,112
KEM00063741,2010-07-30,NA,236,116
KEM00063741,2010-07-31,NA,208,126
KEM00063741,2010-08-01,NA,158,126
KEM00063741,2010-08-02,NA,NA,NA
KEM00063741,2010-08-03,NA,NA,NA
KEM00063741,2010-08-04,NA,NA,NA
KEM00063741,2010-08-05,NA,NA,NA
KEM00063741,2010-08-06,NA,NA,NA
KEM00063741,2010-08-07,NA,NA,NA
KEM00063741,2010-08-08,NA,NA,NA
KEM00063741,2010-08-09,NA,NA,NA
KEM00063741,2010-08-10,NA,NA,NA
KEM00063741,2010-08-11,NA,NA,NA
KEM00063741,2010-08-12,NA,NA,NA
KEM00063741,2010-08-13,NA,NA,NA
KEM00063741,2010-08-14,NA,NA,NA
KEM00063741,2010-08-15,NA,NA,NA
KEM00063741,2010-08-16,NA,NA,NA
KEM00063741,2010-08-17,NA,NA,NA
KEM00063741,2010-08-18,NA,NA,NA
KEM00063741,2010-08-19,NA,NA,NA
KEM00063741,2010-08-20,NA,NA,77
KEM00063741,2010-08-21,NA,NA,NA
KEM00063741,2010-08-22,8,242,119
KEM00063741,2010-08-23,NA,NA,NA
KEM00063741,2010-08-24,NA,NA,NA
KEM00063741,2010-08-25,20,226,136
KEM00063741,2010-08-26,0,228,128
KEM00063741,2010-08-27,10,204,NA
KEM00063741,2010-08-28,10,202,139
KEM00063741,2010-08-29,NA,NA,NA
KEM00063741,2010-08-30,0,208,134
KEM00063741,2010-08-31,NA,211,126
KEM00063741,2010-09-01,3,201,124
KEM00063741,2010-09-02,0,219,125
KEM00063741,2010-09-03,0,228,140
KEM00063741,2010-09-04,20,249,134
KEM00063741,2010-09-05,0,262,118
KEM00063741,2010-09-06,NA,265,94
KEM00063741,2010-09-07,NA,265,90
KEM00063741,2010-09-08,NA,231,126
KEM00063741,2010-09-09,NA,275,102
KEM00063741,2010-09-10,NA,271,114
KEM00063741,2010-09-11,NA,266,105
KEM00063741,2010-09-12,NA,233,139
KEM00063741,2010-09-13,NA,NA,NA
KEM00063741,2010-09-14,NA,211,115
KEM00063741,2010-09-15,NA,245,126
KEM00063741,2010-09-16,NA,NA,NA
KEM00063741,2010-09-17,NA,253,141
KEM00063741,2010-09-18,NA,235,NA
KEM00063741,2010-09-19,NA,217,139
KEM00063741,2010-09-20,NA,236,126
KEM00063741,2010-09-21,0,268,NA
KEM00063741,2010-09-22,NA,223,108
KEM00063741,2010-09-23,NA,252,132
KEM00063741,2010-09-24,NA,249,77
KEM00063741,2010-09-25,NA,235,122
KEM00063741,2010-09-26,NA,251,136
KEM00063741,2010-09-27,NA,275,140
KEM00063741,2010-09-28,8,256,151
KEM00063741,2010-09-29,0,199,125
KEM00063741,2010-09-30,0,239,125
KEM00063741,2010-10-01,NA,228,128
KEM00063741,2010-10-02,0,251,140
KEM00063741,2010-10-03,NA,247,128
KEM00063741,2010-10-04,0,256,144
KEM00063741,2010-10-05,NA,NA,NA
KEM00063741,2010-10-06,221,242,135
KEM00063741,2010-10-07,NA,NA,NA
KEM00063741,2010-10-08,NA,NA,NA
KEM00063741,2010-10-09,NA,NA,NA
KEM00063741,2010-10-10,NA,NA,NA
KEM00063741,2010-10-11,NA,NA,NA
KEM00063741,2010-10-12,NA,NA,NA
KEM00063741,2010-10-13,NA,NA,NA
KEM00063741,2010-10-14,NA,NA,NA
KEM00063741,2010-10-15,NA,263,159
KEM00063741,2010-10-16,NA,262,156
KEM00063741,2010-10-17,NA,NA,NA
KEM00063741,2010-10-18,8,248,152
KEM00063741,2010-10-19,NA,NA,NA
KEM00063741,2010-10-20,NA,255,135
KEM00063741,2010-10-21,NA,251,152
KEM00063741,2010-10-22,0,248,152
KEM00063741,2010-10-23,531,238,147
KEM00063741,2010-10-24,119,237,155
KEM00063741,2010-10-25,0,232,154
KEM00063741,2010-10-26,99,245,154
KEM00063741,2010-10-27,5,246,113
KEM00063741,2010-10-28,0,236,152
KEM00063741,2010-10-29,NA,NA,NA
KEM00063741,2010-10-30,NA,259,119
KEM00063741,2010-10-31,NA,257,154
KEM00063741,2010-11-01,NA,243,152
KEM00063741,2010-11-02,310,NA,152
KEM00063741,2010-11-03,NA,NA,NA
KEM00063741,2010-11-04,NA,NA,NA
KEM00063741,2010-11-05,5,229,149
KEM00063741,2010-11-06,5,NA,155
KEM00063741,2010-11-07,NA,NA,NA
KEM00063741,2010-11-08,0,234,152
KEM00063741,2010-11-09,NA,NA,NA
KEM00063741,2010-11-10,99,223,155
KEM00063741,2010-11-11,99,231,122
KEM00063741,2010-11-12,0,NA,154
KEM00063741,2010-11-13,NA,NA,NA
KEM00063741,2010-11-14,NA,231,154
KEM00063741,2010-11-15,NA,221,NA
KEM00063741,2010-11-16,NA,NA,NA
KEM00063741,2010-11-17,61,228,150
KEM00063741,2010-11-18,191,233,148
KEM00063741,2010-11-19,NA,NA,NA
KEM00063741,2010-11-20,NA,NA,NA
KEM00063741,2010-11-21,NA,249,155
KEM00063741,2010-11-22,NA,NA,NA
KEM00063741,2010-11-23,NA,NA,NA
KEM00063741,2010-11-24,0,242,127
KEM00063741,2010-11-25,NA,232,148
KEM00063741,2010-11-26,51,211,150
KEM00063741,2010-11-27,10,214,143
KEM00063741,2010-11-28,51,233,149
KEM00063741,2010-11-29,NA,NA,NA
KEM00063741,2010-11-30,NA,238,145
KEM00063741,2010-12-01,NA,240,160
KEM00063741,2010-12-02,NA,240,148
KEM00063741,2010-12-03,NA,NA,NA
KEM00063741,2010-12-04,NA,265,126
KEM00063741,2010-12-05,NA,259,123
KEM00063741,2010-12-06,0,252,164
KEM00063741,2010-12-07,41,239,159
KEM00063741,2010-12-08,NA,NA,NA
KEM00063741,2010-12-09,NA,NA,NA
KEM00063741,2010-12-10,0,234,NA
KEM00063741,2010-12-11,NA,NA,NA
KEM00063741,2010-12-12,30,228,150
KEM00063741,2010-12-13,0,232,150
KEM00063741,2010-12-14,10,228,143
KEM00063741,2010-12-15,NA,NA,NA
KEM00063741,2010-12-16,NA,240,NA
KEM00063741,2010-12-17,NA,NA,NA
KEM00063741,2010-12-18,NA,NA,NA
KEM00063741,2010-12-19,NA,252,137
KEM00063741,2010-12-20,NA,237,126
KEM00063741,2010-12-21,NA,243,117
KEM00063741,2010-12-22,NA,NA,NA
KEM00063741,2010-12-23,NA,251,121
KEM00063741,2010-12-24,NA,264,121
KEM00063741,2010-12-25,NA,263,154
KEM00063741,2010-12-26,NA,NA,NA
KEM00063741,2010-12-27,NA,NA,NA
KEM00063741,2010-12-28,10,229,148
KEM00063741,2010-12-29,130,243,149
KEM00063741,2010-12-30,0,237,151
KEM00063741,2010-12-31,NA,NA,NA
KEM00063741,2011-01-01,NA,NA,NA
KEM00063741,2011-01-02,NA,NA,NA
KEM00063741,2011-01-03,NA,246,132
KEM00063741,2011-01-04,NA,NA,NA
KEM00063741,2011-01-05,NA,254,151
KEM00063741,2011-01-06,NA,NA,NA
KEM00063741,2011-01-07,NA,255,150
KEM00063741,2011-01-08,NA,260,126
KEM00063741,2011-01-09,NA,260,112
KEM00063741,2011-01-10,NA,275,134
KEM00063741,2011-01-11,NA,273,156
KEM00063741,2011-01-12,NA,253,NA
KEM00063741,2011-01-13,NA,NA,NA
KEM00063741,2011-01-14,NA,254,146
KEM00063741,2011-01-15,NA,NA,NA
KEM00063741,2011-01-16,NA,NA,NA
KEM00063741,2011-01-17,NA,273,120
KEM00063741,2011-01-18,NA,NA,NA
KEM00063741,2011-01-19,NA,267,145
KEM00063741,2011-01-20,NA,266,114
KEM00063741,2011-01-21,NA,262,148
KEM00063741,2011-01-22,NA,NA,140
KEM00063741,2011-01-23,NA,246,115
KEM00063741,2011-01-24,61,221,145
KEM00063741,2011-01-25,79,247,94
KEM00063741,2011-01-26,0,262,102
KEM00063741,2011-01-27,NA,NA,NA
KEM00063741,2011-01-28,NA,NA,NA
KEM00063741,2011-01-29,NA,NA,NA
