id,date,prcp,tmax,tmin
KG000038616,2010-01-01,NA,111,-6
KG000038616,2010-01-02,NA,124,5
KG000038616,2010-01-03,NA,112,5
KG000038616,2010-01-04,NA,106,2
KG000038616,2010-01-05,NA,129,30
KG000038616,2010-01-06,NA,96,15
KG000038616,2010-01-07,NA,29,NA
KG000038616,2010-01-08,NA,-3,NA
KG000038616,2010-01-09,NA,-3,-58
KG000038616,2010-01-10,NA,27,NA
KG000038616,2010-01-11,NA,24,-82
KG000038616,2010-01-12,NA,50,-85
KG000038616,2010-01-13,NA,55,-50
KG000038616,2010-01-14,NA,40,2
KG000038616,2010-01-15,NA,74,0
KG000038616,2010-01-16,NA,106,18
KG000038616,2010-01-17,NA,132,30
KG000038616,2010-01-18,NA,-2,NA
KG000038616,2010-01-19,NA,-24,NA
KG000038616,2010-01-20,NA,6,-62
KG000038616,2010-01-21,NA,47,-14
KG000038616,2010-01-22,NA,70,-10
KG000038616,2010-01-23,NA,80,15
KG000038616,2010-01-24,NA,72,20
KG000038616,2010-01-25,NA,90,-2
KG000038616,2010-01-26,NA,85,2
KG000038616,2010-01-27,NA,92,NA
KG000038616,2010-01-28,NA,47,NA
KG000038616,2010-01-29,NA,9,-20
KG000038616,2010-01-30,NA,24,-22
KG000038616,2010-01-31,NA,65,-20
KG000038616,2010-02-01,NA,87,1
KG000038616,2010-02-02,NA,100,-17
KG000038616,2010-02-03,NA,100,-5
KG000038616,2010-02-04,NA,86,20
KG000038616,2010-02-05,61,90,28
KG000038616,2010-02-06,NA,82,NA
KG000038616,2010-02-07,NA,48,NA
KG000038616,2010-02-08,NA,-11,NA
KG000038616,2010-02-09,NA,-37,NA
KG000038616,2010-02-10,NA,NA,NA
KG000038616,2010-02-11,NA,-19,-125
KG000038616,2010-02-12,NA,8,-60
KG000038616,2010-02-13,NA,-9,NA
KG000038616,2010-02-14,NA,-52,NA
KG000038616,2010-02-15,NA,-51,NA
KG000038616,2010-02-16,NA,-19,-151
KG000038616,2010-02-17,NA,25,-115
KG000038616,2010-02-18,NA,40,-25
KG000038616,2010-02-19,NA,20,NA
KG000038616,2010-02-20,NA,47,-2
KG000038616,2010-02-21,NA,107,0
KG000038616,2010-02-22,NA,112,31
KG000038616,2010-02-23,NA,144,50
KG000038616,2010-02-24,NA,109,NA
KG000038616,2010-02-25,NA,104,25
KG000038616,2010-02-26,NA,NA,NA
KG000038616,2010-02-27,NA,119,40
KG000038616,2010-02-28,NA,107,40
KG000038616,2010-03-01,NA,100,42
KG000038616,2010-03-02,NA,137,NA
KG000038616,2010-03-03,NA,129,40
KG000038616,2010-03-04,NA,110,58
KG000038616,2010-03-05,NA,154,47
KG000038616,2010-03-06,NA,149,35
KG000038616,2010-03-07,NA,155,40
KG000038616,2010-03-08,NA,172,52
KG000038616,2010-03-09,NA,182,71
KG000038616,2010-03-10,NA,199,NA
KG000038616,2010-03-11,NA,178,70
KG000038616,2010-03-12,NA,129,NA
KG000038616,2010-03-13,NA,100,-3
KG000038616,2010-03-14,NA,148,NA
KG000038616,2010-03-15,NA,134,56
KG000038616,2010-03-16,NA,191,73
KG000038616,2010-03-17,NA,212,95
KG000038616,2010-03-18,NA,185,106
KG000038616,2010-03-19,NA,219,85
KG000038616,2010-03-20,NA,96,NA
KG000038616,2010-03-21,NA,27,-2
KG000038616,2010-03-22,NA,38,-5
KG000038616,2010-03-23,NA,54,2
KG000038616,2010-03-24,NA,129,17
KG000038616,2010-03-25,NA,179,60
KG000038616,2010-03-26,NA,168,70
KG000038616,2010-03-27,NA,100,NA
KG000038616,2010-03-28,NA,135,-5
KG000038616,2010-03-29,NA,130,8
KG000038616,2010-03-30,NA,184,45
KG000038616,2010-03-31,NA,184,44
KG000038616,2010-04-01,NA,202,74
KG000038616,2010-04-02,NA,217,80
KG000038616,2010-04-03,NA,129,92
KG000038616,2010-04-04,NA,174,80
KG000038616,2010-04-05,NA,200,53
KG000038616,2010-04-06,NA,224,69
KG000038616,2010-04-07,NA,164,75
KG000038616,2010-04-08,NA,195,85
KG000038616,2010-04-09,NA,211,84
KG000038616,2010-04-10,NA,232,NA
KG000038616,2010-04-11,NA,197,130
KG000038616,2010-04-12,NA,149,NA
KG000038616,2010-04-13,NA,182,NA
KG000038616,2010-04-14,NA,205,65
KG000038616,2010-04-15,NA,164,NA
KG000038616,2010-04-16,NA,204,113
KG000038616,2010-04-17,NA,200,NA
KG000038616,2010-04-18,NA,189,98
KG000038616,2010-04-19,NA,NA,68
