id,date,prcp,tmax,tmin
KNM00047058,2010-01-01,NA,-69,NA
KNM00047058,2010-01-02,NA,-30,NA
KNM00047058,2010-01-03,NA,-85,-172
KNM00047058,2010-01-04,NA,-37,NA
KNM00047058,2010-01-05,NA,-73,NA
KNM00047058,2010-01-06,NA,-78,-192
KNM00047058,2010-01-07,NA,-57,-186
KNM00047058,2010-01-08,NA,-35,-173
KNM00047058,2010-01-09,NA,-13,-132
KNM00047058,2010-01-10,NA,-18,-80
KNM00047058,2010-01-11,NA,-37,NA
KNM00047058,2010-01-12,NA,-92,NA
KNM00047058,2010-01-13,NA,-104,NA
KNM00047058,2010-01-14,NA,-63,-192
KNM00047058,2010-01-15,NA,-30,NA
KNM00047058,2010-01-16,NA,-14,-160
KNM00047058,2010-01-17,NA,18,-136
KNM00047058,2010-01-18,NA,30,-62
KNM00047058,2010-01-19,NA,50,-34
KNM00047058,2010-01-20,18,38,NA
KNM00047058,2010-01-21,NA,-27,NA
KNM00047058,2010-01-22,NA,-43,NA
KNM00047058,2010-01-23,NA,3,-122
KNM00047058,2010-01-24,NA,51,-78
KNM00047058,2010-01-25,NA,-49,NA
KNM00047058,2010-01-26,NA,33,-125
KNM00047058,2010-01-27,NA,49,-53
KNM00047058,2010-01-28,NA,-5,NA
KNM00047058,2010-01-29,NA,23,-122
KNM00047058,2010-01-30,NA,57,-62
KNM00047058,2010-01-31,NA,53,NA
KNM00047058,2010-02-01,NA,37,NA
KNM00047058,2010-02-02,NA,-44,NA
KNM00047058,2010-02-03,NA,-51,-134
KNM00047058,2010-02-04,NA,-4,-139
KNM00047058,2010-02-05,NA,-32,NA
KNM00047058,2010-02-06,NA,22,-140
KNM00047058,2010-02-07,NA,33,-101
KNM00047058,2010-02-08,NA,37,NA
KNM00047058,2010-02-09,NA,28,-51
KNM00047058,2010-02-10,NA,38,-31
KNM00047058,2010-02-11,20,22,NA
KNM00047058,2010-02-12,NA,24,-85
KNM00047058,2010-02-13,20,9,NA
KNM00047058,2010-02-14,NA,-4,-98
KNM00047058,2010-02-15,NA,-2,NA
KNM00047058,2010-02-16,NA,3,-122
KNM00047058,2010-02-17,NA,NA,-110
KNM00047058,2010-02-18,NA,-11,NA
KNM00047058,2010-02-19,NA,31,-109
KNM00047058,2010-02-20,NA,85,-63
KNM00047058,2010-02-21,NA,87,20
KNM00047058,2010-02-22,NA,82,NA
KNM00047058,2010-02-23,NA,129,-22
KNM00047058,2010-02-24,NA,159,8
