id,date,prcp,tmax,tmin
KS000047165,2010-01-01,0,35,-71
KS000047165,2010-01-02,NA,93,-22
KS000047165,2010-01-03,NA,36,NA
KS000047165,2010-01-04,NA,60,-29
KS000047165,2010-01-05,3,4,NA
KS000047165,2010-01-06,13,3,-34
KS000047165,2010-01-07,0,9,-37
KS000047165,2010-01-08,NA,30,NA
KS000047165,2010-01-09,NA,37,-34
KS000047165,2010-01-10,NA,40,NA
KS000047165,2010-01-11,NA,21,NA
KS000047165,2010-01-12,0,10,NA
KS000047165,2010-01-13,61,-20,-63
KS000047165,2010-01-14,10,16,-61
KS000047165,2010-01-15,NA,59,NA
KS000047165,2010-01-16,NA,29,-46
KS000047165,2010-01-17,NA,57,-43
KS000047165,2010-01-18,NA,81,-25
KS000047165,2010-01-19,NA,143,-3
KS000047165,2010-01-20,91,136,NA
KS000047165,2010-01-21,0,61,NA
KS000047165,2010-01-22,0,10,NA
KS000047165,2010-01-23,0,23,NA
KS000047165,2010-01-24,NA,63,-26
KS000047165,2010-01-25,NA,49,NA
KS000047165,2010-01-26,NA,49,-28
KS000047165,2010-01-27,NA,101,-25
KS000047165,2010-01-28,NA,62,NA
KS000047165,2010-01-29,NA,58,-7
KS000047165,2010-01-30,NA,69,-7
KS000047165,2010-01-31,0,94,NA
KS000047165,2010-02-01,NA,63,NA
KS000047165,2010-02-02,NA,20,NA
KS000047165,2010-02-03,NA,9,NA
KS000047165,2010-02-04,0,34,-50
KS000047165,2010-02-05,NA,43,NA
KS000047165,2010-02-06,NA,48,-35
KS000047165,2010-02-07,NA,95,-35
KS000047165,2010-02-08,71,118,51
KS000047165,2010-02-09,20,109,NA
KS000047165,2010-02-10,122,69,NA
KS000047165,2010-02-11,300,60,NA
KS000047165,2010-02-12,10,31,NA
KS000047165,2010-02-13,NA,21,NA
KS000047165,2010-02-14,NA,19,-29
KS000047165,2010-02-15,NA,58,-16
KS000047165,2010-02-16,NA,28,NA
KS000047165,2010-02-17,NA,49,-35
KS000047165,2010-02-18,NA,22,NA
KS000047165,2010-02-19,NA,68,-25
KS000047165,2010-02-20,NA,98,-14
KS000047165,2010-02-21,NA,124,-2
KS000047165,2010-02-22,NA,133,20
KS000047165,2010-02-23,NA,171,6
KS000047165,2010-02-24,NA,175,67
KS000047165,2010-02-25,340,164,NA
KS000047165,2010-02-26,76,90,60
KS000047165,2010-02-27,46,91,NA
KS000047165,2010-02-28,NA,120,50
KS000047165,2010-03-01,20,119,NA
KS000047165,2010-03-02,0,58,NA
KS000047165,2010-03-03,NA,109,18
KS000047165,2010-03-04,61,81,NA
KS000047165,2010-03-05,51,81,NA
KS000047165,2010-03-06,91,54,35
KS000047165,2010-03-07,46,79,NA
KS000047165,2010-03-08,NA,116,NA
KS000047165,2010-03-09,41,60,NA
KS000047165,2010-03-10,20,26,-40
KS000047165,2010-03-11,NA,96,-1
KS000047165,2010-03-12,NA,157,NA
KS000047165,2010-03-13,NA,130,24
KS000047165,2010-03-14,NA,152,44
KS000047165,2010-03-15,244,144,NA
KS000047165,2010-03-16,NA,68,NA
KS000047165,2010-03-17,NA,106,-3
KS000047165,2010-03-18,20,89,NA
KS000047165,2010-03-19,NA,NA,-16
KS000047165,2010-03-20,NA,183,NA
KS000047165,2010-03-21,NA,85,NA
KS000047165,2010-03-22,NA,91,11
KS000047165,2010-03-23,61,83,NA
KS000047165,2010-03-24,NA,121,52
KS000047165,2010-03-25,NA,90,NA
KS000047165,2010-03-26,NA,70,3
KS000047165,2010-03-27,NA,100,26
KS000047165,2010-03-28,NA,97,NA
KS000047165,2010-03-29,NA,120,6
KS000047165,2010-03-30,NA,130,39
KS000047165,2010-03-31,198,130,77
KS000047165,2010-04-01,201,97,NA
KS000047165,2010-04-02,NA,111,33
KS000047165,2010-04-03,NA,118,NA
KS000047165,2010-04-04,NA,160,25
KS000047165,2010-04-05,0,173,101
KS000047165,2010-04-06,NA,112,NA
KS000047165,2010-04-07,NA,118,19
KS000047165,2010-04-08,NA,156,23
KS000047165,2010-04-09,NA,176,77
KS000047165,2010-04-10,NA,184,NA
KS000047165,2010-04-11,NA,194,90
KS000047165,2010-04-12,NA,178,NA
KS000047165,2010-04-13,41,94,NA
KS000047165,2010-04-14,5,94,NA
KS000047165,2010-04-15,NA,110,7
KS000047165,2010-04-16,NA,120,23
KS000047165,2010-04-17,NA,NA,24
KS000047165,2010-04-18,NA,143,68
KS000047165,2010-04-19,NA,157,NA
KS000047165,2010-04-20,NA,212,NA
KS000047165,2010-04-21,NA,154,93
KS000047165,2010-04-22,330,126,NA
KS000047165,2010-04-23,NA,132,NA
KS000047165,2010-04-24,NA,167,55
KS000047165,2010-04-25,NA,193,58
KS000047165,2010-04-26,NA,158,NA
KS000047165,2010-04-27,NA,119,NA
KS000047165,2010-04-28,119,121,66
KS000047165,2010-04-29,NA,134,84
KS000047165,2010-04-30,NA,158,NA
KS000047165,2010-05-01,NA,179,69
KS000047165,2010-05-02,NA,221,108
KS000047165,2010-05-03,NA,235,163
KS000047165,2010-05-04,NA,236,164
KS000047165,2010-05-05,NA,231,162
KS000047165,2010-05-06,61,189,NA
KS000047165,2010-05-07,NA,207,91
KS000047165,2010-05-08,NA,226,102
KS000047165,2010-05-09,NA,227,127
KS000047165,2010-05-10,0,198,NA
KS000047165,2010-05-11,NA,213,95
KS000047165,2010-05-12,NA,183,NA
KS000047165,2010-05-13,NA,190,91
KS000047165,2010-05-14,NA,216,107
KS000047165,2010-05-15,NA,223,120
KS000047165,2010-05-16,NA,235,143
KS000047165,2010-05-17,NA,230,142
KS000047165,2010-05-18,528,194,NA
KS000047165,2010-05-19,10,210,143
KS000047165,2010-05-20,NA,244,NA
KS000047165,2010-05-21,NA,275,145
KS000047165,2010-05-22,185,200,NA
KS000047165,2010-05-23,99,175,NA
KS000047165,2010-05-24,10,162,129
KS000047165,2010-05-25,5,169,NA
KS000047165,2010-05-26,NA,216,122
KS000047165,2010-05-27,NA,210,NA
KS000047165,2010-05-28,NA,185,NA
KS000047165,2010-05-29,NA,229,135
KS000047165,2010-05-30,NA,223,135
KS000047165,2010-05-31,NA,209,NA
KS000047165,2010-06-01,NA,207,NA
KS000047165,2010-06-02,NA,231,137
KS000047165,2010-06-03,NA,250,146
KS000047165,2010-06-04,NA,264,150
KS000047165,2010-06-05,NA,274,161
KS000047165,2010-06-06,NA,272,163
KS000047165,2010-06-07,0,255,NA
KS000047165,2010-06-08,NA,261,169
KS000047165,2010-06-09,NA,290,168
KS000047165,2010-06-10,NA,284,174
KS000047165,2010-06-11,NA,238,NA
KS000047165,2010-06-12,140,211,187
KS000047165,2010-06-13,30,270,194
KS000047165,2010-06-14,NA,257,NA
KS000047165,2010-06-15,NA,249,NA
KS000047165,2010-06-16,NA,265,178
KS000047165,2010-06-17,NA,271,184
KS000047165,2010-06-18,71,243,NA
KS000047165,2010-06-19,NA,259,201
KS000047165,2010-06-20,NA,246,NA
KS000047165,2010-06-21,NA,242,NA
KS000047165,2010-06-22,NA,273,170
KS000047165,2010-06-23,NA,265,NA
KS000047165,2010-06-24,NA,258,185
KS000047165,2010-06-25,NA,290,200
KS000047165,2010-06-26,89,250,204
KS000047165,2010-06-27,3,237,202
KS000047165,2010-06-28,51,250,201
KS000047165,2010-06-29,NA,269,205
KS000047165,2010-06-30,NA,264,213
KS000047165,2010-07-01,NA,291,219
KS000047165,2010-07-02,NA,262,NA
KS000047165,2010-07-03,30,274,NA
KS000047165,2010-07-04,NA,245,NA
KS000047165,2010-07-05,0,267,210
KS000047165,2010-07-06,NA,273,217
KS000047165,2010-07-07,NA,292,NA
KS000047165,2010-07-08,NA,266,205
KS000047165,2010-07-09,NA,277,208
KS000047165,2010-07-10,NA,274,NA
KS000047165,2010-07-11,940,252,205
KS000047165,2010-07-12,NA,261,204
KS000047165,2010-07-13,102,247,206
KS000047165,2010-07-14,NA,261,212
KS000047165,2010-07-15,NA,287,214
KS000047165,2010-07-16,262,264,222
KS000047165,2010-07-17,660,273,233
KS000047165,2010-07-18,NA,294,236
KS000047165,2010-07-19,NA,303,235
