id,date,prcp,tmax,tmin
KSM00047184,2010-01-01,NA,73,16
KSM00047184,2010-01-02,NA,145,27
KSM00047184,2010-01-03,NA,66,NA
KSM00047184,2010-01-04,NA,125,NA
KSM00047184,2010-01-05,15,40,12
KSM00047184,2010-01-06,5,26,17
KSM00047184,2010-01-07,0,NA,21
KSM00047184,2010-01-08,NA,46,28
KSM00047184,2010-01-09,NA,80,31
KSM00047184,2010-01-10,NA,86,NA
KSM00047184,2010-01-11,5,60,NA
KSM00047184,2010-01-12,0,44,NA
KSM00047184,2010-01-13,81,NA,-23
KSM00047184,2010-01-14,5,NA,5
KSM00047184,2010-01-15,NA,95,NA
KSM00047184,2010-01-16,NA,67,NA
KSM00047184,2010-01-17,NA,74,-5
KSM00047184,2010-01-18,NA,107,16
KSM00047184,2010-01-19,NA,165,35
KSM00047184,2010-01-20,NA,189,NA
KSM00047184,2010-01-21,5,128,NA
KSM00047184,2010-01-22,NA,42,23
KSM00047184,2010-01-23,NA,43,NA
KSM00047184,2010-01-24,NA,87,16
KSM00047184,2010-01-25,5,84,NA
KSM00047184,2010-01-26,NA,62,NA
KSM00047184,2010-01-27,NA,140,8
KSM00047184,2010-01-28,NA,103,NA
KSM00047184,2010-01-29,NA,83,17
KSM00047184,2010-01-30,NA,112,26
KSM00047184,2010-01-31,10,100,NA
KSM00047184,2010-02-01,79,86,NA
KSM00047184,2010-02-02,0,52,NA
KSM00047184,2010-02-03,NA,27,NA
KSM00047184,2010-02-04,NA,47,-2
KSM00047184,2010-02-05,NA,74,NA
KSM00047184,2010-02-06,NA,61,10
KSM00047184,2010-02-07,NA,106,25
KSM00047184,2010-02-08,5,163,85
KSM00047184,2010-02-09,0,183,103
KSM00047184,2010-02-10,36,151,NA
KSM00047184,2010-02-11,249,123,NA
KSM00047184,2010-02-12,170,63,NA
KSM00047184,2010-02-13,NA,37,NA
KSM00047184,2010-02-14,NA,61,9
KSM00047184,2010-02-15,NA,81,NA
KSM00047184,2010-02-16,NA,44,12
KSM00047184,2010-02-17,NA,63,14
KSM00047184,2010-02-18,20,50,NA
KSM00047184,2010-02-19,NA,76,21
KSM00047184,2010-02-20,NA,111,NA
KSM00047184,2010-02-21,NA,131,20
KSM00047184,2010-02-22,NA,145,43
KSM00047184,2010-02-23,NA,177,61
KSM00047184,2010-02-24,NA,NA,84
KSM00047184,2010-02-25,0,233,NA
KSM00047184,2010-02-26,104,145,NA
KSM00047184,2010-02-27,99,112,NA
KSM00047184,2010-02-28,NA,139,69
KSM00047184,2010-03-01,145,189,NA
KSM00047184,2010-03-02,18,124,NA
KSM00047184,2010-03-03,41,114,64
KSM00047184,2010-03-04,25,123,87
KSM00047184,2010-03-05,140,110,89
KSM00047184,2010-03-06,432,112,NA
KSM00047184,2010-03-07,104,86,NA
KSM00047184,2010-03-08,0,88,65
KSM00047184,2010-03-09,41,77,NA
KSM00047184,2010-03-10,20,NA,-14
KSM00047184,2010-03-11,NA,110,22
KSM00047184,2010-03-12,NA,178,37
KSM00047184,2010-03-13,NA,NA,84
KSM00047184,2010-03-14,NA,205,119
KSM00047184,2010-03-15,41,212,NA
KSM00047184,2010-03-16,NA,87,NA
KSM00047184,2010-03-17,NA,131,25
KSM00047184,2010-03-18,NA,118,NA
KSM00047184,2010-03-19,NA,NA,21
KSM00047184,2010-03-20,NA,255,NA
KSM00047184,2010-03-21,NA,105,NA
KSM00047184,2010-03-22,NA,149,43
KSM00047184,2010-03-23,351,118,NA
KSM00047184,2010-03-24,119,103,NA
KSM00047184,2010-03-25,30,96,NA
KSM00047184,2010-03-26,NA,90,35
KSM00047184,2010-03-27,NA,117,39
KSM00047184,2010-03-28,NA,123,NA
KSM00047184,2010-03-29,NA,128,41
KSM00047184,2010-03-30,NA,141,70
KSM00047184,2010-03-31,119,178,105
KSM00047184,2010-04-01,810,128,NA
