id,date,prcp,tmax,tmin
KU000405820,2010-01-01,NA,262,NA
KU000405820,2010-01-02,NA,NA,80
KU000405820,2010-01-03,NA,NA,NA
KU000405820,2010-01-04,NA,275,113
KU000405820,2010-01-05,NA,NA,100
KU000405820,2010-01-06,NA,251,NA
KU000405820,2010-01-07,NA,252,109
KU000405820,2010-01-08,NA,231,90
KU000405820,2010-01-09,NA,224,87
KU000405820,2010-01-10,NA,NA,76
KU000405820,2010-01-11,NA,NA,69
KU000405820,2010-01-12,NA,NA,NA
KU000405820,2010-01-13,NA,NA,98
KU000405820,2010-01-14,NA,NA,145
KU000405820,2010-01-15,NA,NA,138
KU000405820,2010-01-16,0,NA,NA
KU000405820,2010-01-17,NA,NA,94
KU000405820,2010-01-18,NA,NA,112
KU000405820,2010-01-19,NA,NA,NA
KU000405820,2010-01-20,NA,NA,152
KU000405820,2010-01-21,NA,NA,NA
KU000405820,2010-01-22,NA,267,NA
KU000405820,2010-01-23,NA,NA,76
KU000405820,2010-01-24,NA,NA,140
KU000405820,2010-01-25,2230,NA,NA
KU000405820,2010-01-26,0,277,NA
KU000405820,2010-01-27,NA,NA,77
KU000405820,2010-01-28,NA,NA,NA
KU000405820,2010-01-29,NA,NA,69
KU000405820,2010-01-30,NA,NA,NA
KU000405820,2010-01-31,NA,NA,124
KU000405820,2010-02-01,NA,NA,NA
KU000405820,2010-02-02,NA,NA,NA
KU000405820,2010-02-03,NA,NA,NA
KU000405820,2010-02-04,NA,NA,NA
KU000405820,2010-02-05,NA,263,NA
KU000405820,2010-02-06,NA,NA,NA
KU000405820,2010-02-07,NA,NA,36
KU000405820,2010-02-08,NA,246,30
KU000405820,2010-02-09,NA,222,NA
KU000405820,2010-02-10,NA,245,NA
KU000405820,2010-02-11,NA,NA,NA
KU000405820,2010-02-12,NA,NA,68
KU000405820,2010-02-13,NA,NA,120
KU000405820,2010-02-14,NA,NA,NA
KU000405820,2010-02-15,NA,NA,NA
KU000405820,2010-02-16,NA,NA,107
KU000405820,2010-02-17,NA,NA,NA
KU000405820,2010-02-18,NA,NA,NA
KU000405820,2010-02-19,NA,NA,177
KU000405820,2010-02-20,79,NA,NA
KU000405820,2010-02-21,NA,NA,NA
KU000405820,2010-02-22,NA,NA,NA
KU000405820,2010-02-23,20,NA,NA
KU000405820,2010-02-24,0,NA,159
KU000405820,2010-02-25,NA,NA,159
KU000405820,2010-02-26,NA,NA,155
KU000405820,2010-02-27,NA,NA,NA
KU000405820,2010-02-28,NA,NA,105
KU000405820,2010-03-01,NA,NA,156
KU000405820,2010-03-02,NA,NA,NA
KU000405820,2010-03-03,NA,NA,94
KU000405820,2010-03-04,NA,NA,140
KU000405820,2010-03-05,NA,NA,NA
KU000405820,2010-03-06,NA,NA,NA
KU000405820,2010-03-07,NA,NA,148
KU000405820,2010-03-08,NA,NA,138
KU000405820,2010-03-09,NA,NA,NA
KU000405820,2010-03-10,NA,NA,NA
KU000405820,2010-03-11,NA,NA,165
KU000405820,2010-03-12,NA,NA,179
KU000405820,2010-03-13,NA,NA,NA
KU000405820,2010-03-14,NA,NA,168
KU000405820,2010-03-15,NA,NA,NA
KU000405820,2010-03-16,NA,NA,NA
KU000405820,2010-03-17,NA,NA,176
KU000405820,2010-03-18,NA,NA,NA
KU000405820,2010-03-19,NA,NA,NA
KU000405820,2010-03-20,NA,NA,NA
KU000405820,2010-03-21,NA,NA,NA
KU000405820,2010-03-22,NA,288,157
KU000405820,2010-03-23,NA,NA,NA
KU000405820,2010-03-24,NA,NA,NA
KU000405820,2010-03-25,NA,NA,NA
KU000405820,2010-03-26,NA,NA,172
KU000405820,2010-03-27,NA,NA,NA
KU000405820,2010-03-28,NA,NA,153
KU000405820,2010-03-29,NA,NA,NA
KU000405820,2010-03-30,10,NA,NA
KU000405820,2010-03-31,0,NA,NA
KU000405820,2010-04-01,NA,NA,NA
KU000405820,2010-04-02,330,NA,145
KU000405820,2010-04-03,NA,NA,NA
KU000405820,2010-04-04,NA,NA,NA
KU000405820,2010-04-05,NA,NA,NA
KU000405820,2010-04-06,NA,NA,200
KU000405820,2010-04-07,NA,NA,178
KU000405820,2010-04-08,NA,NA,245
KU000405820,2010-04-09,NA,NA,NA
KU000405820,2010-04-10,NA,NA,NA
KU000405820,2010-04-11,NA,NA,NA
KU000405820,2010-04-12,NA,NA,207
KU000405820,2010-04-13,NA,NA,218
KU000405820,2010-04-14,NA,NA,NA
KU000405820,2010-04-15,NA,NA,NA
KU000405820,2010-04-16,NA,NA,NA
KU000405820,2010-04-17,3259,NA,175
KU000405820,2010-04-18,0,NA,NA
KU000405820,2010-04-19,NA,NA,NA
KU000405820,2010-04-20,NA,NA,190
KU000405820,2010-04-21,NA,NA,NA
KU000405820,2010-04-22,3091,NA,NA
KU000405820,2010-04-23,0,NA,NA
KU000405820,2010-04-24,NA,NA,NA
KU000405820,2010-04-25,NA,NA,NA
KU000405820,2010-04-26,170,NA,169
KU000405820,2010-04-27,0,NA,NA
KU000405820,2010-04-28,NA,NA,NA
KU000405820,2010-04-29,NA,NA,256
KU000405820,2010-04-30,NA,NA,255
KU000405820,2010-05-01,NA,NA,248
KU000405820,2010-05-02,140,NA,NA
KU000405820,2010-05-03,0,NA,NA
KU000405820,2010-05-04,NA,NA,NA
KU000405820,2010-05-05,NA,344,NA
KU000405820,2010-05-06,NA,NA,NA
KU000405820,2010-05-07,NA,NA,224
KU000405820,2010-05-08,NA,NA,NA
KU000405820,2010-05-09,NA,NA,227
KU000405820,2010-05-10,NA,NA,248
KU000405820,2010-05-11,NA,NA,NA
KU000405820,2010-05-12,NA,NA,253
KU000405820,2010-05-13,NA,NA,305
KU000405820,2010-05-14,NA,NA,NA
KU000405820,2010-05-15,NA,NA,280
KU000405820,2010-05-16,470,NA,NA
KU000405820,2010-05-17,0,NA,NA
KU000405820,2010-05-18,211,NA,294
KU000405820,2010-05-19,0,NA,288
KU000405820,2010-05-20,NA,NA,NA
KU000405820,2010-05-21,NA,NA,NA
KU000405820,2010-05-22,NA,NA,NA
KU000405820,2010-05-23,NA,NA,NA
KU000405820,2010-05-24,NA,NA,259
KU000405820,2010-05-25,NA,NA,NA
KU000405820,2010-05-26,NA,NA,270
KU000405820,2010-05-27,NA,NA,290
KU000405820,2010-05-28,NA,NA,NA
KU000405820,2010-05-29,NA,NA,278
KU000405820,2010-05-30,NA,NA,298
KU000405820,2010-05-31,NA,NA,276
KU000405820,2010-06-01,NA,NA,266
KU000405820,2010-06-02,371,NA,NA
KU000405820,2010-06-03,NA,NA,248
KU000405820,2010-06-04,NA,NA,265
KU000405820,2010-06-05,NA,NA,278
KU000405820,2010-06-06,NA,NA,330
KU000405820,2010-06-07,NA,NA,NA
KU000405820,2010-06-08,NA,NA,326
KU000405820,2010-06-09,NA,NA,298
KU000405820,2010-06-10,NA,NA,310
KU000405820,2010-06-11,NA,NA,NA
KU000405820,2010-06-12,NA,NA,298
KU000405820,2010-06-13,279,NA,301
KU000405820,2010-06-14,0,NA,336
KU000405820,2010-06-15,NA,NA,320
KU000405820,2010-06-16,NA,NA,NA
KU000405820,2010-06-17,NA,NA,NA
KU000405820,2010-06-18,221,NA,307
KU000405820,2010-06-19,NA,NA,296
KU000405820,2010-06-20,320,NA,NA
KU000405820,2010-06-21,NA,NA,320
KU000405820,2010-06-22,NA,NA,300
KU000405820,2010-06-23,NA,NA,260
KU000405820,2010-06-24,711,NA,310
KU000405820,2010-06-25,NA,NA,NA
KU000405820,2010-06-26,NA,NA,285
KU000405820,2010-06-27,NA,NA,282
KU000405820,2010-06-28,NA,NA,270
KU000405820,2010-06-29,NA,NA,305
KU000405820,2010-06-30,NA,NA,327
KU000405820,2010-07-01,NA,NA,NA
KU000405820,2010-07-02,NA,NA,316
KU000405820,2010-07-03,NA,NA,280
KU000405820,2010-07-04,NA,NA,278
KU000405820,2010-07-05,221,NA,299
KU000405820,2010-07-06,0,NA,354
KU000405820,2010-07-07,NA,NA,353
KU000405820,2010-07-08,NA,NA,357
KU000405820,2010-07-09,NA,NA,NA
KU000405820,2010-07-10,NA,NA,278
KU000405820,2010-07-11,NA,NA,300
KU000405820,2010-07-12,180,NA,302
KU000405820,2010-07-13,551,NA,300
KU000405820,2010-07-14,0,NA,287
KU000405820,2010-07-15,820,NA,299
KU000405820,2010-07-16,0,NA,278
KU000405820,2010-07-17,NA,NA,342
KU000405820,2010-07-18,NA,NA,350
KU000405820,2010-07-19,NA,NA,337
KU000405820,2010-07-20,NA,NA,318
KU000405820,2010-07-21,NA,NA,338
KU000405820,2010-07-22,NA,NA,NA
KU000405820,2010-07-23,NA,NA,283
KU000405820,2010-07-24,879,NA,289
KU000405820,2010-07-25,0,NA,291
