id,date,prcp,tmax,tmin
KUM00040568,2010-01-01,NA,NA,96
KUM00040568,2010-01-02,NA,NA,71
KUM00040568,2010-01-03,NA,NA,NA
KUM00040568,2010-01-04,NA,NA,193
KUM00040568,2010-01-05,NA,NA,134
KUM00040568,2010-01-06,NA,NA,110
KUM00040568,2010-01-07,NA,NA,96
KUM00040568,2010-01-08,NA,NA,62
KUM00040568,2010-01-09,NA,NA,80
KUM00040568,2010-01-10,NA,NA,63
KUM00040568,2010-01-11,NA,NA,78
KUM00040568,2010-01-12,NA,NA,86
KUM00040568,2010-01-13,NA,NA,158
KUM00040568,2010-01-14,0,NA,174
KUM00040568,2010-01-15,NA,NA,167
KUM00040568,2010-01-16,NA,NA,169
KUM00040568,2010-01-17,0,NA,134
KUM00040568,2010-01-18,NA,NA,119
KUM00040568,2010-01-19,0,NA,159
KUM00040568,2010-01-20,5,NA,160
KUM00040568,2010-01-21,13,NA,156
KUM00040568,2010-01-22,0,NA,113
KUM00040568,2010-01-23,NA,NA,74
KUM00040568,2010-01-24,3,NA,119
KUM00040568,2010-01-25,15,NA,144
KUM00040568,2010-01-26,0,NA,113
KUM00040568,2010-01-27,NA,NA,70
KUM00040568,2010-01-28,NA,NA,21
KUM00040568,2010-01-29,0,NA,70
KUM00040568,2010-01-30,NA,NA,107
KUM00040568,2010-01-31,18,NA,160
KUM00040568,2010-02-01,13,NA,157
KUM00040568,2010-02-02,0,NA,141
KUM00040568,2010-02-03,0,NA,156
KUM00040568,2010-02-04,0,NA,123
KUM00040568,2010-02-05,NA,NA,84
KUM00040568,2010-02-06,0,NA,70
KUM00040568,2010-02-07,0,NA,38
KUM00040568,2010-02-08,NA,NA,35
KUM00040568,2010-02-09,NA,NA,33
KUM00040568,2010-02-10,NA,NA,122
KUM00040568,2010-02-11,NA,NA,83
KUM00040568,2010-02-12,NA,NA,85
KUM00040568,2010-02-13,NA,NA,123
KUM00040568,2010-02-14,NA,NA,154
KUM00040568,2010-02-15,NA,NA,112
KUM00040568,2010-02-16,NA,NA,125
KUM00040568,2010-02-17,NA,NA,171
KUM00040568,2010-02-18,NA,NA,180
KUM00040568,2010-02-19,5,NA,171
KUM00040568,2010-02-20,0,NA,153
KUM00040568,2010-02-21,NA,NA,127
KUM00040568,2010-02-22,NA,NA,134
KUM00040568,2010-02-23,NA,NA,160
KUM00040568,2010-02-24,NA,NA,163
KUM00040568,2010-02-25,NA,NA,151
KUM00040568,2010-02-26,5,NA,174
KUM00040568,2010-02-27,0,NA,155
KUM00040568,2010-02-28,NA,NA,134
KUM00040568,2010-03-01,0,NA,179
KUM00040568,2010-03-02,0,NA,131
KUM00040568,2010-03-03,NA,NA,99
KUM00040568,2010-03-04,NA,NA,165
KUM00040568,2010-03-05,NA,NA,149
KUM00040568,2010-03-06,NA,NA,128
KUM00040568,2010-03-07,0,NA,168
KUM00040568,2010-03-08,NA,NA,132
KUM00040568,2010-03-09,NA,NA,147
KUM00040568,2010-03-10,NA,NA,161
KUM00040568,2010-03-11,NA,NA,173
KUM00040568,2010-03-12,NA,NA,198
KUM00040568,2010-03-13,NA,NA,194
KUM00040568,2010-03-14,NA,NA,208
KUM00040568,2010-03-15,NA,NA,204
KUM00040568,2010-03-16,NA,NA,212
KUM00040568,2010-03-17,NA,NA,207
KUM00040568,2010-03-18,0,NA,176
KUM00040568,2010-03-19,0,NA,192
KUM00040568,2010-03-20,0,NA,161
KUM00040568,2010-03-21,0,NA,163
KUM00040568,2010-03-22,0,NA,137
KUM00040568,2010-03-23,0,NA,146
KUM00040568,2010-03-24,NA,NA,183
KUM00040568,2010-03-25,NA,NA,163
KUM00040568,2010-03-26,5,NA,194
KUM00040568,2010-03-27,0,NA,198
KUM00040568,2010-03-28,NA,NA,165
KUM00040568,2010-03-29,NA,NA,158
KUM00040568,2010-03-30,NA,NA,176
KUM00040568,2010-03-31,NA,NA,206
KUM00040568,2010-04-01,3,NA,165
KUM00040568,2010-04-02,0,NA,147
KUM00040568,2010-04-03,NA,NA,167
KUM00040568,2010-04-04,NA,NA,169
KUM00040568,2010-04-05,NA,NA,227
KUM00040568,2010-04-06,NA,NA,216
KUM00040568,2010-04-07,NA,NA,193
KUM00040568,2010-04-08,5,NA,238
KUM00040568,2010-04-09,0,NA,242
KUM00040568,2010-04-10,NA,NA,210
KUM00040568,2010-04-11,NA,NA,185
KUM00040568,2010-04-12,NA,NA,212
KUM00040568,2010-04-13,36,NA,216
KUM00040568,2010-04-14,5,NA,215
KUM00040568,2010-04-15,0,NA,219
KUM00040568,2010-04-16,NA,NA,229
KUM00040568,2010-04-17,137,NA,178
KUM00040568,2010-04-18,3,NA,222
KUM00040568,2010-04-19,0,NA,196
KUM00040568,2010-04-20,NA,NA,206
KUM00040568,2010-04-21,NA,NA,213
KUM00040568,2010-04-22,0,NA,249
KUM00040568,2010-04-23,5,NA,219
KUM00040568,2010-04-24,0,NA,189
KUM00040568,2010-04-25,NA,NA,191
KUM00040568,2010-04-26,NA,NA,187
KUM00040568,2010-04-27,NA,NA,236
KUM00040568,2010-04-28,NA,NA,237
KUM00040568,2010-04-29,0,NA,254
KUM00040568,2010-04-30,NA,NA,237
KUM00040568,2010-05-01,28,NA,226
KUM00040568,2010-05-02,53,NA,206
KUM00040568,2010-05-03,0,NA,204
KUM00040568,2010-05-04,NA,NA,216
KUM00040568,2010-05-05,NA,NA,189
KUM00040568,2010-05-06,NA,NA,199
KUM00040568,2010-05-07,NA,NA,221
KUM00040568,2010-05-08,0,NA,252
KUM00040568,2010-05-09,NA,NA,236
KUM00040568,2010-05-10,0,NA,265
KUM00040568,2010-05-11,NA,NA,267
KUM00040568,2010-05-12,NA,NA,272
KUM00040568,2010-05-13,0,NA,286
KUM00040568,2010-05-14,NA,NA,272
KUM00040568,2010-05-15,NA,NA,272
KUM00040568,2010-05-16,0,NA,289
KUM00040568,2010-05-17,NA,NA,266
KUM00040568,2010-05-18,NA,NA,285
KUM00040568,2010-05-19,NA,NA,286
KUM00040568,2010-05-20,NA,NA,301
KUM00040568,2010-05-21,NA,NA,280
KUM00040568,2010-05-22,NA,NA,267
KUM00040568,2010-05-23,0,NA,256
KUM00040568,2010-05-24,NA,NA,281
KUM00040568,2010-05-25,NA,NA,245
KUM00040568,2010-05-26,NA,NA,238
KUM00040568,2010-05-27,NA,NA,258
KUM00040568,2010-05-28,NA,NA,269
KUM00040568,2010-05-29,0,NA,277
KUM00040568,2010-05-30,NA,NA,279
KUM00040568,2010-05-31,NA,NA,283
KUM00040568,2010-06-01,NA,NA,283
KUM00040568,2010-06-02,0,NA,266
KUM00040568,2010-06-03,NA,NA,267
KUM00040568,2010-06-04,NA,NA,270
KUM00040568,2010-06-05,NA,NA,284
KUM00040568,2010-06-06,NA,NA,290
KUM00040568,2010-06-07,0,NA,316
KUM00040568,2010-06-08,0,NA,311
KUM00040568,2010-06-09,NA,NA,278
