id,date,tmax,tmin
KZ000036177,2010-01-01,-25,NA
KZ000036177,2010-01-02,-220,NA
KZ000036177,2010-01-03,NA,-277
KZ000036177,2010-01-04,NA,-146
KZ000036177,2010-01-05,-16,NA
KZ000036177,2010-01-06,-138,-198
KZ000036177,2010-01-07,NA,NA
KZ000036177,2010-01-08,-338,-408
KZ000036177,2010-01-09,-335,-399
KZ000036177,2010-01-10,NA,-360
KZ000036177,2010-01-11,NA,-176
KZ000036177,2010-01-12,-55,NA
KZ000036177,2010-01-13,NA,-292
KZ000036177,2010-01-14,-40,-98
KZ000036177,2010-01-15,-55,NA
KZ000036177,2010-01-16,NA,NA
KZ000036177,2010-01-17,-238,NA
KZ000036177,2010-01-18,-277,NA
KZ000036177,2010-01-19,-312,-418
KZ000036177,2010-01-20,-293,-389
KZ000036177,2010-01-21,-290,-369
KZ000036177,2010-01-22,-228,-355
KZ000036177,2010-01-23,-178,NA
KZ000036177,2010-01-24,NA,-321
KZ000036177,2010-01-25,NA,NA
KZ000036177,2010-01-26,-185,NA
KZ000036177,2010-01-27,-277,NA
KZ000036177,2010-01-28,-251,-374
KZ000036177,2010-01-29,NA,-337
KZ000036177,2010-01-30,-136,NA
KZ000036177,2010-01-31,-162,NA
KZ000036177,2010-02-01,-191,-301
KZ000036177,2010-02-02,-170,-296
KZ000036177,2010-02-03,-183,-279
KZ000036177,2010-02-04,-201,NA
KZ000036177,2010-02-05,-220,-308
KZ000036177,2010-02-06,-268,NA
KZ000036177,2010-02-07,-266,NA
KZ000036177,2010-02-08,-274,-377
KZ000036177,2010-02-09,-273,-389
KZ000036177,2010-02-10,-311,-399
KZ000036177,2010-02-11,-315,-415
KZ000036177,2010-02-12,-300,-403
KZ000036177,2010-02-13,NA,-395
KZ000036177,2010-02-14,-103,-311
KZ000036177,2010-02-15,-116,NA
KZ000036177,2010-02-16,-118,-204
KZ000036177,2010-02-17,-97,-172
KZ000036177,2010-02-18,-9,-117
KZ000036177,2010-02-19,-117,NA
KZ000036177,2010-02-20,-88,-238
KZ000036177,2010-02-21,-50,NA
KZ000036177,2010-02-22,-158,NA
KZ000036177,2010-02-23,-239,NA
KZ000036177,2010-02-24,-255,-360
KZ000036177,2010-02-25,-137,-313
KZ000036177,2010-02-26,-135,NA
KZ000036177,2010-02-27,-35,-246
KZ000036177,2010-02-28,-140,-210
KZ000036177,2010-03-01,-73,-194
KZ000036177,2010-03-02,-185,NA
KZ000036177,2010-03-03,-185,-295
KZ000036177,2010-03-04,-137,-268
KZ000036177,2010-03-05,-64,NA
KZ000036177,2010-03-06,-126,-262
KZ000036177,2010-03-07,-66,-233
KZ000036177,2010-03-08,-32,-106
KZ000036177,2010-03-09,15,-41
KZ000036177,2010-03-10,3,NA
KZ000036177,2010-03-11,NA,-164
KZ000036177,2010-03-12,NA,NA
KZ000036177,2010-03-13,-69,NA
KZ000036177,2010-03-14,-38,-153
KZ000036177,2010-03-15,1,-71
KZ000036177,2010-03-16,NA,-60
KZ000036177,2010-03-17,73,-8
KZ000036177,2010-03-18,NA,NA
KZ000036177,2010-03-19,NA,-122
KZ000036177,2010-03-20,NA,NA
KZ000036177,2010-03-21,NA,-204
KZ000036177,2010-03-22,-45,NA
KZ000036177,2010-03-23,10,-173
KZ000036177,2010-03-24,1,-31
KZ000036177,2010-03-25,31,-32
KZ000036177,2010-03-26,32,-33
KZ000036177,2010-03-27,NA,NA
KZ000036177,2010-03-28,-10,-94
KZ000036177,2010-03-29,-2,NA
KZ000036177,2010-03-30,-19,-163
KZ000036177,2010-03-31,9,-108
KZ000036177,2010-04-01,17,-94
KZ000036177,2010-04-02,27,-77
KZ000036177,2010-04-03,31,-81
KZ000036177,2010-04-04,46,-79
KZ000036177,2010-04-05,2,-74
KZ000036177,2010-04-06,63,-58
KZ000036177,2010-04-07,-18,NA
KZ000036177,2010-04-08,27,-88
KZ000036177,2010-04-09,8,NA
KZ000036177,2010-04-10,-10,-94
KZ000036177,2010-04-11,25,-87
KZ000036177,2010-04-12,50,-69
KZ000036177,2010-04-13,63,-28
KZ000036177,2010-04-14,62,NA
KZ000036177,2010-04-15,84,-3
KZ000036177,2010-04-16,69,NA
KZ000036177,2010-04-17,80,-8
KZ000036177,2010-04-18,106,-18
KZ000036177,2010-04-19,143,-26
KZ000036177,2010-04-20,159,-4
KZ000036177,2010-04-21,172,7
KZ000036177,2010-04-22,214,21
KZ000036177,2010-04-23,136,13
KZ000036177,2010-04-24,196,-6
KZ000036177,2010-04-25,231,8
KZ000036177,2010-04-26,249,37
KZ000036177,2010-04-27,321,81
KZ000036177,2010-04-28,212,NA
KZ000036177,2010-04-29,221,NA
KZ000036177,2010-04-30,161,NA
KZ000036177,2010-05-01,186,16
KZ000036177,2010-05-02,196,NA
KZ000036177,2010-05-03,203,39
KZ000036177,2010-05-04,219,53
KZ000036177,2010-05-05,232,NA
KZ000036177,2010-05-06,206,55
KZ000036177,2010-05-07,221,NA
KZ000036177,2010-05-08,261,25
KZ000036177,2010-05-09,183,NA
KZ000036177,2010-05-10,145,NA
KZ000036177,2010-05-11,126,NA
KZ000036177,2010-05-12,132,-8
KZ000036177,2010-05-13,66,24
KZ000036177,2010-05-14,163,NA
KZ000036177,2010-05-15,191,6
KZ000036177,2010-05-16,235,20
KZ000036177,2010-05-17,281,78
KZ000036177,2010-05-18,153,NA
KZ000036177,2010-05-19,145,10
KZ000036177,2010-05-20,132,25
KZ000036177,2010-05-21,108,NA
KZ000036177,2010-05-22,145,2
KZ000036177,2010-05-23,147,62
KZ000036177,2010-05-24,216,79
KZ000036177,2010-05-25,231,91
KZ000036177,2010-05-26,263,92
KZ000036177,2010-05-27,263,81
KZ000036177,2010-05-28,237,152
KZ000036177,2010-05-29,268,151
KZ000036177,2010-05-30,240,NA
KZ000036177,2010-05-31,241,NA
KZ000036177,2010-06-01,217,53
