id,date,prcp,tmax,tmin
KZ000038062,2010-01-01,NA,NA,-6
KZ000038062,2010-01-02,NA,82,5
KZ000038062,2010-01-03,NA,34,4
KZ000038062,2010-01-04,NA,129,11
KZ000038062,2010-01-05,NA,NA,13
KZ000038062,2010-01-06,NA,NA,NA
KZ000038062,2010-01-07,NA,-58,-106
KZ000038062,2010-01-08,NA,-86,NA
KZ000038062,2010-01-09,NA,-111,NA
KZ000038062,2010-01-10,NA,-55,-140
KZ000038062,2010-01-11,NA,13,-96
KZ000038062,2010-01-12,NA,35,-42
KZ000038062,2010-01-13,NA,16,NA
KZ000038062,2010-01-14,NA,15,-84
KZ000038062,2010-01-15,NA,7,-81
KZ000038062,2010-01-16,NA,-16,-93
KZ000038062,2010-01-17,NA,-71,NA
KZ000038062,2010-01-18,NA,-86,NA
KZ000038062,2010-01-19,NA,-136,-193
KZ000038062,2010-01-20,NA,NA,-205
KZ000038062,2010-01-21,NA,-60,-167
KZ000038062,2010-01-22,NA,-32,-89
KZ000038062,2010-01-23,NA,-20,-71
KZ000038062,2010-01-24,NA,-6,-56
KZ000038062,2010-01-25,NA,-10,NA
KZ000038062,2010-01-26,NA,4,-49
KZ000038062,2010-01-27,NA,NA,-86
KZ000038062,2010-01-28,NA,-6,NA
KZ000038062,2010-01-29,NA,-2,-115
KZ000038062,2010-01-30,NA,-20,-106
KZ000038062,2010-01-31,NA,-29,NA
KZ000038062,2010-02-01,NA,-41,-128
KZ000038062,2010-02-02,NA,-48,-138
KZ000038062,2010-02-03,NA,-31,NA
KZ000038062,2010-02-04,NA,-133,NA
KZ000038062,2010-02-05,NA,-95,-221
KZ000038062,2010-02-06,NA,-99,NA
KZ000038062,2010-02-07,NA,-115,NA
KZ000038062,2010-02-08,NA,-125,-230
KZ000038062,2010-02-09,NA,-126,-225
KZ000038062,2010-02-10,NA,-134,-221
KZ000038062,2010-02-11,NA,-143,-230
KZ000038062,2010-02-12,NA,-143,-249
KZ000038062,2010-02-13,NA,-114,-227
KZ000038062,2010-02-14,NA,-71,-215
KZ000038062,2010-02-15,NA,-49,-173
KZ000038062,2010-02-16,NA,-20,-168
KZ000038062,2010-02-17,NA,56,-132
KZ000038062,2010-02-18,NA,NA,NA
KZ000038062,2010-02-19,NA,3,-89
KZ000038062,2010-02-20,NA,15,-62
KZ000038062,2010-02-21,NA,5,-39
KZ000038062,2010-02-22,NA,37,-3
KZ000038062,2010-02-23,NA,41,NA
KZ000038062,2010-02-24,NA,16,NA
KZ000038062,2010-02-25,NA,57,-20
KZ000038062,2010-02-26,NA,67,NA
KZ000038062,2010-02-27,NA,4,NA
KZ000038062,2010-02-28,NA,46,-48
KZ000038062,2010-03-01,NA,32,-63
KZ000038062,2010-03-02,NA,53,-51
KZ000038062,2010-03-03,NA,22,-58
KZ000038062,2010-03-04,NA,36,-78
KZ000038062,2010-03-05,NA,63,-64
KZ000038062,2010-03-06,NA,104,-34
KZ000038062,2010-03-07,NA,144,6
KZ000038062,2010-03-08,NA,152,NA
KZ000038062,2010-03-09,NA,70,-15
KZ000038062,2010-03-10,NA,59,12
KZ000038062,2010-03-11,NA,NA,NA
KZ000038062,2010-03-12,NA,46,-53
KZ000038062,2010-03-13,NA,106,-29
KZ000038062,2010-03-14,NA,127,NA
KZ000038062,2010-03-15,NA,94,-24
KZ000038062,2010-03-16,NA,301,74
KZ000038062,2010-03-17,NA,NA,NA
KZ000038062,2010-03-18,NA,111,-37
KZ000038062,2010-03-19,NA,47,NA
KZ000038062,2010-03-20,NA,56,NA
KZ000038062,2010-03-21,NA,100,-30
KZ000038062,2010-03-22,NA,138,NA
KZ000038062,2010-03-23,NA,171,20
KZ000038062,2010-03-24,NA,166,26
KZ000038062,2010-03-25,NA,186,1
KZ000038062,2010-03-26,NA,194,NA
KZ000038062,2010-03-27,NA,35,-43
KZ000038062,2010-03-28,NA,89,-50
KZ000038062,2010-03-29,NA,163,2
KZ000038062,2010-03-30,NA,160,35
KZ000038062,2010-03-31,NA,172,31
KZ000038062,2010-04-01,NA,206,56
KZ000038062,2010-04-02,NA,220,68
KZ000038062,2010-04-03,NA,178,76
KZ000038062,2010-04-04,NA,225,95
KZ000038062,2010-04-05,NA,246,NA
KZ000038062,2010-04-06,NA,167,NA
KZ000038062,2010-04-07,NA,193,60
KZ000038062,2010-04-08,NA,203,NA
KZ000038062,2010-04-09,NA,185,NA
KZ000038062,2010-04-10,NA,124,54
KZ000038062,2010-04-11,NA,123,34
KZ000038062,2010-04-12,NA,158,50
KZ000038062,2010-04-13,NA,165,64
KZ000038062,2010-04-14,NA,174,88
KZ000038062,2010-04-15,NA,163,NA
KZ000038062,2010-04-16,NA,168,52
KZ000038062,2010-04-17,NA,197,55
KZ000038062,2010-04-18,NA,195,78
KZ000038062,2010-04-19,NA,217,60
KZ000038062,2010-04-20,NA,242,90
KZ000038062,2010-04-21,NA,265,98
