id,date,prcp,tmax,tmin
LAM00048955,2011-01-01,NA,310,162
LAM00048955,2011-01-02,NA,321,161
LAM00048955,2011-01-03,NA,325,174
LAM00048955,2011-01-04,NA,326,185
LAM00048955,2011-01-05,NA,333,195
LAM00048955,2011-01-06,NA,323,195
LAM00048955,2011-01-07,NA,312,NA
LAM00048955,2011-01-08,NA,313,170
LAM00048955,2011-01-09,NA,315,170
LAM00048955,2011-01-10,NA,NA,180
LAM00048955,2011-01-11,NA,312,178
LAM00048955,2011-01-12,NA,290,NA
LAM00048955,2011-01-13,NA,305,166
LAM00048955,2011-01-14,NA,308,165
LAM00048955,2011-01-15,NA,287,NA
LAM00048955,2011-01-16,NA,277,160
LAM00048955,2011-01-17,NA,NA,149
LAM00048955,2011-01-18,NA,307,156
LAM00048955,2011-01-19,NA,308,160
LAM00048955,2011-01-20,NA,328,180
LAM00048955,2011-01-21,NA,328,182
LAM00048955,2011-01-22,NA,315,180
LAM00048955,2011-01-23,NA,332,189
LAM00048955,2011-01-24,NA,324,185
LAM00048955,2011-01-25,NA,330,180
LAM00048955,2011-01-26,NA,318,177
LAM00048955,2011-01-27,NA,335,189
LAM00048955,2011-01-28,NA,337,NA
LAM00048955,2011-01-29,NA,296,NA
LAM00048955,2011-01-30,NA,300,154
LAM00048955,2011-01-31,NA,302,156
LAM00048955,2011-02-01,NA,316,165
LAM00048955,2011-02-02,NA,322,165
LAM00048955,2011-02-03,NA,325,166
LAM00048955,2011-02-04,NA,321,167
LAM00048955,2011-02-05,NA,324,NA
LAM00048955,2011-02-06,NA,326,175
LAM00048955,2011-02-07,NA,327,175
LAM00048955,2011-02-08,NA,308,210
LAM00048955,2011-02-09,NA,324,212
LAM00048955,2011-02-10,NA,340,230
LAM00048955,2011-02-11,NA,340,225
LAM00048955,2011-02-12,NA,325,225
LAM00048955,2011-02-13,NA,325,NA
LAM00048955,2011-02-14,NA,322,NA
LAM00048955,2011-02-15,NA,320,194
LAM00048955,2011-02-16,NA,348,220
LAM00048955,2011-02-17,NA,364,NA
LAM00048955,2011-02-18,NA,336,240
LAM00048955,2011-02-19,20,NA,252
LAM00048955,2011-02-20,NA,NA,NA
LAM00048955,2011-02-21,NA,340,243
LAM00048955,2011-02-22,NA,356,245
LAM00048955,2011-02-23,NA,345,245
LAM00048955,2011-02-24,30,350,237
LAM00048955,2011-02-25,0,352,238
LAM00048955,2011-02-26,NA,356,238
LAM00048955,2011-02-27,NA,347,NA
LAM00048955,2011-02-28,NA,344,NA
LAM00048955,2011-03-01,NA,355,218
LAM00048955,2011-03-02,NA,345,235
LAM00048955,2011-03-03,NA,355,238
LAM00048955,2011-03-04,NA,352,226
LAM00048955,2011-03-05,NA,355,228
LAM00048955,2011-03-06,NA,374,230
LAM00048955,2011-03-07,NA,375,NA
LAM00048955,2011-03-08,NA,358,230
LAM00048955,2011-03-09,NA,352,215
LAM00048955,2011-03-10,NA,NA,NA
LAM00048955,2011-03-11,NA,347,210
LAM00048955,2011-03-12,NA,357,214
LAM00048955,2011-03-13,NA,366,NA
LAM00048955,2011-03-14,NA,371,240
LAM00048955,2011-03-15,NA,348,NA
LAM00048955,2011-03-16,NA,306,NA
LAM00048955,2011-03-17,NA,306,182
LAM00048955,2011-03-18,NA,305,192
LAM00048955,2011-03-19,NA,347,193
LAM00048955,2011-03-20,NA,NA,NA
LAM00048955,2011-03-21,NA,355,255
LAM00048955,2011-03-22,NA,360,NA
LAM00048955,2011-03-23,NA,347,NA
LAM00048955,2011-03-24,NA,350,NA
LAM00048955,2011-03-25,NA,320,205
LAM00048955,2011-03-26,NA,335,208
LAM00048955,2011-03-27,NA,322,NA
LAM00048955,2011-03-28,NA,287,NA
LAM00048955,2011-03-29,NA,305,170
LAM00048955,2011-03-30,NA,288,198
LAM00048955,2011-03-31,NA,298,195
LAM00048955,2011-04-01,NA,365,198
LAM00048955,2011-04-02,NA,379,220
LAM00048955,2011-04-03,NA,380,250
LAM00048955,2011-04-04,NA,NA,260
LAM00048955,2011-04-05,0,353,258
LAM00048955,2011-04-06,NA,363,258
LAM00048955,2011-04-07,NA,365,260
LAM00048955,2011-04-08,NA,348,NA
LAM00048955,2011-04-09,NA,NA,NA
LAM00048955,2011-04-10,NA,NA,NA
LAM00048955,2011-04-11,NA,NA,NA
LAM00048955,2011-04-12,NA,NA,NA
LAM00048955,2011-04-13,NA,NA,NA
LAM00048955,2011-04-14,NA,NA,NA
LAM00048955,2011-04-15,NA,NA,NA
LAM00048955,2011-04-16,NA,NA,NA
LAM00048955,2011-04-17,NA,NA,NA
LAM00048955,2011-04-18,NA,NA,NA
LAM00048955,2011-04-19,NA,326,NA
LAM00048955,2011-04-20,NA,350,234
LAM00048955,2011-04-21,211,341,NA
LAM00048955,2011-04-22,0,349,NA
LAM00048955,2011-04-23,10,335,NA
LAM00048955,2011-04-24,0,343,235
LAM00048955,2011-04-25,NA,345,240
LAM00048955,2011-04-26,NA,NA,NA
LAM00048955,2011-04-27,NA,352,NA
LAM00048955,2011-04-28,NA,353,236
LAM00048955,2011-04-29,231,295,230
LAM00048955,2011-04-30,140,NA,233
LAM00048955,2011-05-01,0,317,246
LAM00048955,2011-05-02,NA,360,250
LAM00048955,2011-05-03,NA,361,258
LAM00048955,2011-05-04,719,341,223
LAM00048955,2011-05-05,450,355,231
LAM00048955,2011-05-06,NA,NA,NA
LAM00048955,2011-05-07,NA,338,266
LAM00048955,2011-05-08,NA,342,266
LAM00048955,2011-05-09,NA,337,NA
LAM00048955,2011-05-10,NA,339,266
LAM00048955,2011-05-11,NA,344,265
LAM00048955,2011-05-12,NA,337,NA
LAM00048955,2011-05-13,170,314,238
LAM00048955,2011-05-14,71,306,236
LAM00048955,2011-05-15,NA,NA,NA
LAM00048955,2011-05-16,NA,NA,NA
LAM00048955,2011-05-17,500,343,240
LAM00048955,2011-05-18,41,266,243
LAM00048955,2011-05-19,211,325,240
LAM00048955,2011-05-20,0,NA,242
LAM00048955,2011-05-21,41,342,256
LAM00048955,2011-05-22,0,335,NA
LAM00048955,2011-05-23,NA,333,NA
LAM00048955,2011-05-24,NA,318,260
LAM00048955,2011-05-25,41,NA,245
LAM00048955,2011-05-26,500,315,236
LAM00048955,2011-05-27,41,331,242
LAM00048955,2011-05-28,0,334,NA
LAM00048955,2011-05-29,NA,336,261
LAM00048955,2011-05-30,NA,307,254
LAM00048955,2011-05-31,NA,NA,NA
LAM00048955,2011-06-01,310,330,249
LAM00048955,2011-06-02,0,328,254
LAM00048955,2011-06-03,10,319,250
LAM00048955,2011-06-04,8,NA,260
LAM00048955,2011-06-05,0,330,269
LAM00048955,2011-06-06,8,NA,NA
LAM00048955,2011-06-07,310,336,252
LAM00048955,2011-06-08,0,325,245
LAM00048955,2011-06-09,NA,326,NA
LAM00048955,2011-06-10,259,305,243
LAM00048955,2011-06-11,160,NA,240
LAM00048955,2011-06-12,NA,NA,NA
LAM00048955,2011-06-13,0,310,249
LAM00048955,2011-06-14,NA,NA,250
LAM00048955,2011-06-15,201,338,246
LAM00048955,2011-06-16,0,NA,251
LAM00048955,2011-06-17,150,320,NA
LAM00048955,2011-06-18,320,305,235
LAM00048955,2011-06-19,211,296,NA
