id,date,prcp,tmax,tmin
LAW00041074,2010-01-01,NA,310,178
LAW00041074,2010-01-02,NA,320,180
LAW00041074,2010-01-03,NA,292,205
LAW00041074,2010-01-04,NA,317,170
LAW00041074,2010-01-05,NA,322,175
LAW00041074,2010-01-06,NA,342,185
LAW00041074,2010-01-07,NA,282,NA
LAW00041074,2010-01-08,41,244,NA
LAW00041074,2010-01-09,0,302,146
LAW00041074,2010-01-10,NA,325,168
LAW00041074,2010-01-11,NA,320,170
LAW00041074,2010-01-12,NA,292,NA
LAW00041074,2010-01-13,NA,280,122
LAW00041074,2010-01-14,NA,287,NA
LAW00041074,2010-01-15,NA,302,143
LAW00041074,2010-01-16,NA,255,NA
LAW00041074,2010-01-17,NA,242,130
LAW00041074,2010-01-18,NA,282,130
LAW00041074,2010-01-19,NA,285,148
LAW00041074,2010-01-20,NA,275,198
LAW00041074,2010-01-21,10,301,196
LAW00041074,2010-01-22,5,301,NA
LAW00041074,2010-01-23,0,314,NA
LAW00041074,2010-01-24,109,302,172
LAW00041074,2010-01-25,0,320,172
LAW00041074,2010-01-26,NA,291,155
LAW00041074,2010-01-27,NA,301,166
LAW00041074,2010-01-28,NA,321,168
LAW00041074,2010-01-29,NA,334,170
LAW00041074,2010-01-30,NA,336,180
LAW00041074,2010-01-31,NA,340,NA
LAW00041074,2010-02-01,NA,358,210
LAW00041074,2010-02-02,NA,360,236
LAW00041074,2010-02-03,NA,345,228
LAW00041074,2010-02-04,NA,345,NA
LAW00041074,2010-02-05,NA,348,220
LAW00041074,2010-02-06,NA,338,223
LAW00041074,2010-02-07,NA,318,NA
LAW00041074,2010-02-08,NA,332,215
LAW00041074,2010-02-09,NA,NA,203
LAW00041074,2010-02-10,NA,NA,215
LAW00041074,2010-02-11,NA,381,220
LAW00041074,2010-02-12,NA,370,208
LAW00041074,2010-02-13,NA,345,200
LAW00041074,2010-02-14,NA,345,215
LAW00041074,2010-02-15,NA,365,228
LAW00041074,2010-02-16,NA,324,NA
LAW00041074,2010-02-17,NA,322,NA
LAW00041074,2010-02-18,NA,297,165
LAW00041074,2010-02-19,NA,263,NA
LAW00041074,2010-02-20,NA,297,150
LAW00041074,2010-02-21,NA,320,178
LAW00041074,2010-02-22,NA,340,210
LAW00041074,2010-02-23,NA,340,215
LAW00041074,2010-02-24,20,335,235
LAW00041074,2010-02-25,0,355,220
LAW00041074,2010-02-26,NA,380,NA
LAW00041074,2010-02-27,NA,380,208
LAW00041074,2010-02-28,NA,365,250
LAW00041074,2010-03-01,NA,376,255
LAW00041074,2010-03-02,NA,370,248
LAW00041074,2010-03-03,NA,392,228
LAW00041074,2010-03-04,NA,384,258
LAW00041074,2010-03-05,NA,375,248
LAW00041074,2010-03-06,NA,375,240
LAW00041074,2010-03-07,NA,382,210
LAW00041074,2010-03-08,NA,380,238
LAW00041074,2010-03-09,NA,315,NA
LAW00041074,2010-03-10,NA,262,164
LAW00041074,2010-03-11,NA,292,160
LAW00041074,2010-03-12,NA,345,NA
LAW00041074,2010-03-13,NA,380,205
LAW00041074,2010-03-14,NA,380,228
LAW00041074,2010-03-15,NA,382,225
LAW00041074,2010-03-16,NA,370,240
LAW00041074,2010-03-17,NA,350,188
LAW00041074,2010-03-18,NA,330,190
LAW00041074,2010-03-19,NA,352,190
