id,date,prcp,tmax,tmin
LEE00147734,2019-10-01,NA,NA,NA
LEE00147734,2019-10-02,NA,NA,NA
LEE00147734,2019-10-03,NA,NA,NA
LEE00147734,2019-10-04,NA,NA,NA
LEE00147734,2019-10-05,NA,NA,NA
LEE00147734,2019-10-06,NA,NA,NA
LEE00147734,2019-10-07,NA,NA,NA
LEE00147734,2019-10-08,NA,NA,NA
LEE00147734,2019-10-09,NA,NA,NA
LEE00147734,2019-10-10,NA,NA,NA
LEE00147734,2019-10-11,NA,NA,NA
LEE00147734,2019-10-12,NA,NA,NA
LEE00147734,2019-10-13,NA,322,152
LEE00147734,2019-10-14,NA,348,NA
LEE00147734,2019-10-15,NA,327,NA
LEE00147734,2019-10-16,NA,320,157
LEE00147734,2019-10-17,3,299,NA
LEE00147734,2019-10-18,0,283,111
LEE00147734,2019-10-19,NA,272,96
LEE00147734,2019-10-20,NA,259,81
LEE00147734,2019-10-21,NA,256,95
LEE00147734,2019-10-22,NA,257,92
LEE00147734,2019-10-23,NA,213,103
LEE00147734,2019-10-24,79,205,NA
LEE00147734,2019-10-25,NA,222,83
LEE00147734,2019-10-26,NA,235,108
LEE00147734,2019-10-27,NA,250,NA
LEE00147734,2019-10-28,18,220,93
LEE00147734,2019-10-29,NA,209,NA
LEE00147734,2019-10-30,NA,238,61
LEE00147734,2019-10-31,NA,230,65
LEE00147734,2019-11-01,NA,222,60
LEE00147734,2019-11-02,NA,196,NA
LEE00147734,2019-11-03,NA,227,71
LEE00147734,2019-11-04,NA,249,70
LEE00147734,2019-11-05,NA,265,74
LEE00147734,2019-11-06,NA,268,78
LEE00147734,2019-11-07,NA,NA,66
LEE00147734,2019-11-08,NA,265,85
LEE00147734,2019-11-09,NA,275,97
LEE00147734,2019-11-10,NA,269,90
LEE00147734,2019-11-11,NA,261,72
LEE00147734,2019-11-12,NA,245,NA
LEE00147734,2019-11-13,NA,248,63
LEE00147734,2019-11-14,NA,265,85
LEE00147734,2019-11-15,NA,245,103
LEE00147734,2019-11-16,NA,180,78
LEE00147734,2019-11-17,NA,204,NA
LEE00147734,2019-11-18,NA,189,5
LEE00147734,2019-11-19,NA,197,-10
LEE00147734,2019-11-20,NA,201,-7
LEE00147734,2019-11-21,NA,204,-11
LEE00147734,2019-11-22,NA,204,6
LEE00147734,2019-11-23,NA,180,-9
LEE00147734,2019-11-24,NA,186,-6
LEE00147734,2019-11-25,NA,180,3
LEE00147734,2019-11-26,NA,223,26
LEE00147734,2019-11-27,NA,182,82
LEE00147734,2019-11-28,NA,186,78
LEE00147734,2019-11-29,NA,NA,NA
LEE00147734,2019-11-30,NA,199,NA
LEE00147734,2019-12-01,NA,200,20
LEE00147734,2019-12-02,69,179,NA
LEE00147734,2019-12-03,0,160,-5
LEE00147734,2019-12-04,NA,161,-5
LEE00147734,2019-12-05,145,126,40
LEE00147734,2019-12-06,NA,136,42
LEE00147734,2019-12-07,NA,142,23
LEE00147734,2019-12-08,NA,102,4
LEE00147734,2019-12-09,NA,88,35
LEE00147734,2019-12-10,NA,150,28
LEE00147734,2019-12-11,NA,158,NA
LEE00147734,2019-12-12,NA,147,NA
LEE00147734,2019-12-13,NA,94,70
LEE00147734,2019-12-14,NA,117,NA
LEE00147734,2019-12-15,8,121,NA
LEE00147734,2019-12-16,0,144,-7
LEE00147734,2019-12-17,NA,176,-7
LEE00147734,2019-12-18,NA,186,-12
LEE00147734,2019-12-19,NA,201,-14
LEE00147734,2019-12-20,NA,220,-7
LEE00147734,2019-12-21,NA,191,-14
LEE00147734,2019-12-22,NA,191,-24
LEE00147734,2019-12-23,NA,186,-2
LEE00147734,2019-12-24,NA,130,41
LEE00147734,2019-12-25,NA,90,47
LEE00147734,2019-12-26,490,70,24
LEE00147734,2019-12-27,312,63,28
LEE00147734,2019-12-28,23,102,22
LEE00147734,2019-12-29,NA,83,18
LEE00147734,2019-12-30,NA,106,1
LEE00147734,2019-12-31,NA,90,27
LEE00147734,2020-01-01,15,104,19
LEE00147734,2020-01-02,5,90,NA
LEE00147734,2020-01-03,33,95,18
LEE00147734,2020-01-04,30,75,NA
LEE00147734,2020-01-05,0,NA,44
LEE00147734,2020-01-06,NA,NA,NA
LEE00147734,2020-01-07,NA,NA,NA
LEE00147734,2020-01-08,NA,NA,NA
LEE00147734,2020-01-09,NA,NA,NA
LEE00147734,2020-01-10,NA,NA,NA
LEE00147734,2020-01-11,NA,NA,NA
LEE00147734,2020-01-12,NA,NA,NA
LEE00147734,2020-01-13,NA,NA,NA
LEE00147734,2020-01-14,NA,NA,NA
LEE00147734,2020-01-15,NA,NA,NA
LEE00147734,2020-01-16,NA,NA,NA
LEE00147734,2020-01-17,NA,NA,NA
LEE00147734,2020-01-18,NA,NA,NA
LEE00147734,2020-01-19,NA,NA,NA
LEE00147734,2020-01-20,NA,NA,NA
LEE00147734,2020-01-21,NA,NA,NA
LEE00147734,2020-01-22,NA,NA,NA
LEE00147734,2020-01-23,NA,NA,NA
LEE00147734,2020-01-24,NA,NA,NA
LEE00147734,2020-01-25,NA,NA,NA
LEE00147734,2020-01-26,NA,NA,NA
LEE00147734,2020-01-27,NA,NA,NA
LEE00147734,2020-01-28,NA,NA,NA
LEE00147734,2020-01-29,NA,NA,NA
LEE00147734,2020-01-30,NA,NA,NA
LEE00147734,2020-01-31,NA,NA,NA
