id,date,prcp,tmax,tmin
LEM00040101,2010-01-01,0,163,57
LEM00040101,2010-01-02,0,180,77
LEM00040101,2010-01-03,0,131,104
LEM00040101,2010-01-04,5,126,97
LEM00040101,2010-01-05,NA,153,NA
LEM00040101,2010-01-06,0,188,22
LEM00040101,2010-01-07,0,214,40
LEM00040101,2010-01-08,0,218,46
LEM00040101,2010-01-09,0,229,55
LEM00040101,2010-01-10,0,236,49
LEM00040101,2010-01-11,0,191,55
LEM00040101,2010-01-12,0,132,70
LEM00040101,2010-01-13,0,137,NA
LEM00040101,2010-01-14,51,133,69
LEM00040101,2010-01-15,0,147,64
LEM00040101,2010-01-16,0,181,41
LEM00040101,2010-01-17,0,170,41
LEM00040101,2010-01-18,71,99,NA
LEM00040101,2010-01-19,500,94,NA
LEM00040101,2010-01-20,361,76,NA
LEM00040101,2010-01-21,480,112,43
LEM00040101,2010-01-22,30,134,38
LEM00040101,2010-01-23,0,121,69
LEM00040101,2010-01-24,61,82,NA
LEM00040101,2010-01-25,419,69,20
LEM00040101,2010-01-26,109,84,NA
LEM00040101,2010-01-27,0,108,-25
LEM00040101,2010-01-28,0,129,NA
LEM00040101,2010-01-29,0,148,-4
LEM00040101,2010-01-30,0,180,56
LEM00040101,2010-01-31,0,162,NA
LEM00040101,2010-02-01,0,160,66
LEM00040101,2010-02-02,0,169,34
LEM00040101,2010-02-03,NA,90,NA
LEM00040101,2010-02-04,170,30,2
LEM00040101,2010-02-05,99,48,NA
LEM00040101,2010-02-06,0,77,-38
LEM00040101,2010-02-07,0,97,-17
LEM00040101,2010-02-08,0,112,46
LEM00040101,2010-02-09,10,117,58
LEM00040101,2010-02-10,79,149,NA
LEM00040101,2010-02-11,0,193,33
LEM00040101,2010-02-12,0,174,58
LEM00040101,2010-02-13,0,206,63
LEM00040101,2010-02-14,0,240,66
LEM00040101,2010-02-15,0,236,100
LEM00040101,2010-02-16,0,232,118
LEM00040101,2010-02-17,0,227,111
LEM00040101,2010-02-18,0,240,93
LEM00040101,2010-02-19,0,179,102
LEM00040101,2010-02-20,0,222,72
LEM00040101,2010-02-21,0,191,80
LEM00040101,2010-02-22,30,109,77
LEM00040101,2010-02-23,30,135,70
LEM00040101,2010-02-24,0,153,30
LEM00040101,2010-02-25,NA,158,NA
LEM00040101,2010-02-26,NA,90,NA
LEM00040101,2010-02-27,NA,NA,67
LEM00040101,2010-02-28,119,NA,NA
LEM00040101,2010-03-01,180,139,49
LEM00040101,2010-03-02,0,179,53
LEM00040101,2010-03-03,0,154,NA
LEM00040101,2010-03-04,89,151,71
LEM00040101,2010-03-05,0,202,66
LEM00040101,2010-03-06,0,168,NA
LEM00040101,2010-03-07,0,212,77
LEM00040101,2010-03-08,0,265,87
LEM00040101,2010-03-09,0,246,152
LEM00040101,2010-03-10,0,266,146
LEM00040101,2010-03-11,0,284,113
LEM00040101,2010-03-12,0,286,147
LEM00040101,2010-03-13,0,270,154
LEM00040101,2010-03-14,0,267,119
LEM00040101,2010-03-15,0,273,NA
LEM00040101,2010-03-16,0,132,NA
LEM00040101,2010-03-17,0,188,39
LEM00040101,2010-03-18,0,112,NA
LEM00040101,2010-03-19,89,140,14
LEM00040101,2010-03-20,0,160,28
LEM00040101,2010-03-21,0,202,25
LEM00040101,2010-03-22,0,228,44
LEM00040101,2010-03-23,0,230,47
LEM00040101,2010-03-24,0,240,65
LEM00040101,2010-03-25,0,217,96
LEM00040101,2010-03-26,0,177,68
LEM00040101,2010-03-27,0,191,95
LEM00040101,2010-03-28,NA,201,NA
LEM00040101,2010-03-29,0,187,70
LEM00040101,2010-03-30,0,164,48
LEM00040101,2010-03-31,0,196,61
LEM00040101,2010-04-01,0,238,58
LEM00040101,2010-04-02,0,259,105
LEM00040101,2010-04-03,0,275,114
LEM00040101,2010-04-04,0,266,NA
LEM00040101,2010-04-05,0,273,104
LEM00040101,2010-04-06,0,263,96
LEM00040101,2010-04-07,0,174,NA
LEM00040101,2010-04-08,0,168,NA
LEM00040101,2010-04-09,0,165,NA
LEM00040101,2010-04-10,0,213,38
LEM00040101,2010-04-11,0,235,120
LEM00040101,2010-04-12,0,166,NA
LEM00040101,2010-04-13,0,192,67
LEM00040101,2010-04-14,0,243,64
LEM00040101,2010-04-15,0,273,77
LEM00040101,2010-04-16,0,286,105
LEM00040101,2010-04-17,0,275,109
LEM00040101,2010-04-18,0,262,108
LEM00040101,2010-04-19,0,276,109
LEM00040101,2010-04-20,0,291,122
LEM00040101,2010-04-21,0,227,129
LEM00040101,2010-04-22,0,182,97
LEM00040101,2010-04-23,10,201,73
LEM00040101,2010-04-24,0,246,63
LEM00040101,2010-04-25,NA,282,NA
LEM00040101,2010-04-26,0,290,124
LEM00040101,2010-04-27,0,276,122
LEM00040101,2010-04-28,NA,217,NA
LEM00040101,2010-04-29,0,221,99
LEM00040101,2010-04-30,NA,198,NA
LEM00040101,2010-05-01,0,213,76
LEM00040101,2010-05-02,NA,200,NA
LEM00040101,2010-05-03,0,224,76
LEM00040101,2010-05-04,0,259,87
LEM00040101,2010-05-05,NA,277,NA
LEM00040101,2010-05-06,0,301,120
LEM00040101,2010-05-07,NA,313,NA
LEM00040101,2010-05-08,NA,315,NA
LEM00040101,2010-05-09,0,315,150
LEM00040101,2010-05-10,0,343,190
LEM00040101,2010-05-11,0,308,164
LEM00040101,2010-05-12,0,314,131
LEM00040101,2010-05-13,0,319,137
LEM00040101,2010-05-14,0,316,145
LEM00040101,2010-05-15,0,323,153
LEM00040101,2010-05-16,0,342,186
LEM00040101,2010-05-17,0,289,200
LEM00040101,2010-05-18,0,261,NA
LEM00040101,2010-05-19,0,227,120
LEM00040101,2010-05-20,0,NA,105
LEM00040101,2010-05-21,0,270,92
LEM00040101,2010-05-22,0,302,124
LEM00040101,2010-05-23,NA,215,NA
LEM00040101,2010-05-24,0,237,120
LEM00040101,2010-05-25,0,293,94
LEM00040101,2010-05-26,0,318,137
LEM00040101,2010-05-27,0,339,191
LEM00040101,2010-05-28,0,271,155
LEM00040101,2010-05-29,NA,NA,NA
LEM00040101,2010-05-30,NA,321,NA
LEM00040101,2010-05-31,0,349,167
LEM00040101,2010-06-01,NA,365,NA
LEM00040101,2010-06-02,0,325,NA
LEM00040101,2010-06-03,0,334,160
LEM00040101,2010-06-04,0,367,154
LEM00040101,2010-06-05,NA,345,NA
LEM00040101,2010-06-06,0,NA,182
LEM00040101,2010-06-07,NA,NA,NA
LEM00040101,2010-06-08,NA,NA,NA
LEM00040101,2010-06-09,0,269,145
LEM00040101,2010-06-10,NA,265,142
LEM00040101,2010-06-11,0,326,118
LEM00040101,2010-06-12,0,365,172
LEM00040101,2010-06-13,NA,370,NA
LEM00040101,2010-06-14,NA,327,NA
LEM00040101,2010-06-15,0,297,150
LEM00040101,2010-06-16,0,326,188
LEM00040101,2010-06-17,0,331,201
LEM00040101,2010-06-18,0,335,185
LEM00040101,2010-06-19,0,332,186
LEM00040101,2010-06-20,0,329,169
LEM00040101,2010-06-21,0,350,171
LEM00040101,2010-06-22,0,366,191
LEM00040101,2010-06-23,NA,285,NA
LEM00040101,2010-06-24,0,247,167
LEM00040101,2010-06-25,0,270,148
LEM00040101,2010-06-26,0,259,143
LEM00040101,2010-06-27,0,NA,150
LEM00040101,2010-06-28,0,291,129
LEM00040101,2010-06-29,0,340,166
LEM00040101,2010-06-30,0,320,169
LEM00040101,2010-07-01,0,293,152
LEM00040101,2010-07-02,0,329,140
LEM00040101,2010-07-03,0,349,160
LEM00040101,2010-07-04,0,361,190
LEM00040101,2010-07-05,0,367,176
LEM00040101,2010-07-06,0,354,181
LEM00040101,2010-07-07,0,368,153
LEM00040101,2010-07-08,0,353,166
LEM00040101,2010-07-09,0,357,143
LEM00040101,2010-07-10,0,390,173
LEM00040101,2010-07-11,NA,416,NA
LEM00040101,2010-07-12,NA,421,NA
LEM00040101,2010-07-13,NA,390,NA
LEM00040101,2010-07-14,0,362,182
LEM00040101,2010-07-15,0,346,181
LEM00040101,2010-07-16,0,349,171
LEM00040101,2010-07-17,0,329,196
LEM00040101,2010-07-18,0,329,NA
LEM00040101,2010-07-19,0,336,191
LEM00040101,2010-07-20,0,321,197
LEM00040101,2010-07-21,0,325,176
LEM00040101,2010-07-22,0,347,184
LEM00040101,2010-07-23,NA,344,NA
LEM00040101,2010-07-24,NA,318,NA
LEM00040101,2010-07-25,NA,331,NA
LEM00040101,2010-07-26,0,343,171
LEM00040101,2010-07-27,NA,345,NA
LEM00040101,2010-07-28,NA,333,NA
LEM00040101,2010-07-29,0,386,184
LEM00040101,2010-07-30,NA,432,NA
LEM00040101,2010-07-31,0,418,264
LEM00040101,2010-08-01,0,425,234
LEM00040101,2010-08-02,0,426,243
LEM00040101,2010-08-03,0,400,244
LEM00040101,2010-08-04,0,413,234
LEM00040101,2010-08-05,5,382,216
LEM00040101,2010-08-06,0,372,NA
LEM00040101,2010-08-07,NA,384,NA
LEM00040101,2010-08-08,0,373,196
LEM00040101,2010-08-09,NA,388,NA
LEM00040101,2010-08-10,NA,378,NA
LEM00040101,2010-08-11,0,374,181
LEM00040101,2010-08-12,NA,382,NA
LEM00040101,2010-08-13,NA,376,NA
LEM00040101,2010-08-14,NA,387,NA
LEM00040101,2010-08-15,0,406,222
LEM00040101,2010-08-16,0,401,234
LEM00040101,2010-08-17,0,370,230
LEM00040101,2010-08-18,0,365,211
LEM00040101,2010-08-19,0,403,202
LEM00040101,2010-08-20,0,422,224
LEM00040101,2010-08-21,0,423,222
LEM00040101,2010-08-22,0,402,216
LEM00040101,2010-08-23,0,376,207
LEM00040101,2010-08-24,0,348,209
LEM00040101,2010-08-25,0,333,214
LEM00040101,2010-08-26,0,324,190
LEM00040101,2010-08-27,0,NA,172
LEM00040101,2010-08-28,0,380,204
LEM00040101,2010-08-29,0,365,191
LEM00040101,2010-08-30,0,359,183
LEM00040101,2010-08-31,0,341,193
LEM00040101,2010-09-01,0,316,174
LEM00040101,2010-09-02,0,323,188
LEM00040101,2010-09-03,0,333,164
LEM00040101,2010-09-04,0,357,145
LEM00040101,2010-09-05,0,359,145
LEM00040101,2010-09-06,0,349,147
LEM00040101,2010-09-07,0,331,179
LEM00040101,2010-09-08,0,327,180
LEM00040101,2010-09-09,0,350,151
LEM00040101,2010-09-10,0,358,149
