id,date,tmax,tmin
LG000026425,2010-01-01,-35,NA
LG000026425,2010-01-02,NA,NA
LG000026425,2010-01-03,-81,-209
LG000026425,2010-01-04,-16,-92
LG000026425,2010-01-05,-42,-79
LG000026425,2010-01-06,NA,NA
LG000026425,2010-01-07,-70,NA
LG000026425,2010-01-08,-43,-145
LG000026425,2010-01-09,NA,NA
LG000026425,2010-01-10,-90,-145
LG000026425,2010-01-11,-66,NA
LG000026425,2010-01-12,-96,-201
LG000026425,2010-01-13,-83,-196
LG000026425,2010-01-14,NA,NA
LG000026425,2010-01-15,-108,-219
LG000026425,2010-01-16,NA,-232
LG000026425,2010-01-17,NA,-183
LG000026425,2010-01-18,NA,-104
LG000026425,2010-01-19,NA,NA
LG000026425,2010-01-20,-79,-117
LG000026425,2010-01-21,-107,NA
LG000026425,2010-01-22,-126,-206
LG000026425,2010-01-23,-140,NA
LG000026425,2010-01-24,-136,-281
LG000026425,2010-01-25,-146,-270
LG000026425,2010-01-26,-92,NA
LG000026425,2010-01-27,NA,-291
LG000026425,2010-01-28,NA,-195
LG000026425,2010-01-29,-67,NA
LG000026425,2010-01-30,NA,-147
LG000026425,2010-01-31,-4,NA
LG000026425,2010-02-01,-28,-137
LG000026425,2010-02-02,-9,-46
LG000026425,2010-02-03,-16,-45
LG000026425,2010-02-04,NA,-45
LG000026425,2010-02-05,NA,NA
LG000026425,2010-02-06,NA,-97
LG000026425,2010-02-07,-72,NA
LG000026425,2010-02-08,-65,-208
LG000026425,2010-02-09,-80,-105
LG000026425,2010-02-10,-52,-114
LG000026425,2010-02-11,-49,-177
LG000026425,2010-02-12,-26,NA
LG000026425,2010-02-13,-43,NA
LG000026425,2010-02-14,-28,-141
LG000026425,2010-02-15,NA,NA
LG000026425,2010-02-16,-18,-115
LG000026425,2010-02-17,-42,-94
LG000026425,2010-02-18,-30,-50
LG000026425,2010-02-19,26,-47
LG000026425,2010-02-20,NA,NA
LG000026425,2010-02-21,3,-75
