id,date,prcp,tmax,tmin
LG000026544,2010-01-01,NA,-45,-83
LG000026544,2010-01-02,NA,NA,NA
LG000026544,2010-01-03,0,-134,-176
LG000026544,2010-01-04,10,-64,-149
LG000026544,2010-01-05,NA,-71,-127
LG000026544,2010-01-06,NA,NA,NA
LG000026544,2010-01-07,51,-47,-95
LG000026544,2010-01-08,8,-54,-75
LG000026544,2010-01-09,NA,NA,NA
LG000026544,2010-01-10,NA,-94,-196
LG000026544,2010-01-11,NA,-66,-133
LG000026544,2010-01-12,NA,-102,-176
LG000026544,2010-01-13,NA,NA,-200
LG000026544,2010-01-14,NA,-112,NA
LG000026544,2010-01-15,NA,-92,-211
LG000026544,2010-01-16,NA,-63,-120
LG000026544,2010-01-17,NA,NA,NA
LG000026544,2010-01-18,NA,-136,-172
LG000026544,2010-01-19,NA,-125,NA
LG000026544,2010-01-20,NA,-110,NA
LG000026544,2010-01-21,NA,-142,-172
LG000026544,2010-01-22,NA,-140,NA
LG000026544,2010-01-23,NA,-164,-269
LG000026544,2010-01-24,NA,-174,-298
LG000026544,2010-01-25,NA,NA,-271
LG000026544,2010-01-26,10,NA,NA
LG000026544,2010-01-27,NA,-203,-333
LG000026544,2010-01-28,NA,NA,-241
LG000026544,2010-01-29,18,-40,-120
LG000026544,2010-01-30,0,-31,-97
LG000026544,2010-01-31,NA,-9,NA
LG000026544,2010-02-01,130,-45,-69
LG000026544,2010-02-02,NA,-37,-74
LG000026544,2010-02-03,NA,NA,-64
LG000026544,2010-02-04,NA,-36,NA
LG000026544,2010-02-05,NA,-43,-98
LG000026544,2010-02-06,0,-95,-120
LG000026544,2010-02-07,NA,-89,-175
LG000026544,2010-02-08,NA,-86,-160
LG000026544,2010-02-09,NA,-83,-154
LG000026544,2010-02-10,0,-61,-104
LG000026544,2010-02-11,0,NA,-89
LG000026544,2010-02-12,NA,NA,NA
LG000026544,2010-02-13,10,-61,-81
LG000026544,2010-02-14,NA,-62,-92
LG000026544,2010-02-15,NA,-56,-76
LG000026544,2010-02-16,0,-57,-80
LG000026544,2010-02-17,5,NA,-89
LG000026544,2010-02-18,5,-38,-73
LG000026544,2010-02-19,61,11,-47
LG000026544,2010-02-20,58,2,NA
LG000026544,2010-02-21,30,-40,NA
LG000026544,2010-02-22,NA,-13,-80
LG000026544,2010-02-23,NA,37,-79
LG000026544,2010-02-24,NA,NA,NA
LG000026544,2010-02-25,NA,NA,-115
LG000026544,2010-02-26,NA,26,-9
LG000026544,2010-02-27,10,33,-1
LG000026544,2010-02-28,NA,18,-1
LG000026544,2010-03-01,NA,16,4
LG000026544,2010-03-02,15,NA,NA
LG000026544,2010-03-03,NA,-17,-45
LG000026544,2010-03-04,5,-34,-87
LG000026544,2010-03-05,18,-25,NA
LG000026544,2010-03-06,0,-68,NA
LG000026544,2010-03-07,NA,-46,-229
LG000026544,2010-03-08,NA,-25,-228
LG000026544,2010-03-09,25,-10,-94
LG000026544,2010-03-10,NA,20,-135
LG000026544,2010-03-11,NA,21,-96
LG000026544,2010-03-12,NA,9,-122
LG000026544,2010-03-13,NA,-1,-44
LG000026544,2010-03-14,30,4,NA
LG000026544,2010-03-15,NA,-26,-106
LG000026544,2010-03-16,NA,-32,-211
LG000026544,2010-03-17,NA,-9,-142
LG000026544,2010-03-18,NA,14,-152
LG000026544,2010-03-19,30,65,-4
LG000026544,2010-03-20,0,81,40
LG000026544,2010-03-21,91,71,NA
LG000026544,2010-03-22,51,30,NA
LG000026544,2010-03-23,NA,33,-58
LG000026544,2010-03-24,20,28,3
LG000026544,2010-03-25,NA,33,-19
LG000026544,2010-03-26,NA,79,-2
LG000026544,2010-03-27,76,123,52
LG000026544,2010-03-28,0,88,35
LG000026544,2010-03-29,10,90,-6
LG000026544,2010-03-30,5,91,-9
LG000026544,2010-03-31,NA,156,56
LG000026544,2010-04-01,NA,161,42
LG000026544,2010-04-02,30,105,66
LG000026544,2010-04-03,28,90,NA
LG000026544,2010-04-04,NA,106,26
LG000026544,2010-04-05,NA,121,14
LG000026544,2010-04-06,89,135,57
LG000026544,2010-04-07,25,51,NA
LG000026544,2010-04-08,NA,91,NA
LG000026544,2010-04-09,NA,105,-36
LG000026544,2010-04-10,NA,141,15
LG000026544,2010-04-11,NA,161,-18
LG000026544,2010-04-12,NA,148,-23
LG000026544,2010-04-13,NA,166,-11
LG000026544,2010-04-14,NA,169,12
LG000026544,2010-04-15,NA,142,-8
LG000026544,2010-04-16,NA,165,-1
LG000026544,2010-04-17,NA,104,31
LG000026544,2010-04-18,NA,95,NA
LG000026544,2010-04-19,NA,164,21
LG000026544,2010-04-20,NA,123,-22
LG000026544,2010-04-21,NA,118,-11
LG000026544,2010-04-22,NA,75,11
LG000026544,2010-04-23,25,69,0
LG000026544,2010-04-24,15,88,12
LG000026544,2010-04-25,NA,122,-6
LG000026544,2010-04-26,NA,152,-21
LG000026544,2010-04-27,NA,159,23
LG000026544,2010-04-28,NA,144,NA
LG000026544,2010-04-29,NA,118,5
LG000026544,2010-04-30,0,210,102
LG000026544,2010-05-01,NA,174,NA
LG000026544,2010-05-02,NA,141,38
LG000026544,2010-05-03,NA,187,23
LG000026544,2010-05-04,NA,NA,NA
LG000026544,2010-05-05,76,69,NA
LG000026544,2010-05-06,NA,96,-9
LG000026544,2010-05-07,0,240,71
LG000026544,2010-05-08,30,243,111
LG000026544,2010-05-09,102,165,NA
LG000026544,2010-05-10,NA,141,NA
LG000026544,2010-05-11,NA,191,28
LG000026544,2010-05-12,NA,224,73
LG000026544,2010-05-13,NA,248,134
LG000026544,2010-05-14,NA,257,124
LG000026544,2010-05-15,NA,219,136
LG000026544,2010-05-16,NA,234,88
LG000026544,2010-05-17,8,247,110
LG000026544,2010-05-18,NA,264,103
LG000026544,2010-05-19,NA,239,132
LG000026544,2010-05-20,NA,228,103
LG000026544,2010-05-21,NA,254,78
LG000026544,2010-05-22,NA,247,83
LG000026544,2010-05-23,NA,217,82
LG000026544,2010-05-24,NA,160,NA
LG000026544,2010-05-25,109,111,52
LG000026544,2010-05-26,5,115,50
LG000026544,2010-05-27,NA,163,57
LG000026544,2010-05-28,NA,167,40
LG000026544,2010-05-29,NA,180,63
LG000026544,2010-05-30,NA,181,22
LG000026544,2010-05-31,NA,219,66
LG000026544,2010-06-01,119,227,NA
LG000026544,2010-06-02,NA,249,109
LG000026544,2010-06-03,NA,260,139
LG000026544,2010-06-04,NA,198,NA
LG000026544,2010-06-05,NA,183,60
LG000026544,2010-06-06,NA,213,74
LG000026544,2010-06-07,NA,236,133
LG000026544,2010-06-08,69,166,NA
LG000026544,2010-06-09,NA,198,115
LG000026544,2010-06-10,NA,228,136
LG000026544,2010-06-11,NA,283,152
LG000026544,2010-06-12,NA,223,NA
LG000026544,2010-06-13,20,156,117
LG000026544,2010-06-14,NA,164,101
LG000026544,2010-06-15,NA,186,111
LG000026544,2010-06-16,20,148,NA
LG000026544,2010-06-17,NA,182,55
LG000026544,2010-06-18,NA,210,43
LG000026544,2010-06-19,NA,203,113
LG000026544,2010-06-20,61,162,115
LG000026544,2010-06-21,61,238,135
LG000026544,2010-06-22,41,NA,NA
LG000026544,2010-06-23,102,141,115
LG000026544,2010-06-24,28,186,132
LG000026544,2010-06-25,0,265,166
LG000026544,2010-06-26,NA,231,153
LG000026544,2010-06-27,NA,217,109
LG000026544,2010-06-28,NA,229,79
LG000026544,2010-06-29,NA,254,85
LG000026544,2010-06-30,NA,268,112
LG000026544,2010-07-01,NA,272,138
LG000026544,2010-07-02,NA,209,130
LG000026544,2010-07-03,NA,241,100
LG000026544,2010-07-04,NA,261,105
LG000026544,2010-07-05,NA,286,134
LG000026544,2010-07-06,NA,277,137
LG000026544,2010-07-07,NA,247,157
LG000026544,2010-07-08,371,237,169
LG000026544,2010-07-09,NA,259,155
LG000026544,2010-07-10,NA,277,133
LG000026544,2010-07-11,NA,288,144
LG000026544,2010-07-12,NA,302,157
LG000026544,2010-07-13,NA,300,165
LG000026544,2010-07-14,NA,297,187
LG000026544,2010-07-15,NA,305,192
LG000026544,2010-07-16,NA,298,199
LG000026544,2010-07-17,NA,303,170
LG000026544,2010-07-18,NA,311,NA
LG000026544,2010-07-19,185,233,NA
LG000026544,2010-07-20,NA,245,117
LG000026544,2010-07-21,NA,267,119
LG000026544,2010-07-22,NA,298,153
LG000026544,2010-07-23,NA,320,189
LG000026544,2010-07-24,NA,327,178
LG000026544,2010-07-25,NA,292,182
LG000026544,2010-07-26,NA,265,186
LG000026544,2010-07-27,99,NA,184
LG000026544,2010-07-28,NA,NA,NA
LG000026544,2010-07-29,25,223,160
LG000026544,2010-07-30,NA,246,149
LG000026544,2010-07-31,NA,276,133
LG000026544,2010-08-01,NA,291,156
LG000026544,2010-08-02,NA,261,163
LG000026544,2010-08-03,NA,286,157
LG000026544,2010-08-04,NA,263,NA
LG000026544,2010-08-05,5,230,173
LG000026544,2010-08-06,NA,307,173
LG000026544,2010-08-07,NA,333,205
LG000026544,2010-08-08,NA,NA,210
LG000026544,2010-08-09,NA,NA,NA
LG000026544,2010-08-10,NA,243,134
LG000026544,2010-08-11,NA,269,115
LG000026544,2010-08-12,NA,277,NA
LG000026544,2010-08-13,NA,286,126
LG000026544,2010-08-14,NA,324,201
LG000026544,2010-08-15,NA,326,191
LG000026544,2010-08-16,NA,331,175
LG000026544,2010-08-17,NA,307,NA
LG000026544,2010-08-18,58,246,156
LG000026544,2010-08-19,290,172,NA
LG000026544,2010-08-20,NA,199,123
LG000026544,2010-08-21,NA,194,111
LG000026544,2010-08-22,8,238,153
LG000026544,2010-08-23,NA,225,NA
LG000026544,2010-08-24,231,221,NA
LG000026544,2010-08-25,NA,199,NA
LG000026544,2010-08-26,18,176,NA
LG000026544,2010-08-27,NA,180,106
LG000026544,2010-08-28,91,152,NA
LG000026544,2010-08-29,NA,157,94
LG000026544,2010-08-30,30,146,89
LG000026544,2010-08-31,NA,167,57
LG000026544,2010-09-01,NA,138,78
LG000026544,2010-09-02,399,92,NA
LG000026544,2010-09-03,71,109,69
LG000026544,2010-09-04,41,146,74
LG000026544,2010-09-05,NA,143,NA
LG000026544,2010-09-06,NA,166,9
LG000026544,2010-09-07,NA,169,25
LG000026544,2010-09-08,NA,162,NA
LG000026544,2010-09-09,NA,167,42
LG000026544,2010-09-10,NA,152,61
LG000026544,2010-09-11,8,134,111
LG000026544,2010-09-12,NA,196,75
LG000026544,2010-09-13,NA,213,67
LG000026544,2010-09-14,NA,215,112
LG000026544,2010-09-15,NA,151,116
LG000026544,2010-09-16,NA,166,96
LG000026544,2010-09-17,99,158,93
LG000026544,2010-09-18,NA,131,84
LG000026544,2010-09-19,NA,128,75
LG000026544,2010-09-20,NA,148,72
LG000026544,2010-09-21,10,142,104
LG000026544,2010-09-22,30,130,96
LG000026544,2010-09-23,NA,148,70
LG000026544,2010-09-24,NA,188,59
LG000026544,2010-09-25,NA,198,95
LG000026544,2010-09-26,NA,207,71
LG000026544,2010-09-27,NA,182,118
LG000026544,2010-09-28,81,NA,NA
LG000026544,2010-09-29,5,78,NA
LG000026544,2010-09-30,NA,103,-8
LG000026544,2010-10-01,NA,123,-5
LG000026544,2010-10-02,NA,115,0
LG000026544,2010-10-03,NA,120,55
LG000026544,2010-10-04,NA,126,33
LG000026544,2010-10-05,NA,104,-1
LG000026544,2010-10-06,NA,104,-8
LG000026544,2010-10-07,NA,92,-16
LG000026544,2010-10-08,NA,114,-42
