id,date,prcp,tmax,tmin
LH000026730,2010-01-01,NA,NA,-75
LH000026730,2010-01-02,30,-45,NA
LH000026730,2010-01-03,NA,NA,NA
LH000026730,2010-01-04,0,NA,-224
LH000026730,2010-01-05,NA,-76,-124
LH000026730,2010-01-06,NA,NA,-130
LH000026730,2010-01-07,71,NA,-78
LH000026730,2010-01-08,NA,-50,NA
LH000026730,2010-01-09,NA,-56,NA
LH000026730,2010-01-10,20,-53,NA
LH000026730,2010-01-11,NA,NA,NA
LH000026730,2010-01-12,NA,-30,NA
LH000026730,2010-01-13,NA,NA,NA
LH000026730,2010-01-14,NA,NA,NA
LH000026730,2010-01-15,NA,NA,-170
LH000026730,2010-01-16,NA,-24,-120
LH000026730,2010-01-17,NA,NA,NA
LH000026730,2010-01-18,NA,NA,NA
LH000026730,2010-01-19,0,NA,NA
LH000026730,2010-01-20,NA,-89,NA
LH000026730,2010-01-21,NA,-109,NA
LH000026730,2010-01-22,NA,-118,NA
LH000026730,2010-01-23,NA,-118,NA
LH000026730,2010-01-24,NA,-155,NA
LH000026730,2010-01-25,NA,-140,-250
LH000026730,2010-01-26,8,-111,NA
LH000026730,2010-01-27,NA,NA,NA
LH000026730,2010-01-28,41,NA,-218
LH000026730,2010-01-29,30,-30,-87
LH000026730,2010-01-30,0,NA,-82
LH000026730,2010-01-31,NA,-16,NA
LH000026730,2010-02-01,112,NA,NA
LH000026730,2010-02-02,NA,NA,NA
LH000026730,2010-02-03,NA,-30,NA
LH000026730,2010-02-04,NA,-41,NA
LH000026730,2010-02-05,NA,-49,NA
LH000026730,2010-02-06,NA,-73,NA
LH000026730,2010-02-07,NA,-55,-148
LH000026730,2010-02-08,NA,NA,NA
LH000026730,2010-02-09,NA,-77,NA
LH000026730,2010-02-10,NA,-55,NA
LH000026730,2010-02-11,NA,NA,-109
LH000026730,2010-02-12,30,NA,NA
LH000026730,2010-02-13,8,-48,-70
LH000026730,2010-02-14,79,NA,NA
LH000026730,2010-02-15,41,NA,NA
LH000026730,2010-02-16,0,NA,NA
LH000026730,2010-02-17,0,-49,NA
LH000026730,2010-02-18,NA,NA,NA
LH000026730,2010-02-19,0,13,-34
LH000026730,2010-02-20,91,20,NA
LH000026730,2010-02-21,NA,NA,NA
LH000026730,2010-02-22,NA,1,NA
LH000026730,2010-02-23,NA,NA,-53
LH000026730,2010-02-24,NA,14,NA
LH000026730,2010-02-25,3,NA,NA
LH000026730,2010-02-26,NA,22,9
LH000026730,2010-02-27,NA,NA,9
