id,date,prcp,tmax,tmin
LIM00065660,2013-06-01,NA,NA,NA
LIM00065660,2013-06-02,NA,NA,NA
LIM00065660,2013-06-03,NA,NA,NA
LIM00065660,2013-06-04,NA,NA,NA
LIM00065660,2013-06-05,NA,NA,NA
LIM00065660,2013-06-06,NA,NA,NA
LIM00065660,2013-06-07,0,NA,NA
LIM00065660,2013-06-08,NA,NA,NA
LIM00065660,2013-06-09,NA,NA,NA
LIM00065660,2013-06-10,NA,NA,NA
LIM00065660,2013-06-11,NA,NA,NA
LIM00065660,2013-06-12,NA,NA,NA
LIM00065660,2013-06-13,NA,NA,NA
LIM00065660,2013-06-14,NA,NA,NA
LIM00065660,2013-06-15,NA,NA,NA
LIM00065660,2013-06-16,NA,NA,NA
LIM00065660,2013-06-17,NA,NA,NA
LIM00065660,2013-06-18,NA,NA,NA
LIM00065660,2013-06-19,NA,NA,NA
LIM00065660,2013-06-20,NA,NA,NA
LIM00065660,2013-06-21,NA,NA,NA
LIM00065660,2013-06-22,NA,NA,NA
LIM00065660,2013-06-23,NA,NA,NA
LIM00065660,2013-06-24,NA,NA,NA
LIM00065660,2013-06-25,NA,NA,NA
LIM00065660,2013-06-26,NA,NA,NA
LIM00065660,2013-06-27,NA,NA,NA
LIM00065660,2013-06-28,NA,NA,NA
LIM00065660,2013-06-29,NA,NA,NA
LIM00065660,2013-06-30,NA,NA,NA
LIM00065660,2014-10-01,NA,NA,NA
LIM00065660,2014-10-02,NA,NA,NA
LIM00065660,2014-10-03,NA,NA,NA
LIM00065660,2014-10-04,NA,NA,NA
LIM00065660,2014-10-05,NA,NA,NA
LIM00065660,2014-10-06,NA,NA,NA
LIM00065660,2014-10-07,NA,285,232
LIM00065660,2014-10-08,NA,310,NA
LIM00065660,2014-10-09,15,303,240
LIM00065660,2014-10-10,NA,310,240
LIM00065660,2014-10-11,15,300,240
LIM00065660,2014-10-12,15,300,230
LIM00065660,2014-10-13,678,271,210
LIM00065660,2014-10-14,23,NA,224
LIM00065660,2014-10-15,5,300,230
LIM00065660,2014-10-16,0,300,240
LIM00065660,2014-10-17,13,NA,220
LIM00065660,2014-10-18,333,310,220
LIM00065660,2014-10-19,0,320,230
LIM00065660,2014-10-20,239,NA,210
LIM00065660,2014-10-21,963,NA,220
LIM00065660,2014-10-22,3,304,220
LIM00065660,2014-10-23,3,309,210
LIM00065660,2014-10-24,264,306,210
LIM00065660,2014-10-25,38,311,230
LIM00065660,2014-10-26,38,298,230
LIM00065660,2014-10-27,43,315,230
LIM00065660,2014-10-28,43,NA,240
LIM00065660,2014-10-29,0,302,240
LIM00065660,2014-10-30,NA,NA,NA
LIM00065660,2014-10-31,NA,310,220
LIM00065660,2014-11-01,NA,310,220
LIM00065660,2014-11-02,NA,313,230
LIM00065660,2014-11-03,5,300,240
LIM00065660,2014-11-04,15,311,240
LIM00065660,2014-11-05,0,297,230
LIM00065660,2014-11-06,NA,NA,NA
LIM00065660,2014-11-07,NA,NA,NA
LIM00065660,2014-11-08,NA,NA,NA
LIM00065660,2014-11-09,NA,NA,NA
LIM00065660,2014-11-10,NA,NA,NA
LIM00065660,2014-11-11,NA,NA,NA
LIM00065660,2014-11-12,NA,NA,NA
LIM00065660,2014-11-13,NA,NA,NA
LIM00065660,2014-11-14,NA,NA,NA
LIM00065660,2014-11-15,NA,NA,NA
LIM00065660,2014-11-16,NA,NA,NA
LIM00065660,2014-11-17,NA,NA,NA
LIM00065660,2014-11-18,NA,NA,NA
LIM00065660,2014-11-19,NA,NA,NA
LIM00065660,2014-11-20,NA,NA,NA
LIM00065660,2014-11-21,NA,NA,NA
LIM00065660,2014-11-22,NA,NA,NA
LIM00065660,2014-11-23,NA,NA,NA
LIM00065660,2014-11-24,NA,NA,NA
LIM00065660,2014-11-25,NA,NA,NA
LIM00065660,2014-11-26,NA,NA,NA
LIM00065660,2014-11-27,NA,NA,NA
LIM00065660,2014-11-28,NA,NA,NA
LIM00065660,2014-11-29,NA,NA,NA
LIM00065660,2014-11-30,NA,NA,NA
LIM00065660,2014-12-01,NA,NA,NA
LIM00065660,2014-12-02,NA,NA,NA
LIM00065660,2014-12-03,NA,NA,NA
LIM00065660,2014-12-04,NA,NA,NA
LIM00065660,2014-12-05,NA,NA,NA
LIM00065660,2014-12-06,NA,NA,NA
LIM00065660,2014-12-07,NA,NA,NA
LIM00065660,2014-12-08,NA,NA,NA
LIM00065660,2014-12-09,NA,NA,NA
LIM00065660,2014-12-10,NA,NA,NA
LIM00065660,2014-12-11,NA,NA,NA
LIM00065660,2014-12-12,NA,NA,NA
LIM00065660,2014-12-13,NA,NA,NA
LIM00065660,2014-12-14,NA,330,NA
LIM00065660,2014-12-15,NA,NA,220
LIM00065660,2014-12-16,NA,320,230
LIM00065660,2014-12-17,NA,NA,230
LIM00065660,2014-12-18,NA,320,230
LIM00065660,2014-12-19,NA,NA,230
LIM00065660,2014-12-20,23,NA,230
LIM00065660,2014-12-21,0,330,230
LIM00065660,2014-12-22,NA,330,230
LIM00065660,2014-12-23,NA,330,230
LIM00065660,2014-12-24,NA,320,230
LIM00065660,2014-12-25,NA,NA,240
LIM00065660,2014-12-26,NA,330,230
LIM00065660,2014-12-27,NA,330,210
LIM00065660,2014-12-28,NA,330,217
LIM00065660,2014-12-29,NA,330,190
LIM00065660,2014-12-30,NA,NA,200
LIM00065660,2014-12-31,NA,NA,210
LIM00065660,2015-01-01,NA,NA,220
LIM00065660,2015-01-02,NA,NA,217
LIM00065660,2015-01-03,NA,330,200
LIM00065660,2015-01-04,NA,NA,204
LIM00065660,2015-01-05,NA,330,210
LIM00065660,2015-01-06,NA,NA,195
LIM00065660,2015-01-07,NA,330,190
LIM00065660,2015-01-08,NA,330,210
LIM00065660,2015-01-09,NA,310,220
LIM00065660,2015-01-10,NA,330,220
LIM00065660,2015-01-11,NA,320,210
LIM00065660,2015-01-12,NA,NA,200
LIM00065660,2015-01-13,NA,NA,190
LIM00065660,2015-01-14,NA,320,200
LIM00065660,2015-01-15,NA,330,210
LIM00065660,2015-01-16,NA,320,200
LIM00065660,2015-01-17,NA,330,220
LIM00065660,2015-01-18,NA,NA,230
LIM00065660,2015-01-19,NA,NA,230
LIM00065660,2015-01-20,NA,NA,230
LIM00065660,2015-01-21,NA,NA,240
LIM00065660,2015-01-22,NA,NA,234
LIM00065660,2015-01-23,NA,310,210
LIM00065660,2015-01-24,NA,330,217
LIM00065660,2015-01-25,NA,330,230
LIM00065660,2015-01-26,NA,330,240
LIM00065660,2015-01-27,NA,NA,250
LIM00065660,2015-01-28,NA,340,239
LIM00065660,2015-01-29,NA,330,220
LIM00065660,2015-01-30,NA,NA,230
LIM00065660,2015-01-31,NA,310,230
LIM00065660,2015-02-01,NA,NA,230
LIM00065660,2015-02-02,NA,NA,200
LIM00065660,2015-02-03,NA,320,NA
LIM00065660,2015-02-04,NA,310,240
LIM00065660,2015-02-05,NA,330,230
LIM00065660,2015-02-06,NA,330,220
LIM00065660,2015-02-07,NA,NA,229
LIM00065660,2015-02-08,NA,330,230
LIM00065660,2015-02-09,NA,340,230
LIM00065660,2015-02-10,NA,336,240
LIM00065660,2015-02-11,NA,NA,NA
LIM00065660,2015-02-12,NA,310,212
LIM00065660,2015-02-13,203,330,226
LIM00065660,2015-02-14,0,321,210
LIM00065660,2015-02-15,NA,320,230
LIM00065660,2015-02-16,NA,330,240
LIM00065660,2015-02-17,NA,340,230
LIM00065660,2015-02-18,NA,330,216
LIM00065660,2015-02-19,NA,NA,220
LIM00065660,2015-02-20,NA,NA,210
LIM00065660,2015-02-21,NA,297,230
LIM00065660,2015-02-22,NA,313,230
LIM00065660,2015-02-23,193,310,230
LIM00065660,2015-02-24,0,340,240
LIM00065660,2015-02-25,NA,320,NA
LIM00065660,2015-02-26,NA,330,220
LIM00065660,2015-02-27,NA,340,220
LIM00065660,2015-02-28,NA,323,220
LIM00065660,2015-03-01,NA,340,220
LIM00065660,2015-03-02,267,330,220
LIM00065660,2015-03-03,0,NA,209
LIM00065660,2015-03-04,NA,NA,NA
LIM00065660,2015-03-05,NA,NA,NA
LIM00065660,2015-03-06,NA,NA,NA
LIM00065660,2015-03-07,NA,NA,NA
LIM00065660,2015-03-08,NA,NA,NA
LIM00065660,2015-03-09,NA,NA,NA
LIM00065660,2015-03-10,NA,NA,NA
LIM00065660,2015-03-11,NA,NA,NA
LIM00065660,2015-03-12,NA,NA,NA
LIM00065660,2015-03-13,NA,NA,NA
LIM00065660,2015-03-14,NA,NA,NA
LIM00065660,2015-03-15,NA,NA,NA
LIM00065660,2015-03-16,NA,NA,NA
LIM00065660,2015-03-17,NA,NA,NA
LIM00065660,2015-03-18,NA,NA,NA
LIM00065660,2015-03-19,NA,NA,NA
LIM00065660,2015-03-20,NA,NA,NA
LIM00065660,2015-03-21,NA,NA,NA
LIM00065660,2015-03-22,NA,NA,NA
LIM00065660,2015-03-23,NA,NA,NA
LIM00065660,2015-03-24,NA,NA,NA
LIM00065660,2015-03-25,NA,NA,NA
LIM00065660,2015-03-26,NA,NA,NA
LIM00065660,2015-03-27,NA,NA,NA
LIM00065660,2015-03-28,NA,NA,NA
LIM00065660,2015-03-29,NA,NA,NA
LIM00065660,2015-03-30,NA,NA,NA
LIM00065660,2015-03-31,NA,NA,NA
LIM00065660,2018-08-01,NA,NA,NA
LIM00065660,2018-08-02,NA,NA,NA
LIM00065660,2018-08-03,NA,NA,NA
LIM00065660,2018-08-04,NA,NA,NA
LIM00065660,2018-08-05,NA,NA,NA
LIM00065660,2018-08-06,NA,NA,NA
LIM00065660,2018-08-07,NA,NA,NA
LIM00065660,2018-08-08,NA,NA,NA
LIM00065660,2018-08-09,NA,NA,NA
LIM00065660,2018-08-10,NA,NA,NA
LIM00065660,2018-08-11,NA,NA,NA
LIM00065660,2018-08-12,NA,NA,NA
LIM00065660,2018-08-13,NA,NA,NA
LIM00065660,2018-08-14,NA,NA,NA
LIM00065660,2018-08-15,NA,NA,NA
LIM00065660,2018-08-16,NA,NA,NA
LIM00065660,2018-08-17,NA,NA,NA
LIM00065660,2018-08-18,NA,NA,NA
LIM00065660,2018-08-19,NA,NA,NA
LIM00065660,2018-08-20,NA,NA,NA
LIM00065660,2018-08-21,NA,NA,NA
LIM00065660,2018-08-22,NA,NA,NA
LIM00065660,2018-08-23,NA,NA,NA
LIM00065660,2018-08-24,NA,NA,NA
LIM00065660,2018-08-25,NA,NA,NA
LIM00065660,2018-08-26,NA,NA,NA
LIM00065660,2018-08-27,NA,NA,NA
LIM00065660,2018-08-28,NA,NA,NA
LIM00065660,2018-08-29,NA,NA,NA
LIM00065660,2018-08-30,NA,NA,NA
LIM00065660,2018-08-31,1311,NA,NA
LIM00065660,2018-09-01,NA,NA,NA
LIM00065660,2018-09-02,NA,NA,NA
LIM00065660,2018-09-03,NA,NA,NA
LIM00065660,2018-09-04,279,NA,NA
LIM00065660,2018-09-05,0,NA,NA
LIM00065660,2018-09-06,NA,NA,NA
LIM00065660,2018-09-07,NA,NA,NA
LIM00065660,2018-09-08,NA,NA,NA
LIM00065660,2018-09-09,NA,NA,NA
LIM00065660,2018-09-10,NA,NA,NA
LIM00065660,2018-09-11,NA,NA,NA
LIM00065660,2018-09-12,NA,NA,NA
LIM00065660,2018-09-13,NA,NA,NA
LIM00065660,2018-09-14,NA,NA,NA
LIM00065660,2018-09-15,NA,NA,NA
LIM00065660,2018-09-16,NA,NA,NA
LIM00065660,2018-09-17,NA,NA,NA
LIM00065660,2018-09-18,NA,NA,NA
LIM00065660,2018-09-19,NA,NA,NA
LIM00065660,2018-09-20,NA,NA,NA
LIM00065660,2018-09-21,NA,NA,NA
LIM00065660,2018-09-22,NA,NA,NA
LIM00065660,2018-09-23,NA,NA,NA
LIM00065660,2018-09-24,NA,NA,NA
LIM00065660,2018-09-25,NA,NA,NA
LIM00065660,2018-09-26,NA,NA,NA
LIM00065660,2018-09-27,NA,NA,NA
LIM00065660,2018-09-28,NA,NA,NA
LIM00065660,2018-09-29,NA,NA,NA
LIM00065660,2018-09-30,NA,NA,NA
LIM00065660,2019-08-01,NA,NA,NA
LIM00065660,2019-08-02,0,NA,NA
LIM00065660,2019-08-03,0,NA,NA
LIM00065660,2019-08-04,NA,NA,NA
LIM00065660,2019-08-05,41,NA,NA
LIM00065660,2019-08-06,140,NA,NA
LIM00065660,2019-08-07,0,NA,NA
LIM00065660,2019-08-08,NA,NA,NA
LIM00065660,2019-08-09,NA,NA,NA
LIM00065660,2019-08-10,NA,NA,NA
LIM00065660,2019-08-11,NA,NA,NA
LIM00065660,2019-08-12,NA,NA,NA
LIM00065660,2019-08-13,NA,NA,NA
LIM00065660,2019-08-14,NA,NA,NA
LIM00065660,2019-08-15,NA,NA,NA
LIM00065660,2019-08-16,NA,NA,NA
LIM00065660,2019-08-17,NA,NA,NA
LIM00065660,2019-08-18,NA,NA,NA
LIM00065660,2019-08-19,NA,NA,NA
LIM00065660,2019-08-20,NA,NA,NA
LIM00065660,2019-08-21,NA,NA,NA
LIM00065660,2019-08-22,NA,NA,NA
LIM00065660,2019-08-23,NA,NA,NA
LIM00065660,2019-08-24,NA,NA,NA
LIM00065660,2019-08-25,NA,NA,NA
LIM00065660,2019-08-26,NA,NA,NA
LIM00065660,2019-08-27,NA,NA,NA
LIM00065660,2019-08-28,NA,NA,NA
LIM00065660,2019-08-29,NA,NA,NA
LIM00065660,2019-08-30,89,NA,NA
LIM00065660,2019-08-31,NA,NA,NA
LIM00065660,2019-09-01,NA,NA,NA
LIM00065660,2019-09-02,NA,NA,NA
LIM00065660,2019-09-03,NA,NA,NA
LIM00065660,2019-09-04,NA,NA,NA
LIM00065660,2019-09-05,NA,NA,NA
LIM00065660,2019-09-06,NA,NA,NA
LIM00065660,2019-09-07,NA,NA,NA
LIM00065660,2019-09-08,NA,NA,NA
LIM00065660,2019-09-09,NA,NA,NA
LIM00065660,2019-09-10,NA,NA,NA
LIM00065660,2019-09-11,NA,NA,NA
LIM00065660,2019-09-12,NA,NA,NA
LIM00065660,2019-09-13,NA,NA,NA
LIM00065660,2019-09-14,NA,NA,NA
LIM00065660,2019-09-15,NA,NA,NA
LIM00065660,2019-09-16,NA,NA,NA
LIM00065660,2019-09-17,211,NA,NA
LIM00065660,2019-09-18,0,NA,NA
LIM00065660,2019-09-19,NA,NA,NA
LIM00065660,2019-09-20,NA,NA,NA
LIM00065660,2019-09-21,361,NA,NA
LIM00065660,2019-09-22,NA,NA,NA
LIM00065660,2019-09-23,300,NA,NA
LIM00065660,2019-09-24,0,NA,NA
LIM00065660,2019-09-25,NA,NA,NA
LIM00065660,2019-09-26,NA,NA,NA
LIM00065660,2019-09-27,NA,NA,NA
LIM00065660,2019-09-28,NA,NA,NA
LIM00065660,2019-09-29,NA,NA,NA
LIM00065660,2019-09-30,NA,NA,NA
LIM00065660,2019-10-01,NA,NA,NA
LIM00065660,2019-10-02,NA,NA,NA
LIM00065660,2019-10-03,201,NA,NA
LIM00065660,2019-10-04,0,NA,NA
LIM00065660,2019-10-05,NA,NA,NA
LIM00065660,2019-10-06,1641,NA,NA
LIM00065660,2019-10-07,531,NA,NA
LIM00065660,2019-10-08,0,NA,NA
LIM00065660,2019-10-09,NA,NA,NA
LIM00065660,2019-10-10,NA,NA,NA
LIM00065660,2019-10-11,NA,NA,NA
LIM00065660,2019-10-12,NA,NA,NA
LIM00065660,2019-10-13,500,NA,NA
LIM00065660,2019-10-14,0,NA,NA
LIM00065660,2019-10-15,NA,NA,NA
LIM00065660,2019-10-16,NA,NA,NA
LIM00065660,2019-10-17,NA,NA,NA
LIM00065660,2019-10-18,NA,NA,NA
LIM00065660,2019-10-19,NA,NA,NA
LIM00065660,2019-10-20,NA,NA,NA
LIM00065660,2019-10-21,NA,NA,NA
LIM00065660,2019-10-22,NA,NA,NA
LIM00065660,2019-10-23,NA,NA,NA
LIM00065660,2019-10-24,99,NA,NA
LIM00065660,2019-10-25,0,NA,NA
LIM00065660,2019-10-26,NA,NA,NA
LIM00065660,2019-10-27,NA,NA,NA
LIM00065660,2019-10-28,NA,NA,NA
LIM00065660,2019-10-29,NA,NA,NA
LIM00065660,2019-10-30,NA,NA,NA
LIM00065660,2019-10-31,NA,NA,NA
