id,date,prcp,tmax,tmin
LOE00116364,2010-01-01,0,23,3
LOE00116364,2010-01-02,68,5,-61
LOE00116364,2010-01-03,32,-61,-120
LOE00116364,2010-01-04,0,-65,-214
LOE00116364,2010-01-05,2,-24,-171
LOE00116364,2010-01-06,17,-14,-78
LOE00116364,2010-01-07,7,-25,-43
LOE00116364,2010-01-08,33,-31,-66
LOE00116364,2010-01-09,34,23,-31
LOE00116364,2010-01-10,21,16,-4
LOE00116364,2010-01-11,1,0,-31
LOE00116364,2010-01-12,13,-23,-54
LOE00116364,2010-01-13,0,-16,-58
LOE00116364,2010-01-14,2,-2,-49
LOE00116364,2010-01-15,0,-29,-93
LOE00116364,2010-01-16,0,-18,-98
LOE00116364,2010-01-17,0,-3,-102
LOE00116364,2010-01-18,20,-22,-46
LOE00116364,2010-01-19,3,-14,-46
LOE00116364,2010-01-20,5,-30,-101
LOE00116364,2010-01-21,0,-60,-120
LOE00116364,2010-01-22,0,-68,-120
LOE00116364,2010-01-23,0,-4,-187
LOE00116364,2010-01-24,0,-54,-196
LOE00116364,2010-01-25,0,-18,-217
LOE00116364,2010-01-26,0,-19,-168
LOE00116364,2010-01-27,4,-58,-220
LOE00116364,2010-01-28,152,-83,-134
LOE00116364,2010-01-29,44,-38,-83
LOE00116364,2010-01-30,17,-21,-45
LOE00116364,2010-01-31,24,-45,-86
LOE00116364,2010-02-01,12,-62,-170
LOE00116364,2010-02-02,11,-53,-76
LOE00116364,2010-02-03,52,-43,-83
LOE00116364,2010-02-04,0,2,-134
LOE00116364,2010-02-05,0,37,-87
LOE00116364,2010-02-06,0,41,-72
LOE00116364,2010-02-07,2,-54,-103
LOE00116364,2010-02-08,0,-50,-106
LOE00116364,2010-02-09,0,-46,-92
LOE00116364,2010-02-10,12,5,-90
LOE00116364,2010-02-11,26,-35,-71
LOE00116364,2010-02-12,8,-8,-65
LOE00116364,2010-02-13,6,-33,-53
LOE00116364,2010-02-14,0,-28,-58
LOE00116364,2010-02-15,0,-12,-62
LOE00116364,2010-02-16,0,-23,-129
LOE00116364,2010-02-17,0,26,-170
LOE00116364,2010-02-18,0,81,17
LOE00116364,2010-02-19,61,82,2
LOE00116364,2010-02-20,54,45,-29
LOE00116364,2010-02-21,0,3,-78
LOE00116364,2010-02-22,0,34,-116
LOE00116364,2010-02-23,0,85,-1
LOE00116364,2010-02-24,0,97,-30
LOE00116364,2010-02-25,0,81,-31
LOE00116364,2010-02-26,67,46,-38
LOE00116364,2010-02-27,24,36,-30
LOE00116364,2010-02-28,78,78,-59
LOE00116364,2010-03-01,0,43,-15
LOE00116364,2010-03-02,37,35,-55
LOE00116364,2010-03-03,3,0,-83
LOE00116364,2010-03-04,5,29,-142
LOE00116364,2010-03-05,38,-31,-92
LOE00116364,2010-03-06,3,-36,-142
LOE00116364,2010-03-07,0,-41,-174
LOE00116364,2010-03-08,0,-23,-205
LOE00116364,2010-03-09,0,-22,-181
LOE00116364,2010-03-10,26,18,-153
LOE00116364,2010-03-11,56,9,-66
LOE00116364,2010-03-12,23,-9,-59
LOE00116364,2010-03-13,167,-6,-47
LOE00116364,2010-03-14,202,12,-26
LOE00116364,2010-03-15,113,-8,-57
LOE00116364,2010-03-16,38,-13,-76
LOE00116364,2010-03-17,12,-4,-73
LOE00116364,2010-03-18,0,73,-18
LOE00116364,2010-03-19,0,110,-79
LOE00116364,2010-03-20,0,136,-23
LOE00116364,2010-03-21,46,106,3
LOE00116364,2010-03-22,0,136,-15
LOE00116364,2010-03-23,0,112,-47
LOE00116364,2010-03-24,0,162,-28
LOE00116364,2010-03-25,0,159,-30
LOE00116364,2010-03-26,43,151,68
LOE00116364,2010-03-27,8,125,2
LOE00116364,2010-03-28,10,92,-30
LOE00116364,2010-03-29,0,108,-28
LOE00116364,2010-03-30,0,147,-5
LOE00116364,2010-03-31,24,114,25
LOE00116364,2010-04-01,0,124,-5
LOE00116364,2010-04-02,16,21,-36
LOE00116364,2010-04-03,0,98,-60
LOE00116364,2010-04-04,0,137,-34
LOE00116364,2010-04-05,106,67,20
LOE00116364,2010-04-06,6,30,5
LOE00116364,2010-04-07,0,92,15
LOE00116364,2010-04-08,0,153,5
LOE00116364,2010-04-09,2,150,-3
LOE00116364,2010-04-10,11,72,10
LOE00116364,2010-04-11,16,44,5
