id,date,prcp,tmax,tmin
LY000062124,2010-01-01,NA,287,108
LY000062124,2010-01-02,NA,241,80
LY000062124,2010-01-03,NA,235,71
LY000062124,2010-01-04,NA,235,63
LY000062124,2010-01-05,NA,NA,86
LY000062124,2010-01-06,NA,243,80
LY000062124,2010-01-07,NA,275,NA
LY000062124,2010-01-08,NA,290,120
LY000062124,2010-01-09,NA,235,94
LY000062124,2010-01-10,NA,245,84
LY000062124,2010-01-11,NA,232,NA
LY000062124,2010-01-12,NA,183,NA
LY000062124,2010-01-13,NA,201,NA
LY000062124,2010-01-14,NA,211,NA
LY000062124,2010-01-15,NA,NA,NA
LY000062124,2010-01-16,NA,162,90
LY000062124,2010-01-17,NA,NA,85
LY000062124,2010-01-18,NA,190,NA
LY000062124,2010-01-19,NA,NA,50
LY000062124,2010-01-20,NA,223,NA
LY000062124,2010-01-21,NA,225,66
LY000062124,2010-01-22,NA,NA,NA
LY000062124,2010-01-23,NA,NA,NA
LY000062124,2010-01-24,NA,NA,80
LY000062124,2010-01-25,NA,260,99
LY000062124,2010-01-26,NA,245,108
LY000062124,2010-01-27,NA,NA,NA
LY000062124,2010-01-28,NA,280,NA
LY000062124,2010-01-29,NA,224,NA
LY000062124,2010-01-30,NA,200,NA
LY000062124,2010-01-31,NA,210,NA
LY000062124,2010-02-01,NA,240,70
LY000062124,2010-02-02,NA,NA,NA
LY000062124,2010-02-03,NA,182,NA
LY000062124,2010-02-04,NA,193,59
LY000062124,2010-02-05,NA,196,46
LY000062124,2010-02-06,NA,NA,75
LY000062124,2010-02-07,NA,235,NA
LY000062124,2010-02-08,NA,232,80
LY000062124,2010-02-09,NA,NA,NA
LY000062124,2010-02-10,NA,262,NA
LY000062124,2010-02-11,NA,NA,108
LY000062124,2010-02-12,NA,295,119
LY000062124,2010-02-13,NA,305,105
LY000062124,2010-02-14,NA,NA,157
LY000062124,2010-02-15,NA,316,NA
LY000062124,2010-02-16,NA,NA,150
LY000062124,2010-02-17,NA,290,157
LY000062124,2010-02-18,NA,327,NA
LY000062124,2010-02-19,NA,348,150
LY000062124,2010-02-20,NA,321,200
LY000062124,2010-02-21,NA,NA,150
LY000062124,2010-02-22,NA,300,152
LY000062124,2010-02-23,NA,NA,156
LY000062124,2010-02-24,NA,325,NA
LY000062124,2010-02-25,NA,252,118
LY000062124,2010-02-26,NA,NA,98
LY000062124,2010-02-27,NA,295,112
LY000062124,2010-02-28,NA,319,119
LY000062124,2010-03-01,NA,NA,155
LY000062124,2010-03-02,NA,341,149
LY000062124,2010-03-03,NA,342,170
LY000062124,2010-03-04,NA,378,NA
LY000062124,2010-03-05,NA,334,NA
LY000062124,2010-03-06,NA,NA,173
LY000062124,2010-03-07,NA,376,NA
LY000062124,2010-03-08,NA,NA,NA
LY000062124,2010-03-09,NA,NA,121
LY000062124,2010-03-10,NA,NA,NA
LY000062124,2010-03-11,NA,NA,148
LY000062124,2010-03-12,NA,321,153
LY000062124,2010-03-13,NA,336,164
LY000062124,2010-03-14,NA,NA,NA
LY000062124,2010-03-15,NA,200,92
LY000062124,2010-03-16,NA,225,95
LY000062124,2010-03-17,NA,NA,105
LY000062124,2010-03-18,NA,NA,NA
LY000062124,2010-03-19,NA,202,75
LY000062124,2010-03-20,NA,NA,NA
LY000062124,2010-03-21,NA,231,76
LY000062124,2010-03-22,NA,NA,85
LY000062124,2010-03-23,NA,270,83
LY000062124,2010-03-24,NA,285,115
LY000062124,2010-03-25,NA,296,120
LY000062124,2010-03-26,NA,325,121
LY000062124,2010-03-27,NA,NA,NA
LY000062124,2010-03-28,NA,315,NA
LY000062124,2010-03-29,NA,NA,NA
LY000062124,2010-03-30,NA,NA,NA
LY000062124,2010-03-31,NA,365,206
LY000062124,2010-04-01,NA,362,NA
LY000062124,2010-04-02,NA,365,NA
LY000062124,2010-04-03,NA,357,160
LY000062124,2010-04-04,NA,NA,158
LY000062124,2010-04-05,NA,376,NA
LY000062124,2010-04-06,NA,343,170
LY000062124,2010-04-07,NA,335,168
LY000062124,2010-04-08,NA,373,NA
LY000062124,2010-04-09,NA,NA,200
LY000062124,2010-04-10,NA,277,NA
LY000062124,2010-04-11,NA,263,130
LY000062124,2010-04-12,NA,335,158
LY000062124,2010-04-13,NA,400,243
LY000062124,2010-04-14,NA,395,NA
LY000062124,2010-04-15,NA,NA,250
LY000062124,2010-04-16,NA,NA,145
LY000062124,2010-04-17,NA,350,NA
LY000062124,2010-04-18,NA,400,250
LY000062124,2010-04-19,NA,339,237
LY000062124,2010-04-20,NA,314,NA
LY000062124,2010-04-21,NA,300,138
LY000062124,2010-04-22,NA,301,NA
LY000062124,2010-04-23,NA,369,202
LY000062124,2010-04-24,NA,NA,NA
LY000062124,2010-04-25,NA,369,NA
LY000062124,2010-04-26,NA,NA,180
LY000062124,2010-04-27,NA,NA,NA
LY000062124,2010-04-28,NA,331,NA
LY000062124,2010-04-29,NA,265,NA
LY000062124,2010-04-30,NA,NA,NA
LY000062124,2010-05-01,NA,307,160
LY000062124,2010-05-02,NA,340,178
LY000062124,2010-05-03,NA,365,226
LY000062124,2010-05-04,NA,NA,NA
LY000062124,2010-05-05,NA,423,NA
LY000062124,2010-05-06,NA,NA,230
LY000062124,2010-05-07,NA,NA,NA
LY000062124,2010-05-08,NA,NA,NA
LY000062124,2010-05-09,NA,NA,NA
LY000062124,2010-05-10,NA,381,195
LY000062124,2010-05-11,NA,415,NA
LY000062124,2010-05-12,NA,426,253
LY000062124,2010-05-13,NA,433,NA
LY000062124,2010-05-14,NA,442,298
LY000062124,2010-05-15,NA,400,NA
LY000062124,2010-05-16,NA,335,NA
LY000062124,2010-05-17,NA,NA,NA
LY000062124,2010-05-18,NA,NA,NA
LY000062124,2010-05-19,NA,326,205
LY000062124,2010-05-20,NA,NA,205
LY000062124,2010-05-21,NA,295,NA
LY000062124,2010-05-22,NA,300,177
LY000062124,2010-05-23,NA,317,NA
LY000062124,2010-05-24,NA,369,218
LY000062124,2010-05-25,NA,313,NA
LY000062124,2010-05-26,NA,NA,170
LY000062124,2010-05-27,NA,314,165
LY000062124,2010-05-28,NA,353,190
LY000062124,2010-05-29,NA,384,195
LY000062124,2010-05-30,NA,361,225
LY000062124,2010-05-31,NA,312,210
LY000062124,2010-06-01,NA,330,169
LY000062124,2010-06-02,NA,375,185
LY000062124,2010-06-03,NA,424,246
LY000062124,2010-06-04,NA,444,270
LY000062124,2010-06-05,NA,394,NA
LY000062124,2010-06-06,NA,356,217
LY000062124,2010-06-07,NA,343,209
LY000062124,2010-06-08,NA,NA,220
LY000062124,2010-06-09,NA,414,NA
LY000062124,2010-06-10,NA,423,NA
LY000062124,2010-06-11,NA,444,NA
LY000062124,2010-06-12,NA,NA,267
LY000062124,2010-06-13,NA,420,272
LY000062124,2010-06-14,NA,NA,NA
LY000062124,2010-06-15,NA,414,270
LY000062124,2010-06-16,NA,NA,NA
LY000062124,2010-06-17,NA,NA,287
LY000062124,2010-06-18,NA,NA,278
LY000062124,2010-06-19,NA,NA,295
LY000062124,2010-06-20,NA,462,294
LY000062124,2010-06-21,NA,457,279
LY000062124,2010-06-22,NA,470,NA
LY000062124,2010-06-23,NA,390,268
LY000062124,2010-06-24,NA,364,NA
LY000062124,2010-06-25,NA,NA,235
LY000062124,2010-06-26,NA,419,270
LY000062124,2010-06-27,NA,446,NA
LY000062124,2010-06-28,NA,445,287
LY000062124,2010-06-29,NA,404,NA
LY000062124,2010-06-30,NA,374,226
LY000062124,2010-07-01,NA,383,246
LY000062124,2010-07-02,NA,382,250
LY000062124,2010-07-03,NA,384,246
LY000062124,2010-07-04,NA,NA,245
LY000062124,2010-07-05,NA,355,218
LY000062124,2010-07-06,NA,360,215
LY000062124,2010-07-07,NA,380,NA
LY000062124,2010-07-08,NA,NA,235
LY000062124,2010-07-09,NA,370,NA
LY000062124,2010-07-10,NA,NA,230
LY000062124,2010-07-11,NA,371,237
LY000062124,2010-07-12,NA,381,NA
LY000062124,2010-07-13,NA,385,247
LY000062124,2010-07-14,NA,NA,240
LY000062124,2010-07-15,NA,374,NA
LY000062124,2010-07-16,NA,379,235
LY000062124,2010-07-17,NA,NA,246
LY000062124,2010-07-18,NA,395,250
LY000062124,2010-07-19,NA,381,255
LY000062124,2010-07-20,NA,407,240
LY000062124,2010-07-21,NA,NA,255
LY000062124,2010-07-22,NA,407,274
LY000062124,2010-07-23,NA,384,239
LY000062124,2010-07-24,NA,380,NA
LY000062124,2010-07-25,NA,408,235
LY000062124,2010-07-26,NA,432,278
LY000062124,2010-07-27,NA,NA,NA
LY000062124,2010-07-28,NA,418,279
LY000062124,2010-07-29,NA,NA,256
LY000062124,2010-07-30,NA,393,NA
LY000062124,2010-07-31,NA,378,NA
LY000062124,2010-08-01,NA,NA,237
LY000062124,2010-08-02,NA,379,245
LY000062124,2010-08-03,NA,374,235
LY000062124,2010-08-04,NA,394,220
LY000062124,2010-08-05,NA,430,275
LY000062124,2010-08-06,NA,395,241
LY000062124,2010-08-07,NA,362,NA
LY000062124,2010-08-08,NA,388,NA
LY000062124,2010-08-09,NA,NA,255
LY000062124,2010-08-10,NA,401,245
LY000062124,2010-08-11,NA,NA,245
LY000062124,2010-08-12,NA,380,247
LY000062124,2010-08-13,NA,387,242
LY000062124,2010-08-14,NA,394,243
