id,date,prcp,tmax,tmin
LYE00147745,2010-01-01,NA,268,NA
LYE00147745,2010-01-02,NA,197,150
LYE00147745,2010-01-03,NA,186,105
LYE00147745,2010-01-04,NA,225,98
LYE00147745,2010-01-05,NA,260,115
LYE00147745,2010-01-06,NA,275,145
LYE00147745,2010-01-07,NA,273,125
LYE00147745,2010-01-08,NA,277,113
LYE00147745,2010-01-09,NA,NA,NA
LYE00147745,2010-01-10,NA,157,78
LYE00147745,2010-01-11,NA,170,55
LYE00147745,2010-01-12,NA,180,NA
LYE00147745,2010-01-13,NA,209,96
LYE00147745,2010-01-14,NA,184,125
LYE00147745,2010-01-15,10,NA,127
LYE00147745,2010-01-16,20,164,93
LYE00147745,2010-01-17,30,185,144
LYE00147745,2010-01-18,5,179,120
LYE00147745,2010-01-19,8,170,130
LYE00147745,2010-01-20,0,175,NA
LYE00147745,2010-01-21,NA,192,117
LYE00147745,2010-01-22,NA,167,NA
LYE00147745,2010-01-23,NA,174,NA
LYE00147745,2010-01-24,NA,NA,131
LYE00147745,2010-01-25,NA,181,89
LYE00147745,2010-01-26,NA,182,145
LYE00147745,2010-01-27,NA,230,120
LYE00147745,2010-01-28,NA,182,102
LYE00147745,2010-01-29,NA,175,100
LYE00147745,2010-01-30,NA,200,NA
LYE00147745,2010-01-31,NA,202,110
LYE00147745,2010-02-01,NA,243,95
LYE00147745,2010-02-02,NA,157,130
LYE00147745,2010-02-03,NA,NA,NA
LYE00147745,2010-02-04,NA,190,72
LYE00147745,2010-02-05,NA,226,87
LYE00147745,2010-02-06,NA,194,154
LYE00147745,2010-02-07,NA,181,NA
LYE00147745,2010-02-08,0,173,106
LYE00147745,2010-02-09,NA,270,133
LYE00147745,2010-02-10,NA,190,NA
LYE00147745,2010-02-11,NA,225,117
LYE00147745,2010-02-12,NA,229,NA
LYE00147745,2010-02-13,NA,177,95
LYE00147745,2010-02-14,NA,237,152
LYE00147745,2010-02-15,NA,NA,115
LYE00147745,2010-02-16,NA,306,152
LYE00147745,2010-02-17,NA,291,165
LYE00147745,2010-02-18,0,320,192
LYE00147745,2010-02-19,0,360,183
LYE00147745,2010-02-20,NA,234,NA
LYE00147745,2010-02-21,NA,190,113
LYE00147745,2010-02-22,NA,267,140
LYE00147745,2010-02-23,NA,NA,170
LYE00147745,2010-02-24,NA,215,NA
LYE00147745,2010-02-25,0,204,121
LYE00147745,2010-02-26,0,277,114
LYE00147745,2010-02-27,0,221,148
LYE00147745,2010-02-28,NA,326,145
LYE00147745,2010-03-01,0,386,171
LYE00147745,2010-03-02,NA,201,NA
LYE00147745,2010-03-03,NA,255,152
LYE00147745,2010-03-04,0,NA,NA
LYE00147745,2010-03-05,0,204,133
LYE00147745,2010-03-06,0,NA,139
LYE00147745,2010-03-07,0,235,NA
